command,text_orig,key,is_skippable,fit_mode,image,width,height,screenadapt,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,block,a,r,g,b,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,widgetID,style,fadestyle,offsetx,options,values,references,option_number,index,text,jp_text,jp_name,text_match
header,第六关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
background,,,,,bg_rooftop,1,1,coverall,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
playmusic,,$escape_loop,,,,,,,,$escape_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
name,你要出手了。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,你要出手了。,君は動くつもりだな。,メフィスト,True
name,只要在这里杀死我，这里的所有整合运动都会因此崩溃。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,只要在这里杀死我，这里的所有整合运动都会因此崩溃。,ここで私を殺せば、ここの全てのレユニオンが崩壊することになる。,メフィスト,True
name,如果你拒绝和我对话，那真的很不幸。请吧，杀死我，如果你做得到的话。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,如果你拒绝和我对话，那真的很不幸。请吧，杀死我，如果你做得到的话。,もし君が私との対話を拒むなら、本当に不幸なことだ。さあ、私を殺してみろ、できるならな。,メフィスト,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
name,陈sir！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,陈sir！,チェンさん！,近衛局隊員,True
name,敌人的攻势非常猛烈！我们要速战速决，不能再拖了！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,敌人的攻势非常猛烈！我们要速战速决，不能再拖了！,敵の攻撃が非常に激しい！速戦即決でいかないと、もうこれ以上は持ちません！,近衛局隊員,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,,,,False
name,两方的指挥官只有一个能活下来，非常简单明了的局面。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,两方的指挥官只有一个能活下来，非常简单明了的局面。,両陣営の指揮官のうち、生き残れるのは一人だけだ。とても分かりやすい状況だろう。,メフィスト,True
name,我的遗言不会太长，长官。只要你能。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,我的遗言不会太长，长官。只要你能。,私の遺言は長くない、隊長。君にそれができるなら、だがな。,メフィスト,True
