command,text_orig,key,is_skippable,fit_mode,a,r,g,b,block,intro,volume,crossfade,delay,image,fadetime,screenadapt,name,name2,focus,time,duration,xstrength,ystrength,vibrato,randomness,fadeout,index,text,jp_text,jp_name,text_match
header,第二关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
blocker,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,3,,,,False
playmusic,,$newhope01_loop,,,,,,,,$newhope01_intro,0.6,1.5,0.5,,,,,,,,,,,,,,4,,,,False
background,,,,,,,,,,,,,,bg_corridor,1,coverall,,,,,,,,,,,5,,,,False
blocker,,,,,0,,,,true,,,,,,1.5,,,,,,,,,,,,6,,,,False
character,,,,,,,,,true,,,,,,1,,char_308_swire_1#5,char_010_chen_1#5,2,,,,,,,,7,,,,False
delay,,,,,,,,,,,,,,,,,,,,1,,,,,,,8,,,,False
name,诗怀雅，你没有这个权力。,,,,,,,,,,,,,,,,陈,,,,,,,,,,9,诗怀雅，你没有这个权力。,スワイヤ、君にその権限はない。,チェン,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,10,,,,False
name,唉。,,,,,,,,,,,,,,,,星熊,,,,,,,,,,11,唉。,はぁ。,ホシグマ,True
character,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#5,2,,,,,,,,12,,,,False
name,即使放下我们之间的私怨，我也不觉得你有这个能力来获得这份任命。,,,,,,,,,,,,,,,,陈,,,,,,,,,,13,即使放下我们之间的私怨，我也不觉得你有这个能力来获得这份任命。,私怨を抜きにしても、君にこの任命を受けるだけの能力があるとは思えない。,チェン,True
name,你甚至可以口头声明——,,,,,,,,,,,,,,,,陈,,,,,,,,,,14,你甚至可以口头声明——,君は口頭でも宣言できるだろう——,チェン,True
name,“魏彦吾已向施警司发布命令，即刻起，施警司将接管近卫局一切事务，并罢免现行动组长，予以撤职处分”。,,,,,,,,,,,,,,,,陈,,,,,,,,,,15,“魏彦吾已向施警司发布命令，即刻起，施警司将接管近卫局一切事务，并罢免现行动组长，予以撤职处分”。,「ウェイ・エンウーはシュ警司に命令を出し、今からシュ警司が近衛局の全ての業務を引き継ぎ、現在の行動チームリーダーを解任し、処分する」と言うこともできるだろう。,チェン,True
name,你能吗？这条命令真的存在吗？,,,,,,,,,,,,,,,,陈,,,,,,,,,,16,你能吗？这条命令真的存在吗？,君にできるか？この命令は本当に存在するのか？,チェン,True
character,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#5,1,,,,,,,,17,,,,False
name,嘁......别这么叫我。,,,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,18,嘁......别这么叫我。,ちっ......そう呼ばないでください。,スワイヤ,True
character,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#4,2,,,,,,,,19,,,,False
name,如果不能，就请你去完成自己的任务，现在接下这个烫手山芋对你没有好处，“诗小姐”。,,,,,,,,,,,,,,,,陈,,,,,,,,,,20,如果不能，就请你去完成自己的任务，现在接下这个烫手山芋对你没有好处，“诗小姐”。,できないなら、自分の任務を果たしてくれ。今この厄介な問題を引き受けても君にとって得はない、“スウさん”。,チェン,True
character,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#4,1,,,,,,,,21,,,,False
name,*龙门粗口*，说过多少次了，我不姓施！听好，我的代号是诗怀雅，或者叫我碧翠克斯·施怀雅警官，懂吗？,,,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,22,*龙门粗口*，说过多少次了，我不姓施！听好，我的代号是诗怀雅，或者叫我碧翠克斯·施怀雅警官，懂吗？,*龍門の罵り言葉*、何度も言ったでしょう、私はシュじゃない！よく聞いてください、私のコードネームはスワイヤ、もしくはビクトリクス・スワイヤ警官と呼んでください、分かりましたか？,スワイヤ,True
character,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#4,2,,,,,,,,23,,,,False
name,你那套规矩关我*龙门粗口*，你这代号和姓氏，普通人听了有谁知道区别。,,,,,,,,,,,,,,,,陈,,,,,,,,,,24,你那套规矩关我*龙门粗口*，你这代号和姓氏，普通人听了有谁知道区别。,君のそのこだわりなんて私にとっては*龍門の罵り言葉*だ。君のコードネームと姓なんて一般人に聞かせて誰が区別できるんだ。,チェン,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,25,,,,False
name,哎。,,,,,,,,,,,,,,,,星熊,,,,,,,,,,26,哎。,あぁ。,ホシグマ,True
character,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#4,2,,,,,,,,27,,,,False
name,现在的我既没时间也没这个心情。请你让开点，自己去找点事做，乖。,,,,,,,,,,,,,,,,陈,,,,,,,,,,28,现在的我既没时间也没这个心情。请你让开点，自己去找点事做，乖。,今の私は時間も余裕もない。ちょっとどいて、自分の仕事でもしててくれ、いい子だ。,チェン,True
character,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#4,1,,,,,,,,29,,,,False
name,姓陈的......你可真是*龙门粗口*。,,,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,30,姓陈的......你可真是*龙门粗口*。,チェン......あなたって本当に*龍門の罵り言葉*です。,スワイヤ,True
character,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#4,2,,,,,,,,31,,,,False
name,祝你*龙门粗口*富贵。,,,,,,,,,,,,,,,,陈,,,,,,,,,,32,祝你*龙门粗口*富贵。,君の*龍門の罵り言葉*な繁栄を祈るよ。,チェン,True
character,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#4,1,,,,,,,,33,,,,False
name,我走了，星熊。劝你管住这条疯龙，她死在哪里和我可是一点关系都没有。,,,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,34,我走了，星熊。劝你管住这条疯龙，她死在哪里和我可是一点关系都没有。,私は行きますよ、ホシグマ。この狂ったドラゴン、ちゃんと見張っていてください。あの人がどこで死のうと私には関係ありません。,スワイヤ,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_308_swire_1#5,1,,,,,,,,35,,,,False
name,嗨，抱歉，“小姐”。你们的脾气其实都真够差的。不管她怎么说，刚才的援助还是谢谢你了。,,,,,,,,,,,,,,,,星熊,,,,,,,,,,36,嗨，抱歉，“小姐”。你们的脾气其实都真够差的。不管她怎么说，刚才的援助还是谢谢你了。,ああ、すみません、“お嬢さん”。君たち本当に気が荒いね。彼女が何と言おうと、さっきの支援はありがとう。,ホシグマ,True
character,,,,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,,,,37,,,,False
name,下次不会了，我要看着她血流不止。,,,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,38,下次不会了，我要看着她血流不止。,次はないですよ、私は彼女が血を流し続けるのを見届けたいです。,スワイヤ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,False
character,,,,,,,,,true,,,,,,1,,,,,,,,,,,,41,,,,False
blocker,,,,,1,0,0,0,true,,,,,,1.5,,,,,,,,,,,,42,,,,False
playsound,,$d_gen_dooropen,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,False
blocker,,,,,0,,,,true,,,,,,1.5,,,,,,,,,,,,44,,,,False
delay,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,False
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,46,,,,False
name,她的背怎么了？像是新伤。,,,,,,,,,,,,,,,,陈,,,,,,,,,,47,她的背怎么了？像是新伤。,彼女の背中、どうした？新しい傷のようだ。,チェン,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,48,,,,False
name,她夹着你冲进了掩体，整合运动术师的法术在她背后三米的墙上炸开了花。,,,,,,,,,,,,,,,,星熊,,,,,,,,,,49,她夹着你冲进了掩体，整合运动术师的法术在她背后三米的墙上炸开了花。,君を抱えて遮蔽物に飛び込んだんだ。レユニオン術師の術が彼女の背中三メートル後ろの壁で炸裂したよ。,ホシグマ,True
name,偶尔也对她好点，没必要什么时候都互相针对成这个样子。,,,,,,,,,,,,,,,,星熊,,,,,,,,,,50,偶尔也对她好点，没必要什么时候都互相针对成这个样子。,たまには彼女にも優しくしてやれよ。いつもこうやってお互いを敵視しなくてもいいだろう。,ホシグマ,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,51,,,,False
name,......我知道。,,,,,,,,,,,,,,,,陈,,,,,,,,,,52,......我知道。,……分かっている。,チェン,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,False
,敲门声,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,False
name,我可以进来吗，龙门的陈长官？,,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,56,我可以进来吗，龙门的陈长官？,入ってもいいですか、龍門のチェン長官？,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,57,,,,False
name,进来吧。她不介意。不好意思，让你久等了。,,,,,,,,,,,,,,,,星熊,,,,,,,,,,58,进来吧。她不介意。不好意思，让你久等了。,どうぞ。彼女は気にしないさ。待たせてすまなかったな。,ホシグマ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,False
character,,,,,,,,,true,,,,,,1,,avg_npc_012,,,,,,,,,,62,,,,False
delay,,,,,,,,,,,,,,,,,,,,1,,,,,,,63,,,,False
name,没有的事，不用见外。,,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,64,没有的事，不用见外。,そんなことありません、気になさらないでください。,ロドスオペレーター,True
name,您好，陈长官。嗯......现在方便和罗德岛这边磋商一下任务内容吗？,,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,65,您好，陈长官。嗯......现在方便和罗德岛这边磋商一下任务内容吗？,こんにちは、チェン長官。ええと……今ロドスと作戦内容について打ち合わせてもよろしいですか？,ロドスオペレーター,True
