command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,image,fadetime,screenadapt,time,name,name2,focus,a,r,g,b,block,widgetID,style,fadestyle,offsetx,width,index,text,jp_text,jp_name,text_match
header,第二关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,0,,,,False
playmusic,,$newhope01_loop,,,$newhope01_intro,0.6,1.5,0.5,,,,,,,,,,,,,,,,,,1,,,,False
background,,,,,,,,,bg_uptown_1,1,coverall,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,1,,,char_010_chen_1#1,avg_npc_012,2,,,,,,,,,,,4,,,,False
delay,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,False
name,在和他们正面冲突之前，我也没想到整合运动竟然会这么脆弱。,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,6,在和他们正面冲突之前，我也没想到整合运动竟然会这么脆弱。,彼らと正面から衝突するまでは、整合運動がこんなにも脆弱だとは思いませんでした。,ロドスオペレーター,True
name,本以为他们给切城和其他小队造成了那么大麻烦，一定是非常强大的军事力量。,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,7,本以为他们给切城和其他小队造成了那么大麻烦，一定是非常强大的军事力量。,彼らがチェンチェンや他の小隊にあれほどの問題を引き起こしたので、非常に強力な軍事力だと思っていました。,ロドスオペレーター,True
name,现在看来，任务简报上的资料没什么大问题，整合运动的实力确实也就那样。对整合运动阴谋的了解不足才是任务的难点。,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,8,现在看来，任务简报上的资料没什么大问题，整合运动的实力确实也就那样。对整合运动阴谋的了解不足才是任务的难点。,今思えば、任務ブリーフィングの資料には大きな問題はなく、実際整合運動の実力もその程度でした。整合運動の陰謀についての理解不足こそが、任務の難しいところですね。,ロドスオペレーター,True
character,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,1,,,,,,,,,,,9,,,,False
name,不要大意。整合运动的最大优势，本就在于出乎所有人的意料。,,,,,,,,,,,,陈,,,,,,,,,,,,,10,不要大意。整合运动的最大优势，本就在于出乎所有人的意料。,油断しないでください。整合運動の最大の強みは、誰の予想も超えていることです。,チェン,True
name,渗透、突然袭击、动用特殊力量攻坚，都是他们的常用手段。我们并不清楚他们隐藏了什么。,,,,,,,,,,,,陈,,,,,,,,,,,,,11,渗透、突然袭击、动用特殊力量攻坚，都是他们的常用手段。我们并不清楚他们隐藏了什么。,潜入、奇襲、特殊な力を使った強行突破、これらは全て彼らの常套手段です。私たちは彼らが何を隠しているのか知りません。,チェン,True
character,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,2,,,,,,,,,,,12,,,,False
name,我明白，毕竟这么强盛的龙门和那么庞大的切尔诺伯格，都已经遭到了整合运动的侵袭。也许他们的数量真的超乎想象吧。,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,13,我明白，毕竟这么强盛的龙门和那么庞大的切尔诺伯格，都已经遭到了整合运动的侵袭。也许他们的数量真的超乎想象吧。,わかっています。何しろあれほど強大な龍門や巨大なチェルノボーグでさえ、整合運動に襲われたのですから。もしかしたら彼らの数は本当に想像以上なのかもしれません。,ロドスオペレーター,True
name,不过，陈长官，之前的任务中，阿米娅是和近卫局一同行动的，你们不是一起去侦查切城废城了吗，阿米娅他们怎么还没归队？,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,14,不过，陈长官，之前的任务中，阿米娅是和近卫局一同行动的，你们不是一起去侦查切城废城了吗，阿米娅他们怎么还没归队？,でも、チェン長官、以前の任務ではアーミヤは近衛局と一緒に行動していましたよね。一緒にチェンチェンの廃墟都市を偵察に行ったのに、どうしてアーミヤたちはまだ部隊に戻っていないのですか？,ロドスオペレーター,True
character,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,1,,,,,,,,,,,15,,,,False
name,......抱歉。,,,,,,,,,,,,陈,,,,,,,,,,,,,16,......抱歉。,……ごめんなさい。,チェン,True
character,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,,,,17,,,,False
name,（老陈......）,,,,,,,,,,,,星熊,,,,,,,,,,,,,18,（老陈......）,（チェン……）,ホシグマ,True
character,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,1,,,,,,,,,,,19,,,,False
name,我们与阿米娅的小队失散了。我们没法跟他们汇合，情况紧急，我们只能先行离开。,,,,,,,,,,,,陈,,,,,,,,,,,,,20,我们与阿米娅的小队失散了。我们没法跟他们汇合，情况紧急，我们只能先行离开。,私たちはアーミヤたちの小隊とはぐれてしまいました。合流できず、緊急事態だったため、先に撤退するしかありませんでした。,チェン,True
character,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,2,,,,,,,,,,,21,,,,False
name,你的意思是，你们近卫局把阿米娅和博士就这样留在了废城？,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,22,你的意思是，你们近卫局把阿米娅和博士就这样留在了废城？,つまり、あなたたち近衛局はアーミヤとドクターをそのまま廃墟都市に置いてきたということですか？,ロドスオペレーター,True
character,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,1,,,,,,,,,,,23,,,,False
name,是。,,,,,,,,,,,,陈,,,,,,,,,,,,,24,是。,はい。,チェン,True
character,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,2,,,,,,,,,,,25,,,,False
name,也就是说他们现在生死不明？,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,26,也就是说他们现在生死不明？,つまり、彼らの生死は今は不明なのですか？,ロドスオペレーター,True
name,不，陈长官......,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,27,不，陈长官......,違います、チェン長官……,ロドスオペレーター,True
name,不。即使你们是龙门近卫局也不能这样做。即使是龙门近卫局，也不应该、更不能抛弃合作伙伴。,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,28,不。即使你们是龙门近卫局也不能这样做。即使是龙门近卫局，也不应该、更不能抛弃合作伙伴。,いいえ。たとえ龍門近衛局であっても、こんなことは許されません。龍門近衛局であっても、協力者を見捨てるべきではありませんし、決してあってはなりません。,ロドスオペレーター,True
character,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,1,,,,,,,,,,,29,,,,False
name,这是我的失职。我的任务是优先维护龙门的安全，作出了这个判断的是我。,,,,,,,,,,,,陈,,,,,,,,,,,,,30,这是我的失职。我的任务是优先维护龙门的安全，作出了这个判断的是我。,これは私の職務怠慢です。私の任務は龍門の安全を優先することであり、この判断を下したのは私です。,チェン,True
character,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,2,,,,,,,,,,,31,,,,False
name,知道负责人又能怎样......不用再说下去了，龙门的警官，这件事已经没什么好说的了。,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,32,知道负责人又能怎样......不用再说下去了，龙门的警官，这件事已经没什么好说的了。,責任者が誰か知っても……これ以上言うことはありません、龍門の警官さん、この件についてはもう語るべきことはありません。,ロドスオペレーター,True
name,也是。是啊，我其实很清楚你们对感染者的态度。,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,33,也是。是啊，我其实很清楚你们对感染者的态度。,そうですね。実は私は、あなたたちが感染者にどう対応しているかよく知っています。,ロドスオペレーター,True
character,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,1,,,,,,,,,,,34,,,,False
name,我不是这个意思——,,,,,,,,,,,,陈,,,,,,,,,,,,,35,我不是这个意思——,私の意図はそうではありません――,チェン,True
character,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,2,,,,,,,,,,,36,,,,False
name,你需要多少干员？会有干员愿意协助你的，尽管我不会。,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,37,你需要多少干员？会有干员愿意协助你的，尽管我不会。,何人のオペレーターが必要ですか？あなたを手伝いたい者はいるでしょう、私は協力しませんが。,ロドスオペレーター,True
name,我们也有任务。帮助龙门战胜整合运动同样也是我们的任务。,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,38,我们也有任务。帮助龙门战胜整合运动同样也是我们的任务。,私たちにも任務があります。龍門が整合運動に勝利する手助けをすることも私たちの任務です。,ロドスオペレーター,True
name,只不过我会和罗德岛的小队自己去做。记好我们的识别码，长官。请不要误伤合作伙伴，哪怕他们是感染者。,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,39,只不过我会和罗德岛的小队自己去做。记好我们的识别码，长官。请不要误伤合作伙伴，哪怕他们是感染者。,ですが、私はロドスの小隊と一緒に動きます。私たちの識別コードを覚えておいてください、長官。たとえ感染者であっても、味方を誤射しないようにお願いします。,ロドスオペレーター,True
character,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,1,,,,,,,,,,,40,,,,False
name,......我知道了。,,,,,,,,,,,,陈,,,,,,,,,,,,,41,......我知道了。,……わかりました。,チェン,True
name,如果有愿意和近卫局一起行动的，可以向我报到。,,,,,,,,,,,,陈,,,,,,,,,,,,,42,如果有愿意和近卫局一起行动的，可以向我报到。,近衛局と共に行動したい者がいれば、私に報告してください。,チェン,True
name,——不必勉强自己。,,,,,,,,,,,,陈,,,,,,,,,,,,,43,——不必勉强自己。,――無理をする必要はありません。,チェン,True
blocker,,,,,,,,,,2,,,,,,1,0,0,0,true,,,,,,44,,,,False
delay,,,,,,,,,,,,0.3,,,,,,,,,,,,,,45,,,,False
