command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,time,name,fadetime,block,a,r,g,b,screenadapt,image,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,index,text,jp_text,jp_name,text_match
header,第三关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
playmusic,,$darkness01_loop,,,$darkness01_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
delay,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
character,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
name,为什么都跑了！,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,4,为什么都跑了！,なんでみんな逃げたんだ！,レユニオンメンバー,True
name,用法术攻击她啊！为什么要逃跑？！,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,5,用法术攻击她啊！为什么要逃跑？！,術で彼女を攻撃しろよ！なんで逃げるんだ？！,レユニオンメンバー,True
name,别，别跑！她，她过来了！拦住她啊？,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,6,别，别跑！她，她过来了！拦住她啊？,や、やめろ、逃げるな！彼女、彼女が来るぞ！止めろよ、誰か？,レユニオンメンバー,True
name,其他人都去哪了？为什么......,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,7,其他人都去哪了？为什么......,他の奴らはどこに行った？どうして……,レユニオンメンバー,True
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,False
character,,,,,,,,,,char_136_hsguma,1,true,,,,,,,,,,,,,,,,,,,,,,,9,,,,False
delay,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,False
name,只剩你了。,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,11,只剩你了。,残っているのはお前だけだ。,星熊,True
character,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,False
name,呃，呃......,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,13,呃，呃......,あ、ああ……,レユニオンメンバー,True
name,鬼......救，救命......,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,14,鬼......救，救命......,鬼だ……たす、助けて……,レユニオンメンバー,True
character,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,False
name,......就这样也想阻拦我？,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,16,......就这样也想阻拦我？,……こんなもので私を止められると思うのか？,星熊,True
character,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,False
name,不，我，不......,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,18,不，我，不......,いや、私は、そんな……,レユニオンメンバー,True
character,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,False
name,就这样——也想阻拦我？,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,20,就这样——也想阻拦我？,こんなことで——私を止められると思うのか？,星熊,True
character,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,False
name,饶了我，饶了我吧！,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,22,饶了我，饶了我吧！,許してくれ、頼む！,レユニオンメンバー,True
character,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,False
name,你不配被这面般若享用。,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,24,你不配被这面般若享用。,お前はこの般若に値しない。,星熊,True
character,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,False
name,咿，咿咿咿咿！！,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,26,咿，咿咿咿咿！！,ひ、ひぃぃぃぃ！！,レユニオンメンバー,True
blocker,,,,,,,,,,,2,true,1,0,0,0,,,,,,,,,,,,,,,,,,,27,,,,False
delay,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,False
background,,,,,,,,,,,,,,,,,coverall,bg_uptown_2,,,,,,,,,,,,,,,,,29,,,,False
blocker,,,,,,,,,,,2,true,0,,,,,,,,,,,,,,,,,,,,,,30,,,,False
character,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,False
name,丢，我们甚至还没来得及发动攻击。,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,32,丢，我们甚至还没来得及发动攻击。,くそ、俺たちまだ攻撃する暇もなかったな。,近衛局メンバー,True
name,一个人，两分半钟，她根本是一个人解决了所有整合运动。,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,33,一个人，两分半钟，她根本是一个人解决了所有整合运动。,一人で、たったの二分半で、彼女は全部のレユニオンを片付けてしまった。,近衛局メンバー,True
name,真是条恶鬼。,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,34,真是条恶鬼。,まさに鬼だな。,近衛局メンバー,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,char_015_lmg,1,,,,,,,,,,,,,,,35,,,,False
name,庆幸你没在五年前遇见她吧。我也很久没见她这样了。,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,36,庆幸你没在五年前遇见她吧。我也很久没见她这样了。,五年前に彼女に会わなかったことを幸運だと思うべきだ。私もこんな彼女は久しぶりに見た。,チェン,True
name,其他逃窜的整合运动呢？,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,37,其他逃窜的整合运动呢？,他の逃げたレユニオンは？,チェン,True
character,,,,,,,,,,char_010_chen_1#1,,,,,,,,,char_015_lmg,2,,,,,,,,,,,,,,,38,,,,False
name,已被各小队分头抓获。,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,39,已被各小队分头抓获。,各小隊がすでに捕らえました。,近衛局メンバー,True
