command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,block,focus,a,r,g,b,afrom,rfrom,gfrom,bfrom,duration,xstrength,ystrength,vibrato,randomness,fadeout,index,text,jp_text,jp_name,text_match
header,第四关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,coverall,bg_uptown_2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$mist_loop,,,,,,,,$mist_loop,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,1,,,,,,char_136_hsguma,char_010_chen_1#1,true,2,,,,,,,,,,,,,,,4,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,5,,,,False
name,星熊？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,6,星熊？,ホシグマ？,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,,1,,,,,,,,,,,,,,,7,,,,False
name,啊？,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,8,啊？,ん？,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,,2,,,,,,,,,,,,,,,9,,,,False
name,你脸色不大好。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,10,你脸色不大好。,顔色があまり良くないな。,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,,1,,,,,,,,,,,,,,,11,,,,False
name,我没事，只是在想事情。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,12,我没事，只是在想事情。,私は大丈夫。ただ考え事をしていただけだ。,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,,2,,,,,,,,,,,,,,,13,,,,False
name,......我没想到他会被卷进来。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,14,......我没想到他会被卷进来。,……彼が巻き込まれるとは思わなかった。,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,,1,,,,,,,,,,,,,,,15,,,,False
name,没事，你知道我的。过去的都过去了，用龙门话来说，这是命。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,16,没事，你知道我的。过去的都过去了，用龙门话来说，这是命。,大丈夫、私のことはわかってるだろ。過去は過去だ。龍門風に言えば、これも運命さ。,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,,2,,,,,,,,,,,,,,,17,,,,False
name,东国人也会信这个？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,18,东国人也会信这个？,東国の人もそんなこと信じるのか？,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,,1,,,,,,,,,,,,,,,19,,,,False
name,经历这么了这么多事，即使我不信，现在也已经认了。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,20,经历这么了这么多事，即使我不信，现在也已经认了。,これだけ色々経験すると、信じていなくても、もう受け入れるしかない。,ホシグマ,True
name,线报没问题吧？,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,21,线报没问题吧？,情報に問題はないよな？,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,,2,,,,,,,,,,,,,,,22,,,,False
name,准确无误。这里就是线报记载的位置了。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,23,准确无误。这里就是线报记载的位置了。,間違いない。ここが情報に記されていた場所だ。,チェン,True
blocker,,,,,,,,,1,,,,,,,,true,,1,0,0,0,,,,,,,,,,,24,,,,False
blocker,,,,,,,,,1,,,,,,,,true,,0.3,,,,,,,,,,,,,,25,,,,False
character,,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,,26,,,,False
delay,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,27,,,,False
blocker,,,,,,,,,1,,,,,,,,true,,1,0,0,0,,,,,,,,,,,28,,,,False
blocker,,,,,,,,,1,,,,,,,,true,,0,,,,,,,,,,,,,,29,,,,False
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,,1,,,,,,,,,,,,,,,30,,,,False
name,我们的目标，是那些鬼鬼祟祟的整合运动吗？,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,31,我们的目标，是那些鬼鬼祟祟的整合运动吗？,私たちの目標は、あのこそこそしている整合運動か？,ホシグマ,True
name,看来他们没发现我们，还不知道近卫局已经把他们彻底包围了。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,32,看来他们没发现我们，还不知道近卫局已经把他们彻底包围了。,どうやら奴らは私たちに気づいていない。衛兵局に完全に包囲されていることも知らないようだ。,ホシグマ,True
name,似乎在围绕着整座街区搭建着什么的样子。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,33,似乎在围绕着整座街区搭建着什么的样子。,街全体を囲むように何かを作っているみたいだな。,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,2,,,,,,,,,,,,,,,34,,,,False
name,不出意外的话，这里是连接着整合运动各个据点的中心枢纽之一。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,35,不出意外的话，这里是连接着整合运动各个据点的中心枢纽之一。,特に問題がなければ、ここは整合運動の各拠点を結ぶ中枢の一つだ。,チェン,True
name,我们摧毁这里的通讯收发设施，可以狠狠地打击整个区域内的敌人。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,36,我们摧毁这里的通讯收发设施，可以狠狠地打击整个区域内的敌人。,ここの通信施設を破壊すれば、このエリア全体の敵に大きな打撃を与えられる。,チェン,True
name,这能增添我们最后反攻近卫局大楼的胜算。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,37,这能增添我们最后反攻近卫局大楼的胜算。,これで近衛局本部への最後の反撃の勝算が高まる。,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,1,,,,,,,,,,,,,,,38,,,,False
name,都听你的。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,39,都听你的。,全部あなたに従うよ。,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,2,,,,,,,,,,,,,,,40,,,,False
name,而且，我也很在意情报线索的细节内容。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,41,而且，我也很在意情报线索的细节内容。,それに、情報の細かい内容も気になる。,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,1,,,,,,,,,,,,,,,42,,,,False
name,你是说，整合运动在这儿活动，可不单单是想建个还算牢靠的据点，是吧？,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,43,你是说，整合运动在这儿活动，可不单单是想建个还算牢靠的据点，是吧？,つまり、整合運動の目的はここで拠点を作るだけじゃないってことだろ？,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,2,,,,,,,,,,,,,,,44,,,,False
name,你猜对了。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,45,你猜对了。,その通りだ。,チェン,True
name,“敌人正秘密寻找高价值目标，需优先确认其行动。”,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,46,“敌人正秘密寻找高价值目标，需优先确认其行动。”,「敵は秘密裏に高価値目標を探している、最優先でその行動を確認せよ。」,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,1,,,,,,,,,,,,,,,47,,,,False
name,他们在富人区干些什么？这能有什么高价值目标？,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,48,他们在富人区干些什么？这能有什么高价值目标？,奴らが富裕層のエリアで何をしてる？そんなに高価値な目標があるのか？,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,2,,,,,,,,,,,,,,,49,,,,False
name,我也觉得有问题。按照之前的计划，这条街道上的任何建筑都应当空无一人。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,50,我也觉得有问题。按照之前的计划，这条街道上的任何建筑都应当空无一人。,私もおかしいと思う。計画では、この通りの建物には誰もいないはずだ。,チェン,True
name,如果整合运动是在预谋绑架谁，那他们可能没机会抓住这位幸运市民了。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,51,如果整合运动是在预谋绑架谁，那他们可能没机会抓住这位幸运市民了。,もし整合運動が誰かを誘拐するつもりなら、きっとその市民を捕まえるチャンスはもうないだろう。,チェン,True
