command,text_orig,key,is_skippable,fit_mode,image,width,height,screenadapt,fadetime,intro,volume,crossfade,delay,time,name,block,name2,focus,a,r,g,b,afrom,rfrom,gfrom,bfrom,duration,xstrength,ystrength,vibrato,randomness,fadeout,widgetID,style,fadestyle,offsetx,index,text,jp_text,jp_name,text_match
header,第五关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_emporium,1,1,coverall,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$mist_loop,,,,,,,,$mist_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,False
character,,,,,,,,,1,,,,,,char_1011_wizard_1,true,,,,,,,,,,,,,,,,,,,,,5,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,,,,False
name,不对劲。,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,,,,,,,,,,,,7,不对劲。,おかしい。,整合運動術師,True
character,,,,,,,,,,,,,,,char_1011_wizard_1,,char_1002_nsabr_1,2,,,,,,,,,,,,,,,,,,,8,,,,False
name,你又要干什么，病发了吗？,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,9,你又要干什么，病发了吗？,また何をしようとしているんだ、また発作か？,整合運動メンバー,True
character,,,,,,,,,,,,,,,char_1011_wizard_1,,char_1002_nsabr_1,1,,,,,,,,,,,,,,,,,,,10,,,,False
name,这和切尔诺伯格完全不一样。,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,,,,,,,,,,,,11,这和切尔诺伯格完全不一样。,これはチェルノボーグとは全く違う。,整合運動術師,True
name,虽然我们损失不小，但我们战胜切尔诺伯格人的过程中，也看到了那些敌人的挣扎，还有那些帮凶逃窜的样子。,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,,,,,,,,,,,,12,虽然我们损失不小，但我们战胜切尔诺伯格人的过程中，也看到了那些敌人的挣扎，还有那些帮凶逃窜的样子。,私たちは大きな損失を被ったが、チェルノボーグの連中を倒す過程で敵のあがきや、協力者たちが逃げ惑う姿も見た。,整合運動術師,True
character,,,,,,,,,,,,,,,char_1011_wizard_1,,char_1002_nsabr_1,2,,,,,,,,,,,,,,,,,,,13,,,,False
name,这龙门却像座空城？,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,14,这龙门却像座空城？,この龍門はまるで空城みたいじゃないか？,整合運動メンバー,True
character,,,,,,,,,,,,,,,char_1011_wizard_1,,char_1002_nsabr_1,1,,,,,,,,,,,,,,,,,,,15,,,,False
name,难道不是吗？,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,,,,,,,,,,,,16,难道不是吗？,そうじゃないのか？,整合運動術師,True
name,大古广场，这么大的大楼，这么多的商铺，却一个人都没有啊。,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,,,,,,,,,,,,17,大古广场，这么大的大楼，这么多的商铺，却一个人都没有啊。,大古広場、こんなに大きなビル、こんなに多くの商店があるのに、誰一人いないじゃないか。,整合運動術師,True
name,而且我逛了一圈，昂贵的商品都只剩下标牌了！都被拿走了！,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,,,,,,,,,,,,18,而且我逛了一圈，昂贵的商品都只剩下标牌了！都被拿走了！,しかも一回りしてみたら、高価な商品は値札だけが残ってて、全部持っていかれてるんだ！,整合運動術師,True
character,,,,,,,,,,,,,,,char_1011_wizard_1,,char_1002_nsabr_1,2,,,,,,,,,,,,,,,,,,,19,,,,False
name,爱国者不是说过，不允许......,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,20,爱国者不是说过，不允许......,パトリオットが言ってたよな、許されないって......,整合運動メンバー,True
character,,,,,,,,,,,,,,,char_1011_wizard_1,,char_1002_nsabr_1,1,,,,,,,,,,,,,,,,,,,21,,,,False
name,我不是那个意思。你知道，梅菲斯特随便我们干什么，但这不重要。,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,,,,,,,,,,,,22,我不是那个意思。你知道，梅菲斯特随便我们干什么，但这不重要。,そういう意味じゃない。知ってるだろ、メフィストは私たちに好きにさせてるけど、それは重要じゃない。,整合運動術師,True
name,我是说，好像有人提前把这些东西收起来了。,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,,,,,,,,,,,,23,我是说，好像有人提前把这些东西收起来了。,私が言いたいのは、誰かが事前にこれらの物を片付けていたようだってことだ。,整合運動術師,True
character,,,,,,,,,,,,,,,char_1011_wizard_1,,char_1002_nsabr_1,2,,,,,,,,,,,,,,,,,,,24,,,,False
name,你又在瞎想了。龙门束手无策！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,25,你又在瞎想了。龙门束手无策！,また妄想してるな。龍門は完全にお手上げだ！,整合運動メンバー,True
