command,text_orig,key,is_skippable,fit_mode,a,r,g,b,fadetime,block,image,width,height,screenadapt,intro,volume,crossfade,delay,time,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,xScale,yScale,xScaleTo,yScaleTo,index,text,jp_text,jp_name,text_match
header,第六关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
blocker,,,,,0.6,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
background,,,,,,,,,2,,bg_emporium,1,1,coverall,,,,,,,,,,,,,,,,,,,2,,,,False
playmusic,,$darkness01_loop,,,,,,,,,,,,,$darkness01_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,3,,,,False
delay,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,,,,False
character,,,,,,,,,2,true,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,5,,,,False
delay,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,6,,,,False
name,唔......,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,7,唔......,う……,チェン,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,,,,8,,,,False
name,这是你今天第三次睡醒，早安老陈。,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,9,这是你今天第三次睡醒，早安老陈。,今日はこれで三度目の目覚めだぞ、おはよう、チェン。,ホシグマ,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,,,,10,,,,False
name,我昏迷了多久？,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,11,我昏迷了多久？,どれくらい気を失ってた？,チェン,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,,,,12,,,,False
name,十几秒。,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,13,十几秒。,十数秒だ。,ホシグマ,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,,,,14,,,,False
name,——星熊，让开。我来切碎积石。,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,15,——星熊，让开。我来切碎积石。,——ホシグマ、どいてくれ。私が瓦礫を切り裂く。,チェン,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,,,,16,,,,False
name,不好意思，我不能让。让这么一下，你我可能就都没了。我不要紧。,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,17,不好意思，我不能让。让这么一下，你我可能就都没了。我不要紧。,悪いけど、退けないよ。ここでどいたら、私たち二人ともダメになるかもしれない。私は平気だ。,ホシグマ,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,,,,18,,,,False
name,你的胳膊。,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,19,你的胳膊。,君の腕が……,チェン,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,,,,20,,,,False
name,不要紧。,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,21,不要紧。,大丈夫だ。,ホシグマ,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,,,,22,,,,False
name,......你撑不了多久！至少有两层楼的废墟压在你的盾上！,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,23,......你撑不了多久！至少有两层楼的废墟压在你的盾上！,……長くは持たないぞ！君の盾には少なくとも二階分の瓦礫が押し付けられてる！,チェン,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,,,,24,,,,False
name,我不用撑多久。现在你醒了就好办了，蹲下，你要随时准备好冲出去。,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,25,我不用撑多久。现在你醒了就好办了，蹲下，你要随时准备好冲出去。,長く持ち堪える必要はない。今君が目を覚ました、それで十分だ。しゃがめ、いつでも飛び出せるようにしておけ。,ホシグマ,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,,,,26,,,,False
name,——,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,27,——,——,チェン,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,,,,28,,,,False
name,无论有多重——,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,29,无论有多重——,どれだけ重くても——,ホシグマ,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,30,,,,False
camerashake,,,,,,,,,,true,,,,,,,,,,,,,1,5,3,30,50,true,,,,,31,,,,False
name,——只要能被我掀开——,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,32,——只要能被我掀开——,——私が持ち上げられるなら——,ホシグマ,True
camerashake,,,,,,,,,,true,,,,,,,,,,,,,1,5,3,30,50,true,,,,,33,,,,False
name,——就也没多重！！啊啊！！,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,34,——就也没多重！！啊啊！！,——重さなんて問題じゃない！！ああっ！！,ホシグマ,True
camerashake,,,,,,,,,,true,,,,,,,,,,,,,2,8,8,30,90,true,,,,,35,,,,False
blocker,,,,,0,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,36,,,,False
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,,,,37,,,,False
name,你......,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,38,你......,君は……,チェン,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,,,,39,,,,False
name,哈，哈......哎，推这么一下，这支胳膊居然就真不行了。,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,40,哈，哈......哎，推这么一下，这支胳膊居然就真不行了。,はぁ、はぁ……はあ、こんなに押しただけで、この腕はもう限界か。,ホシグマ,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,2,,,,,,,,,,,41,,,,False
name,你又救了我一次。,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,42,你又救了我一次。,また助けてくれたな。,チェン,True
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#1,1,,,,,,,,,,,43,,,,False
name,很奇怪吗，我救你的次数还少吗？就别郑重其事地说出来了，我听着不舒服。,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,44,很奇怪吗，我救你的次数还少吗？就别郑重其事地说出来了，我听着不舒服。,変か？助けたのは今回が初めてじゃないぞ。わざわざ言わなくていい、聞いててむず痒い。,ホシグマ,True
name,让我歇一会，我觉得全身骨头都散架了......偶尔也得允许我动弹不得一回吧。,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,45,让我歇一会，我觉得全身骨头都散架了......偶尔也得允许我动弹不得一回吧。,ちょっと休ませてくれ、体中の骨がバラバラになりそうだ……たまには動けなくなるのも許されるだろう。,ホシグマ,True
stopmusic,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,46,,,,False
name,......该死，这都没能干掉近卫局吗！,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,47,......该死，这都没能干掉近卫局吗！,……くそっ、これでも近衛局を倒せなかったのか！,レユニオンメンバー,True
playmusic,,$epic_loop,,,,,,,,,,,,,$epic_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,48,,,,False
character,,,,,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,2,,,,,,,,,,,49,,,,False
name,但敌人不允许。,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,50,但敌人不允许。,だが、敵が許さない。,チェン,True
