command,text_orig,key,is_skippable,fit_mode,image,width,height,screenadapt,fadetime,intro,volume,crossfade,delay,time,name,block,name2,focus,a,r,g,b,widgetID,style,fadestyle,offsetx,xScale,yScale,xScaleTo,yScaleTo,duration,index,text,jp_text,jp_name,text_match
header,第六关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_emporium,1,1,coverall,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$darkness01_loop,,,,,,,,$darkness01_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,False
playsound,,$d_gen_soldiersrun,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,4,,,,False
character,,,,,,,,,1,,,,,,char_010_chen_1#2,true,,,,,,,,,,,,,,,,5,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,6,,,,False
name,医疗队，原大古广场南侧12出口，伤者一名，身份是近卫局高级督察，动作快。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,7,医疗队，原大古广场南侧12出口，伤者一名，身份是近卫局高级督察，动作快。,医療チーム、元ダグ広場南側12番出口に、負傷者一名。身分は近衛局の上級監察官、急いで。,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,,char_010_chen_1#1,2,,,,,,,,,,,,,,8,,,,False
name,止血了没？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,9,止血了没？,止血できたか？,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,,char_010_chen_1#1,1,,,,,,,,,,,,,,10,,,,False
name,你还不清楚我吗。伤口已经好了，但挥盾的话，短时间里还有点问题。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,11,你还不清楚我吗。伤口已经好了，但挥盾的话，短时间里还有点问题。,私のこと、まだ分かってない？傷はもう治ったけど、盾を振るにはしばらく問題がある。,ホシグマ,True
name,近卫局的伙计们，他们都没事吧？,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,12,近卫局的伙计们，他们都没事吧？,近衛局のみんな、大丈夫だよね？,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,,char_010_chen_1#1,2,,,,,,,,,,,,,,13,,,,False
name,只有我们两个掉下了楼。不幸中的万幸。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,14,只有我们两个掉下了楼。不幸中的万幸。,落ちたのは私たち二人だけ。まだ不幸中の幸いだ。,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,,char_010_chen_1#1,1,,,,,,,,,,,,,,15,,,,False
