command,text_orig,key,is_skippable,fit_mode,image,width,height,screenadapt,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,xScale,yScale,duration,xstrength,ystrength,vibrato,randomness,fadeout,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,afrom,rfrom,gfrom,bfrom,index,text,jp_text,jp_name,text_match
header,第六关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_rooftop,1,1,coverall,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$escape_loop,,,,,,,,$escape_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,,char_1507_Mephisto_1#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,False
name,咳......咳。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,咳......咳。,ゴホ……ゴホ。,メフィスト,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1#2,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,False
name,不堪一击！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,不堪一击！,一撃も耐えられない！,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1#1,2,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,False
name,这么多同胞，居然全都被你击溃了？我确实要重新评价一下你的实力，长官。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,这么多同胞，居然全都被你击溃了？我确实要重新评价一下你的实力，长官。,こんなにも多くの同胞があなたに倒されたのか？あなたの実力を改めて評価しなきゃいけないな、指揮官。,メフィスト,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1#1,1,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,False
name,够了。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,够了。,もう十分だ。,チェン,True
character,,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,False
name,不，不够。浮士德，给她点惊喜。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,不，不够。浮士德，给她点惊喜。,いや、足りない。ファウスト、彼女にサプライズを。,メフィスト,True
character,,,,,,,,,,,,,,,char_1508_Faust_1#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,False
name,明白。,,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,明白。,了解。,ファウスト,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,False
name,——！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,——！,——！,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,False
name,顶楼的，趴下！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,顶楼的，趴下！,屋上の者、伏せろ！,チェン,True
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,False
name,啊！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,啊！,あっ！,近衛局メンバー,True
blocker,,,,,,,,,1,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,22,,,,False
image,,,,,avg_5_shot,,,,0.3,,,,,,,,,,,,,true,1,1,,,,,,,,,,,,,,,,,,,23,,,,False
blocker,,,,,,,,,1,,,,,,,,,0,0,0,0,true,,,,,,,,,,,,,,,,,,,,,24,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,false,,,1,8,6,30,90,true,,,,,,,,,,,,,25,,,,False
blocker,,,,,,,,,0.02,,,,,,,,,0.7,0.95,0.95,0.95,true,,,,,,,,,,,,,,,,,,,,,26,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,False
blocker,,,,,,,,,0.25,,,,,,,,,0,0.95,0.95,0.95,true,,,,,,,,,,,,,,,,,,,,,28,,,,False
delay,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,false,,,1,8,6,30,90,true,,,,,,,,,,,,,30,,,,False
blocker,,,,,,,,,0.02,,,,,,,,,0.7,0.95,0.95,0.95,true,,,,,,,,,,,,,,,,,,,,,31,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,False
blocker,,,,,,,,,0.25,,,,,,,,,0,0.95,0.95,0.95,true,,,,,,,,,,,,,,,,,,,,,33,,,,False
blocker,,,,,,,,,1,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,34,,,,False
image,,,,,,,,,0,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,35,,,,False
blocker,,,,,,,,,1,,,,,,,,,0,0,0,0,true,,,,,,,,,,,,,,,,,,,,,36,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,False
name,整合运动的狙击手......,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,整合运动的狙击手......,レユニオンのスナイパーか......,チェン,True
name,（虽然已经做好了防范措施，但他的火力居然强到这种地步？）,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,（虽然已经做好了防范措施，但他的火力居然强到这种地步？）,（対策はしているはずなのに、まさかここまで火力があるとは？）,チェン,True
name,这不能救你的命。在他伤到我之前，你就会死。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,这不能救你的命。在他伤到我之前，你就会死。,これではお前の命は救えない。奴が私を傷つける前に、お前は死ぬだろう。,チェン,True
name,......等等。你是之前被近卫局抓获的那个感染者？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,......等等。你是之前被近卫局抓获的那个感染者？,......待て。お前は以前、近衛局に捕まったあの感染者か？,チェン,True
character,,,,,,,,,,,,,,,char_1508_Faust_1#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,False
name,......,,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,......,……,ファウスト,True
character,,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,False
name,你们近卫局也让他受了很多苦吧。虽然这和乌萨斯烙在我们身上的相比，根本不算什么。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,你们近卫局也让他受了很多苦吧。虽然这和乌萨斯烙在我们身上的相比，根本不算什么。,君たち近衛局も彼に多くの苦しみを与えたはずだ。もっとも、ウルサスが我々に与えた苦しみに比べれば大したことないが。,メフィスト,True
