command,text_orig,key,is_skippable,fit_mode,time,image,screenadapt,fadetime,block,intro,volume,crossfade,delay,options,values,references,a,r,g,b,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,duration,name,width,height,xstrength,ystrength,vibrato,randomness,fadeout,name2,focus,xScaleFrom,yScaleFrom,afrom,rfrom,gfrom,bfrom,yT,option_number,index,text,jp_text,jp_name,text_match
header,第一关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
,937年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
,埃里克勋爵与匹斯堡议会大学李尔兰·D教授于城邦史标准论刊（《我们从哪里来？》，44期）发表了合著论文。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
,论文声称，据多具已风化遗骸的鉴定结果。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
,萨尔贡四号填埋窟的考察已得出关键性结论，即感染者的隔离和处决无疑与实在法同源。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,False
,综上所述，感染者受难的历史，自法律出现的时候就已经开始了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,,,,False
delay,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,,False
background,,,,,,bg_undergroud_f,coverall,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,,,,False
playmusic,,$frostnovadie_loop,,,,,,,,$frostnovadie_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,,,,False
,龙门，基础支撑层，出口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,,,,False
decision,霜星！,,,,,,,,,,,,,霜星！,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,霜星！,フロストノヴァ！,,True
predicate,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,,,,False
blocker,,,,,,,,0.6,true,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,,,,False
background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,,,,False
image,,,,,,avg_6_1,,0,,,,,,,,,,,,,0,0,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,0,22,,,,False
blocker,,,,,,,,1,false,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,,,,False
imagetween,,,,,,,,,false,,,,,,,,,,,,,,1.1,1.1,0,0,-30,0,10,,,,,,,,,,,,,,,,,,0,25,,,,False
delay,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,,,,False
blocker,,,,,,,,0.6,true,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,,,,False
image,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,,,,False
blocker,,,,,,,,0.6,true,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,,,,False
blocker,,,,,,,,0.6,true,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,,,,False
background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,,,,False
image,,,,,,avg_6_2,,0,,,,,,,,,,,,,0,0,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,False
blocker,,,,,,,,1,false,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,,,,False
imagetween,,,,,,,,,false,,,,,,,,,,,,,,1.1,1.1,0,0,30,0,10,,,,,,,,,,,,,,,,,,0,36,,,,False
delay,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37,,,,False
name,现在，你们要和我战斗。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,0,38,现在，你们要和我战斗。,今、あなたたちは私と戦うことになります。,フロストノヴァ,True
name,如果你们战胜我，有人能够侥幸活着——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,0,39,如果你们战胜我，有人能够侥幸活着——,もしあなたたちが私に勝てば、誰かが運よく生き残れるでしょう——,フロストノヴァ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,,,,False
blocker,,,,,,,,1,true,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,,,,False
image,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,,,,False
blocker,,,,,,,,1,true,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,,,,False
name,我愿意加入罗德岛，依你们的想法去对抗感染者共同的敌人。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,0,44,我愿意加入罗德岛，依你们的想法去对抗感染者共同的敌人。,私はロドスに加わり、あなたたちの考えに従って感染者共通の敵と戦います。,フロストノヴァ,True
name,这是我必须承担的责任。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,0,45,这是我必须承担的责任。,これは私が背負うべき責任です。,フロストノヴァ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,,,,False
stopmusic,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47,,,,False
blocker,,,,,,,,3,true,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,48,,,,False
,8:50AM  龙门夺回近卫局大楼4小时后 近铜钟出口处,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,49,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,,,,False
