command,text_orig,key,is_skippable,fit_mode,a,r,g,b,fadetime,block,image,screenadapt,intro,volume,crossfade,delay,time,name,duration,xstrength,ystrength,vibrato,randomness,fadeout,name2,focus,options,values,references,x,y,xScale,yScale,width,height,option_number,index,text,jp_text,jp_name,text_match
header,第一关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
blocker,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
background,,,,,,,,,,,bg_building_3,coverall,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
playmusic,,$darkness02_loop,,,,,,,,,,,$darkness02_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,0,3,,,,False
blocker,,,,,0,,,,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
delay,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,5,,,,False
character,,,,,,,,,,,,,,,,,,char_017_homura_3#4,,,,,,,,,,,,,,,,,,0,6,,,,False
name,哈......,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,7,哈......,はぁ……,コウ,True
name,还好在废城好好准备运动了一下。你们这点人连饭渣都算不上，别说小菜了。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,8,还好在废城好好准备运动了一下。你们这点人连饭渣都算不上，别说小菜了。,廃墟でちゃんと体を動かしておいてよかった。お前たちなんか、食べかすにもならないよ。小皿でもないさ。,コウ,True
character,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,,0,9,,,,False
camerashake,,,,,,,,,,false,,,,,,,,,0.5,8,6,30,90,true,,,,,,,,,,,,0,10,,,,False
name,你！罗德岛这种感染者的败类，就这样帮着龙门坑害同胞？！,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,11,你！罗德岛这种感染者的败类，就这样帮着龙门坑害同胞？！,お前！ロドスの感染者のクズが、こうして龍門に加担して同胞を陥れるのか？！,レユニオンメンバー,True
name,把我们留给龙门是不是就不会脏自己的手？虚伪！感染者的耻辱！,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,12,把我们留给龙门是不是就不会脏自己的手？虚伪！感染者的耻辱！,俺たちを龍門に渡せば自分の手は汚れないつもりか？偽善者！感染者の恥さらしめ！,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,char_017_homura_3#9,,,,,,,char_1002_nsabr_1,1,,,,,,,,,,0,13,,,,False
name,啊？,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,14,啊？,あ？,コウ,True
name,被按在地上揍了两拳还有多余力气放狠话，真行啊。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,15,被按在地上揍了两拳还有多余力气放狠话，真行啊。,地面に押さえつけられて二発殴られても、まだ強がる余力があるんだな。大したもんだ。,コウ,True
name,不过你又搞错了。,,,,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,16,不过你又搞错了。,でも、また勘違いしてるな。,コウ,True
character,,,,,,,,,,,,,,,,,,char_017_homura_3#9,,,,,,,char_1002_nsabr_1,2,,,,,,,,,,0,17,,,,False
camerashake,,,,,,,,,,false,,,,,,,,,0.5,8,6,30,90,true,,,,,,,,,,,,0,18,,,,False
name,唔！,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,19,唔！,うっ！,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,char_017_homura_3#9,,,,,,,char_1002_nsabr_1,1,,,,,,,,,,0,20,,,,False
