command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,block,intro,volume,crossfade,delay,time,name,a,r,g,b,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,options,values,references,option_number,index,text,jp_text,jp_name,text_match
header,第四关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
background,,,,,coverall,bg_indoor_n,1,1,2,true,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
playmusic,,$mist_loop,,,,,,,,,$mist_loop,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,0,3,,,,False
,呜，呜......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
,我肚子好饿！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
,爸爸呢？爸爸去哪里了？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
,没有爸爸不行......我要爸爸！爸爸！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
,爸爸会来带我走的！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
character,,,,,,,,,,,,,,,,char_367_swllow_1,,,,,,,,,,,,,,,,0,9,,,,False
name,......！,,,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,0,10,......！,……！,グレイソー,True
name,儿童？,,,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,0,11,儿童？,子供？,グレイソー,True
playsound,,$d_gen_transmissionget,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,0,12,,,,False
name,通报Blaze-4，Amiya-1小队，在贫民区四街十号建筑的废墟中发现幸存儿童，感染者。,,,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,0,13,通报Blaze-4，Amiya-1小队，在贫民区四街十号建筑的废墟中发现幸存儿童，感染者。,Blaze-4、Amiya-1部隊に連絡。スラムの4番通り10号建物の廃墟で生存している子供、感染者を発見した。,グレイソー,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,,,,False
blocker,,,,,,,,,0.5,true,,,,,,,1,0,0,0,,,,,,,,,,,,0,16,,,,False
blocker,,,,,,,,,0.5,true,,,,,,,0,0,0,0,,,,,,,,,,,,0,17,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,,,False
name,呜，呜......,,,,,,,,,,,,,,,孩童,,,,,,,,,,,,,,,,0,19,呜，呜......,うぅ、うぅ……,子供,True
character,,,,,,,,,,,,,,,,char_367_swllow_1,,,,,,,,,,,,,,,,0,20,,,,False
name,......你好。,,,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,0,21,......你好。,……こんにちは。,グレイソー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,,,,False
name,你，你是谁？,,,,,,,,,,,,,,,孩童,,,,,,,,,,,,,,,,0,23,你，你是谁？,き、君は誰？,子供,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,,,,False
name,你是龙门人？,,,,,,,,,,,,,,,孩童,,,,,,,,,,,,,,,,0,25,你是龙门人？,君は龍門の人？,子供,True
character,,,,,,,,,,,,,,,,char_367_swllow_1,,,,,,,,,,,,,,,,0,26,,,,False
name,......是不会伤害你的人。我乌萨斯话说得不好。我没敌意。,,,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,0,27,......是不会伤害你的人。我乌萨斯话说得不好。我没敌意。,……君を傷つけない人だ。ウルサス語はあまり上手く話せない。敵意はない。,グレイソー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,,,,False
name,你在说什么？,,,,,,,,,,,,,,,孩童,,,,,,,,,,,,,,,,0,29,你在说什么？,何を言ってるの？,子供,True
character,,,,,,,,,,,,,,,,char_367_swllow_1,,,,,,,,,,,,,,,,0,30,,,,False
name,跟我走，这里很乱。,,,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,0,31,跟我走，这里很乱。,私と一緒に来て。ここは危険だ。,グレイソー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,,,,False
name,叔叔说待在这里，不可以动......,,,,,,,,,,,,,,,孩童,,,,,,,,,,,,,,,,0,33,叔叔说待在这里，不可以动......,おじさんがここにいろって言ってた、動いちゃダメだって……,子供,True
character,,,,,,,,,,,,,,,,char_367_swllow_1,,,,,,,,,,,,,,,,0,34,,,,False
name,......但我可以带你去找爸爸。,,,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,0,35,......但我可以带你去找爸爸。,……でも君をお父さんのところに連れて行ける。,グレイソー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,,,,False
name,真的吗？,,,,,,,,,,,,,,,孩童,,,,,,,,,,,,,,,,0,37,真的吗？,本当？,子供,True
character,,,,,,,,,,,,,,,,char_367_swllow_1,,,,,,,,,,,,,,,,0,38,,,,False
name,真的。,,,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,0,39,真的。,本当だ。,グレイソー,True
name,埋伏在我身后的人，出来。,,,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,0,40,埋伏在我身后的人，出来。,私の後ろに隠れている者、出てこい。,グレイソー,True
character,,,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,0,41,,,,False
name,你......,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,0,42,你......,お前……,レユニオン隊員,True
name,你不是那些人。,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,0,43,你不是那些人。,お前はあの人たちじゃない。,レユニオン隊員,True
name,你是......你是罗德岛？,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,0,44,你是......你是罗德岛？,お前は……ロドスか？,レユニオン隊員,True
character,,,,,,,,,,,,,,,,char_367_swllow_1#4,,,,,,,,,,,,,,,,0,45,,,,False
name,孩子，退后点。别过来。,,,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,0,46,孩子，退后点。别过来。,子供、下がれ。近づくな。,グレイソー,True
name,放下武器，束手就擒。,,,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,0,47,放下武器，束手就擒。,武器を捨てて、大人しく投降しろ。,グレイソー,True
character,,,,,,,,,,,,,,,,char_367_swllow_1#4,,,,,char_1002_nsabr_1,2,,,,,,,,,,0,48,,,,False
name,啊？,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,0,49,啊？,あ？,レユニオン隊員,True
name,你不是来帮我们的吗？,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,0,50,你不是来帮我们的吗？,お前は俺たちを助けに来たんじゃないのか？,レユニオン隊員,True
