command,text_orig,name,option_number,option_value,references,image,values,index,text,jp_text,jp_name,text_match
header,第六关（后）,,0,,,,,0,第六关（后）,第六章（後半）,第六章（後半）,True
stopmusic,,,0,,,,,1,,,,True
delay,,,0,,,,,2,,,,True
decision,醒醒！,,1,1,,,1,3,醒醒！,起きて！,起きて！,True
predicate,,,0,,1,,,4,,,,True
name,醒醒！！,？？？,0,,,,,5,醒醒！！,起きて！！,？？？,True
,......？,,0,,,,,6,......？,......？,......？,True
name,醒醒......醒醒！,？？？,0,,,,,7,醒醒......醒醒！,起きて……起きて！,？？？,True
name,过来，亚当！拿温水过来！,？？？,0,,,,,8,过来，亚当！拿温水过来！,こっちに来て、アダム！ぬるま湯を持ってきて！,？？？,True
,爸......,,0,,,,,9,爸......,お父さん……,お父さん……,True
name,啊......,？？？,0,,,,,10,啊......,ああ……,？？？,True
name,她活着！太好了，她还活着，她还活着，感谢先祖！,？？？,0,,,,,11,她活着！太好了，她还活着，她还活着，感谢先祖！,彼女は生きている！よかった、まだ生きてる、まだ生きてる、ご先祖様、ありがとう！,？？？,True
name,亚当！动作快点！,？？？,0,,,,,12,亚当！动作快点！,アダム！早く動いて！,？？？,True
,爸......爸......？,,0,,,,,13,爸......爸......？,お父さん……お父さん……？,お父さん……お父さん……？,True
name,爸爸？,？？？,0,,,,,14,爸爸？,お父さん？,？？？,True
name,......我......是的！我是爸爸！,？？？,0,,,,,15,......我......是的！我是爸爸！,……私が……そうだ！私はお父さんだ！,？？？,True
name,可以，可以！我是爸爸，没错！,？？？,0,,,,,16,可以，可以！我是爸爸，没错！,いい、いい！私はお父さん、間違いない！,？？？,True
name,别睡，别睡！抓住爸爸的手，不要松手！,？？？,0,,,,,17,别睡，别睡！抓住爸爸的手，不要松手！,寝ちゃだめだ、寝ないで！お父さんの手を掴んで、離さないで！,？？？,True
,爸爸......我好......冷......,,0,,,,,18,爸爸......我好......冷......,お父さん……私……寒い……,お父さん……私……寒い……,True
name,不要睡，女儿，我的女儿！活下去！,？？？,0,,,,,19,不要睡，女儿，我的女儿！活下去！,寝ないで、娘よ、私の娘よ！生きて！,？？？,True
name,她的体温还在变低！米什卡，想想办法！,？？？,0,,,,,20,她的体温还在变低！米什卡，想想办法！,彼女の体温がまだ下がっている！ミシュカ、何か方法を考えて！,？？？,True
name,没办法倾斜流向？,？？？,0,,,,,21,没办法倾斜流向？,傾けて流すことはできないのか？,？？？,True
,好冷......！爸爸！我好冷！,,0,,,,,22,好冷......！爸爸！我好冷！,寒い……！お父さん！私、とても寒い！,寒い……！お父さん！私、とても寒い！,True
name,......女儿......我的女儿！坚持住！,？？？,0,,,,,23,......女儿......我的女儿！坚持住！,……娘よ……私の娘よ！頑張って！,？？？,True
,爸爸，不要......不要再离开我了......,,0,,,,,24,爸爸，不要......不要再离开我了......,お父さん、やだ……もう私から離れないで……,お父さん、やだ……もう私から離れないで……,True
dialog,,,0,,,,,25,,,,True
character,,,0,,,,,26,,,,True
blocker,,,0,,,,,27,,,,True
background,,,0,,,bg_undergroud_u_2,,28,,,,True
blocker,,,0,,,,,29,,,,True
,10:48 A.M.,,0,,,,,30,10:48 A.M.,午前10時48分,午前10時48分,True
,切尔诺伯格分城“14区”废墟,,0,,,,,31,切尔诺伯格分城“14区”废墟,チェルノボーグ支城「14区」廃墟,チェルノボーグ支城「14区」廃墟,True
,地基层上部,,0,,,,,32,地基层上部,地階層上部,地階層上部,True
name,......,霜星,0,,,,,33,......,……,霜星,True
dialog,,,0,,,,,34,,,,True
character,,,0,,,,,35,,,,True
decision,醒醒！,,3,1,,,1;2;3,36,醒醒！,起きて！,起きて！,True
decision,......,,3,2,,,1;2;3,37,......,……,……,True
decision,能不能麻烦你......,,3,3,,,1;2;3,38,能不能麻烦你......,お願いできませんか……,お願いできませんか……,True
predicate,,,0,,1;2;3,,,39,,,,True
character,,char_1505_frstar_1,0,,,,,40,,,char_1505_frstar_1,True
delay,,,0,,,,,41,,,,True
name,我已经醒了。,霜星,0,,,,,42,我已经醒了。,私はもう目を覚ましました。,霜星,True
name,你没有在我昏迷时杀掉我，是因为自信，还是因为别的什么？,霜星,0,,,,,43,你没有在我昏迷时杀掉我，是因为自信，还是因为别的什么？,私が気絶していたときに殺さなかったのは、自信があったからですか？それとも他に理由がありましたか？,霜星,True
dialog,,,0,,,,,44,,,,True
character,,,0,,,,,45,,,,True
decision,这种事似乎发生过......,,1,1,,,1,46,这种事似乎发生过......,こんなこと、前にもあった気がする……,こんなこと、前にもあった気がする……,True
predicate,,,0,,1,,,47,,,,True
dialog,,,0,,,,,48,,,,True
character,,,0,,,,,49,,,,True
decision,我没得选。,,3,1,,,1;2;3,50,我没得选。,私は選択肢がありませんでした。,,True
decision,......,,3,2,,,1;2;3,51,......,……,,True
decision,我能那么做吗？,,3,3,,,1;2;3,52,我能那么做吗？,私はそんなことができるのでしょうか？,,True
predicate,,,0,,1;2;3,,,53,,,,True
character,,char_1505_frstar_1,0,,,,,54,,,char_1505_frstar_1,True
name,不管怎么样，你没有那么做。,霜星,0,,,,,55,不管怎么样，你没有那么做。,どうであれ、あなたはそうしませんでした。,霜星,True
dialog,,,0,,,,,56,,,,True
character,,,0,,,,,57,,,,True
decision,可能是因为你一直在说梦话。,,3,1,,,1;2;3,58,可能是因为你一直在说梦话。,たぶん、あなたがずっと寝言を言っていたからでしょう。,,True
decision,......,,3,2,,,1;2;3,59,......,……,,True
decision,可以咨询下你的身世吗？,,3,3,,,1;2;3,60,可以咨询下你的身世吗？,あなたの身の上について伺ってもよろしいですか？,,True
predicate,,,0,,1,,,61,,,,True
character,,char_1505_frstar_1#7,0,,,,,62,,,char_1505_frstar_1#7,True
name,......,霜星,0,,,,,63,......,……,霜星,True
name,我就当你刚才已经手下留情过了。现在我不杀你，就当我还了你一命。,霜星,0,,,,,64,我就当你刚才已经手下留情过了。现在我不杀你，就当我还了你一命。,さっきはあなたが私に手を抜いたと思っておきます。今、私があなたを殺さないのは借りを返したことにします。,霜星,True
predicate,,,0,,2,,,65,,,,True
character,,char_1505_frstar_1,0,,,,,66,,,char_1505_frstar_1,True
name,你那副复杂的表情是怎么回事？,霜星,0,,,,,67,你那副复杂的表情是怎么回事？,その複雑な表情はどうしたのですか？,霜星,True
