command,text_orig,name,option_number,option_value,references,focus,image,values,name2,index,text,jp_text,jp_name,text_match
header,第二关（后）,,0,,,,,,,0,第二关（后）,第二ステージ（後）,第二ステージ（後）,True
background,,,0,,,,bg_indoor_n,,,1,,,,True
delay,,,0,,,,,,,2,,,,True
playmusic,,,0,,,,,,,3,,,,True
character,,char_1002_nsabr_1,0,,,1,,,avg_npc_043_1,4,,,char_1002_nsabr_1,True
name,居然......雪怪居然......,整合运动成员,0,,,,,,,5,居然......雪怪居然......,まさか……スノーデビルはまさか……,レユニオンメンバー,True
name,......真惨。真就全死在这龙门了。感染者的希望和传说又少了一个。,整合运动成员,0,,,,,,,6,......真惨。真就全死在这龙门了。感染者的希望和传说又少了一个。,……本当に惨めだ。結局みんな龍門で死んでしまった。感染者の希望と伝説がまた一つ減ったな。,レユニオンメンバー,True
name,快走，近卫局的人要追下来了。,整合运动成员,0,,,,,,,7,快走，近卫局的人要追下来了。,早く逃げろ、近衛局の連中が追ってくるぞ。,レユニオンメンバー,True
character,,char_1002_nsabr_1,0,,,2,,,avg_npc_043_1,8,,,char_1002_nsabr_1,True
name,我知道。,九,0,,,,,,,9,我知道。,知っている。,九,True
character,,char_1002_nsabr_1,0,,,1,,,avg_npc_043_1,10,,,char_1002_nsabr_1,True
name,......你的眼神有些不大对。,整合运动成员,0,,,,,,,11,......你的眼神有些不大对。,……お前の目つき、ちょっとおかしいな。,レユニオンメンバー,True
name,说实话，原本我一直怀疑你是龙门那边的卧底。,整合运动成员,0,,,,,,,12,说实话，原本我一直怀疑你是龙门那边的卧底。,正直に言うと、前からお前が龍門側のスパイじゃないかと疑ってた。,レユニオンメンバー,True
character,,char_1002_nsabr_1,0,,,2,,,avg_npc_043_1,13,,,char_1002_nsabr_1,True
name,那现在呢？,九,0,,,,,,,14,那现在呢？,じゃあ、今はどうだ？,九,True
character,,char_1002_nsabr_1,0,,,1,,,avg_npc_043_1,15,,,char_1002_nsabr_1,True
name,反正别人都不信就是了。,整合运动成员,0,,,,,,,16,反正别人都不信就是了。,どうせ他の奴らも信じてないけどな。,レユニオンメンバー,True
character,,char_1002_nsabr_1,0,,,2,,,avg_npc_043_1,17,,,char_1002_nsabr_1,True
name,真的间谍会杀你灭口。,九,0,,,,,,,18,真的间谍会杀你灭口。,本物のスパイなら、お前を口封じに殺すさ。,九,True
character,,char_1002_nsabr_1,0,,,1,,,avg_npc_043_1,19,,,char_1002_nsabr_1,True
name,我其实真不怕你杀我。看看龙门这样子。哪怕你是龙门人，你也回不去了。,整合运动成员,0,,,,,,,20,我其实真不怕你杀我。看看龙门这样子。哪怕你是龙门人，你也回不去了。,実は、お前に殺されるのは全く怖くない。この龍門の有り様を見ろよ。たとえお前が龍門の人間でも、もう戻れないだろう。,レユニオンメンバー,True
name,因为你会比我们过得还惨。,整合运动成员,0,,,,,,,21,因为你会比我们过得还惨。,お前の方が俺たちよりもっと悲惨な目に遭うからな。,レユニオンメンバー,True
character,,char_1002_nsabr_1,0,,,2,,,avg_npc_043_1,22,,,char_1002_nsabr_1,True
name,......所以我不是。我现在已经什么都不是了。,九,0,,,,,,,23,......所以我不是。我现在已经什么都不是了。,……だから違う。今の俺はもう何者でもない。,九,True
character,,char_1002_nsabr_1,0,,,1,,,avg_npc_043_1,24,,,char_1002_nsabr_1,True
name,你在干什么？咦，开花了？,整合运动成员,0,,,,,,,25,你在干什么？咦，开花了？,何してるんだ？あれ、花が咲いた？,レユニオンメンバー,True
name,哦哦，这是你的法术吗？有点好看啊。,整合运动成员,0,,,,,,,26,哦哦，这是你的法术吗？有点好看啊。,おお、これはお前の術か？ちょっと綺麗だな。,レユニオンメンバー,True
character,,char_1002_nsabr_1,0,,,2,,,avg_npc_043_1,27,,,char_1002_nsabr_1,True
name,总得有人给他们留一点点敬意。,九,0,,,,,,,28,总得有人给他们留一点点敬意。,誰かが彼らに少しでも敬意を残さなきゃな。,九,True
dialog,,,0,,,,,,,29,,,,True
character,,,0,,,,,,,30,,,,True
blocker,,,0,,,,,,,31,,,,True
background,,,0,,,,bg_indoor_f,,,32,,,,True
blocker,,,0,,,,,,,33,,,,True
character,,avg_npc_039_1,0,,,,,,,34,,,avg_npc_039_1,True
name,磨磨蹭蹭的......花了那么长时间。,监察司,0,,,,,,,35,磨磨蹭蹭的......花了那么长时间。,ちんたらして……こんなに時間がかかったな。,監察司,True
character,,avg_npc_041,0,,,,,,,36,,,avg_npc_041,True
name,我觉得做得很不错。一天之内就消灭了龙门城内的全部整合运动，我可以给最高分。,？？？,0,,,,,,,37,我觉得做得很不错。一天之内就消灭了龙门城内的全部整合运动，我可以给最高分。,私はすごく上手くやったと思います。一日で龍門城内のすべてのレユニオンを殲滅したので、満点をあげられます。,？？？,True
character,,avg_npc_040,0,,,,,,,38,,,avg_npc_040,True
name,魏彦吾了不得。,？？？,0,,,,,,,39,魏彦吾了不得。,魏彦吾は大したものですね。,？？？,True
character,,avg_npc_041,0,,,,,,,40,,,avg_npc_041,True
name,太合，你有没有听过那个传闻？,？？？,0,,,,,,,41,太合，你有没有听过那个传闻？,太合、その噂を聞いたことがありますか？,？？？,True
character,,avg_npc_039_1,0,,,1,,,avg_npc_041,42,,,avg_npc_039_1,True
name,你是说魏彦吾的身世？,监察司,0,,,,,,,43,你是说魏彦吾的身世？,魏彦吾の出生のことですか？,監察司,True
character,,avg_npc_040,0,,,,,,,44,,,avg_npc_040,True
name,勿论上事。,太合,0,,,,,,,45,勿论上事。,その話はやめましょう。,太合,True
character,,avg_npc_039_1,0,,,2,,,avg_npc_041,46,,,avg_npc_039_1,True
name,抱歉。不过，那些黑蓑的身手与当今禁军相比，何如？,？？？,0,,,,,,,47,抱歉。不过，那些黑蓑的身手与当今禁军相比，何如？,すみません。でも、その黒装束たちの腕前は今の禁衛軍と比べてどうですか？,？？？,True
character,,avg_npc_039_1,0,,,1,,,avg_npc_041,48,,,avg_npc_039_1,True
name,哼，你也太高估他们了。他们的确有过人之处不假.......,监察司,0,,,,,,,49,哼，你也太高估他们了。他们的确有过人之处不假.......,ふん、君は彼らを買いかぶり過ぎだ。本当に優れている部分はあるが……。,監察司,True
character,,avg_npc_040,0,,,,,,,50,,,avg_npc_040,True
name,当心！,太合,0,,,,,,,51,当心！,気をつけろ！,太合,True
character,,,0,,,,,,,52,,,,True
name,你们这些混账！！,？？？,0,,,,,,,53,你们这些混账！！,お前らこの野郎ども！！,？？？,True
character,,avg_npc_039_1,0,,,,,,,54,,,avg_npc_039_1,True
name,——感染者？,监察司,0,,,,,,,55,——感染者？,——感染者か？,監察司,True
dialog,,,0,,,,,,,56,,,,True
character,,char_017_homura_3#6,0,,,,,,,57,,,char_017_homura_3#6,True
playsound,,,0,,,,,,,58,,,,True
blocker,,,0,,,,,,,59,,,,True
blocker,,,0,,,,,,,60,,,,True
camerashake,,,0,,,,,,,61,,,,True
delay,,,0,,,,,,,62,,,,True
character,,avg_npc_041,0,,,,,,,63,,,avg_npc_041,True
name,嘶。,？？？,0,,,,,,,64,嘶。,シッ。,？？？,True
character,,char_017_homura_3#6,0,,,1,,,avg_npc_041,65,,,char_017_homura_3#6,True
name,——绞合线？！,煌,0,,,,,,,66,——绞合线？！,——撚線（よりせん）？！,煌,True
character,,char_017_homura_3#6,0,,,2,,,avg_npc_041,67,,,char_017_homura_3#6,True
name,你并不想真的杀我，对吗？你本来能用法术的。,？？？,0,,,,,,,68,你并不想真的杀我，对吗？你本来能用法术的。,君は本当に私を殺す気はないだろう？本来なら術を使えたはずだ。,？？？,True
character,,char_017_homura_3#5,0,,,1,,,avg_npc_041,69,,,char_017_homura_3#5,True
name,我听说用线做武器的男人，无一例外全是心理变态。,煌,0,,,,,,,70,我听说用线做武器的男人，无一例外全是心理变态。,糸を武器にする男は、例外なく全員サイコパスだって聞いたぞ。,煌,True
character,,char_017_homura_3#5,0,,,2,,,avg_npc_041,71,,,char_017_homura_3#5,True
name,确实总有人这么说......,？？？,0,,,,,,,72,确实总有人这么说......,確かに、そう言う人はいつもいる......,？？？,True
character,,avg_npc_039_1,0,,,,,,,73,,,avg_npc_039_1,True
name,感染者，别妨害公务。小心我把你一并处理了。,监察司,0,,,,,,,74,感染者，别妨害公务。小心我把你一并处理了。,感染者、公務の邪魔をするな。下手をするとお前も一緒に始末するぞ。,監察司,True
character,,char_017_homura_3#5,0,,,,,,,75,,,char_017_homura_3#5,True
name,没有身份识别码的武装人员在战场上遭到杀害，这种事根本怨不得人吧？,煌,0,,,,,,,76,没有身份识别码的武装人员在战场上遭到杀害，这种事根本怨不得人吧？,身分識別コードを持たない武装兵が戦場で殺されたって、誰も文句言えないだろ？,煌,True
character,,char_017_homura_3#5,0,,,2,,,avg_npc_041,77,,,char_017_homura_3#5,True
name,我们同样可以指证你与这些整合运动有所勾连。,？？？,0,,,,,,,78,我们同样可以指证你与这些整合运动有所勾连。,我々もまた、君がこれらの統合運動と関わっていると指摘できる。,？？？,True
dialog,,,0,,,,,,,79,,,,True
