command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,index,text,jp_text,jp_name,text_match
header,第一关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,0,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,1,,,,False
character,,,,,,,,,,,,,,,,,,,,,,2,,,,False
background,,,,,bg_cher_11,1,1,2,,,,,,,,,,,,,,3,,,,False
playmusic,,$darkness02_loop,,,,,,,$darkness02_intro,0.8,1.5,0.5,,,,,,,,,,4,,,,False
delay,,,,,,,,,,,,,2,,,,,,,,,5,,,,False
,12:21 P.M.,,,,,,,,,,,,,,,,,,,,,6,,,,False
,切尔诺伯格分城“14区”废墟,,,,,,,,,,,,,,,,,,,,,7,,,,False
,区块地面,,,,,,,,,,,,,,,,,,,,,8,,,,False
character,,,,,,,,,,,,,,,,,,,,,,9,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,0.4,,,,,,,,,,,,10,,,,False
name,搞什么？,,,,,,,,,,,,,整合运动术师,,,,,,,,11,搞什么？,何してるんだ？,レユニオン術師,True
name,雪怪小队，为什么停火了？你们还在等什么？,,,,,,,,,,,,,整合运动术师,,,,,,,,12,雪怪小队，为什么停火了？你们还在等什么？,イエティ小隊、どうして攻撃を止めた？まだ何を待っているんだ？,レユニオン術師,True
character,,,,,,,,,,,,,,avg_npc_037,,,,,,,,13,,,,False
name,......把这些废墟挖开啊？,,,,,,,,,,,,,雪怪小队成员A,,,,,,,,14,......把这些废墟挖开啊？,……この瓦礫を掘り起こすってことか？,イエティ小隊メンバーA,True
character,,,,,,,,,,,,,,,,,,,,,,15,,,,False
name,你们不是布置好了源石吗？为什么不直接弄塌地块，把罗德岛一网打尽？,,,,,,,,,,,,,整合运动术师,,,,,,,,16,你们不是布置好了源石吗？为什么不直接弄塌地块，把罗德岛一网打尽？,お前たち、源石はもう設置しただろ？どうしてすぐにこの区画を崩して、ロドスを一網打尽にしないんだ？,レユニオン術師,True
character,,,,,,,,,,,,,,avg_npc_037,,,,,,,,17,,,,False
name,开啥玩笑，霜星大姊还在这底下啊？,,,,,,,,,,,,,雪怪小队成员A,,,,,,,,18,开啥玩笑，霜星大姊还在这底下啊？,冗談だろ、フロストノヴァ姉さんがまだこの下にいるんだぞ？,イエティ小隊メンバーA,True
character,,,,,,,,,,,,,,,,,,,,,,19,,,,False
name,那就由我们来消灭罗德岛，你们继续挖。我们马上赶到。,,,,,,,,,,,,,整合运动术师,,,,,,,,20,那就由我们来消灭罗德岛，你们继续挖。我们马上赶到。,それならこっちがロドスを片付ける。お前たちは掘り続けろ。すぐにそっちへ行く。,レユニオン術師,True
character,,,,,,,,,,,,,,avg_npc_037,,,,,,,,21,,,,False
name,别来这条街区！这区块的地面结构已经破破烂烂的了，没受过训练的队伍在这里进行战斗，一不小心就会诱发大崩溃！,,,,,,,,,,,,,雪怪小队成员A,,,,,,,,22,别来这条街区！这区块的地面结构已经破破烂烂的了，没受过训练的队伍在这里进行战斗，一不小心就会诱发大崩溃！,この通りには来るな！このエリアの地面はもうボロボロなんだ。訓練されていない部隊がここで戦えば、ちょっとしたことで大崩壊を引き起こすぞ！,イエティ小隊メンバーA,True
character,,,,,,,,,,,,,,,,,,,,,,23,,,,False
name,剿灭罗德岛是优先事项，你们自己动手！,,,,,,,,,,,,,整合运动术师,,,,,,,,24,剿灭罗德岛是优先事项，你们自己动手！,ロドスの殲滅が最優先事項だ。自分たちでやれ！,レユニオン術師,True
character,,,,,,,,,,,,,,avg_npc_037,,,,,,,,25,,,,False
name,指这指那的烦不烦啊......该打的肯定要打，你这个优先事项是谁制定的？,,,,,,,,,,,,,雪怪小队成员A,,,,,,,,26,指这指那的烦不烦啊......该打的肯定要打，你这个优先事项是谁制定的？,あれこれ指図してうっとうしいな……やるべきことはやるよ。その優先事項、誰が決めたんだ？,イエティ小隊メンバーA,True
character,,,,,,,,,,,,,,,,,,,,,,27,,,,False
name,自然是最高战略目标。,,,,,,,,,,,,,整合运动术师,,,,,,,,28,自然是最高战略目标。,もちろん最高戦略目標だ。,レユニオン術師,True
character,,,,,,,,,,,,,,avg_npc_037,,,,,,,,29,,,,False
