command,text_orig,key,is_skippable,fit_mode,image,screenadapt,fadetime,block,time,intro,volume,crossfade,delay,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,Delay,a,r,g,b,options,values,references,afrom,rfrom,gfrom,bfrom,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,option_number,index,text,jp_text,jp_name,text_match
header,第三关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
background,,,,,bg_undergroud_n,coverall,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
delay,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
playmusic,,$frostnova_loop,,,,,,,,$frostnova_intro,0.6,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
character,,,,,,,2,true,,,,,,char_1505_frstar_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
delay,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
name,不对......她的样子......,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,不对......她的样子......,違う……彼女の様子が……,煌,True
character,,,,,,,,,,,,,,char_017_homura_3#6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
name,她身边漂浮在空中的源石结晶......怎么可能？,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,她身边漂浮在空中的源石结晶......怎么可能？,彼女の周りに浮かぶ源石の結晶……そんなはずが？,煌,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,,False
name,是斥离性......！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,是斥离性......！,斥離性です……！,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,,,,False
name,难道说源石结晶从她的皮肤里渗透了出来，和空气中的水分子一起形成了黑色的冰晶？,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,难道说源石结晶从她的皮肤里渗透了出来，和空气中的水分子一起形成了黑色的冰晶？,まさか、源石の結晶が彼女の皮膚から滲み出て、空気中の水分子と一緒に黒い氷晶を形成したのか？,煌,True
name,渗透？......渗透？！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,渗透？......渗透？！,浸透？……浸透？！,煌,True
character,,,,,,,,,,,,,,char_017_homura_3#6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,,,,False
name,......**......**！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,......**......**！,……**……**！,煌,True
character,,,,,,,,,,,,,,char_017_homura_3#6,char_002_amiya_1#7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,,,,False
name,煌！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,煌！,煌さん！,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,,,,False
name,她不疼吗！她难道不疼吗！！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,她不疼吗！她难道不疼吗！！,彼女は痛くないのか！本当に痛くないのか！！,煌,True
name,你难道感觉不到疼吗，白兔子！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,你难道感觉不到疼吗，白兔子！,お前は痛みを感じないのか、白ウサギ！,煌,True
name,够了.......够了！为什么要这么做，为什么？住手！,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,够了.......够了！为什么要这么做，为什么？住手！,もう十分だ……もうやめろ！どうしてこんなことをするんだ、なぜだ？やめろ！,煌,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,,,,False
camerashake,,,,,,,,false,,,,,,,,,0.3,10,10,30,30,true,,,,,,,,,,,,,,,,,,,,,0,27,,,,False
playsound,,$flashback,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,,,,False
playsound,,$e_atk_arrow_h,,,,,,,,,0.8,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,0,29,,,,False
playsound,,$flashback,,,,,,,,,0.8,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,0,30,,,,False
blocker,,,,,,,0.1,true,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,0,31,,,,False
