command,text,name,option_number,option_value,references,focus,image,values,name2,jp_text,jp_name
header,,,0,,,,,,,,
stopmusic,,,0,,,,,,,,
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
playmusic,,,0,,,,,,,,
blocker,,,0,,,,,,,,
character,,,0,,,,,,,,
background,,,0,,,,bg_uptown_2,,,,
blocker,,,0,,,,,,,,
delay,,,0,,,,,,,,
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
blocker,,,0,,,,,,,,
character,,,0,,,,,,,,
background,,,0,,,,bg_outcity_1,,,,
blocker,,,0,,,,,,,,
delay,,,0,,,,,,,,
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
blocker,,,0,,,,,,,,
background,,,0,,,,bg_indoor_f,,,,
blocker,,,0,,,,,,,,
delay,,,0,,,,,,,,
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
blocker,,,0,,,,,,,,
background,,,0,,,,bg_indoor_n,,,,
blocker,,,0,,,,,,,,
playsound,,,0,,,,,,,,
,龙门保卫行动已经结束。重复一遍，龙门保卫行动已经结束。,,0,,,,,,,龍門防衛作戦は既に終了しました。もう一度言います、龍門防衛作戦は既に終了しました。,
,请警员清点装备，返还各署，于一个工作日内归队。,,0,,,,,,,警察官は装備を点検のうえ、各署に返却し、1営業日以内に部隊に復帰してください。,
,请近卫局成员与自己的小队汇合，前往近卫局等候下一步命令。,,0,,,,,,,近衛局のメンバーは自分の小隊と合流し、次の命令を待つために近衛局へ向かってください。,
,再重述一遍......,,0,,,,,,,もう一度言います……,
dialog,,,0,,,,,,,,
character,,char_010_chen_1#1,0,,,,,,,,
delay,,,0,,,,,,,,
name,你在这里干什么？,陈,0,,,,,,,あなたはここで何をしている？,チェン
name,......你那是什么表情？,陈,0,,,,,,,……その顔は何だ？,チェン
character,,char_308_swire_1#5,0,,,1,,,char_010_chen_1#1,,
name,......,诗怀雅,0,,,,,,,……,スワイヤー
name,没、没什么呀。,诗怀雅,0,,,,,,,べ、別に何でもないわ。,スワイヤー
character,,char_308_swire_1#5,0,,,2,,,char_010_chen_1#1,,
name,......哦。,陈,0,,,,,,,……そうか。,チェン
character,,char_308_swire_1#5,0,,,1,,,char_010_chen_1#1,,
name,停下。你要去哪？,诗怀雅,0,,,,,,,止まりなさい。どこへ行くの？,スワイヤー
character,,char_308_swire_1#5,0,,,2,,,char_010_chen_1#1,,
name,去看看。,陈,0,,,,,,,ちょっと見に行く。,チェン
character,,char_308_swire_1#5,0,,,1,,,char_010_chen_1#1,,
name,不用看了，我查过了，没什么东西。,诗怀雅,0,,,,,,,見る必要はないわ。私が調べたけど、何もなかった。,スワイヤー
character,,char_308_swire_1#5,0,,,2,,,char_010_chen_1#1,,
name,这样。,陈,0,,,,,,,そうか。,チェン
character,,char_308_swire_1#5,0,,,1,,,char_010_chen_1#1,,
name,陈，没必要了。战斗已经结束了。,诗怀雅,0,,,,,,,チェン、もう必要ないわ。戦いはもう終わったのよ。,スワイヤー
character,,char_308_swire_1#5,0,,,2,,,char_010_chen_1#1,,
name,请你让一让，Miss.诗怀雅。,陈,0,,,,,,,どいてくれ、ミス・スワイヤー。,チェン
character,,char_308_swire_1#6,0,,,1,,,char_010_chen_1#1,,
name,你已经阻止了整合运动，甚至是特殊部队！,诗怀雅,0,,,,,,,あなたはすでにレユニオンを阻止したし、特殊部隊すら止めたのよ！,スワイヤー
