command,text_orig,key,is_skippable,fit_mode,a,r,g,b,fadetime,block,image,screenadapt,intro,volume,crossfade,delay,name,time,duration,xstrength,ystrength,vibrato,randomness,fadeout,name2,focus,options,values,references,option_number,index,text,jp_text,jp_name,text_match
header,第二关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
blocker,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,0,3,,,,False
background,,,,,,,,,,,bg_corridor,coverall,,,,,,,,,,,,,,,,,,0,4,,,,False
blocker,,,,,0,,,,1.5,true,,,,,,,,,,,,,,,,,,,,0,5,,,,False
playmusic,,$m_dia_street_loop,,,,,,,,,,,$m_dia_street_intro,0.8,1.5,0.5,,,,,,,,,,,,,,0,6,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
,咦......Rosmontis，你在做什么？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,False
character,,,,,,,,,1,true,,,,,,,avg_npc_042,,,,,,,,,,,,,0,10,,,,False
delay,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,0,11,,,,False
name,我......我想修好这个便携终端。,,,,,,,,,,,,,,,,Rosmontis,,,,,,,,,,,,,0,12,我......我想修好这个便携终端。,わたし……この携帯端末を直したいです。,ロスモンティス,True
name,六年前到去年的记忆我都记在这里了......,,,,,,,,,,,,,,,,Rosmontis,,,,,,,,,,,,,0,13,六年前到去年的记忆我都记在这里了......,6年前から去年までの記憶を全部ここに記録しているんです……。,ロスモンティス,True
name,今天早上，我想读六月十二号记录的时候，屏幕突然就不亮了。,,,,,,,,,,,,,,,,Rosmontis,,,,,,,,,,,,,0,14,今天早上，我想读六月十二号记录的时候，屏幕突然就不亮了。,今朝、6月12日の記録を読みたかったのですが、急に画面がつかなくなってしまいました。,ロスモンティス,True
name,如果......如果真的再读不了......,,,,,,,,,,,,,,,,Rosmontis,,,,,,,,,,,,,0,15,如果......如果真的再读不了......,もし……本当にもう読めなくなったら……。,ロスモンティス,True
name,三月十四号和爸爸去植物园，七月的登山，还有第四个四月，妈妈......,,,,,,,,,,,,,,,,Rosmontis,,,,,,,,,,,,,0,16,三月十四号和爸爸去植物园，七月的登山，还有第四个四月，妈妈......,3月14日にお父さんと植物園に行ったこと、7月の登山、それと4回目の4月、お母さん……。,ロスモンティス,True
name,......妈妈......,,,,,,,,,,,,,,,,Rosmontis,,,,,,,,,,,,,0,17,......妈妈......,……お母さん……。,ロスモンティス,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,,,,False
,别，别哭！那个啥，你不太擅长用电子屏幕对吧？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,,,,False
,为什么不等Scout来帮你修一下呢？可露希尔也可以啊？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,,,,False
,我帮你拿给可露希尔吧，几分钟就搞定啦！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,,,,False
character,,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,0,23,,,,False
name,Scout是......,,,,,,,,,,,,,,,,Rosmontis,,,,,,,,,,,,,0,24,Scout是......,スカウトは……。,ロスモンティス,True
name,是那个吗，走路很轻的干员吗？,,,,,,,,,,,,,,,,Rosmontis,,,,,,,,,,,,,0,25,是那个吗，走路很轻的干员吗？,あの人ですか、歩き方がすごく静かなオペレーターでしょうか？,ロスモンティス,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,,,,False
,是他啊！有印象吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,,,,False
character,,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,0,28,,,,False
name,嗯。,,,,,,,,,,,,,,,,Rosmontis,,,,,,,,,,,,,0,29,嗯。,うん。,ロスモンティス,True
name,给人很干净的感觉......像白色的瓷砖一样。,,,,,,,,,,,,,,,,Rosmontis,,,,,,,,,,,,,0,30,给人很干净的感觉......像白色的瓷砖一样。,とても清潔感のある印象です……まるで白いタイルのように。,ロスモンティス,True
name,他就在那。,,,,,,,,,,,,,,,,Rosmontis,,,,,,,,,,,,,0,31,他就在那。,彼はあそこにいます。,ロスモンティス,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,,,,False
,......啊？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,,,,False
character,,,,,,,,,1,true,,,,,,,avg_npc_026,,,,,,,,,,,,,0,35,,,,False
delay,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,36,,,,False
name,从没听过你对我的评价，现在才知道，原来我感受起来是这么脆弱。,,,,,,,,,,,,,,,,Scout,,,,,,,,,,,,,0,37,从没听过你对我的评价，现在才知道，原来我感受起来是这么脆弱。,君が私の印象を語るのを聞いたことがなかった。今になって、自分がこんなに脆く感じられていたとは知らなかったよ。,スカウト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38,,,,False
camerashake,,,,,,,,,,false,,,,,,,,,0.4,10,12,30,90,true,,,,,,0,39,,,,False
,你什么时候来的？！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,,,,False
character,,,,,,,,,,,,,,,,,avg_npc_026,,,,,,,,,,,,,0,41,,,,False
name,可以说是一直都在。我习惯隐藏自己了。,,,,,,,,,,,,,,,,Scout,,,,,,,,,,,,,0,42,可以说是一直都在。我习惯隐藏自己了。,ずっといたと言っていい。自分を隠すのが習慣になっているからな。,スカウト,True
character,,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,0,43,,,,False
name,Scout先生他确实一直都在的。,,,,,,,,,,,,,,,,Rosmontis,,,,,,,,,,,,,0,44,Scout先生他确实一直都在的。,スカウトさんは本当に、ずっとそばにいてくれています。,ロスモンティス,True
name,为什么煌没有感觉到呢？,,,,,,,,,,,,,,,,Rosmontis,,,,,,,,,,,,,0,45,为什么煌没有感觉到呢？,どうしてファイヤーウォッチは気づかなかったのでしょうか？,ロスモンティス,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,,,,False
,......我是比较粗线条，没看到啦！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47,,,,False
,不是，你听她说了那么久，怎么不帮她修下啊。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,48,,,,False
character,,,,,,,,,,,,,,,,,avg_npc_026,,,,,,,,,,,,,0,49,,,,False
name,抱歉，接下来我们有任务。我得花些精力校准武器。,,,,,,,,,,,,,,,,Scout,,,,,,,,,,,,,0,50,抱歉，接下来我们有任务。我得花些精力校准武器。,すまないが、これから任務だ。武器の調整に少し時間を割かないと。,スカウト,True
name,你可能要请可露希尔或是机械师Mechanist先生去解决了。,,,,,,,,,,,,,,,,Scout,,,,,,,,,,,,,0,51,你可能要请可露希尔或是机械师Mechanist先生去解决了。,クルシオかメカニストに頼んだほうがいいかもしれないな。,スカウト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,,,,False
,是那个，营救博士的任务吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,53,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,55,,,,False
character,,,,,,,,,1,true,,,,,,,char_014_riope,,,,,,,,,,,,,0,56,,,,False
delay,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,57,,,,False
name,是。,,,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,0,58,是。,はい。,エース,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,59,,,,False
,哦哦，你也来了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,60,,,,False
character,,,,,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,0,61,,,,False
name,作为主要发起人之一，如果我自己都不去，罗德岛精英干员不是成了笑话？,,,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,0,62,作为主要发起人之一，如果我自己都不去，罗德岛精英干员不是成了笑话？,主要な発起人の一人として、私が参加しないなら、ロドスのエリートオペレーターは笑いものになるだろう？,エース,True
character,,,,,,,,,,,,,,,,,avg_npc_026,,,,,,,,char_014_riope,1,,,,0,63,,,,False
name,阿斯卡纶怎么回复你的？,,,,,,,,,,,,,,,,Scout,,,,,,,,,,,,,0,64,阿斯卡纶怎么回复你的？,アスカロンはどう答えた？,スカウト,True
character,,,,,,,,,,,,,,,,,avg_npc_026,,,,,,,,char_014_riope,2,,,,0,65,,,,False
name,一样的托辞。她不会参与。同往常一样，她一直都和凯尔希站一边。,,,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,0,66,一样的托辞。她不会参与。同往常一样，她一直都和凯尔希站一边。,いつもと同じ言い訳さ。彼女は参加しない。いつも通り、ずっとケルシーの側だ。,エース,True
character,,,,,,,,,,,,,,,,,avg_npc_026,,,,,,,,char_014_riope,1,,,,0,67,,,,False
name,......你有没有考虑过，现在可能不是最佳时机？,,,,,,,,,,,,,,,,Scout,,,,,,,,,,,,,0,68,......你有没有考虑过，现在可能不是最佳时机？,……今が最良のタイミングとは限らない、と考えたことは？,スカウト,True
character,,,,,,,,,,,,,,,,,avg_npc_026,,,,,,,,char_014_riope,2,,,,0,69,,,,False
