command,text_orig,key,is_skippable,fit_mode,image,screenadapt,time,intro,volume,crossfade,delay,name,name2,fadetime,focus,options,values,references,duration,xstrength,ystrength,vibrato,randomness,fadeout,block,a,r,g,b,option_number,index,text,jp_text,jp_name,text_match
header,第二关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
background,,,,,bg_building_3,coverall,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
delay,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
playmusic,,$darkness02_loop,,,,,,$darkness02_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,0,3,,,,False
character,,,,,,,,,,,,char_017_homura_3#4,char_1002_nsabr_1,1,2,,,,,,,,,,,,,,,0,4,,,,False
delay,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
name,唔，唔......,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,6,唔，唔......,う、う……,レユニオンメンバー,True
character,,,,,,,,,,,,char_017_homura_3#4,char_1002_nsabr_1,,1,,,,,,,,,,,,,,,0,7,,,,False
name,不好意思啊。,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,8,不好意思啊。,ごめんな。,ファイヤーウォッチ,True
name,哦，我也不是打了你就不当你是同胞了。,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,9,哦，我也不是打了你就不当你是同胞了。,ああ、君を殴ったからって仲間じゃないってわけじゃないさ。,ファイヤーウォッチ,True
character,,,,,,,,,,,,char_017_homura_3#8,,,,,,,,,,,,,,,,,,0,10,,,,False
name,......算了，这话我自己说了都不信。,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,11,......算了，这话我自己说了都不信。,……やっぱり、こんなこと自分で言っても信じられないな。,ファイヤーウォッチ,True
character,,,,,,,,,,,,char_017_homura_3#4,,,,,,,,,,,,,,,,,,0,12,,,,False
playsound,,$d_gen_transmissionget,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,0,13,,,,False
name,煌，通报Blaze-4号小队，俘获十数个整合运动成员。,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,14,煌，通报Blaze-4号小队，俘获十数个整合运动成员。,ファイヤーウォッチ、Blaze-4小隊に報告、十数名のレユニオンメンバーを捕らえた。,ファイヤーウォッチ,True
name,有机会的话就来接收，没时间就交给龙门当局了。,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,15,有机会的话就来接收，没时间就交给龙门当局了。,タイミングがあれば引き取りに来て、時間がなければ龍門当局に渡してくれ。,ファイヤーウォッチ,True
name,那边的龙门人，把弩放下。没必要那么警戒。,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,16,那边的龙门人，把弩放下。没必要那么警戒。,そっちの龍門の人、ボウガンを下ろして。そんなに警戒しなくていい。,ファイヤーウォッチ,True
character,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,0,17,,,,False
name,......,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,0,18,......,......,近衛局メンバー,True
character,,,,,,,,,,,,char_017_homura_3#9,char_015_lmg,,1,,,,,,,,,,,,,,,0,19,,,,False
name,我是哪里还得不到你们的信任？我甚至救了你们一命。,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,20,我是哪里还得不到你们的信任？我甚至救了你们一命。,どこが信用できないんだ？命まで助けてやったのに。,ファイヤーウォッチ,True
character,,,,,,,,,,,,char_017_homura_3#8,char_015_lmg,,2,,,,,,,,,,,,,,,0,21,,,,False
name,退后......！我知道，可、可你......感染者......！,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,0,22,退后......！我知道，可、可你......感染者......！,下がれ……！わかってる、でも、でも君は……感染者……！,近衛局メンバー,True
character,,,,,,,,,,,,char_017_homura_3#5,,,,,,,,,,,,,,,,,,0,23,,,,False
name,哦，是啊。是啊。,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,24,哦，是啊。是啊。,ああ、そうだ。そうだよ。,ファイヤーウォッチ,True
name,嘁。,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,25,嘁。,ちっ。,ファイヤーウォッチ,True
character,,,,,,,,,,,,char_017_homura_3#4,,,,,,,,,,,,,,,,,,0,26,,,,False
name,博士，走了。,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,27,博士，走了。,ドクター、行くぞ。,ファイヤーウォッチ,True
decision,......,,,,,,,,,,,,,,,......,1,,,,,,,,,,,,,1,28,......,......,,True
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,29,,,,False
name,走了！,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,30,走了！,行くぞ！,ファイヤーウォッチ,True
camerashake,,,,,,,,,,,,,,,,,,,0.4,10,12,30,90,true,true,,,,,0,31,,,,False
name,哎，算了。博士，过来。别动，这样快点。,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,32,哎，算了。博士，过来。别动，这样快点。,はぁ、もういい。ドクター、こっちだ。動かないで、その方が早いから。,ファイヤーウォッチ,True
decision,你还好吧。,,,,,,,,,,,,,,,你还好吧。,1,,,,,,,,,,,,,1,33,你还好吧。,大丈夫？,,True
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,34,,,,False
name,哟，看来是习惯让我拎着你跑路了？,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,35,哟，看来是习惯让我拎着你跑路了？,おや、俺に抱えて連れていかれるのも慣れてきたんだな？,ファイヤーウォッチ,True
name,别用那种眼神看我，说了，我好着呢，这种事发生过不知道多少次了。,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,36,别用那种眼神看我，说了，我好着呢，这种事发生过不知道多少次了。,そんな目で見るなよ、大丈夫だって言ったろ、こんなの何度もあったんだから。,ファイヤーウォッチ,True
name,我们去十六区的横山广场吧。整合运动想要突破防线的话，那里是必经之道。,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,37,我们去十六区的横山广场吧。整合运动想要突破防线的话，那里是必经之道。,16区のヨコヤマ広場に行こう。レユニオンが突破を狙うなら、あそこは必ず通る。,ファイヤーウォッチ,True
name,嗯......想要趁势一举歼灭整合运动的主要力量，就不能放跑任何一支控制区里的整合运动。,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,38,嗯......想要趁势一举歼灭整合运动的主要力量，就不能放跑任何一支控制区里的整合运动。,うん……この機に乗じてレユニオンの主力を一気に殲滅したいなら、制圧区域内のレユニオンは１人も逃しちゃいけない。,ファイヤーウォッチ,True
name,按照阿米娅和那个老气横秋的陈警官的策略，大部分整合运动会被我们这样一点点消磨干净，最后只要打一场歼灭战就行了。,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,39,按照阿米娅和那个老气横秋的陈警官的策略，大部分整合运动会被我们这样一点点消磨干净，最后只要打一场歼灭战就行了。,アーミヤとあの年寄りくさい陳警官の策略通りに行けば、レユニオンの大部分はこうして少しずつ排除できて、最後に一度殲滅戦をやればいい。,ファイヤーウォッチ,True
character,,,,,,,,,,,,char_017_homura_3#7,,,,,,,,,,,,,,,,,,0,40,,,,False
name,先把横山大厦里的敌人逼出来，让他们逃进包围圈，再去和阿米娅他们会合，一路上顺手打打整合运动。简单明了吧？,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,41,先把横山大厦里的敌人逼出来，让他们逃进包围圈，再去和阿米娅他们会合，一路上顺手打打整合运动。简单明了吧？,まず横山ビルの敵を追い出して、包囲網に追い込む。その後アーミヤたちと合流しつつ、途中でレユニオンを片付けていく。簡単明瞭だろ？,ファイヤーウォッチ,True
character,,,,,,,,,,,,char_017_homura_3#4,,,,,,,,,,,,,,,,,,0,42,,,,False
name,......别这种表情啊，我不是说我好得很吗？,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,43,......别这种表情啊，我不是说我好得很吗？,……そんな顔するなよ、大丈夫だって言ったろ？,ファイヤーウォッチ,True
name,哎。你要是再这么盯着我看，我可要直接赖在马路当中不走了啊。,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,44,哎。你要是再这么盯着我看，我可要直接赖在马路当中不走了啊。,あーあ。そんなに見つめられたら、このまま道の真ん中で動かなくなるぞ。,ファイヤーウォッチ,True
name,抓紧点。,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,45,抓紧点。,しっかり掴まれ。,ファイヤーウォッチ,True
character,,,,,,,,,,,,char_017_homura_3#5,,,,,,,,,,,,,,,,,,0,46,,,,False
name,奇怪......你看那边？,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,47,奇怪......你看那边？,おかしいな……あっち見て？,ファイヤーウォッチ,True
stopmusic,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,48,,,,False
character,,,,,,,,,,,,avg_npc_015,avg_npc_015,1,,,,,,,,,,,true,,,,,0,49,,,,False
delay,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,0,50,,,,False
character,,,,,,,,,,,,char_017_homura_3#5,,,,,,,,,,,,,,,,,,0,51,,,,False
name,那是梅菲斯特的牧群吗？怎么这也有，他们不应该是由梅菲斯特亲自带领吗？,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,52,那是梅菲斯特的牧群吗？怎么这也有，他们不应该是由梅菲斯特亲自带领吗？,あれはメフィストの群れか？なんでこっちにもいる、普通はメフィストが自ら率いるはずだろ？,ファイヤーウォッチ,True
name,等等。等等？他们......他们为什么在打自己人？,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,53,等等。等等？他们......他们为什么在打自己人？,ちょっと待て。……なんで、彼らは仲間同士で戦ってるんだ？,ファイヤーウォッチ,True
blocker,,,,,,,,,,,,,,1,,,,,,,,,,,true,1,0,0,0,0,54,,,,False
background,,,,,bg_uptown_2,coverall,,,,,,,,1,,,,,,,,,,,,,,,,0,55,,,,False
playmusic,,$mist_loop,,,,,,$mist_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,0,56,,,,False
blocker,,,,,,,,,,,,,,2,,,,,,,,,,,true,0,,,,0,57,,,,False
character,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,,,,0,58,,,,False
name,......怎么回事。,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,59,......怎么回事。,……どういうことだ。,チェン,True
name,虽然一直能收到生理讯息，怎么一条定时通报都收不到？也没有紧急讯号的发送迹象。,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,60,虽然一直能收到生理讯息，怎么一条定时通报都收不到？也没有紧急讯号的发送迹象。,ずっと生体信号は受信できていたのに、定期報告が一通も届いていない？緊急信号を送った形跡もない。,チェン,True
name,究竟出了什么事......,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,61,究竟出了什么事......,一体何が起きたんだ……,チェン,True
character,,,,,,,,,,,,char_308_swire_1#1,char_010_chen_1#1,,1,,,,,,,,,,,,,,,0,62,,,,False
name,不好好指挥战斗，站在那看什么呢？,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,63,不好好指挥战斗，站在那看什么呢？,ちゃんと指揮しなさいよ、何ぼーっとしてるの？,スワイヤー,True
character,,,,,,,,,,,,char_308_swire_1#1,char_010_chen_1#1,,2,,,,,,,,,,,,,,,0,64,,,,False
name,不关你事，“小姐”。,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,65,不关你事，“小姐”。,君には関係ない、“お嬢様”。,チェン,True
character,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,,1,,,,,,,,,,,,,,,0,66,,,,False
name,喂，也太小气了点吧？,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,67,喂，也太小气了点吧？,ちょっと、ケチすぎじゃない？,スワイヤー,True
character,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,,2,,,,,,,,,,,,,,,0,68,,,,False
name,肯定不能给你看。,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,69,肯定不能给你看。,絶対に君には見せられない。,チェン,True
character,,,,,,,,,,,,char_308_swire_1#1,char_010_chen_1#1,,1,,,,,,,,,,,,,,,0,70,,,,False
name,我猜你有线人断线了。,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,71,我猜你有线人断线了。,あんた、内通者が連絡取れなくなったんでしょ。,スワイヤー,True
character,,,,,,,,,,,,char_308_swire_1#1,char_010_chen_1#1,,2,,,,,,,,,,,,,,,0,72,,,,False
name,能不能别在这种事情上浪费你的直觉？,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,73,能不能别在这种事情上浪费你的直觉？,こういうことで、無駄に直感を使うのはやめてくれないか？,チェン,True
character,,,,,,,,,,,,char_308_swire_1#1,char_010_chen_1#1,,1,,,,,,,,,,,,,,,0,74,,,,False
name,至少说中了你就会往下说嘛。感染者？,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,75,至少说中了你就会往下说嘛。感染者？,少なくとも当たったら黙ってられないでしょ。感染者？,スワイヤー,True
character,,,,,,,,,,,,char_308_swire_1#1,char_010_chen_1#5,,2,,,,,,,,,,,,,,,0,76,,,,False
name,是。,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,77,是。,そうだ。,チェン,True
character,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#5,,1,,,,,,,,,,,,,,,0,78,,,,False
name,......你怀疑他叛逃？,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,79,......你怀疑他叛逃？,……彼が裏切ったと疑うの？,スワイヤー,True
character,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#5,,2,,,,,,,,,,,,,,,0,80,,,,False
name,绝不可能。,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,81,绝不可能。,絶対にあり得ない。,チェン,True
character,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#5,,1,,,,,,,,,,,,,,,0,82,,,,False
name,那你怀疑的就是这个“绝对不可能”咯。,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,83,那你怀疑的就是这个“绝对不可能”咯。,じゃあ疑ってるのは、その“絶対あり得ない”ってことね。,スワイヤー,True
character,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#5,,2,,,,,,,,,,,,,,,0,84,,,,False
