command,text_orig,key,is_skippable,fit_mode,screenadapt,image,fadetime,block,intro,volume,crossfade,delay,time,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,a,r,g,b,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,options,values,references,option_number,index,text,jp_text,jp_name,text_match
header,第三关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
background,,,,,coverall,bg_outcity_1,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
playmusic,,$darkness02_loop,,,,,,,$darkness02_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
character,,,,,,,1,true,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
delay,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#2,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
name,梅菲斯特？,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,梅菲斯特？,メフィスト？,ファウスト,True
name,你刚才释放了什么法术？你的......队伍，比之前更狂躁了。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,你刚才释放了什么法术？你的......队伍，比之前更狂躁了。,さっき、何の術を使った？君の……部隊がさっきよりもっと狂暴になっている。,ファウスト,True
name,他们......他们很痛苦。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,他们......他们很痛苦。,彼ら……とても苦しんでいる。,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#2,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
name,啊，你看到了啊？我种下去的种子开花了。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,啊，你看到了啊？我种下去的种子开花了。,ああ、見たのか？僕が蒔いた種が花開いたんだ。,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#1,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,,False
name,没事的，浮士德，他们不会攻击我们。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,没事的，浮士德，他们不会攻击我们。,大丈夫だよ、ファウスト。彼らは僕たちを襲わない。,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,char_1507_Mephisto_1#1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,,,,False
