command,text_orig,key,is_skippable,fit_mode,time,screenadapt,image,fadetime,block,intro,volume,crossfade,delay,name,a,r,g,b,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,duration,name2,focus,xstrength,ystrength,vibrato,randomness,fadeout,index,text,jp_text,jp_name,text_match
header,第三关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
,有多少人死在你面前了？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,False
background,,,,,,coverall,bg_uptown_2,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,False
playmusic,,$darkness02_loop,,,,,,,,$darkness02_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,7,,,,False
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,,,,,,,,8,,,,False
name,......,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,9,......,......,ファウスト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,False
name,（乌萨斯语）,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,11,（乌萨斯语）,（ウルサス語）,レユニオンメンバー,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,,,,,,,,12,,,,False
name,我会的。我会带回去的。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,13,我会的。我会带回去的。,そうする。必ず持ち帰る。,ファウスト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,False
name,......（乌萨斯语）......？,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,15,......（乌萨斯语）......？,......（ウルサス語）......？,レユニオンメンバー,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,,,,,,,,16,,,,False
name,嗯。我不去切尔诺伯格。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,17,嗯。我不去切尔诺伯格。,そうだ。チェルノボーグへは行かない。,ファウスト,True
name,放心。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,18,放心。,心配するな。,ファウスト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,False
name,......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,20,......,......,レユニオンメンバー,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,,,,,,,,21,,,,False
name,这里很安全。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,22,这里很安全。,ここは安全だ。,ファウスト,True
name,睡吧。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,23,睡吧。,眠れ。,ファウスト,True
