command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,block,time,intro,volume,crossfade,name,duration,xstrength,ystrength,vibrato,randomness,fadeout,a,r,g,b,name2,focus,delay,index,text,jp_text,jp_name,text_match
header,第四关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,coverall,bg_uptown_2,1,1,2,true,,,,,,,,,,,,,,,,,,,1,,,,False
delay,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,2,,,,False
playmusic,,$indust_loop,,,,,,,,,,$indust_loop,0.8,3,,,,,,,,,,,,,,,3,,,,False
name,快！快撤！那些感染者已经变成彻底的怪物了！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,4,快！快撤！那些感染者已经变成彻底的怪物了！,急げ！撤退だ！あの感染者たちは完全な化け物になってしまった！,近衛局メンバー,True
name,啊！！我被咬住了，我被咬住了！！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,5,啊！！我被咬住了，我被咬住了！！,あっ！！噛まれた、噛まれた！！,近衛局メンバー,True
name,啊。,,,,,,,,,,,,,,牧群,,,,,,,,,,,,,,6,啊。,あぁ。,群れ,True
name,啊，啊！！,,,,,,,,,,,,,,牧群,,,,,,,,,,,,,,7,啊，啊！！,ああ、ああ！！,群れ,True
camerashake,,,,,,,,,,false,,,,,,1,10,12,30,90,true,,,,,,,,8,,,,False
name,（恐怖的尖叫）,,,,,,,,,,,,,,牧群,,,,,,,,,,,,,,9,（恐怖的尖叫）,（恐怖の叫び）,群れ,True
delay,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10,,,,False
character,,,,,,,,,,,,,,,char_017_homura_3#5,,,,,,,,,,,,,,11,,,,False
name,......,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,12,......,......,煌,True
name,......怎么会这样......,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,13,......怎么会这样......,......どうしてこうなったんだ......,煌,True
character,,,,,,,,,,,,,,,char_017_homura_3#6,,,,,,,,,,,,,,14,,,,False
name,混账白发小子！！他又干了什么！,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,15,混账白发小子！！他又干了什么！,あのクソ白髪野郎！！また何をやらかしたんだ！,煌,True
name,博士，动作快！我们快去预定地点和阿米娅汇合！,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,16,博士，动作快！我们快去预定地点和阿米娅汇合！,ドクター、急いで！早く指定の場所でアーミヤと合流するぞ！,煌,True
name,这个数量级的牧群，不成型的火力小队是对付不了的，我们只能酌情行事！,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,17,这个数量级的牧群，不成型的火力小队是对付不了的，我们只能酌情行事！,この規模の群れだと、不完全な火力小隊じゃ太刀打ちできない。状況に応じて行動するしかない！,煌,True
name,这时候可别想着帮助近卫局作战，我们的处境可比他们窘迫多了。,,,,,,,,,,,,,,煌,,,,,,,,,,,,,,18,这时候可别想着帮助近卫局作战，我们的处境可比他们窘迫多了。,今は近衛局を助ける余裕なんてない、俺たちの方がはるかに厳しい状況だからな。,煌,True
