command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,block,time,intro,volume,crossfade,delay,name,name2,focus,index,text,jp_text,jp_name,text_match
header,第四关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,0,,,,False
background,,,,,coverall,bg_indoor_n,1,1,2,true,,,,,,,,,1,,,,False
delay,,,,,,,,,,,1,,,,,,,,2,,,,False
playmusic,,$darkness02_loop,,,,,,,,,,$darkness02_loop,0.8,1.5,0.5,,,,3,,,,False
character,,,,,,,,,,,,,,,,char_1002_nsabr_1,,,4,,,,False
name,外面已经乱作一团了。,,,,,,,,,,,,,,,整合运动成员,,,5,外面已经乱作一团了。,外はもう大混乱だ。,レユニオン構成員,True
name,听说梅菲斯特用法术变出了会袭击自己人的怪物，那些东西连感染者都吃。,,,,,,,,,,,,,,,整合运动成员,,,6,听说梅菲斯特用法术变出了会袭击自己人的怪物，那些东西连感染者都吃。,メフィストが魔法で仲間を襲う怪物を生み出したらしい。あいつらは感染者すら食うらしいぞ。,レユニオン構成員,True
name,哈，这场仗我们已经彻底打输了。,,,,,,,,,,,,,,,整合运动成员,,,7,哈，这场仗我们已经彻底打输了。,はあ、この戦争は俺たちの完敗だよ。,レユニオン構成員,True
name,梅菲斯特留下的一支小队，刚才才有人在贫民区一间房的地下室里找到他们。,,,,,,,,,,,,,,,整合运动成员,,,8,梅菲斯特留下的一支小队，刚才才有人在贫民区一间房的地下室里找到他们。,メフィストが残した部隊がさっき貧民街の家の地下室で見つかったばかりだ。,レユニオン構成員,True
name,据说尸体上长满了植物，已经快认不出来了。你有头绪吗？,,,,,,,,,,,,,,,整合运动成员,,,9,据说尸体上长满了植物，已经快认不出来了。你有头绪吗？,遺体は植物に覆われて、ほとんど誰だかわからないってさ。何かわかるか？,レユニオン構成員,True
character,,,,,,,,,1,true,,,,,,avg_npc_043_1,,,10,,,,False
delay,,,,,,,,,,,1,,,,,,,,11,,,,False
name,不太清楚。,,,,,,,,,,,,,,,？？？,,,12,不太清楚。,あまりよくわからない。,？？？,True
character,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_043_1,1,13,,,,False
name,真奇怪啊，怎么四处都是怪事。,,,,,,,,,,,,,,,整合运动成员,,,14,真奇怪啊，怎么四处都是怪事。,本当におかしいな、なんでこんなに妙なことばかり起こるんだ。,レユニオン構成員,True
name,切尔诺伯格打得下来，却攻不破龙门，果然还是因为塔露拉没来吧。,,,,,,,,,,,,,,,整合运动成员,,,15,切尔诺伯格打得下来，却攻不破龙门，果然还是因为塔露拉没来吧。,チェルノボーグは落とせたのに、龍門は攻略できない。やっぱりタルラが来なかったからじゃないか。,レユニオン構成員,True
name,不和弑君者他们一起走好像也是选对了，通讯频道里已经完全搜不到他们的消息了。,,,,,,,,,,,,,,,整合运动成员,,,16,不和弑君者他们一起走好像也是选对了，通讯频道里已经完全搜不到他们的消息了。,エグゼキューターたちと一緒に行動しなかったのは正解だったかもな。通信チャンネルからはもう彼らの情報がまったく入ってこないし。,レユニオン構成員,True
name,这里就只剩我们这么点人，似乎也做不成什么事，哎。,,,,,,,,,,,,,,,整合运动成员,,,17,这里就只剩我们这么点人，似乎也做不成什么事，哎。,ここにはもう俺たち数人しか残ってないし、何もできそうにないな、はあ。,レユニオン構成員,True
name,你呢，你怎么说，龙门的感染者？,,,,,,,,,,,,,,,整合运动成员,,,18,你呢，你怎么说，龙门的感染者？,お前はどうだ？龍門の感染者よ。,レユニオン構成員,True
name,哎，龙门人。其实不加入整合运动，你可能也不至于变得和我们一样惨。,,,,,,,,,,,,,,,整合运动成员,,,19,哎，龙门人。其实不加入整合运动，你可能也不至于变得和我们一样惨。,ああ、龍門の人よ。正直レユニオンに加わってなければ、お前もこんなにひどい目にあわなかったかもな。,レユニオン構成員,True
character,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_043_1,2,20,,,,False
name,不加入，我们的处境也不会变好。,,,,,,,,,,,,,,,？？？,,,21,不加入，我们的处境也不会变好。,加入しなくても、俺たちの状況は良くならなかっただろう。,？？？,True
character,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_043_1,1,22,,,,False
name,......你是不是听了塔露拉的演讲才加入的？,,,,,,,,,,,,,,,整合运动成员,,,23,......你是不是听了塔露拉的演讲才加入的？,……お前、タルラの演説を聞いて参加したのか？,レユニオン構成員,True
character,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_043_1,2,24,,,,False
name,不，口号对我没有吸引力。,,,,,,,,,,,,,,,？？？,,,25,不，口号对我没有吸引力。,いや、スローガンには興味なかった。,？？？,True
