command,text_orig,key,is_skippable,fit_mode,a,r,g,b,block,intro,volume,crossfade,delay,screenadapt,image,width,height,fadetime,name,name2,focus,time,index,text,jp_text,jp_name,text_match
header,第二关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,0,,,,False
blocker,,,,,1,0,0,0,true,,,,,,,,,,,,,,1,,,,False
playmusic,,$darkness02_loop,,,,,,,,$darkness02_loop,0.8,1.5,0.5,,,,,,,,,,2,,,,False
background,,,,,,,,,,,,,,coverall,bg_outcity_1,1,1,,,,,,3,,,,False
blocker,,,,,0,,,,true,,,,,,,,,1.5,,,,,4,,,,False
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,5,,,,False
name,......毫无人性。,,,,,,,,,,,,,,,,,,阿米娅,,,,6,......毫无人性。,……まったく人間らしさがない。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,avg_npc_012,2,,7,,,,False
name,阿米娅......,,,,,,,,,,,,,,,,,,罗德岛干员,,,,8,阿米娅......,アーミヤ……,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,avg_npc_012,1,,9,,,,False
name,嗯，我没事。,,,,,,,,,,,,,,,,,,阿米娅,,,,10,嗯，我没事。,うん、大丈夫。,アーミヤ,True
name,依然能联系上煌、博士，以及灰喉吧？,,,,,,,,,,,,,,,,,,阿米娅,,,,11,依然能联系上煌、博士，以及灰喉吧？,スワイヤー、ドクター、それとグレイソートとまだ連絡が取れるよね？,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,avg_npc_012,2,,12,,,,False
name,没问题的。,,,,,,,,,,,,,,,,,,罗德岛干员,,,,13,没问题的。,問題ありません。,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,avg_npc_012,1,,14,,,,False
name,好。保持通讯，为她们指引方位。,,,,,,,,,,,,,,,,,,阿米娅,,,,15,好。保持通讯，为她们指引方位。,よし。通信を維持して、彼女たちを誘導して。,アーミヤ,True
name,......,,,,,,,,,,,,,,,,,,牧群,,,,16,......,……,群れ,True
name,（饥渴的大吼）,,,,,,,,,,,,,,,,,,牧群,,,,17,（饥渴的大吼）,（飢えた叫び声）,群れ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,18,,,,False
name,......现在的你们，我已经感受不到感情了。原来那若有若无的一丝丝恨意，都来自梅菲斯特......,,,,,,,,,,,,,,,,,,阿米娅,,,,19,......现在的你们，我已经感受不到感情了。原来那若有若无的一丝丝恨意，都来自梅菲斯特......,……今のあなたたちからは、もう感情を感じない。かすかにあったわずかな憎しみさえ、すべてメフィストから来ていたのね……,アーミヤ,True
