command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,screenadapt,image,fadetime,block,time,name,a,r,g,b,name2,focus,width,height,index,text,jp_text,jp_name,text_match
header,第二关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,0,,,,False
playmusic,,$mist_loop,,,$mist_intro,0.6,1.5,0.5,,,,,,,,,,,,,,,1,,,,False
background,,,,,,,,,coverall,bg_lungmen_d,2,true,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,2,,,,,,,,,,3,,,,False
,与此同时，贫民区的另一处,,,,,,,,,,,,,,,,,,,,,,4,,,,False
playsound,,$d_gen_transmissionget,,,,0.4,,,,,,,,,,,,,,,,,5,,,,False
character,,,,,,,,,,,,,,char_1502_crowns,,,,,,,,,6,,,,False
name,不要慌张！慢慢说！,,,,,,,,,,,,,弑君者,,,,,,,,,7,不要慌张！慢慢说！,慌てるな！ゆっくり話せ！,弑君者,True
character,,,,,,,,,,,,,,,,,,,,,,,8,,,,False
name,但、但所有......所有同胞，都死了啊！,,,,,,,,,,,,,整合运动成员,,,,,,,,,9,但、但所有......所有同胞，都死了啊！,でも、でもみんな……みんな仲間が、みんな死んだんだ！,整合運動メンバー,True
name,发生什么了？发生什么了？！我们什么也没看到！什么也没看见就！！,,,,,,,,,,,,,整合运动成员,,,,,,,,,10,发生什么了？发生什么了？！我们什么也没看到！什么也没看见就！！,何が起こったんだ？何が起こったんだ？！俺たちは何も見ていない！何も見なかったのに！！,整合運動メンバー,True
name,唔咕！,,,,,,,,,,,,,整合运动成员,,,,,,,,,11,唔咕！,うぐっ！,整合運動メンバー,True
playsound,,$d_gen_transmissionget,,,,0.4,,,,,,,,,,,,,,,,,12,,,,False
character,,,,,,,,,,,,,,char_1502_crowns,,,,,,,,,13,,,,False
name,情况，向我报告！,,,,,,,,,,,,,弑君者,,,,,,,,,14,情况，向我报告！,状況を、俺に報告しろ！,弑君者,True
dialog,,,,,,,,,,,,,,,,,,,,,,,15,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,16,,,,False
,......,,,,,,,,,,,,,,,,,,,,,,17,,,,False
playsound,,$d_gen_transmissionget,,,,0.4,,,,,,,,,,,,,,,,,18,,,,False
character,,,,,,,,,,,,,,char_1502_crowns,,,,,,,,,19,,,,False
name,......,,,,,,,,,,,,,弑君者,,,,,,,,,20,......,……,弑君者,True
name,向我报告！,,,,,,,,,,,,,弑君者,,,,,,,,,21,向我报告！,俺に報告しろ！,弑君者,True
dialog,,,,,,,,,,,,,,,,,,,,,,,22,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,23,,,,False
,......呼。,,,,,,,,,,,,,,,,,,,,,,24,,,,False
character,,,,,,,,,,,,,,char_1502_crowns,,,,,,,,,25,,,,False
name,什么人！,,,,,,,,,,,,,弑君者,,,,,,,,,26,什么人！,誰だ！,弑君者,True
name,......这个味道，别被迷惑！队友都还在！,,,,,,,,,,,,,弑君者,,,,,,,,,27,......这个味道，别被迷惑！队友都还在！,……この匂いに惑わされるな！仲間はまだいる！,弑君者,True
name,听我指挥！,,,,,,,,,,,,,弑君者,,,,,,,,,28,听我指挥！,俺の指揮に従え！,弑君者,True
playsound,,$d_gen_transmissionget,,,,0.4,,,,,,,,,,,,,,,,,29,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,30,,,,False
name,啊啊！红，红色的！！我看到了！！是红色的！！,,,,,,,,,,,,,整合运动成员,,,,,,,,,31,啊啊！红，红色的！！我看到了！！是红色的！！,ああ！赤、赤い！！見たんだ！！赤色だ！！,整合運動メンバー,True
character,,,,,,,,,,,,,,char_1502_crowns,,,,,,,,,32,,,,False
name,让他安静！,,,,,,,,,,,,,弑君者,,,,,,,,,33,让他安静！,あいつを静かにさせろ！,弑君者,True
dialog,,,,,,,,,,,,,,,,,,,,,,,34,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,35,,,,False
playsound,,$d_gen_transmissionget,,,,0.4,,,,,,,,,,,,,,,,,36,,,,False
