command,text_orig,name,focus,image,name2,index,text,jp_text,jp_name,text_match
header,第六关（后）,,,,,0,第六关（后）,第六章（後）,,True
delay,,,,,,1,,,,True
cameraeffect,,,,,,2,,,,True
background,,,,bg_cherbefore_1,,3,,,,True
playmusic,,,,,,4,,,,True
name,伊诺，这本书是谈什么的？,？？？,,,,5,伊诺，这本书是谈什么的？,イーノ、この本は何について書かれているの？,？？？,True
name,啊，我读过了，就给你带来了。,伊诺,,,,6,啊，我读过了，就给你带来了。,ああ、私が読み終わったから、あなたに持ってきたのです。,イーノ,True
name,我觉得萨沙你会喜欢！这本书是讲理想的。,伊诺,,,,7,我觉得萨沙你会喜欢！这本书是讲理想的。,サーシャさんはきっと気に入ると思います！この本は理想について語っています。,イーノ,True
name,理想？,萨沙,,,,8,理想？,理想？,サーシャ,True
name,嗯。,伊诺,,,,9,嗯。,はい。,イーノ,True
name,伊诺有什么理想？,萨沙,,,,10,伊诺有什么理想？,イーノにはどんな理想があるの？,サーシャ,True
name,......理想啊。,伊诺,,,,11,......理想啊。,……理想ですか。,イーノ,True
name,我不知道。我可以有理想吗？,伊诺,,,,12,我不知道。我可以有理想吗？,私にはわかりません。私にも理想を持つことができますか？,イーノ,True
name,当然可以有，为什么会没有！,萨沙,,,,13,当然可以有，为什么会没有！,もちろん持っていいよ、どうして持てないなんて思うんだ！,サーシャ,True
name,啊，糟了，该回家了......,伊诺,,,,14,啊，糟了，该回家了......,あっ、いけない、もう帰らないと……,イーノ,True
name,不想走吗？,萨沙,,,,15,不想走吗？,帰りたくないのか？,サーシャ,True
name,......我不想回家。,伊诺,,,,16,......我不想回家。,……私は帰りたくありません。,イーノ,True
name,可是伊诺你说过，要是不回家，你爸爸就会打你......,萨沙,,,,17,可是伊诺你说过，要是不回家，你爸爸就会打你......,でもイーノ、お前は帰らないとお父さんに叩かれるって言ってたよね……,サーシャ,True
name,明天再见吧？明天还是能再见的。,萨沙,,,,18,明天再见吧？明天还是能再见的。,明日また会おう？明日だってまた会えるから。,サーシャ,True
name,我知道了。面包和书我就放这里了。,伊诺,,,,19,我知道了。面包和书我就放这里了。,わかりました。パンと本はここに置いておきます。,イーノ,True
name,......萨沙，我不想走。好痛。现在回去也会挨打的。,伊诺,,,,20,......萨沙，我不想走。好痛。现在回去也会挨打的。,……サーシャさん、私は帰りたくありません。とても辛いです。今帰っても、きっと叩かれてしまいます。,イーノ,True
name,......,萨沙,,,,21,......,……,サーシャ,True
name,那么明天来了，你如果被打了，就打我吧？,萨沙,,,,22,那么明天来了，你如果被打了，就打我吧？,じゃあ明日来て、お前が叩かれたら俺を叩いてくれ。,サーシャ,True
name,啊？......哈哈哈，萨沙，你是不是跟他们打架，把头脑打傻了？,伊诺,,,,23,啊？......哈哈哈，萨沙，你是不是跟他们打架，把头脑打傻了？,えっ？……ふふふ、サーシャさん、あなたはあの子たちと喧嘩して、頭が変になっちゃったんですか？,イーノ,True
name,你的身上还有伤，这么多伤。,伊诺,,,,24,你的身上还有伤，这么多伤。,あなたの体にもまだたくさん怪我があります。,イーノ,True
name,只要这样，就会有人能知道你很痛。至少有人知道。,萨沙,,,,25,只要这样，就会有人能知道你很痛。至少有人知道。,そうすれば、お前が辛いと分かる人がいる。少なくとも誰かが分かる。,サーシャ,True
name,嗯，我知道你的想法。但我不会的。,伊诺,,,,26,嗯，我知道你的想法。但我不会的。,はい、あなたの気持ちは分かっています。でも、私はそうしません。,イーノ,True
name,如果那几个孩子还在路上欺负你，告诉我！我会把他们全打趴的！,萨沙,,,,27,如果那几个孩子还在路上欺负你，告诉我！我会把他们全打趴的！,もしまたあの子たちがお前をいじめたら、俺に言えよ！全部やっつけてやるから！,サーシャ,True
name,我知道！,伊诺,,,,28,我知道！,分かってます！,イーノ,True
name,明天见！我还会来唱歌给你听的！,伊诺,,,,29,明天见！我还会来唱歌给你听的！,また明日！私はあなたに歌も歌ってあげますね！,イーノ,True
dialog,,,,,,30,,,,True
character,,,,,,31,,,,True
blocker,,,,,,32,,,,True
,我根本不知道他遭遇过什么。,,,,,33,我根本不知道他遭遇过什么。,私は彼が何を経験したか、まったく知らなかった。,,True
,我只知道他给过我吃的。,,,,,34,我只知道他给过我吃的。,彼が私に食べ物をくれたことだけ覚えている。,,True
,只知道他能读书，我也想读，他就教我。,,,,,35,只知道他能读书，我也想读，他就教我。,彼が本を読めて、私も読みたいと言ったら教えてくれたことしか知らない。,,True
,只知道其他孩子喜欢欺负他，因为他给我面包，我更有力气些，就打了他们，也被他们打过。,,,,,36,只知道其他孩子喜欢欺负他，因为他给我面包，我更有力气些，就打了他们，也被他们打过。,他が他の子たちによくいじめられていて、私にパンをくれたから、私は少し元気があって、彼らと殴り合いになったこともあった。,,True
,但我不知道他遭遇的是什么。,,,,,37,但我不知道他遭遇的是什么。,でも、彼が経験していたことは知らなかった。,,True
dialog,,,,,,38,,,,True
cameraeffect,,,,,,39,,,,True
background,,,,bg_indoor_u,,40,,,,True
blocker,,,,,,41,,,,True
name,我很怕。萨沙，我很害怕。,伊诺,,,,42,我很怕。萨沙，我很害怕。,私はとても怖いです。サーシャさん、私は本当に怖いです。,イーノ,True
