command,text_orig,key,is_skippable,fit_mode,screenadapt,image,fadetime,block,time,intro,volume,crossfade,delay,name,a,r,g,b,options,values,references,width,height,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,option_number,index,text,jp_text,jp_name,text_match
header,第一关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
background,,,,,coverall,bg_outcity_1,2,true,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
delay,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
playmusic,,$darkness02_loop,,,,,,,,$darkness02_loop,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,0,6,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,,,,,0,7,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
name,灰喉！你在哪里？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,9,灰喉！你在哪里？,グレイソー！どこにいるのですか？,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
name,阿米娅，我已经和近卫局汇合了，现在正在辅助近卫局小队战斗。,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,0,11,阿米娅，我已经和近卫局汇合了，现在正在辅助近卫局小队战斗。,アーミヤ、私はすでに近衛局と合流し、今は近衛局の小隊を支援して戦っています。,グレイソー,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,0,12,,,,False
name,我们马上就会赶去战场！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,13,我们马上就会赶去战场！,私たちもすぐに戦場へ向かいます！,アーミヤ,True
name,各位精英干员，请听我说，这次可能会是我们在龙门唯一一次，也是最后一次的大型作战。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,14,各位精英干员，请听我说，这次可能会是我们在龙门唯一一次，也是最后一次的大型作战。,みなさん、エリートオペレーターの皆さん、聞いてください。今回の作戦は龍門で唯一、そして最後の大規模作戦になるかもしれません。,アーミヤ,True
name,请各位以完成自己的第一任务为优先目标。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,15,请各位以完成自己的第一任务为优先目标。,各自の第一任務を最優先で達成してください。,アーミヤ,True
name,对敌指挥官的围攻，我和我的小队会全力参与。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,16,对敌指挥官的围攻，我和我的小队会全力参与。,敵の指揮官への包囲には、私と私の小隊も全力で参加します。,アーミヤ,True
name,请各位记住一件事：我们的首要目标，是完成合约内容，和近卫局一同保障龙门的安全。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,17,请各位记住一件事：我们的首要目标，是完成合约内容，和近卫局一同保障龙门的安全。,みなさん、ひとつ覚えておいてください。私たちの最優先目標は契約内容を完遂し、近衛局とともに龍門の安全を守ることです。,アーミヤ,True
name,但罗德岛在这次战斗中的任务，是减少感染者与普通市民间的摩擦，减少相互之间的冲突！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,18,但罗德岛在这次战斗中的任务，是减少感染者与普通市民间的摩擦，减少相互之间的冲突！,しかし、ロドスの今回の任務は、感染者と一般市民の摩擦を減らし、相互の衝突を最小限に抑えることです！,アーミヤ,True
name,无论抱着什么样的心态参与作战，我们都首先是罗德岛的一员！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,19,无论抱着什么样的心态参与作战，我们都首先是罗德岛的一员！,どんな気持ちで作戦に参加しても、私たちはまずロドスの一員です！,アーミヤ,True
name,无论何时，无论何地！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,20,无论何时，无论何地！,いつでも、どこでも！,アーミヤ,True
name,当然。如果我们的行动实质上会违反我们的准则，我们会立刻停止战斗！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,21,当然。如果我们的行动实质上会违反我们的准则，我们会立刻停止战斗！,もちろんです。もし私たちの行動が私たちの指針に反することになる場合、すぐに戦闘を中止します！,アーミヤ,True
name,所以，我们依然该为这场作战负责。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,22,所以，我们依然该为这场作战负责。,ですので、この作戦に対して私たちは責任を持たなければなりません。,アーミヤ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,,,,False
blocker,,,,,,,1,true,,,,,,,1,0,0,0,,,,,,,,,,,,,,0,25,,,,False
blocker,,,,,,,1,true,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,26,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#4,,,,,,,,,,,,,,,,,,0,27,,,,False
name,简直是说给我听的嘛。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,28,简直是说给我听的嘛。,まるで私に向けて言っているみたいだな。,スルト,True
name,她也担心太多事了......,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,29,她也担心太多事了......,彼女も心配しすぎだよ……,スルト,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,,,,False
decision,再不快点，我们要赶不上了。,,,,,,,,,,,,,,,,,,再不快点，我们要赶不上了。,1,,,,,,,,,,,,1,31,再不快点，我们要赶不上了。,早くしないと、間に合わなくなるぞ。,,True
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,32,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#5,,,,,,,,,,,,,,,,,,0,33,,,,False
name,没办法啊，刚才那些感染者有多难缠，你也亲眼见识过了。那可不是一个干员或者一支小队能对付的量和质。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,34,没办法啊，刚才那些感染者有多难缠，你也亲眼见识过了。那可不是一个干员或者一支小队能对付的量和质。,仕方ないな。さっきの感染者たちがどれだけ手強かったか、君も見ただろう。あの数と質は、オペレーター一人や小隊だけではどうにもならない。,スルト,True
name,果然，当时在天台上就该把那小子直接收了。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,35,果然，当时在天台上就该把那小子直接收了。,やっぱり、あのとき屋上であのガキを直接捕まえるべきだったな。,スルト,True
name,啊，通讯。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,36,啊，通讯。,ああ、通信だ。,スルト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,0,38,,,,False
name,你要是再不到设伏地点准备，我就把过去一年所有的违纪档案全部交给凯尔希医生！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,39,你要是再不到设伏地点准备，我就把过去一年所有的违纪档案全部交给凯尔希医生！,もしまだ待ち伏せ地点に来て準備しないなら、過去一年分の違反記録をすべてケルシー医師に渡しますよ！,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#6,,,,,,,,,,,,,,,,,,0,40,,,,False
name,......,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,0,41,......,……,スルト,True
