command,text_orig,key,is_skippable,fit_mode,time,a,r,g,b,fadetime,block,intro,volume,crossfade,delay,image,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,screenadapt,width,height,name,name2,focus,options,values,references,option_number,index,text,jp_text,jp_name,text_match
header,第一关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
blocker,,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
playmusic,,$loneliness_loop,,,,,,,,,,$loneliness_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,0,3,,,,False
image,,,,,,,,,,0,,,,,,avg_6_13,0,0,1.1,1.1,,,,,,,,,,,,,,,0,4,,,,False
blocker,,,,,,0,,,,2,true,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
imagetween,,,,,,,,,,,false,,,,,,,,,,1.1,1.1,1,1,15,,,,,,,,,,0,6,,,,False
delay,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
blocker,,,,,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
image,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,False
blocker,,,,,,0,,,,0.6,true,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
background,,,,,,,,,,2,true,,,,,bg_indoor_n,,,,,,,,,,coverall,1,1,,,,,,,0,11,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,2,,,,0,13,,,,False
name,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,14,......,……,ファントムボウマン,True
name,他不哭了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,15,他不哭了。,彼はもう泣いていない。,ファントムボウマン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,1,,,,0,16,,,,False
name,他这个眼神，怎么和脑死了一样。,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,0,17,他这个眼神，怎么和脑死了一样。,彼のあの目つき、まるで脳死みたいじゃないか。,統合運動メンバー,True
name,他我可怜不起来。我可怜浮士德，他救了我的命，也是个好指挥官。,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,0,18,他我可怜不起来。我可怜浮士德，他救了我的命，也是个好指挥官。,彼には同情できない。フリードリヒには同情する、彼は私の命を救ってくれたし、良い指揮官だった。,統合運動メンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,2,,,,0,19,,,,False
name,浮士德把梅菲斯特托付给了我们......这是他最后的命令。我们会做到。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,20,浮士德把梅菲斯特托付给了我们......这是他最后的命令。我们会做到。,フリードリヒはメフィストを私たちに託した……それが彼の最後の命令だった。私たちは果たすよ。,ファントムボウマン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,1,,,,0,21,,,,False
name,干我什么事？,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,0,22,干我什么事？,それが俺に何の関係がある？,統合運動メンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,2,,,,0,23,,,,False
name,一起出城，你们存活的可能性会大些。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,24,一起出城，你们存活的可能性会大些。,一緒に町を出れば、君たちが生き残る可能性は高くなる。,ファントムボウマン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,1,,,,0,25,,,,False
name,......行，那走吧。,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,0,26,......行，那走吧。,……わかった、じゃあ行こう。,統合運動メンバー,True
name,你们要把他带去哪？,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,0,27,你们要把他带去哪？,君たちは彼をどこに連れていくつもりなんだ？,統合運動メンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,2,,,,0,28,,,,False
name,浮士德说过，不希望我们带他回切尔诺伯格。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,29,浮士德说过，不希望我们带他回切尔诺伯格。,フリードリヒは、彼をチェルノボーグへ連れ戻してほしくないと言っていた。,ファントムボウマン,True
name,......可他又有哪里可以去？,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,30,......可他又有哪里可以去？,……でも彼はどこに行けばいいんだ？,ファントムボウマン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,1,,,,0,31,,,,False
name,你们跟浮士德多久了？,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,0,32,你们跟浮士德多久了？,君たちはフリードリヒとどれくらい一緒にいたんだ？,統合運動メンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,2,,,,0,33,,,,False
name,哈......一开始，是他跟着我们才对。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,34,哈......一开始，是他跟着我们才对。,はは……最初は、彼が私たちについてきたんだよ。,ファントムボウマン,True
name,四五年前，浮士德并不会用什么战术，弩箭用的也并不好。这些都是我们教他的。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,35,四五年前，浮士德并不会用什么战术，弩箭用的也并不好。这些都是我们教他的。,四、五年前、フリードリヒは戦術なんて使えなかったし、ボウの扱いも上手くなかった。それを私たちが教えたんだ。,ファントムボウマン,True
name,他不断地学，不断地练习，和雪怪切磋，和爱国者的士兵一起训练，他越来越强......,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,36,他不断地学，不断地练习，和雪怪切磋，和爱国者的士兵一起训练，他越来越强......,彼は絶えず学び、練習し、イエティと切磋琢磨し、パトリオットの兵士たちとも訓練し、どんどん強くなった……,ファントムボウマン,True
name,爱国者和霜星都教过他。他成了我们的队长，虽然我们不怎么这么叫他，但他名副其实。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,37,爱国者和霜星都教过他。他成了我们的队长，虽然我们不怎么这么叫他，但他名副其实。,パトリオットも、フロストノヴァも彼を指導してくれた。彼は私たちの隊長となった。そう呼ぶことは少なかったが、ふさわしい人物だった。,ファントムボウマン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,1,,,,0,38,,,,False
name,......你们很幸运。,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,0,39,......你们很幸运。,……君たちは幸運だったな。,統合運動メンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,2,,,,0,40,,,,False
name,不管梅菲斯特怎么样，浮士德从来没逼我们做过什么。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,41,不管梅菲斯特怎么样，浮士德从来没逼我们做过什么。,メフィストがどうであれ、フリードリヒは私たちに何かを強制したことは一度もなかった。,ファントムボウマン,True
name,射手们，不要省高爆弩弹了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,42,射手们，不要省高爆弩弹了。,弓兵たちよ、高威力の弩弾は惜しまず使え。,ファントムボウマン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,1,,,,0,43,,,,False
name,这些弩弹，一会儿还能用来对付近卫局啊？,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,0,44,这些弩弹，一会儿还能用来对付近卫局啊？,これらの弩弾は、後で近衛局に対しても使えるのか？,統合運動メンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,2,,,,0,45,,,,False
name,浮士德一直坚持为我们死去的队友这么做。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,46,浮士德一直坚持为我们死去的队友这么做。,フリードリヒはずっと、死んだ仲間のためにこうしてきたんだ。,ファントムボウマン,True
name,“表达敬意可以不算是浪费。”,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,47,“表达敬意可以不算是浪费。”,「敬意を表するのは、無駄とは言えない」,ファントムボウマン,True
blocker,,,,,,1,0,0,0,0.5,true,,,,,,,,,,,,,,,,,,,,,,,,0,48,,,,False
background,,,,,,,,,,,,,,,,bg_outcity_1,,,,,,,,,,coverall,1,1,,,,,,,0,49,,,,False
blocker,,,,,,0,0,0,0,0.5,true,,,,,,,,,,,,,,,,,,,,,,,,0,50,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#3,,,,,,0,51,,,,False
name,灰喉？,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,52,灰喉？,グレイソート？,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_367_swllow_1,,,,,,0,53,,,,False
name,他......,,,,,,,,,,,,,,,,,,,,,,,,,,,,灰喉,,,,,,0,54,他......,彼は……,グレイソート,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,char_367_swllow_1,1,,,,0,55,,,,False
name,如果我没记错，他应该是梅菲斯特身边的弩手，整合运动的另一位指挥官。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,56,如果我没记错，他应该是梅菲斯特身边的弩手，整合运动的另一位指挥官。,もし私の記憶が間違ってなければ、彼はメフィストのそばの弩手で、統合運動のもう一人の指揮官のはず。,アーミヤ,True
name,......你认识他？,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,57,......你认识他？,……彼を知っているの？,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,char_367_swllow_1#3,2,,,,0,58,,,,False
name,我不知道。我不知道自己和他......算不算认识。,,,,,,,,,,,,,,,,,,,,,,,,,,,,灰喉,,,,,,0,59,我不知道。我不知道自己和他......算不算认识。,わからない。自分と彼が……知り合いと言えるのかわからない。,グレイソート,True
decision,罗德岛能做的事，好像真的不多。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,罗德岛能做的事，好像真的不多。;......;我们真的有成功救下过什么感染者吗？,1;2;3,,3,60,罗德岛能做的事，好像真的不多。,ロドスができることは、本当にあまり多くないみたい。,,True
decision,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,罗德岛能做的事，好像真的不多。;......;我们真的有成功救下过什么感染者吗？,1;2;3,,3,61,......,……,,True
decision,我们真的有成功救下过什么感染者吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,罗德岛能做的事，好像真的不多。;......;我们真的有成功救下过什么感染者吗？,1;2;3,,3,62,我们真的有成功救下过什么感染者吗？,私たちは本当に感染者を救えたことがあったのだろうか？,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,0,63,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,64,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,0,65,,,,False
name,是啊。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,66,是啊。,そうだね。,アーミヤ,True
name,罗德岛就是这样......大多数时候，都是这样。,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,0,67,罗德岛就是这样......大多数时候，都是这样。,ロドスはそういうもの……ほとんどの場合、そうなんだ。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,0,68,,,,False
