command,text_orig,key,is_skippable,fit_mode,a,r,g,b,fadetime,block,image,x,y,xScale,yScale,intro,volume,crossfade,delay,xFrom,yFrom,xTo,yTo,duration,screenadapt,time,name,name2,focus,width,height,options,values,references,xstrength,ystrength,vibrato,randomness,fadeout,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,option_number,index,text,jp_text,jp_name,text_match
header,第三关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
blocker,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
image,,,,,,,,,0,,avg_6_14,0,0,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
blocker,,,,,0,,,,2,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
playmusic,,$darkness02_loop,,,,,,,,,,,,,,$darkness02_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
imagetween,,,,,,,,,,false,,,,1.1,1.1,,,,,0,0,30,0,15,,,,,,,,,,,,,,,,,,,,0,7,,,,False
,9：00 A.M. 天气/阴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
,近卫局大楼天台攻防战14小时之前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,False
,切尔诺伯格分城“14区”废墟上空300米处，“坏家伙”号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
,任务目标：与罗德岛救援小队合流，营救侦察小组,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,,,,False
,人员配置：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,,False
,“坏家伙”号及其飞行员；罗德岛精英干员-煌，及其小队成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,,,,False
,共一十四人。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,,,,False
,[Dialog ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,,,,False
blocker,,,,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,,,,False
image,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,,,,False
blocker,,,,,0,,,,0.6,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,,,False
background,,,,,,,,,1,true,bg_aircraft,,,,,,,,,,,,,,coverall,,,,,,,,,,,,,,,,,,,0,19,,,,False
daley,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,20,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,avg_npc_012,,,,,,,,,,,,,,,,,0,21,,,,False
name,我们已经到了，阿米娅她们就在这个位置附近！,,,,,,,,,,,,,,,,,,,,,,,,,,飞行员,,,,,,,,,,,,,,,,,0,22,我们已经到了，阿米娅她们就在这个位置附近！,到着しました。アーミヤたちはこのあたりにいます！,パイロット,True
name,把小队放在城外，真的好吗？我们现在只有两个人，你下去你只有一个人！,,,,,,,,,,,,,,,,,,,,,,,,,,飞行员,,,,,,,,,,,,,,,,,0,23,把小队放在城外，真的好吗？我们现在只有两个人，你下去你只有一个人！,部隊を街の外に残して、本当に大丈夫ですか？今、私たちは二人だけです。あなたが降りれば、あなた一人になりますよ！,パイロット,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,,,,False
name,哎呀，让他们阻截整合运动的追兵，顺带着清理下场地，比让他们在这打仗要有意义得多。,,,,,,,,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,0,25,哎呀，让他们阻截整合运动的追兵，顺带着清理下场地，比让他们在这打仗要有意义得多。,あら、彼らに整合運動の追っ手を阻止させて、ついでに現場の掃除までさせる。そのほうがここで戦わせるよりずっと意味があるよ。,？？？,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,avg_npc_012,,,,,,,,,,,,,,,,,0,26,,,,False
name,行。地形不太好，我只能送你到这儿。,,,,,,,,,,,,,,,,,,,,,,,,,,飞行员,,,,,,,,,,,,,,,,,0,27,行。地形不太好，我只能送你到这儿。,了解です。地形があまり良くないので、ここまでしか送れません。,パイロット,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,,,,False
name,足够了。,,,,,,,,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,0,29,足够了。,十分だ。,？？？,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,avg_npc_012,,,,,,,,,,,,,,,,,0,30,,,,False
name,......至少让我给你放条挂索下去？,,,,,,,,,,,,,,,,,,,,,,,,,,飞行员,,,,,,,,,,,,,,,,,0,31,......至少让我给你放条挂索下去？,……せめてロープを下ろさせてください？,パイロット,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,,,,False
name,不，你什么时候见我用过挂索？,,,,,,,,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,0,33,不，你什么时候见我用过挂索？,いや、私が今までロープを使ったこと、いつか見たことある？,？？？,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,avg_npc_012,,,,,,,,,,,,,,,,,0,34,,,,False
name,又要乱来？！,,,,,,,,,,,,,,,,,,,,,,,,,,飞行员,,,,,,,,,,,,,,,,,0,35,又要乱来？！,また無茶する気ですか？！,パイロット,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,,,,False
name,啊？怎么了？乱来啥？,,,,,,,,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,0,37,啊？怎么了？乱来啥？,あ？どうした？無茶って何のこと？,？？？,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,avg_npc_012,,,,,,,,,,,,,,,,,0,38,,,,False
name,每次和你出任务......你干的那些事儿，我光是坐在驾驶座看着都觉着心惊肉跳。,,,,,,,,,,,,,,,,,,,,,,,,,,飞行员,,,,,,,,,,,,,,,,,0,39,每次和你出任务......你干的那些事儿，我光是坐在驾驶座看着都觉着心惊肉跳。,毎回あなたと任務に出ると……あなたのやることを運転席で見ているだけで、心臓がバクバクです。,パイロット,True
name,虽然不知不觉中也快习惯了，可这也改变不了你次次乱来的事实啊。,,,,,,,,,,,,,,,,,,,,,,,,,,飞行员,,,,,,,,,,,,,,,,,0,40,虽然不知不觉中也快习惯了，可这也改变不了你次次乱来的事实啊。,慣れてきたとは言え、それでもあなたが毎回無茶するのは変わりませんよ。,パイロット,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,,,,False
name,这说明我和我的小队，和你是有默契的！,,,,,,,,,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,0,42,这说明我和我的小队，和你是有默契的！,これは私と私の小隊、それに君との間に阿吽の呼吸がある証拠だ！,？？？,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,avg_npc_012,,,,,,,,,,,,,,,,,0,43,,,,False
name,哪敢和你有什么默契！上回你们把人家的聚落拆了，蓄水池填了，还顺带着炸掉了矿场。,,,,,,,,,,,,,,,,,,,,,,,,,,飞行员,,,,,,,,,,,,,,,,,0,44,哪敢和你有什么默契！上回你们把人家的聚落拆了，蓄水池填了，还顺带着炸掉了矿场。,あなたと息が合うなんてとんでもない！前回は集落をぶっ壊して、貯水池まで埋めて、それに鉱山まで爆破したじゃないですか。,パイロット,True
name,你脑瓜子里装着的那些胡思乱想，请通通留在地面上，别带上我的宝贝！,,,,,,,,,,,,,,,,,,,,,,,,,,飞行员,,,,,,,,,,,,,,,,,0,45,你脑瓜子里装着的那些胡思乱想，请通通留在地面上，别带上我的宝贝！,あなたのその頭の中にある突飛な考えは全部この地上に置いていって、私の愛機には持ち込まないでください！,パイロット,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,,,,False
