command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,block,a,r,g,b,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,options,values,references,option_number,index,text,jp_text,jp_name,text_match
header,第三关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
background,,,,,bg_cher_11,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
playmusic,,$chernormal_loop,,,,,,,$chernormal_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
character,,,,,,,,,,,,,,char_017_homura_3#6,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
name,哈，哈......,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,5,哈，哈......,はぁ、はぁ......,コウ,True
character,,,,,,,,,,,,,,char_017_homura_3#6,char_002_amiya_1#7,2,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
name,煌！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,0,7,煌！,コウ！,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#5,char_002_amiya_1#7,1,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
name,我没事！他们还......真有点本事。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,9,我没事！他们还......真有点本事。,私は無事だ！あいつら、なかなかやるな。,コウ,True
name,没被冻着吧？,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,10,没被冻着吧？,凍えてないか？,コウ,True
character,,,,,,,,,,,,,,char_017_homura_3#5,char_002_amiya_1#7,2,,,,,,,,,,,,,,,,,,,,,,,0,11,,,,False
name,让区域内的空气变热阻绝她的寒流，也只有你能做到了。多亏了你，我们没什么损伤。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,0,12,让区域内的空气变热阻绝她的寒流，也只有你能做到了。多亏了你，我们没什么损伤。,この区域の空気を温めて彼女の冷気を防げるのは、君だけだよ。おかげで、私たちは大きなダメージを受けずにすんだ。,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#5,char_002_amiya_1#7,1,,,,,,,,,,,,,,,,,,,,,,,0,13,,,,False
name,小意思。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,14,小意思。,たいしたことじゃないさ。,コウ,True
character,,,,,,,,,,,,,,char_017_homura_3#9,,,,,,,,,,,,,,,,,,,,,,,,,0,15,,,,False
name,用冰的，你怎么不用致死性法术？,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,16,用冰的，你怎么不用致死性法术？,氷を使うなら、どうして致死性の術を使わないんだ？,コウ,True
character,,,,,,,,,,,,,,char_1505_frstar_1#7,,,,,,,,,,,,,,,,,,,,,,,,,0,17,,,,False
camerashake,,,,,,,,,,,,,,,,,1,0,5,10,10,true,false,,,,,,,,,,,,,,,,0,18,,,,False
name,咳，咳......,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,0,19,咳，咳......,ゴホッ、ゴホッ……,シュワンシン,True
character,,,,,,,,,,,,,,char_017_homura_3#5,,,,,,,,,,,,,,,,,,,,,,,,,0,20,,,,False
name,......,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,21,......,……,コウ,True
name,原来如此。,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,22,原来如此。,なるほどな。,コウ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,0,23,,,,False
name,......霜星她那个样子......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,0,24,......霜星她那个样子......,……シュワンシンのあの様子は……,アーミヤ,True
character,,,,,,,,,,,,,,char_017_homura_3#5,,,,,,,,,,,,,,,,,,,,,,,,,0,25,,,,False
name,霜星，是吗？,,,,,,,,,,,,,煌,,,,,,,,,,,,,,,,,,,,,,,,,0,26,霜星，是吗？,シュワンシン、か？,コウ,True
character,,,,,,,,,,,,,,char_1505_frstar_1,avg_npc_037,1,,,,,,,,,,,,,,,,,,,,,,,0,27,,,,False
name,咳......帮我......遮一下......,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,0,28,咳......帮我......遮一下......,ゴホッ……ちょっと……隠して……,シュワンシン,True
character,,,,,,,,,,,,,,char_1505_frstar_1,avg_npc_037,2,,,,,,,,,,,,,,,,,,,,,,,0,29,,,,False
