command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,time,intro,volume,crossfade,delay,name,name2,focus,a,r,g,b,block,index,text,jp_text,jp_name,text_match
header,第四关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,coverall,bg_indoor_n,1,1,2,,,,,,,,,,,,,,1,,,,False
delay,,,,,,,,,,0.6,,,,,,,,,,,,,2,,,,False
playmusic,,$mist_loop,,,,,,,,,$mist_intro,0.8,1.5,0.5,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#5,,,,,,,,4,,,,False
name,走吧。,,,,,,,,,,,,,,陈,,,,,,,,5,走吧。,行こう。,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1#5,char_015_lmg,2,,,,,,6,,,,False
name,可我们并不熟这里的构造，我害怕......感染者会针对我们行动。,,,,,,,,,,,,,,近卫局成员,,,,,,,,7,可我们并不熟这里的构造，我害怕......感染者会针对我们行动。,でも私たちはここの構造に詳しくありません。不安です……感染者がこちらを狙って行動するかもしれません。,近衛局隊員,True
character,,,,,,,,,,,,,,,char_010_chen_1#5,char_015_lmg,1,,,,,,8,,,,False
name,放心，我很熟悉这里。听我的指挥。,,,,,,,,,,,,,,陈,,,,,,,,9,放心，我很熟悉这里。听我的指挥。,安心して、私はここに詳しい。私の指示に従って。,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1#5,char_015_lmg,2,,,,,,10,,,,False
name,Yes sir！,,,,,,,,,,,,,,近卫局成员,,,,,,,,11,Yes sir！,イエス、サー！,近衛局隊員,True
name,陈sir，有个不太好的消息。根据各处的通报，整合运动的行动又变得有条理了起来，就像重新找到了指挥官一样！,,,,,,,,,,,,,,近卫局成员,,,,,,,,12,陈sir，有个不太好的消息。根据各处的通报，整合运动的行动又变得有条理了起来，就像重新找到了指挥官一样！,チェンさん、あまり良くない報告があります。各方面からの通報によると、整合運動の行動がまた組織的になってきました。まるで指揮官を取り戻したかのようです！,近衛局隊員,True
name,他们......他们还调整了既有频道，重置了加密，我们没法再追踪他们的通讯了！,,,,,,,,,,,,,,近卫局成员,,,,,,,,13,他们......他们还调整了既有频道，重置了加密，我们没法再追踪他们的通讯了！,彼らは……既存の通信チャンネルも調整し、暗号もリセットしました。これでもう彼らの通信を追跡できません！,近衛局隊員,True
character,,,,,,,,,,,,,,,char_010_chen_1#1,char_015_lmg,1,,,,,,14,,,,False
name,......难道他们和贫民区里的队伍汇合了？,,,,,,,,,,,,,,陈,,,,,,,,15,......难道他们和贫民区里的队伍汇合了？,……まさか、彼らはスラム街の部隊と合流したのか？,チェン,True
name,不可能，我已经收到消息说罗德岛处理好了贫民区里的事情，这才让我们得以不被里外夹击。,,,,,,,,,,,,,,陈,,,,,,,,16,不可能，我已经收到消息说罗德岛处理好了贫民区里的事情，这才让我们得以不被里外夹击。,そんなはずはない。ロドスがスラムの問題は処理したと連絡があった。それで私たちは両側から挟まれずに済んだんだ。,チェン,True
name,奇怪......,,,,,,,,,,,,,,陈,,,,,,,,17,奇怪......,おかしいな……,チェン,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,1,,,,,,18,,,,False
name,阿陈，我准备——,,,,,,,,,,,,,,诗怀雅,,,,,,,,19,阿陈，我准备——,チェン、私は準備——,スワイヤー,True
playsound,,$d_gen_transmissionget,,,,,,,,,,0.4,,,,,,,,,,,20,,,,False
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,2,,,,,,21,,,,False
name,通讯？,,,,,,,,,,,,,,陈,,,,,,,,22,通讯？,通信か？,チェン,True
name,“小姐”，麻烦你去那边等我。,,,,,,,,,,,,,,陈,,,,,,,,23,“小姐”，麻烦你去那边等我。,「お嬢さん」、向こうで待っててもらえますか。,チェン,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,1,,,,,,24,,,,False
name,你怎么每次时间都卡这么准非要在我有事找你的时候有事？,,,,,,,,,,,,,,诗怀雅,,,,,,,,25,你怎么每次时间都卡这么准非要在我有事找你的时候有事？,なんで私が用がある時にかぎって、あなたも用事があるの？,スワイヤー,True
name,线人连上了？,,,,,,,,,,,,,,诗怀雅,,,,,,,,26,线人连上了？,密偵（せんにん）はつながった？,スワイヤー,True
character,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,2,,,,,,27,,,,False
name,你快去。下次给你买鳞鱼蛋吃。,,,,,,,,,,,,,,陈,,,,,,,,28,你快去。下次给你买鳞鱼蛋吃。,早く行って。次はウロコ魚の卵を買ってあげるよ。,チェン,True
character,,,,,,,,,,,,,,,char_308_swire_1#6,char_010_chen_1#1,1,,,,,,29,,,,False
name,你当我小孩吗？,,,,,,,,,,,,,,诗怀雅,,,,,,,,30,你当我小孩吗？,私を子供扱いしてるの？,スワイヤー,True
blocker,,,,,,,,,0.5,,,,,,,,,1,0,0,0,true,31,,,,False
blocker,,,,,,,,,0.5,,,,,,,,,0,0,0,0,true,32,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,,0.4,,,,,,,,,,,33,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#5,,,,,,,,34,,,,False
name,......我是陈。,,,,,,,,,,,,,,陈,,,,,,,,35,......我是陈。,……チェンだ。,チェン,True
name,有新的整合运动成员从贫民区下层过来了。,,,,,,,,,,,,,,？？？,,,,,,,,36,有新的整合运动成员从贫民区下层过来了。,新たな整合運動のメンバーがスラム下層からやってきました。,？？？,True
name,被称作是雪怪小队的感染者，似乎有毁坏建筑物、摧毁城市基础结构的能力。,,,,,,,,,,,,,,？？？,,,,,,,,37,被称作是雪怪小队的感染者，似乎有毁坏建筑物、摧毁城市基础结构的能力。,スノーデビル小隊と呼ばれる感染者たちです。建物を壊したり都市インフラを破壊したりする能力があるようです。,？？？,True
