command,text_orig,key,is_skippable,fit_mode,time,a,r,g,b,fadetime,block,intro,volume,image,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,screenadapt,name,name2,focus,Delay,xstrength,ystrength,vibrato,randomness,afrom,rfrom,gfrom,bfrom,fadeout,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
blocker,,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,False
playmusic,,$drift_loop,,,,,,,,,,$drift_intro,0.4,,,,,,,,,,,,,,,,,,,,,,,5,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,False
blocker,,,,,,1,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,False
image,,,,,,,,,,0,,,,avg_7_1,1,1,,,,,,,,,,,,,,,,,,,,9,,,,False
imagetween,,,,,,,,,,,false,,,,,,1,1,0.87,0.87,20,,,,,,,,,,,,,,,10,,,,False
blocker,,,,,,0,,,,3,true,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,False
,曾经有个老怪物告诉我，杀不死一个人的器物，只会让他的力量得到壮大。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,False
,我一直觉得这个说法很可笑。但碍于那家伙确实是个怪物，所以我又不得不好好考虑这个说法。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,False
,虫子自己跳进火里，难道是在寻求更强健的自我？也太可笑了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,False
,不，先不说虫子原本有多少智慧，身体又有多脆弱。要知道，一只虫子再怎么强壮，也始终是只虫子。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,False
,如果虫子跳进火里，只能证明火焰搞乱了它的脑子，如果它有的话，它肯定疯了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,False
,但如果扑向火焰的是我呢？那除了证明我也疯了，还能证明得了什么呢？它除了烧伤我，难道还会让我变得更厉害吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,False
,但是，死亡。不死的怪物又怎么会懂呢？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,False
,啊，这可是谁都无法抗拒的苦涩死亡。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,False
blocker,,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,False
background,,,,,,,,,,,,,,bg_cenbri,,,,,,,,coverall,,,,,,,,,,,,,,23,,,,False
blocker,,,,,,0,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,False
character,,,,,,,,,,1,true,,,,,,,,,,,,avg_npc_046#2,,,,,,,,,,,,,26,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,False
delay,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,False
name,你还愿意见我？真让我意外。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,29,你还愿意见我？真让我意外。,まだ私に会いに来てくれるの？本当に意外だな。,W,True
name,我以为你已经完全沉溺进捣毁龙门的大计里去了，塔露拉。,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,30,我以为你已经完全沉溺进捣毁龙门的大计里去了，塔露拉。,私はてっきり、タルラ、君はもう龍門破壊の大計画にどっぷり浸かっていると思っていたよ。,W,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,False
