command,text_orig,key,is_skippable,fit_mode,time,fadetime,block,a,r,g,b,image,screenadapt,volume,intro,name,name2,focus,options,values,references,duration,xstrength,ystrength,vibrato,randomness,fadeout,option_number,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
blocker,,,,,,1,true,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
dialog,,,,,,2,true,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
blocker,,,,,,2,true,1,0,0,0,,,,,,,,,,,,,,,,,0,9,,,,False
background,,,,,,,,,,,,bg_chercen_1,coverall,,,,,,,,,,,,,,,0,10,,,,False
playsound,,$d_gen_soldiersrun,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0,11,,,,False
blocker,,,,,,2,true,0,0,0,0,,,,,,,,,,,,,,,,,0,12,,,,False
,切城中央区  1:20 p.m.,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,,,,False
playmusic,,$batmeeting_loop,,,,,,,,,,,,0.4,$batmeeting_intro,,,,,,,,,,,,,0,14,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,,,,False
character,,,,,,1,true,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,16,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,17,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,,,,1,,,,,,,,,,,,,,0,18,,,,False
name,Raidian，我是凯尔希。我们现在身处核心城中央区域的边缘。离仓库区出口四百一十米，17，67，西南方向。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,19,Raidian，我是凯尔希。我们现在身处核心城中央区域的边缘。离仓库区出口四百一十米，17，67，西南方向。,Raidian、私がケルシーです。私たちは今、コアシティ中央区域の端にいます。倉庫区域の出口から410メートル、17、67、南西方向です。,ケルシー,True
name,你到位了吗？行动中有没有发生意外？,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,20,你到位了吗？行动中有没有发生意外？,到着しましたか？行動中に予期せぬことはありませんでしたか？,ケルシー,True
name,“畅通无阻”？,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,21,“畅通无阻”？,「問題なし」？,ケルシー,True
name,......事实似乎与我们的推测完全吻合。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,22,......事实似乎与我们的推测完全吻合。,……事実は私たちの推測とまったく一致しているようですね。,ケルシー,True
name,整合运动已经将游击队集中布置在了核心城的各个枢纽部分，其他地域则派驻了普通的整合运动与萨卡兹雇佣兵。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,23,整合运动已经将游击队集中布置在了核心城的各个枢纽部分，其他地域则派驻了普通的整合运动与萨卡兹雇佣兵。,インテグラルムーブメントは既にゲリラ隊をコアシティの各要所に集中配置しており、その他の地域には通常のインテグラルムーブメントとサルカズ傭兵を配備しています。,ケルシー,True
name,在所有区域都投入防卫力量极不明智，精锐会被集中在关键地域。如果我是整合运动的战地指挥官，我也会这么做。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,24,在所有区域都投入防卫力量极不明智，精锐会被集中在关键地域。如果我是整合运动的战地指挥官，我也会这么做。,全ての区域に防衛力を分散投入するのは極めて不合理です。精鋭は重要な場所に集中されます。もし私がインテグラルムーブメントの戦地指揮官なら、同じ判断をくだすでしょう。,ケルシー,True
character,,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,0,25,,,,False
name,医生！,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,26,医生！,ドクター！,アーミヤ,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,27,,,,False
name,我知道你想和Raidian讨论，阿米娅。不用着急。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,28,我知道你想和Raidian讨论，阿米娅。不用着急。,アーミヤ、あなたがRaidianと話したいのは分かっています。焦らなくても大丈夫です。,ケルシー,True
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,0,29,,,,False
name,我，我也要......,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,30,我，我也要......,わ、私も……,ローズマリー,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,avg_npc_042,1,,,,,,,,,,0,31,,,,False
name,......我们还有任务。下次好吗？,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,32,......我们还有任务。下次好吗？,……私たちにはまだ任務があります。次にしましょうか？,ケルシー,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,avg_npc_042,2,,,,,,,,,,0,33,,,,False
name,唔，嗯......好。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,34,唔，嗯......好。,う、うん……いいよ。,ローズマリー,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,35,,,,False
name,Raidian，阿米娅会与你通话。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,36,Raidian，阿米娅会与你通话。,Raidian、アーミヤがあなたに話しかけます。,ケルシー,True
character,,,,,,,,,,,,,,,,char_002_amiya_1#3,,,,,,,,,,,,0,37,,,,False
name,好的！,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,38,好的！,はい！,アーミヤ,True
