command,text_orig,name,option_number,option_value,references,focus,image,values,index,text,jp_text,jp_name,text_match
header,,,0,,,,,,0,,,,False
stopmusic,,,0,,,,,,1,,,,False
dialog,,,0,,,,,,2,,,,False
character,,,0,,,,,,3,,,,False
playmusic,,,0,,,,,,4,,,,False
blocker,,,0,,,,,,5,,,,False
background,,,0,,,,bg_chercen_1,,6,,,,False
blocker,,,0,,,,,,7,,,,False
dialog,,,0,,,,,,8,,,,False
character,,,0,,,,,,9,,,,False
playsound,,,0,,,,,,10,,,,False
name,第三传令兵，解除！,阿米娅,0,,,,,,11,第三传令兵，解除！,第3の伝令兵、解除してください！,アーミヤ,True
dialog,,,0,,,,,,12,,,,False
character,,,0,,,,,,13,,,,False
playsound,,,0,,,,,,14,,,,False
name,第七传令兵，成功摧毁！,迷迭香,0,,,,,,15,第七传令兵，成功摧毁！,第7の伝令兵、破壊に成功！,ローズマリー,True
character,,char_003_kalts_1,0,,,,,,16,,,,False
name,第八传令兵，截获。,凯尔希,0,,,,,,17,第八传令兵，截获。,第8の伝令兵、捕捉した。,ケルシー,True
name,Raidian，立刻展开佯攻！用你的法术扩大影响范围，直接种进他们神经系统里也可以！,凯尔希,0,,,,,,18,Raidian，立刻展开佯攻！用你的法术扩大影响范围，直接种进他们神经系统里也可以！,Raidian、すぐに陽動を展開しろ！お前の術で影響範囲を広げてもいいし、直接やつらの神経系に植え付けても構わない！,ケルシー,True
name,把所有敌人都拉出去！,凯尔希,0,,,,,,19,把所有敌人都拉出去！,すべての敵を引きずり出せ！,ケルシー,True
dialog,,,0,,,,,,20,,,,False
character,,,0,,,,,,21,,,,False
blocker,,,0,,,,,,22,,,,False
playsound,,,0,,,,,,23,,,,False
blocker,,,0,,,,,,24,,,,False
character,,char_002_amiya_1,0,,,,,,25,,,,False
name,哈，哈......太艰难了。各位都还好吗？,阿米娅,0,,,,,,26,哈，哈......太艰难了。各位都还好吗？,はぁ、はぁ……とても大変でした。皆さん、大丈夫ですか？,アーミヤ,True
character,,char_002_amiya_1,0,,,2,,,27,,,,False
name,现在还算没问题......但......真的太激烈了。我再怎么也没搞过这种规模的战斗......,罗德岛干员,0,,,,,,28,现在还算没问题......但......真的太激烈了。我再怎么也没搞过这种规模的战斗......,今のところは大丈夫……でも……本当に激しかった。こんな規模の戦闘は経験したことがない……,ロドスオペレーター,True
name,这回要是能回得去，我想放假！,罗德岛干员,0,,,,,,29,这回要是能回得去，我想放假！,今回は帰れたら、休暇をもらいたい！,ロドスオペレーター,True
character,,char_002_amiya_1,0,,,1,,,30,,,,False
name,好。我一定批准。,阿米娅,0,,,,,,31,好。我一定批准。,わかりました。必ず許可します。,アーミヤ,True
character,,char_002_amiya_1#7,0,,,,,,32,,,,False
name,但首先......先把这支小队吃下来！在这之后，提薪、长假、特派，都可以！,阿米娅,0,,,,,,33,但首先......先把这支小队吃下来！在这之后，提薪、长假、特派，都可以！,でもまず……この小隊を倒してください！そのあとで、昇給も長期休暇も特別任務も、全部許可します！,アーミヤ,True
dialog,,,0,,,,,,34,,,,False
character,,,0,,,,,,35,,,,False
blocker,,,0,,,,,,36,,,,False
playsound,,,0,,,,,,37,,,,False
blocker,,,0,,,,,,38,,,,False
character,,avg_npc_058,0,,,,,,39,,,,False
delay,,,0,,,,,,40,,,,False
playsound,,,0,,,,,,41,,,,False
name,有敌军！,游击队战士,0,,,,,,42,有敌军！,敵軍だ！,ゲリラ戦士,True
name,别被扰乱步调！重整队形！,游击队战士,0,,,,,,43,别被扰乱步调！重整队形！,混乱するな！隊形を立て直せ！,ゲリラ戦士,True
name,东面出口正在激烈交火？别轻举妄动。我们缓步推过去，不要让敌人有可乘之机！,游击队战士,0,,,,,,44,东面出口正在激烈交火？别轻举妄动。我们缓步推过去，不要让敌人有可乘之机！,東側出口で激しい交戦中か？不用意に動くな。ゆっくり進んで、敵に隙を与えるな！,ゲリラ戦士,True
name,这战术不像乌萨斯，也不像炎。怎么回事？这次是谁？,游击队战士,0,,,,,,45,这战术不像乌萨斯，也不像炎。怎么回事？这次是谁？,この戦術はウルサスでもヤンでもない。どういうことだ？今回は誰だ？,ゲリラ戦士,True
name,长年伏击乌萨斯军，现在轮到我们被设计？,游击队战士,0,,,,,,46,长年伏击乌萨斯军，现在轮到我们被设计？,長年ウルサス軍を待ち伏せしてきたのに、今度は俺たちが罠にかけられるのか？,ゲリラ戦士,True
name,没有发生实质上的战斗？......孬种！小看游击队要付出代价！,游击队战士,0,,,,,,47,没有发生实质上的战斗？......孬种！小看游击队要付出代价！,実質的な戦闘が起きていない？……臆病者め！ゲリラを侮ると痛い目を見るぞ！,ゲリラ戦士,True
name,小心祭坛！大尉给我们涂上的保护只能减轻影响。他叮嘱多次，如果不是必要，别走那里！,游击队战士,0,,,,,,48,小心祭坛！大尉给我们涂上的保护只能减轻影响。他叮嘱多次，如果不是必要，别走那里！,祭壇に気を付けろ！大尉が塗った保護は影響を和らげるだけだ。何度も言われたが、必要がなければそこを通るな！,ゲリラ戦士,True
name,传令兵，快通知其他队伍。,游击队战士,0,,,,,,49,传令兵，快通知其他队伍。,伝令兵、急いで他の部隊に知らせろ。,ゲリラ戦士,True
name,......没回音？,游击队战士,0,,,,,,50,......没回音？,……返答なし？,ゲリラ戦士,True
name,迫击炮手们呢？魔族佬呢？,游击队战士,0,,,,,,51,迫击炮手们呢？魔族佬呢？,迫撃砲兵は？魔族はどこだ？,ゲリラ戦士,True
name,......,游击队战士,0,,,,,,52,......,……,ゲリラ戦士,True
name,等一会儿。这里有事情不对劲。,游击队战士,0,,,,,,53,等一会儿。这里有事情不对劲。,待て。ここは何かがおかしい。,ゲリラ戦士,True
dialog,,,0,,,,,,54,,,,False
character,,,0,,,,,,55,,,,False
blocker,,,0,,,,,,56,,,,False
blocker,,,0,,,,,,57,,,,False
dialog,,,0,,,,,,58,,,,False
character,,,0,,,,,,59,,,,False
playsound,,,0,,,,,,60,,,,False
name,第十二组传令兵，摧毁！,迷迭香,0,,,,,,61,第十二组传令兵，摧毁！,第12組の伝令兵、破壊！,ローズマリー,True
playsound,,,0,,,,,,62,,,,False
name,游击队战士开始收紧队伍了！现在是我们通过的最好机会！,罗德岛干员,0,,,,,,63,游击队战士开始收紧队伍了！现在是我们通过的最好机会！,ゲリラ戦士が隊列を縮め始めた！今が突破のチャンスだ！,ロドスオペレーター,True
dialog,,,0,,,,,,64,,,,False
decision,不！可能是陷阱！,,1,1,,,,1,65,不！可能是陷阱！,だめだ！罠かもしれない！,,True
predicate,,,0,,1,,,,66,,,,False
dialog,,,0,,,,,,67,,,,False
character,,,0,,,,,,68,,,,False
playsound,,,0,,,,,,69,,,,False
name,......嗯......,阿米娅,0,,,,,,70,......嗯......,……うん……,アーミヤ,True
name,明白。迷迭香，我们用法术搜索附近！,阿米娅,0,,,,,,71,明白。迷迭香，我们用法术搜索附近！,分かりました。ローズマリーさん、術で周辺を探索しましょう！,アーミヤ,True
playsound,,,0,,,,,,72,,,,False
name,我够不到。敌人......有东西挡住了我。,迷迭香,0,,,,,,73,我够不到。敌人......有东西挡住了我。,届かない。敵が……何かで妨げている。,ローズマリー,True
character,,char_003_kalts_1,0,,,,,,74,,,,False
name,萨卡兹术师。只有他们有针对迷迭香这类法术的反制手段。,凯尔希,0,,,,,,75,萨卡兹术师。只有他们有针对迷迭香这类法术的反制手段。,サルカズの術師だ。あいつらだけがローズマリーみたいな術への対抗手段を持っている。,ケルシー,True
character,,,0,,,,,,76,,,,False
name,那交给我......！,阿米娅,0,,,,,,77,那交给我......！,それなら、私にお任せください……！,アーミヤ,True
character,,char_003_kalts_1,0,,,,,,78,,,,False
name,Raidian，还能支撑多久？,凯尔希,0,,,,,,79,Raidian，还能支撑多久？,Raidian、あとどれぐらい耐えられる？,ケルシー,True
name,......我们会提速。,凯尔希,0,,,,,,80,......我们会提速。,……こちらも速度を上げる。,ケルシー,True
dialog,,,0,,,,,,81,,,,False
character,,,0,,,,,,82,,,,False
playsound,,,0,,,,,,83,,,,False
name,我......我找到了。是的。在他们依靠的建筑物内部，藏有许多狙击手和术师。,阿米娅,0,,,,,,84,我......我找到了。是的。在他们依靠的建筑物内部，藏有许多狙击手和术师。,わ、私は見つけました。はい。彼らが拠点にしている建物の内部に、多くのスナイパーと術師が隠れています。,アーミヤ,True
name,他们很平静......有一些激昂。但一点也不狂热。他们......坚守着据点。,阿米娅,0,,,,,,85,他们很平静......有一些激昂。但一点也不狂热。他们......坚守着据点。,彼らはとても落ち着いていて……少し高揚していますが、熱狂的ではありません。彼らは……拠点をしっかりと守っています。,アーミヤ,True
name,......职责。,阿米娅,0,,,,,,86,......职责。,……職責ですね。,アーミヤ,True
name,博士说得对，那确实是陷阱。,阿米娅,0,,,,,,87,博士说得对，那确实是陷阱。,ドクターのおっしゃる通り、それは確かに罠です。,アーミヤ,True
playsound,,,0,,,,,,88,,,,False
name,我在你的位置附近了。我来。,迷迭香,0,,,,,,89,我在你的位置附近了。我来。,あなたの近くにいるよ。私がやる。,ローズマリー,True
name,能做到吗？,阿米娅,0,,,,,,90,能做到吗？,できますか？,アーミヤ,True
name,能。我不粉碎整栋楼，我只破坏他们在的那层的地形，不然他们会打扰我们。,迷迭香,0,,,,,,91,能。我不粉碎整栋楼，我只破坏他们在的那层的地形，不然他们会打扰我们。,できる。私はビル全体を壊さない。彼らがいる階だけの地形を壊す。そうしないとこっちが邪魔されるから。,ローズマリー,True
name,阿米娅，我可以的。,迷迭香,0,,,,,,92,阿米娅，我可以的。,アーミヤ、私にできるよ。,ローズマリー,True
name,嗯，迷迭香......我知道你能行。一定。,阿米娅,0,,,,,,93,嗯，迷迭香......我知道你能行。一定。,はい、ローズマリーさん……あなたならきっとできます。,アーミヤ,True
name,......阿米娅会佩服我吗？,迷迭香,0,,,,,,94,......阿米娅会佩服我吗？,……アーミヤは私のこと、感心してくれる？,ローズマリー,True
name,呃，什么？,阿米娅,0,,,,,,95,呃，什么？,え、何ですか？,アーミヤ,True
name,我听煌说，很少能有人让阿米娅佩服呢。,迷迭香,0,,,,,,96,我听煌说，很少能有人让阿米娅佩服呢。,私はホシグマから聞いたけど、アーミヤに感心される人はあんまりいないって。,ローズマリー,True
name,佩服？啊......好像是说尊敬？不，我还不太会炎国的语言。应该是一个意思吧？,阿米娅,0,,,,,,97,佩服？啊......好像是说尊敬？不，我还不太会炎国的语言。应该是一个意思吧？,感心……ですか？ああ……それは「尊敬する」って意味でしょうか？いえ、私はまだイェンの言葉があまり得意ではありません。きっと同じ意味ですね？,アーミヤ,True
name,我不知道呀，阿米娅......,迷迭香,0,,,,,,98,我不知道呀，阿米娅......,わかんないよ、アーミヤ……,ローズマリー,True
name,......没事。因为我从一开始就很“佩服”迷迭香了。,阿米娅,0,,,,,,99,......没事。因为我从一开始就很“佩服”迷迭香了。,……大丈夫です。私は最初からずっとローズマリーさんのことを“感心”していますから。,アーミヤ,True
name,迷迭香真的很厉害。我的话，我克制不住......,阿米娅,0,,,,,,100,迷迭香真的很厉害。我的话，我克制不住......,ローズマリーさんは本当にすごいです。私だったら、自制できないと思います……,アーミヤ,True
name,失去和孤独。,阿米娅,0,,,,,,101,失去和孤独。,喪失や孤独です。,アーミヤ,True
name,我不可能像迷迭香这样能忍受这些。我忍受不了。,阿米娅,0,,,,,,102,我不可能像迷迭香这样能忍受这些。我忍受不了。,私にはローズマリーさんのようにそれを耐えることはできません。私には無理です。,アーミヤ,True
name,阿米娅骗人。,迷迭香,0,,,,,,103,阿米娅骗人。,アーミヤは嘘をついた。,ローズマリー,True
name,......,阿米娅,0,,,,,,104,......,......,アーミヤ,True
name,不过我没什么关系。阿米娅就算骗人，也是阿米娅。,迷迭香,0,,,,,,105,不过我没什么关系。阿米娅就算骗人，也是阿米娅。,でも私は気にしないよ。アーミヤが嘘をついたとしても、アーミヤはアーミヤだから。,ローズマリー,True
name,佩服我......我这样的人，也行吗？,迷迭香,0,,,,,,106,佩服我......我这样的人，也行吗？,私を尊敬するって……私みたいな者でも、いいの？,ローズマリー,True
name,就像你说的，迷迭香。就因为迷迭香是迷迭香，我很尊敬你。无论是作为精英干员的你还是作为朋友的你。,阿米娅,0,,,,,,107,就像你说的，迷迭香。就因为迷迭香是迷迭香，我很尊敬你。无论是作为精英干员的你还是作为朋友的你。,あなたが言ったようにです、ローズマリーさん。ローズマリーさんがローズマリーさんであるから、私はあなたをとても敬っています。エリートオペレーターとしても、友人としても。,アーミヤ,True
name,迷迭香，加油。,阿米娅,0,,,,,,108,迷迭香，加油。,ローズマリーさん、頑張ってください。,アーミヤ,True
name,嗯，加油。,迷迭香,0,,,,,,109,嗯，加油。,うん、頑張るよ。,ローズマリー,True
dialog,,,0,,,,,,110,,,,False
character,,,0,,,,,,111,,,,False
blocker,,,0,,,,,,112,,,,False
blocker,,,0,,,,,,113,,,,False
character,,avg_npc_058,0,,,,,,114,,,,False
delay,,,0,,,,,,115,,,,False
name,还没出现？他们在等什么？,游击队战士,0,,,,,,116,还没出现？他们在等什么？,まだ現れていないのか？奴らは何を待っているんだ？,ゲリラ兵,True
name,不，不行！绝不允许离开这片区域！只要他们出现，我们就立刻反击！不能再失去更多联络人了！,游击队战士,0,,,,,,117,不，不行！绝不允许离开这片区域！只要他们出现，我们就立刻反击！不能再失去更多联络人了！,いや、駄目だ！絶対にこの区域を離れることは許さない！奴らが現れ次第、すぐに反撃するんだ！もうこれ以上連絡員を失うわけにはいかない！,ゲリラ兵,True
name,等等。对面建筑物顶端站着的，是敌人？,游击队战士,0,,,,,,118,等等。对面建筑物顶端站着的，是敌人？,待て。向かいの建物の屋上に立っているのは、敵か？,ゲリラ兵,True
dialog,,,0,,,,,,119,,,,False
character,,,0,,,,,,120,,,,False
character,,avg_npc_042,0,,,,,,121,,,,False
delay,,,0,,,,,,122,,,,False
character,,avg_npc_058,0,,,,,,123,,,,False
name,......猫？是只小菲林......？！,游击队战士,0,,,,,,124,......猫？是只小菲林......？！,……猫？小さなフェリンか……？,ゲリラ兵,True
playsound,,,0,,,,,,125,,,,False
name,传令兵！快通知术师！敌人在街道另一侧的建筑物上布置了术师！,游击队战士,0,,,,,,126,传令兵！快通知术师！敌人在街道另一侧的建筑物上布置了术师！,伝令兵！早く術師に知らせろ！敵が通りの反対側の建物に術師を配置している！,ゲリラ兵,True
name,一定要摧毁她！,游击队战士,0,,,,,,127,一定要摧毁她！,必ず彼女を倒せ！,ゲリラ兵,True
name,——剑？武器？她从空中......,游击队战士,0,,,,,,128,——剑？武器？她从空中......,——剣？武器か？彼女は空中から……,ゲリラ兵,True
name,啊？漂浮在空中的武器？,游击队战士,0,,,,,,129,啊？漂浮在空中的武器？,あ？空中に浮かんでいる武器？,ゲリラ兵,True
dialog,,,0,,,,,,130,,,,False
character,,,0,,,,,,131,,,,False
blocker,,,0,,,,,,132,,,,False
name,从这里，划到那里。,迷迭香,0,,,,,,133,从这里，划到那里。,ここから、あそこまで切る。,ローズマリー,True
name,用手......抓住。用剑，划开。,迷迭香,0,,,,,,134,用手......抓住。用剑，划开。,手で……掴んで。剣で、切り裂く。,ローズマリー,True
name,......就像横切开土豆。,迷迭香,0,,,,,,135,......就像横切开土豆。,……まるでジャガイモを横切りするみたいに。,ローズマリー,True
,就像横切开土豆。,,0,,,,,,136,就像横切开土豆。,まるでジャガイモを横切りするみたいだ。,,True
dialog,,,0,,,,,,137,,,,False
blocker,,,0,,,,,,138,,,,False
playsound,,,0,,,,,,139,,,,False
blocker,,,0,,,,,,140,,,,False
camerashake,,,0,,,,,,141,,,,False
playsound,,,0,,,,,,142,,,,False
delay,,,0,,,,,,143,,,,False
character,,char_003_kalts_1,0,,,,,,144,,,,False
name,博士！到我身边来！,凯尔希,0,,,,,,145,博士！到我身边来！,ドクター！私のそばに来て！,ケルシー,True
decision,整栋楼被......拦腰划开？,,1,1,,,,1,146,整栋楼被......拦腰划开？,建物全体が……真っ二つに切られたのか？,,True
predicate,,,0,,1,,,,147,,,,False
name,迷迭香在摧毁游击队的伏击点。当心落石！,凯尔希,0,,,,,,148,迷迭香在摧毁游击队的伏击点。当心落石！,ローズマリーがゲリラ隊の待ち伏せ場所を破壊している。落石に注意して！,ケルシー,True
decision,......那究竟是什么？,,1,1,,,,1,149,......那究竟是什么？,……あれはいったい何なんだ？,,True
predicate,,,0,,1,,,,150,,,,False
name,我假设你问的是迷迭香的法术。你看了这么多次，也许现在好向你解释一些了。,凯尔希,0,,,,,,151,我假设你问的是迷迭香的法术。你看了这么多次，也许现在好向你解释一些了。,君が聞いているのはローズマリーの術についてだろう。何度も見てきたから、今なら少し説明してもいいかもしれない。,ケルシー,True
name,那是被她自己塑造成型的精神状态。你可以理解成迷迭香拥有“无法被观察、无法被施加作用的巨大形体”。,凯尔希,0,,,,,,152,那是被她自己塑造成型的精神状态。你可以理解成迷迭香拥有“无法被观察、无法被施加作用的巨大形体”。,それは彼女自身が形作った精神状態だ。ローズマリーが『観測も影響も受けない巨大な形』を持っていると理解していい。,ケルシー,True
name,无形延伸了她的触感。她能抓握，挤压，拈起，以及甩开。,凯尔希,0,,,,,,153,无形延伸了她的触感。她能抓握，挤压，拈起，以及甩开。,無形のまま彼女の触感が拡張されている。彼女はそれを掴み、潰し、摘み、放り投げることができる。,ケルシー,True
name,但相对于她的精神主观，这种法术实际上缺乏客观体现。,凯尔希,0,,,,,,154,但相对于她的精神主观，这种法术实际上缺乏客观体现。,だが彼女の主観とは裏腹に、こうした術は客観的な実体をほとんど持たない。,ケルシー,True
name,我们会被它施力，却不能对它施加力，也只能通过特殊的源石技艺析出“它确实存在”。,凯尔希,0,,,,,,155,我们会被它施力，却不能对它施加力，也只能通过特殊的源石技艺析出“它确实存在”。,私たちはそれから影響を受けるが、こちらから影響を与えることはできない。特別な源石技術を使って初めて『それが確かに存在する』と判別できるだけだ。,ケルシー,True
name,难理解也无所谓，这可能不是你的领域。,凯尔希,0,,,,,,156,难理解也无所谓，这可能不是你的领域。,理解できなくても構わない。それは君の専門分野じゃないかもしれないからな。,ケルシー,True
name,在被交予武器之前，迷迭香会造成更大程度的破坏。被移动城邦碾过般的光景，除了废墟，就只留下废墟中跪地大哭的幼年女性。,凯尔希,0,,,,,,157,在被交予武器之前，迷迭香会造成更大程度的破坏。被移动城邦碾过般的光景，除了废墟，就只留下废墟中跪地大哭的幼年女性。,武器を与えられる前のローズマリーは、もっと大きな破壊をもたらした。移動都市に踏み荒らされたような光景には、廃墟しか残らず、廃墟でひざまずき泣いている少女だけがいた。,ケルシー,True
name,那种情况无论如何都不该再发生。,凯尔希,0,,,,,,158,那种情况无论如何都不该再发生。,そのような状況は、もう二度と起きてはならない。,ケルシー,True
name,......博士。走。,凯尔希,0,,,,,,159,......博士。走。,……ドクター。行くぞ。,ケルシー,True
name,我看到了。指挥部队马上就会出现......,凯尔希,0,,,,,,160,我看到了。指挥部队马上就会出现......,見えた。指揮部隊がすぐに現れる……,ケルシー,True
name,公园废墟的喷泉。底下应该建有水道。,凯尔希,0,,,,,,161,公园废墟的喷泉。底下应该建有水道。,公園跡の噴水。その下には水路があるはずだ。,ケルシー,True
name,竟藏身在那样毫不起眼的地方。,凯尔希,0,,,,,,162,竟藏身在那样毫不起眼的地方。,あんな目立たない場所に潜んでいたとは。,ケルシー,True
name,......栖身灰鬃峰七天七夜，连最强盛时的征战骑士都被他欺骗的那场伏击战，或许也是真的。,凯尔希,0,,,,,,163,......栖身灰鬃峰七天七夜，连最强盛时的征战骑士都被他欺骗的那场伏击战，或许也是真的。,……灰鬃峰で七昼夜潜んで、全盛期の戦闘騎士すら騙したと言う伏兵戦、その話も本当かもしれない。,ケルシー,True
name,就是现在，我们走。博士，事不宜迟。,凯尔希,0,,,,,,164,就是现在，我们走。博士，事不宜迟。,今だ、行こう。ドクター、悠長にしている場合じゃない。,ケルシー,True
name,Raidian，停止交火。找好隐蔽，现在我需要你专注提供通讯。,凯尔希,0,,,,,,165,Raidian，停止交火。找好隐蔽，现在我需要你专注提供通讯。,レイディアン、交戦をやめろ。隠れてろ、今は通信に専念してほしい。,ケルシー,True
name,Mantra-2，记录好我们所有的交谈。一字不落。,凯尔希,0,,,,,,166,Mantra-2，记录好我们所有的交谈。一字不落。,マントラ2、私たちの会話を全て記録して。一言も漏らすな。,ケルシー,True
dialog,,,0,,,,,,167,,,,False
character,,,0,,,,,,168,,,,False
playsound,,,0,,,,,,169,,,,False
name,第十四组传令兵，成功截获。,迷迭香,0,,,,,,170,第十四组传令兵，成功截获。,第十四班の伝令兵、無事に確保した。,ローズマリー,True
name,阿米娅，凯尔希医生。我准备好了。,迷迭香,0,,,,,,171,阿米娅，凯尔希医生。我准备好了。,アーミヤさん、ケルシー博士。私は準備ができました。,ローズマリー,True
