command,text_orig,name,option_number,option_value,references,focus,image,values,index,text,jp_text,jp_name,text_match
header,,,0,,,,,,0,,,,False
stopmusic,,,0,,,,,,1,,,,False
dialog,,,0,,,,,,2,,,,False
character,,,0,,,,,,3,,,,False
blocker,,,0,,,,,,4,,,,False
background,,,0,,,,bg_chercen_1,,5,,,,False
blocker,,,0,,,,,,6,,,,False
playmusic,,,0,,,,,,7,,,,False
playsound,,,0,,,,,,8,,,,False
character,,avg_npc_025_1,0,,,,,,9,,,,False
delay,,,0,,,,,,10,,,,False
character,,char_003_kalts_1,0,,,,,,11,,,,False
name,博卓卡斯替，久违了。,凯尔希,0,,,,,,12,博卓卡斯替，久违了。,ドクター・ボードロカスティ、お久しぶりです。,ケルシー,True
character,,avg_npc_025_1,0,,,,,,13,,,,False
name,——,爱国者,0,,,,,,14,——,——,パトリオット,True
name,凯尔希，女勋爵？,爱国者,0,,,,,,15,凯尔希，女勋爵？,ケルシー、レディ？,パトリオット,True
name,你为什么......没有变老？,爱国者,0,,,,,,16,你为什么......没有变老？,なぜ……老いていない？,パトリオット,True
name,盾卫。游击队，待命。不必全来这里。,爱国者,0,,,,,,17,盾卫。游击队，待命。不必全来这里。,シールドガード、ゲリラ隊、待機しろ。全員ここに来る必要はない。,パトリオット,True
character,,avg_npc_058,0,,,,,,18,,,,False
name,是。,盾卫,0,,,,,,19,是。,はい。,シールドガード,True
character,,avg_npc_025_1,0,,,,,,20,,,,False
name,勋爵。,爱国者,0,,,,,,21,勋爵。,レディ。,パトリオット,True
character,,char_003_kalts_1,0,,,1,,,22,,,,False
name,你的发音习惯......你的病变器官在喉咙处？,凯尔希,0,,,,,,23,你的发音习惯......你的病变器官在喉咙处？,発音の癖……患部は喉に？,ケルシー,True
character,,char_003_kalts_1,0,,,2,,,24,,,,False
name,不。只是，时日长久，变成这样。我没法，再顺利，说话。,爱国者,0,,,,,,25,不。只是，时日长久，变成这样。我没法，再顺利，说话。,違う。ただ、長い年月でこうなった。もううまく話せない。,パトリオット,True
name,勋爵......我甚至没想过，能再见你。,爱国者,0,,,,,,26,勋爵......我甚至没想过，能再见你。,レディ……まさかまた会えるとは、思わなかった。,パトリオット,True
name,我依稀记得，我与族人离去时，你与那位殿下，并未阻拦我们。,爱国者,0,,,,,,27,我依稀记得，我与族人离去时，你与那位殿下，并未阻拦我们。,朧げに覚えている、私と同族が去る時、君とあの殿下は私たちを止めなかった。,パトリオット,True
character,,char_003_kalts_1,0,,,1,,,28,,,,False
name,那是很久、很久之前的事了。,凯尔希,0,,,,,,29,那是很久、很久之前的事了。,それはもう、とても昔のことですね。,ケルシー,True
character,,char_003_kalts_1,0,,,2,,,30,,,,False
name,那时我，年轻气盛，现在看，全是一时冲动。我误会了，殿下的意思。,爱国者,0,,,,,,31,那时我，年轻气盛，现在看，全是一时冲动。我误会了，殿下的意思。,あの時の私は若気の至り、今思えば衝動ばかりだった。殿下の意図も誤解していた。,パトリオット,True
character,,char_003_kalts_1,0,,,1,,,32,,,,False
name,......你还肯叫她殿下。,凯尔希,0,,,,,,33,......你还肯叫她殿下。,……まだ彼女を殿下と呼ぶのですね。,ケルシー,True
character,,char_003_kalts_1,0,,,2,,,34,,,,False
name,君王，就是君王。,爱国者,0,,,,,,35,君王，就是君王。,王は、王だ。,パトリオット,True
name,即使我走时，她仍不是；即使现在，她已身殁。,爱国者,0,,,,,,36,即使我走时，她仍不是；即使现在，她已身殁。,私が去った時、彼女はまだ王ではなかった。今となっては、彼女はもうこの世にいない。,パトリオット,True
character,,char_002_amiya_1#4,0,,,,,,37,,,,False
name,......,阿米娅,0,,,,,,38,......,......,アーミヤ,True
character,,char_003_kalts_1,0,,,1,,,39,,,,False
name,你依然能将卡兹戴尔的君主与乌萨斯的皇帝清楚分开。,凯尔希,0,,,,,,40,你依然能将卡兹戴尔的君主与乌萨斯的皇帝清楚分开。,あなたは今でもカズデルの君主とウルサスの皇帝を区別できますね。,ケルシー,True
character,,char_003_kalts_1,0,,,2,,,41,,,,False
name,我有分寸。战争还无法，搅乱我思绪。我事奉的人，都已逝去。,爱国者,0,,,,,,42,我有分寸。战争还无法，搅乱我思绪。我事奉的人，都已逝去。,私は分別がある。戦争では心は揺れない。私が仕えた者は皆去った。,パトリオット,True
name,我已将乌萨斯，也看作祖国。我的陛下，已葬身乌萨斯，漫大土地。,爱国者,0,,,,,,43,我已将乌萨斯，也看作祖国。我的陛下，已葬身乌萨斯，漫大土地。,私はウルサスも故郷と見なしている。私の陛下はウルサスの大地に葬られた。,パトリオット,True
name,......太久远了，勋爵。我们离去时......,爱国者,0,,,,,,44,......太久远了，勋爵。我们离去时......,……とても昔だ、レディ。私たちが去った時は……,パトリオット,True
name,那时我族还未，凋零至斯，却也只，苟延一息。,爱国者,0,,,,,,45,那时我族还未，凋零至斯，却也只，苟延一息。,あの時、私の一族はまだここまで衰えてはいなかったが、辛うじて生き延びていただけだった。,パトリオット,True
name,但你......没有变。岁月，没有改变你。,爱国者,0,,,,,,46,但你......没有变。岁月，没有改变你。,だが君は……変わっていない。時は、君を変えなかった。,パトリオット,True
character,,char_003_kalts_1,0,,,1,,,47,,,,False
name,不，岁月不可避免地改变了我们，博卓卡斯替。我已不再是过去的我。,凯尔希,0,,,,,,48,不，岁月不可避免地改变了我们，博卓卡斯替。我已不再是过去的我。,いいえ、時の流れは誰にも避けられません、ドクター・ボードロカスティ。私はもう、かつての私ではありません。,ケルシー,True
name,博卓卡斯替......你为何离开卡兹戴尔？,凯尔希,0,,,,,,49,博卓卡斯替......你为何离开卡兹戴尔？,ドクター・ボードロカスティ……なぜカズデルを離れたのですか？,ケルシー,True
character,,char_003_kalts_1,0,,,2,,,50,,,,False
name,我离开的缘由，大概，会令人耻笑。,爱国者,0,,,,,,51,我离开的缘由，大概，会令人耻笑。,私が去った理由は、おそらく笑われるだろう。,パトリオット,True
name,我离开，卡兹戴尔，是因厌恶杀人。,爱国者,0,,,,,,52,我离开，卡兹戴尔，是因厌恶杀人。,私は、人殺しが嫌になり、カズデルを去った。,パトリオット,True
name,......但穷我一生，我都在杀人。,爱国者,0,,,,,,53,......但穷我一生，我都在杀人。,……だが人生の全てを人を殺すことに費やしてきた。,パトリオット,True
character,,char_003_kalts_1,0,,,1,,,54,,,,False
name,经历没有左右你的意志，你血管里依然流着不会止歇的热血。你并不可笑，你值得尊敬。,凯尔希,0,,,,,,55,经历没有左右你的意志，你血管里依然流着不会止歇的热血。你并不可笑，你值得尊敬。,経験があなたの意思を左右しなかった。あなたの血管には今も熱い血が流れ続けています。あなたは笑われる存在ではありません。あなたは尊敬に値します。,ケルシー,True
character,,char_003_kalts_1,0,,,2,,,56,,,,False
name,言过，勋爵。杀人这事，我不可能回避。我确实，杀了无数人。,爱国者,0,,,,,,57,言过，勋爵。杀人这事，我不可能回避。我确实，杀了无数人。,買いかぶりだ、レディ。人殺しからは逃れられない。私は本当に無数の人々を殺してきた。,パトリオット,True
name,勋爵，你可知，我现在称号，从哪里来？,爱国者,0,,,,,,58,勋爵，你可知，我现在称号，从哪里来？,レディ、私の今の称号がどこから来たか、知っているか？,パトリオット,True
character,,char_003_kalts_1,0,,,1,,,59,,,,False
name,你的追随者认为你是真正为乌萨斯奋斗的战士。你为了乌萨斯的未来，与不公，奴役，血腥和压迫战斗。,凯尔希,0,,,,,,60,你的追随者认为你是真正为乌萨斯奋斗的战士。你为了乌萨斯的未来，与不公，奴役，血腥和压迫战斗。,あなたの部下たちは、あなたこそが本当にウルサスのために戦った戦士だと考えています。あなたはウルサスの未来のため、不正、奴隷、血、圧政に抗いました。,ケルシー,True
name,你会这么认为吗？,凯尔希,0,,,,,,61,你会这么认为吗？,あなたもそう思われますか？,ケルシー,True
character,,avg_npc_025_1,0,,,,,,62,,,,False
name,（摇头）,爱国者,0,,,,,,63,（摇头）,（首を振る）,パトリオット,True
name,即使斗争，属于必然，冠上名头，还是令人厌烦。,爱国者,0,,,,,,64,即使斗争，属于必然，冠上名头，还是令人厌烦。,戦いが必然であっても、称号を与えられるのはやはり鬱陶しい。,パトリオット,True
name,为了许多人，我们发动战争。可是战争，终归杀人。,爱国者,0,,,,,,65,为了许多人，我们发动战争。可是战争，终归杀人。,多くの人のために私たちは戦争を始めた。だが戦争とは結局人を殺すことだ。,パトリオット,True
name,战争结束，如果，战争真的结束，我们都该，死。,爱国者,0,,,,,,66,战争结束，如果，战争真的结束，我们都该，死。,戦争が終われば、もし本当に終わるなら、私たちは皆死ぬべきだ。,パトリオット,True
character,,char_003_kalts_1,0,,,,,,67,,,,False
name,可战争永不结束。,凯尔希,0,,,,,,68,可战争永不结束。,しかし、戦争は決して終わりません。,ケルシー,True
character,,avg_npc_025_1,0,,,,,,69,,,,False
name,可我会死。,爱国者,0,,,,,,70,可我会死。,だが私は死ぬだろう。,パトリオット,True
name,只是，我要死得，有价值。我要看到，感染者和，乌萨斯的，另一种未来。,爱国者,0,,,,,,71,只是，我要死得，有价值。我要看到，感染者和，乌萨斯的，另一种未来。,だが、私は価値ある死を遂げるつもりだ。感染者とウルサスのもう一つの未来を見たい。,パトリオット,True
name,我曾多次，向同胞打听，卡兹戴尔。您与殿下，共事多年。她信任你。,爱国者,0,,,,,,72,我曾多次，向同胞打听，卡兹戴尔。您与殿下，共事多年。她信任你。,私は何度も同胞からカズデルのことを聞いた。あなたは殿下と長年共に働いてきた。彼女はあなたを信頼していた。,パトリオット,True
name,既然，她信任你，那我也可，信任你。,爱国者,0,,,,,,73,既然，她信任你，那我也可，信任你。,ならば、彼女があなたを信じていたのなら、私もあなたを信じられる。,パトリオット,True
name,你领罗德岛，来到此处，非为流血之事。,爱国者,0,,,,,,74,你领罗德岛，来到此处，非为流血之事。,ロドスを率いてここに来たのは、血を流すためではないんだな。,パトリオット,True
name,......即使你身后，那两人，已经沾上，我女儿，死亡的气息。,爱国者,0,,,,,,75,......即使你身后，那两人，已经沾上，我女儿，死亡的气息。,……たとえ君の後ろの二人が、すでに私の娘の死の気配を纏っていたとしても。,パトリオット,True
character,,char_003_kalts_1#2,0,,,,,,76,,,,False
name,——！,凯尔希,0,,,,,,77,——！,——！,ケルシー,True
dialog,,,0,,,,,,78,,,,False
character,,,0,,,,,,79,,,,False
decision,我？和......阿米娅......,,1,1,,,,1,80,我？和......阿米娅......,私？そして……アーミヤ……,null,True
predicate,,,0,,1,,,,81,,,,False
character,,char_002_amiya_1#4,0,,,,,,82,,,,False
name,爱国者先生......,阿米娅,0,,,,,,83,爱国者先生......,パトリオットさん……,アーミヤ,True
dialog,,,0,,,,,,84,,,,False
character,,,0,,,,,,85,,,,False
decision,霜星她为了考验我们——,,1,1,,,,1,86,霜星她为了考验我们——,フロストノヴァは私たちを試すために——,null,True
predicate,,,0,,1,,,,87,,,,False
character,,avg_npc_025_1,0,,,,,,88,,,,False
name,不。不要再说。,爱国者,0,,,,,,89,不。不要再说。,いや。もう言わなくていい。,パトリオット,True
character,,char_003_kalts_1,0,,,1,,,90,,,,False
name,你要报复罗德岛吗，爱国者？,凯尔希,0,,,,,,91,你要报复罗德岛吗，爱国者？,ロドスに復讐なさるおつもりですか、パトリオット？,ケルシー,True
character,,char_003_kalts_1,0,,,2,,,92,,,,False
name,不，勋爵。我不准备，报复。,爱国者,0,,,,,,93,不，勋爵。我不准备，报复。,いいえ、ご主人。私は復讐をするつもりはありません。,パトリオット,True
name,我为何，要为她的作为，报复别人？,爱国者,0,,,,,,94,我为何，要为她的作为，报复别人？,なぜ、彼女の行いのために他人へ復讐する必要があるのですか？,パトリオット,True
name,那路，是她自己所选。无论那路，会通向哪里。,爱国者,0,,,,,,95,那路，是她自己所选。无论那路，会通向哪里。,その道は彼女自身が選んだのです。たとえその道がどこへ繋がろうとも。,パトリオット,True
character,,,0,,,,,,96,,,,False
dialog,,,0,,,,,,97,,,,False
decision,您的女儿全力与我们战斗！,,3,1,,,,1;2;3,98,您的女儿全力与我们战斗！,あなたの娘さんは全力で私たちと戦いました！,,True
decision,她很强。,,3,2,,,,1;2;3,99,她很强。,彼女はとても強かったです。,,True
decision,霜星的意志十分坚定。,,3,3,,,,1;2;3,100,霜星的意志十分坚定。,フロストノヴァの意志は非常に固かったです。,,True
predicate,,,0,,1;2;3,,,,101,,,,False
decision,她也认可了我们。,,1,1,,,,1,102,她也认可了我们。,彼女も私たちを認めてくれました。,,True
predicate,,,0,,1,,,,103,,,,False
character,,avg_npc_025_1,0,,,,,,104,,,,False
name,住嘴。,爱国者,0,,,,,,105,住嘴。,黙れ。,パトリオット,True
decision,......什么？,,1,1,,,,1,106,......什么？,……何？,,True
predicate,,,0,,1,,,,107,,,,False
character,,char_002_amiya_1#4,0,,,,,,108,,,,False
name,......爱国者先生？,阿米娅,0,,,,,,109,......爱国者先生？,……パトリオットさん？,アーミヤ,True
character,,avg_npc_025_1,0,,,,,,110,,,,False
name,她，这点年纪，只懂得，盲目托付。,爱国者,0,,,,,,111,她，这点年纪，只懂得，盲目托付。,彼女は、まだ若く、ただ盲目的に託すことしか知りません。,パトリオット,True
name,事实上，我们相信的，最后都暴露。只是些，慈眉善目的，恶徒。,爱国者,0,,,,,,112,事实上，我们相信的，最后都暴露。只是些，慈眉善目的，恶徒。,実際、私たちが信じていた者たちも最終的には皆露呈しました。ただ善人の顔をした悪人ばかりです。,パトリオット,True
decision,你......！,,1,1,,,,1,113,你......！,お前……！,,True
predicate,,,0,,1,,,,114,,,,False
character,,char_002_amiya_1#4,0,,,1,,,115,,,,False
name,爱国者先生！可是霜星小姐，把她的生命，她的法术......全都，全都......,阿米娅,0,,,,,,116,爱国者先生！可是霜星小姐，把她的生命，她的法术......全都，全都......,パトリオットさん！でもフロストノヴァさんは、ご自身の命も、術も……すべて、すべて……,アーミヤ,True
name,霜星小姐是真的将她所有的一切都释放了出来，只为了证明她自己，她的怒火，她的理想......,阿米娅,0,,,,,,117,霜星小姐是真的将她所有的一切都释放了出来，只为了证明她自己，她的怒火，她的理想......,フロストノヴァさんは本当にご自分のすべてを解き放ったのです。それは自分自身、怒りや理想を証明するためだけに……,アーミヤ,True
name,她的生命是有价值的！,阿米娅,0,,,,,,118,她的生命是有价值的！,彼女の命には価値があります！,アーミヤ,True
character,,char_002_amiya_1#4,0,,,2,,,119,,,,False
name,够了。你不配，这么说。,爱国者,0,,,,,,120,够了。你不配，这么说。,もういい。お前にはそんなことを言う資格はない。,パトリオット,True
character,,char_002_amiya_1#4,0,,,1,,,121,,,,False
name,啊......,阿米娅,0,,,,,,122,啊......,ああ……,アーミヤ,True
character,,char_003_kalts_1,0,,,,,,123,,,,False
name,（阿米娅，不。先别说了。）,凯尔希,0,,,,,,124,（阿米娅，不。先别说了。）,（アーミヤ、だめだ。今は何も言うな。）,ケルシー,True
character,,avg_npc_025_1,0,,,,,,125,,,,False
name,你又懂什么？,爱国者,0,,,,,,126,你又懂什么？,お前に何が分かる？,パトリオット,True
name,如果我的女儿，没有病入膏肓，她杀你们，轻而易举，如同用镰刀，收割麦穗。,爱国者,0,,,,,,127,如果我的女儿，没有病入膏肓，她杀你们，轻而易举，如同用镰刀，收割麦穗。,もし私の娘が瀕死でなければ、お前たちを殺すのは鎌で麦を刈るようなものだった。,パトリオット,True
name,你们身上，发生什么，我不感兴趣。,爱国者,0,,,,,,128,你们身上，发生什么，我不感兴趣。,お前たちに何が起きても、私は興味がない。,パトリオット,True
name,我对，这些，没有兴趣。什么也，证明不了。,爱国者,0,,,,,,129,我对，这些，没有兴趣。什么也，证明不了。,私はこれらのことに興味はない。何も証明できない。,パトリオット,True
decision,现在的塔露拉，正让核心城撞向龙门！,,1,1,,,,1,130,现在的塔露拉，正让核心城撞向龙门！,今のタルラはコアシティを竜門にぶつけようとしています！,,True
predicate,,,0,,1,,,,131,,,,False
name,是不是，还宣扬这是，乌萨斯领土？,爱国者,0,,,,,,132,是不是，还宣扬这是，乌萨斯领土？,これでもまだ、ここがウルサス領だと言い張るつもりか？,パトリオット,True
decision,你怎么会知道？！,,3,1,,,,1;2;3,133,你怎么会知道？！,どうして知っている？！,,True
decision,......,,3,2,,,,1;2;3,134,......,……,,True
decision,看来不用我们告诉你。,,3,3,,,,1;2;3,135,看来不用我们告诉你。,私たちが説明する必要もなさそうだな。,,True
predicate,,,0,,1;2;3,,,,136,,,,False
character,,char_002_amiya_1,0,,,1,,,137,,,,False
name,爱国者......怎么......那为什么......,阿米娅,0,,,,,,138,爱国者......怎么......那为什么......,パトリオット……どうして……それならなぜ……,アーミヤ,True
character,,avg_npc_025_1,0,,,,,,139,,,,False
name,阴谋家的手段，层出不穷。阴谋家的想法，大同小异。,爱国者,0,,,,,,140,阴谋家的手段，层出不穷。阴谋家的想法，大同小异。,策士の手段は次々と現れ、策士の考えなどはどれも大差ありません。,パトリオット,True
name,但我不可能，让出道路。整合运动，不能自毁。,爱国者,0,,,,,,141,但我不可能，让出道路。整合运动，不能自毁。,だが私は道を譲るつもりはない。レユニオンは自滅するわけにはいかない。,パトリオット,True
name,我不会，再成为叛徒。一旦我背叛，全部感染者，所有斗争，都失去正当，都将败亡。,爱国者,0,,,,,,142,我不会，再成为叛徒。一旦我背叛，全部感染者，所有斗争，都失去正当，都将败亡。,私はもう裏切り者にはならない。もし私が裏切れば、全ての感染者、全ての戦いが正当性を失い、敗北するだけだ。,パトリオット,True
name,即使塔露拉，已经错乱......,爱国者,0,,,,,,143,即使塔露拉，已经错乱......,たとえタルラがすでに錯乱していても……,パトリオット,True
name,我该如何，向感染者说，他们的领袖，是疯子，或是叛徒？,爱国者,0,,,,,,144,我该如何，向感染者说，他们的领袖，是疯子，或是叛徒？,私はどうやって感染者たちに、彼らの指導者が狂人か裏切り者だと言えばいいのだ？,パトリオット,True
name,如何说，她现在错误，过去却正确？如何说，她，你们之前追随，现在，要把她处决？,爱国者,0,,,,,,145,如何说，她现在错误，过去却正确？如何说，她，你们之前追随，现在，要把她处决？,今は彼女が間違っていて、過去は正しかったなど、どうすれば説明できる？どう言えばいい？以前は彼女を追従していたのに、今は彼女を処刑しろと？,パトリオット,True
name,我不会，让整合运动，被记述成，“感染者内乱，而后消灭”。我不会。,爱国者,0,,,,,,146,我不会，让整合运动，被记述成，“感染者内乱，而后消灭”。我不会。,私は、レユニオンが「感染者の内紛によって滅びた」と記録されることは許さない。絶対に。,パトリオット,True
character,,char_003_kalts_1,0,,,1,,,147,,,,False
name,但整合运动将先支撑不住自身重量。何况塔露拉已经暗中把整合运动搅动得支离破碎。,凯尔希,0,,,,,,148,但整合运动将先支撑不住自身重量。何况塔露拉已经暗中把整合运动搅动得支离破碎。,しかしレユニオンは自らの重さに耐えられなくなります。ましてや、タルラは密かにレユニオンを内側から分裂させている。,ケルシー,True
character,,char_003_kalts_1,0,,,2,,,149,,,,False
name,您说的都对，凯尔希女爵。,爱国者,0,,,,,,150,您说的都对，凯尔希女爵。,おっしゃる通りです、ケルシー女爵。,パトリオット,True
name,所以您在这里。,爱国者,0,,,,,,151,所以您在这里。,だからこそ、あなたがここにいるのですね。,パトリオット,True
name,我做好了，面对各种敌人，所有准备。,爱国者,0,,,,,,152,我做好了，面对各种敌人，所有准备。,あらゆる敵に立ち向かう覚悟はできています。,パトリオット,True
name,却没想到，我的敌人，最终还是，感染者。,爱国者,0,,,,,,153,却没想到，我的敌人，最终还是，感染者。,しかし、まさか自分の敵が最終的には感染者になるとは思いませんでした。,パトリオット,True
character,,char_003_kalts_1,0,,,1,,,154,,,,False
name,......你真要这么选？,凯尔希,0,,,,,,155,......你真要这么选？,……本当にその選択をするつもりか？,ケルシー,True
name,博卓卡斯替......你可以选择不死的。,凯尔希,0,,,,,,156,博卓卡斯替......你可以选择不死的。,ボジョカスティ……あなたは死なない選択肢もあります。,ケルシー,True
character,,avg_npc_025_1,0,,,,,,157,,,,False
name,选择？我的选择，只有一种。,爱国者,0,,,,,,158,选择？我的选择，只有一种。,選択？私の選択は一つしかありません。,パトリオット,True
name,我杀死你们。,爱国者,0,,,,,,159,我杀死你们。,私はお前たちを殺す。,パトリオット,True
character,,char_002_amiya_1#4,0,,,,,,160,,,,False
name,爱国者，我们之间不应该产生无谓的牺牲！和霜星小姐不一样，这次战斗，无论给谁带来损失，都只是中了敌人圈套！,阿米娅,0,,,,,,161,爱国者，我们之间不应该产生无谓的牺牲！和霜星小姐不一样，这次战斗，无论给谁带来损失，都只是中了敌人圈套！,パトリオットさん、私たちの間で無意味な犠牲が出るべきではありません！フロストノヴァさんの時と違って、今回の戦いは誰に損失が出ても、すべて敵の罠にはまるだけです！,アーミヤ,True
character,,avg_npc_025_1,0,,,,,,162,,,,False
name,错了。,爱国者,0,,,,,,163,错了。,間違っている。,パトリオット,True
