command,text_orig,key,is_skippable,fit_mode,a,r,g,b,fadetime,block,image,screenadapt,intro,volume,name,time,duration,xstrength,ystrength,vibrato,randomness,fadeout,options,values,references,effect,keep,amount,afrom,rfrom,gfrom,bfrom,name2,focus,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,option_number,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
blocker,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
background,,,,,,,,,,,bg_chercen_2,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
blocker,,,,,0,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
playmusic,,$exciting_loop,,,,,,,,,,,$exciting_intro,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
character,,,,,,,,,1,true,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,,,,False
delay,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,,False
character,,,,,,,,,,,,,,,char_003_kalts_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,,,,False
name,Mon3tr，撑住！,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,Mon3tr，撑住！,Mon3tr、耐えて！,ケルシー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,,,,False
name,（嘶叫）,,,,,,,,,,,,,,Mon3tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,（嘶叫）,（唸り声）,Mon3tr,True
character,,,,,,,,,,,,,,,char_003_kalts_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,,,,False
name,狙击干员，继续轰炸他的躯干部分，他的铠甲已经严重破损。术师，牵制住其他游击队战士，别让他们有机会插手。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,狙击干员，继续轰炸他的躯干部分，他的铠甲已经严重破损。术师，牵制住其他游击队战士，别让他们有机会插手。,スナイパーオペレーター、彼の胴体部分を引き続き攻撃して。彼の鎧はすでに深刻な損傷を受けている。術師は他の遊撃隊の戦士を引きつけて、彼らに手出しさせないで。,ケルシー,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,,,,False
delay,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,,,,False
name,（哀鸣）,,,,,,,,,,,,,,Mon3tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,（哀鸣）,（悲しげな唸り声）,Mon3tr,True
character,,,,,,,,,,,,,,,char_003_kalts_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,,,,False
name,后撤，Mon3tr，近身缠斗没有优势！你已经无法阻止他前进了！,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,后撤，Mon3tr，近身缠斗没有优势！你已经无法阻止他前进了！,後退して、Mon3tr、接近戦では優位に立てない！もう彼の前進を止めることはできない！,ケルシー,True
character,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,,,,False
name,剑要脱手了！他......我连直接去抓他，都控制不了他，他感受起来，就像是山崩......,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,剑要脱手了！他......我连直接去抓他，都控制不了他，他感受起来，就像是山崩......,剣を手放しそう！彼は……私が直接掴もうとしても、全く制御できない。彼の存在はまるで山崩れみたいで……,ミント,True
character,,,,,,,,,,,,,,,char_003_kalts_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,,,,False
name,把能量聚集成束......收束。再收束，收束成线，照准他的心脏部位！,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,把能量聚集成束......收束。再收束，收束成线，照准他的心脏部位！,エネルギーを束に……収束して。さらに収束して、線にして、彼の心臓部分を狙うのよ！,ケルシー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,,,,False
name,（尖啸）,,,,,,,,,,,,,,Mon3tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,（尖啸）,（甲高い叫び声）,Mon3tr,True
character,,,,,,,,,,,,,,,char_003_kalts_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,False
