command,text_orig,name,option_number,option_value,references,focus,image,values,index,text,jp_text,jp_name,text_match
header,,,0,,,,,,0,,,,False
stopmusic,,,0,,,,,,1,,,,False
dialog,,,0,,,,,,2,,,,False
character,,,0,,,,,,3,,,,False
blocker,,,0,,,,,,4,,,,False
background,,,0,,,,bg_building_3,,5,,,,False
blocker,,,0,,,,,,6,,,,False
playmusic,,,0,,,,,,7,,,,False
character,,char_308_swire_1#5,0,,,,,,8,,,,False
delay,,,0,,,,,,9,,,,False
name,你受伤了？！,诗怀雅,0,,,,,,10,你受伤了？！,あなた、怪我をしたのですか？！,スワイヤー,True
character,,char_136_hsguma,0,,,1,,,11,,,,False
name,没关系，小事。,星熊,0,,,,,,12,没关系，小事。,大丈夫だ、たいしたことない。,ホシグマ,True
character,,char_136_hsguma,0,,,2,,,13,,,,False
name,怎么会是小事！我这里有消毒湿巾，过来。,诗怀雅,0,,,,,,14,怎么会是小事！我这里有消毒湿巾，过来。,どうしてたいしたことないんですか！こちらに消毒のウェットティッシュがあります、来てください。,スワイヤー,True
character,,char_136_hsguma,0,,,1,,,15,,,,False
name,真没事......,星熊,0,,,,,,16,真没事......,本当に大丈夫だ……,ホシグマ,True
character,,char_136_hsguma,0,,,2,,,17,,,,False
camerashake,,,0,,,,,,18,,,,False
name,脸过来！,诗怀雅,0,,,,,,19,脸过来！,顔をこちらに！,スワイヤー,True
character,,char_136_hsguma,0,,,1,,,20,,,,False
name,好，好。,星熊,0,,,,,,21,好，好。,わかった、わかった。,ホシグマ,True
character,,char_136_hsguma,0,,,2,,,22,,,,False
name,......伤口不大，不过很深。好像......还有一点法术的痕迹。,诗怀雅,0,,,,,,23,......伤口不大，不过很深。好像......还有一点法术的痕迹。,……傷は小さいですが、かなり深いです。なんだか……少し術の痕跡もあるようです。,スワイヤー,True
name,......难道是老陈干的？这个“龙门粗口”！,诗怀雅,0,,,,,,24,......难道是老陈干的？这个“龙门粗口”！,……まさかチェンがやったのですか？この「龍門の乱暴者」！,スワイヤー,True
character,,char_136_hsguma,0,,,1,,,25,,,,False
name,哈哈......没事，这个年纪的小姑娘嘛，干出什么都不稀奇。,星熊,0,,,,,,26,哈哈......没事，这个年纪的小姑娘嘛，干出什么都不稀奇。,はは……大丈夫、この歳頃の女の子なら、何をしても不思議じゃないさ。,ホシグマ,True
character,,char_136_hsguma,0,,,2,,,27,,,,False
name,......星熊，我很害怕，我害怕她......,诗怀雅,0,,,,,,28,......星熊，我很害怕，我害怕她......,……ホシグマ、私はとても怖いのです、彼女が恐ろしいのです……,スワイヤー,True
character,,char_136_hsguma,0,,,1,,,29,,,,False
name,她会投向整合运动？,星熊,0,,,,,,30,她会投向整合运动？,彼女がレユニオンに加わるとでも？,ホシグマ,True
character,,char_136_hsguma,0,,,2,,,31,,,,False
name,嗯。,诗怀雅,0,,,,,,32,嗯。,ええ。,スワイヤー,True
name,小时候我也和塔露拉一起玩过。,诗怀雅,0,,,,,,33,小时候我也和塔露拉一起玩过。,子供の頃、私もタルラと一緒に遊びました。,スワイヤー,True
name,虽然记不太清了，但我知道......我很喜欢和她做朋友。,诗怀雅,0,,,,,,34,虽然记不太清了，但我知道......我很喜欢和她做朋友。,あまり覚えていませんが……私は彼女と友達になるのがとても好きだったと知っています。,スワイヤー,True
name,就算她又盛气凌人又坏脾气，但她会挡在我们身前来着。,诗怀雅,0,,,,,,35,就算她又盛气凌人又坏脾气，但她会挡在我们身前来着。,彼女は傲慢で気難しい性格ですが、それでも私たちの前に立ってくれました。,スワイヤー,True
name,一句话也不说，一点也不懂撤退。什么事情都自己冲在第一位，从来不向我们寻求帮助......,诗怀雅,0,,,,,,36,一句话也不说，一点也不懂撤退。什么事情都自己冲在第一位，从来不向我们寻求帮助......,何も言わず、全く退くことを知らず、いつも自分から一番に飛び込んで、決して私たちには助けを求めませんでした……,スワイヤー,True
name,比她大的孩子也被她打过。只有她能把老陈从小时候那种怪状态里拉出来。,诗怀雅,0,,,,,,37,比她大的孩子也被她打过。只有她能把老陈从小时候那种怪状态里拉出来。,年上の子供たちですら、彼女にやられたこともあります。チェンを昔の変な状態から救い出せたのは、彼女だけでした。,スワイヤー,True
name,我很怕......,诗怀雅,0,,,,,,38,我很怕......,私はとても怖いのです……,スワイヤー,True
character,,char_136_hsguma,0,,,1,,,39,,,,False
name,不会的。,星熊,0,,,,,,40,不会的。,そんなことはない。,ホシグマ,True
character,,char_136_hsguma,0,,,2,,,41,,,,False
name,......,诗怀雅,0,,,,,,42,......,……,スワイヤー,True
character,,char_136_hsguma,0,,,1,,,43,,,,False
name,我说啊，老陈这个人，心口不一。,星熊,0,,,,,,44,我说啊，老陈这个人，心口不一。,あのな、チェンってやつは、言うことと気持ちが一致していないんだ。,ホシグマ,True
name,她可是龙门的陈。就算她嘴上这么说，但她的梦想，她的目标，她的一生，都在这里。,星熊,0,,,,,,45,她可是龙门的陈。就算她嘴上这么说，但她的梦想，她的目标，她的一生，都在这里。,あいつは龍門のチェンだからな。たとえ本人がそう口にしても、彼女の夢も、目標も、すべてがここにあるんだ。,ホシグマ,True
character,,char_136_hsguma,0,,,2,,,46,,,,False
name,那你是为什么要阻拦她？,诗怀雅,0,,,,,,47,那你是为什么要阻拦她？,では、なぜあなたは彼女を止めたのですか？,スワイヤー,True
character,,char_136_hsguma,0,,,1,,,48,,,,False
name,......当然是担心她会死。,星熊,0,,,,,,49,......当然是担心她会死。,……そりゃあ、彼女が死ぬのが心配だからだ。,ホシグマ,True
name,诗怀雅，以后你就要担当起近卫局的重任了。,星熊,0,,,,,,50,诗怀雅，以后你就要担当起近卫局的重任了。,スワイヤー、これからはお前が近衛局の重責を担うんだ。,ホシグマ,True
character,,char_136_hsguma,0,,,2,,,51,,,,False
name,我怎么有那个能力？我又不是她......,诗怀雅,0,,,,,,52,我怎么有那个能力？我又不是她......,私にそんな力があるわけないです。私、彼女とは違いますから……,スワイヤー,True
character,,char_136_hsguma,0,,,1,,,53,,,,False
name,哟，你居然会承认自己不如她？,星熊,0,,,,,,54,哟，你居然会承认自己不如她？,おや、お前が自分の方が彼女より劣っていると認めるとはな？,ホシグマ,True
character,,char_136_hsguma,0,,,2,,,55,,,,False
name,我只是觉得自己不适合近卫局！,诗怀雅,0,,,,,,56,我只是觉得自己不适合近卫局！,私はただ、私が近衛局に向いていないだけだと思います！,スワイヤー,True
character,,char_136_hsguma,0,,,1,,,57,,,,False
name,不，Missy。你很适合。,星熊,0,,,,,,58,不，Missy。你很适合。,違うぞ、お嬢ちゃん。お前はとても適している。,ホシグマ,True
name,我不适合，老陈也不适合，九也不适合。,星熊,0,,,,,,59,我不适合，老陈也不适合，九也不适合。,私も、チェンも、ジュウも適していない。,ホシグマ,True
name,真正能让近卫局发光发热的是你。,星熊,0,,,,,,60,真正能让近卫局发光发热的是你。,近衛局を本当に輝かせることができるのはお前だ。,ホシグマ,True
name,你一定得承担起这个责任，因为，只有你能承担起这个责任。,星熊,0,,,,,,61,你一定得承担起这个责任，因为，只有你能承担起这个责任。,お前がこの責任を負わなければならない。なぜなら、それができるのはお前だけだからだ。,ホシグマ,True
name,我看淡了，却还是看不透。我希望这座城市，能真的成为所有人的城市。,星熊,0,,,,,,62,我看淡了，却还是看不透。我希望这座城市，能真的成为所有人的城市。,私は割り切れたつもりだが、やはりわからない。この街が本当に誰にとっても故郷となればいいと願うよ。,ホシグマ,True
dialog,,,0,,,,,,63,,,,False
character,,,0,,,,,,64,,,,False
name,我也这么觉得。,？？？,0,,,,,,65,我也这么觉得。,私もそう思う。,？？？,True
character,,char_308_swire_1#5,0,,,,,,66,,,,False
name,——你——,诗怀雅,0,,,,,,67,——你——,――あなた――,スワイヤー,True
dialog,,,0,,,,,,68,,,,False
character,,,0,,,,,,69,,,,False
playsound,,,0,,,,,,70,,,,False
character,,avg_npc_036,0,,,,,,71,,,,False
delay,,,0,,,,,,72,,,,False
name,很久不见了，诗怀雅小姐。,林雨霞,0,,,,,,73,很久不见了，诗怀雅小姐。,お久しぶりです、スワイヤーさん。,リン・ユシャ,True
name,你好，星熊督察。,林雨霞,0,,,,,,74,你好，星熊督察。,こんにちは、ホシグマ督察官。,リン・ユシャ,True
character,,char_136_hsguma,0,,,1,,,75,,,,False
name,鼠王家的小姐怎么会到近卫局的地盘来的？,星熊,0,,,,,,76,鼠王家的小姐怎么会到近卫局的地盘来的？,ネズミ王家の令嬢が何故近衛局に来たんだ？,ホシグマ,True
name,你想对她做什么？事先说好，你要是敢伤Missy一根头发......,星熊,0,,,,,,77,你想对她做什么？事先说好，你要是敢伤Missy一根头发......,お前は彼女に何をするつもりだ？いいか、もしお嬢ちゃんの髪の毛一本でも傷つけようものなら……,ホシグマ,True
character,,char_136_hsguma,0,,,2,,,78,,,,False
name,我没有敌意。,林雨霞,0,,,,,,79,我没有敌意。,私は敵意はありません。,リン・ユシャ,True
character,,char_308_swire_1#5,0,,,1,,,80,,,,False
name,你......做错了。,诗怀雅,0,,,,,,81,你......做错了。,あなた……間違えました。,スワイヤー,True
character,,char_308_swire_1#5,0,,,2,,,82,,,,False
name,可能吧。,林雨霞,0,,,,,,83,可能吧。,そうかもしれません。,リン・ユシャ,True
name,有的时候我们只是没得选。,林雨霞,0,,,,,,84,有的时候我们只是没得选。,時には選択肢がないこともあります。,リン・ユシャ,True
character,,char_308_swire_1#5,0,,,1,,,85,,,,False
name,我不觉得有什么时候......我们是不能选的。,诗怀雅,0,,,,,,86,我不觉得有什么时候......我们是不能选的。,私は、私たちがどうしても選べないという時があるとは思いません。,スワイヤー,True
character,,char_308_swire_1#5,0,,,2,,,87,,,,False
name,你抬头看看。,林雨霞,0,,,,,,88,你抬头看看。,顔を上げてごらんなさい。,リン・ユシャ,True
name,现在这天要下雪了。你能选择让它不下吗？,林雨霞,0,,,,,,89,现在这天要下雪了。你能选择让它不下吗？,今にも雪が降りそうですね。それを止められますか？,リン・ユシャ,True
character,,char_308_swire_1#5,0,,,,,,90,,,,False
name,......,诗怀雅,0,,,,,,91,......,……,スワイヤー,True
name,怎么会......下雪了？,诗怀雅,0,,,,,,92,怎么会......下雪了？,なぜ……雪が降っているのですか？,スワイヤー,True
dialog,,,0,,,,,,93,,,,False
character,,,0,,,,,,94,,,,False
blocker,,,0,,,,,,95,,,,False
,沉睡吧，沉睡吧♪,,0,,,,,,96,沉睡吧，沉睡吧♪,眠れ、眠れ♪,,True
,爸爸的白发，妈妈的针线♪,,0,,,,,,97,爸爸的白发，妈妈的针线♪,お父さんの白髪、お母さんの針と糸♪,,True
dialog,,,0,,,,,,98,,,,False
character,,,0,,,,,,99,,,,False
delay,,,0,,,,,,100,,,,False
blocker,,,0,,,,,,101,,,,False
background,,,0,,,,bg_corridor,,102,,,,False
blocker,,,0,,,,,,103,,,,False
character,,,0,,,,,,104,,,,False
name,不行，超过溶解阈值了！必须强制开放排气阀！,罗德岛干员,0,,,,,,105,不行，超过溶解阈值了！必须强制开放排气阀！,ダメだ、溶解の閾値を超えてしまった！強制的に排気バルブを開放しなければ！,ロドスのオペレーター,True
name,刚才的挥发已经造成了剧烈吸热效应，再不加大排放量，整个舱室都会损坏！,罗德岛干员,0,,,,,,106,刚才的挥发已经造成了剧烈吸热效应，再不加大排放量，整个舱室都会损坏！,先ほどの蒸発によって激しい吸熱効果が生じている。排出量を増やさなければ、船内全体が損傷してしまう！,ロドスのオペレーター,True
name,雨云也没有走太远......这样的话，说不定会下大雪啊。,罗德岛干员,0,,,,,,107,雨云也没有走太远......这样的话，说不定会下大雪啊。,雨雲もそんなに遠くへは行っていない……このままでは大雪になるかもしれないな。,ロドスのオペレーター,True
name,这位霜星......究竟是怎样一个感染者啊？,罗德岛干员,0,,,,,,108,这位霜星......究竟是怎样一个感染者啊？,この霜星という人は……一体どんな感染者なんだ？,ロドスのオペレーター,True
dialog,,,0,,,,,,109,,,,False
character,,,0,,,,,,110,,,,False
blocker,,,0,,,,,,111,,,,False
,所有的梦境都沉进湖底♪,,0,,,,,,112,所有的梦境都沉进湖底♪,すべての夢が湖の底に沈む♪,,True
,......就连时间也在此冻结♪,,0,,,,,,113,......就连时间也在此冻结♪,……時間さえもここで凍りつく♪,,True
delay,,,0,,,,,,114,,,,False
dialog,,,0,,,,,,115,,,,False
character,,,0,,,,,,116,,,,False
blocker,,,0,,,,,,117,,,,False
background,,,0,,,,bg_perimeter,,118,,,,False
blocker,,,0,,,,,,119,,,,False
character,,char_1507_Mephisto_1#2,0,,,,,,120,,,,False
name,咳咳，呼。,梅菲斯特,0,,,,,,121,咳咳，呼。,ゴホゴホ、ふう。,メフィスト,True
name,......,梅菲斯特,0,,,,,,122,......,……,メフィスト,True
name,真是难听的歌。可恶。,梅菲斯特,0,,,,,,123,真是难听的歌。可恶。,なんてひどい歌だ。くそっ。,メフィスト,True
name,可恶！,梅菲斯特,0,,,,,,124,可恶！,くそっ！,メフィスト,True
name,为什么霜星就唱的那么好？我果然......还是没法唱好。,梅菲斯特,0,,,,,,125,为什么霜星就唱的那么好？我果然......还是没法唱好。,どうして霜星はあんなに上手く歌えるんだ？やっぱり……俺にはうまく歌えない。,メフィスト,True
dialog,,,0,,,,,,126,,,,False
character,,,0,,,,,,127,,,,False
blocker,,,0,,,,,,128,,,,False
background,,,0,,,,bg_chercen_2,,129,,,,False
blocker,,,0,,,,,,130,,,,False
character,,avg_npc_042,0,,,,,,131,,,,False
delay,,,0,,,,,,132,,,,False
name,下雪了......,迷迭香,0,,,,,,133,下雪了......,雪が降ってきた……,ローズマリー,True
name,这个爷爷他......,迷迭香,0,,,,,,134,这个爷爷他......,あのおじいさんは……,ローズマリー,True
character,,char_003_kalts_1,0,,,,,,135,,,,False
name,......,凯尔希,0,,,,,,136,......,……,ケルシー,True
name,全身结晶化超过百分之六十。即便是萨卡兹这种生物，也不可能再挪动分毫了。,凯尔希,0,,,,,,137,全身结晶化超过百分之六十。即便是萨卡兹这种生物，也不可能再挪动分毫了。,全身の結晶化が六十パーセントを越えている。サルカズであっても、もう一歩も動くことはできないだろう。,ケルシー,True
name,他的意识已经逸散......然而，金铁般的意志却继续贯彻了下去，传递给了身躯。,凯尔希,0,,,,,,138,他的意识已经逸散......然而，金铁般的意志却继续贯彻了下去，传递给了身躯。,彼の意識は既に散っている……しかし、鋼のような意志だけはその身に伝えられ続けている。,ケルシー,True
name,......博卓卡斯替。,凯尔希,0,,,,,,139,......博卓卡斯替。,……ボジョカスティ。,ケルシー,True
character,,char_002_amiya_1#4,0,,,,,,140,,,,False
name,仇恨。悔恨。憎恨......,阿米娅,0,,,,,,141,仇恨。悔恨。憎恨......,憎しみ。後悔。恨み……。,アーミヤ,True
name,这些都消失了。,阿米娅,0,,,,,,142,这些都消失了。,これらはすべて消えました。,アーミヤ,True
name,最后的最后，是愤怒。,阿米娅,0,,,,,,143,最后的最后，是愤怒。,最後の最後に残ったのは、怒りです。,アーミヤ,True
name,对霜星遭遇的不甘。对塔露拉行径的敌视，对乌萨斯和卡兹戴尔无穷的怀念......,阿米娅,0,,,,,,144,对霜星遭遇的不甘。对塔露拉行径的敌视，对乌萨斯和卡兹戴尔无穷的怀念......,霜星の境遇への無念。タルラの行いへの敵意、ウルサスやカズデルへの果てしない郷愁……。,アーミヤ,True
name,炽烈不灭的愤怒。为一切不公遭遇和身边死去的人的愤怒......对会去捉弄所有人的命运的愤怒。,阿米娅,0,,,,,,145,炽烈不灭的愤怒。为一切不公遭遇和身边死去的人的愤怒......对会去捉弄所有人的命运的愤怒。,燃え盛る消えぬ怒り。不条理な運命や、そばで亡くなった人のための怒り……すべての人を翻弄する運命への怒りです。,アーミヤ,True
character,,char_003_kalts_1,0,,,,,,146,,,,False
name,事实上，反抗命运，等于反抗一切。正是一切促成了所谓“命运”这个概念。,凯尔希,0,,,,,,147,事实上，反抗命运，等于反抗一切。正是一切促成了所谓“命运”这个概念。,実際、運命に逆らうということは、すべてに逆らうことと等しい。“運命”という概念を生み出すのは、まさにあらゆるものだ。,ケルシー,True
name,博卓卡斯替的怒火，正对着整片大地。,凯尔希,0,,,,,,148,博卓卡斯替的怒火，正对着整片大地。,ボジョカスティの怒りは大地全体に向けられている。,ケルシー,True
character,,char_002_amiya_1#4,0,,,,,,149,,,,False
name,......这一整片不公的大地。,阿米娅,0,,,,,,150,......这一整片不公的大地。,……この不条理な大地のすべてに。,アーミヤ,True
name,......爱国者先生......,阿米娅,0,,,,,,151,......爱国者先生......,……パトリオットさん……,アーミヤ,True
character,,char_002_amiya_1#4,0,,,2,,,152,,,,False
name,手拿开。,盾卫,0,,,,,,153,手拿开。,手をどけろ。,シールドガード,True
name,你，卡特斯感染者。,盾卫,0,,,,,,154,你，卡特斯感染者。,お前、カッツの感染者。,シールドガード,True
name,......大尉未竟的事业，我们替他完成。,盾卫,0,,,,,,155,......大尉未竟的事业，我们替他完成。,……大尉が成し遂げられなかった事業は、俺たちが代わりに果たす。,シールドガード,True
character,,avg_npc_042,0,,,1,,,156,,,,False
name,......已经够了。,迷迭香,0,,,,,,157,......已经够了。,……もう十分だよ。,ローズマリー,True
name,你们想让他的死毫无价值？,迷迭香,0,,,,,,158,你们想让他的死毫无价值？,君たちは彼の死を無駄にしたいの？,ローズマリー,True
name,他一点都不想你们死，他是要你们自己去发掘道路。,迷迭香,0,,,,,,159,他一点都不想你们死，他是要你们自己去发掘道路。,彼は君たちに死んでほしくなんて思っていない。君たち自身の道を見つけてほしいんだ。,ローズマリー,True
name,他为了让你们活下去，选择孤独地死......！,迷迭香,0,,,,,,160,他为了让你们活下去，选择孤独地死......！,君たちが生き延びるために、彼は孤独に死を選んだんだ……！,ローズマリー,True
character,,avg_npc_058,0,,,,,,161,,,,False
name,谁说死的会是我们？,盾卫,0,,,,,,162,谁说死的会是我们？,誰が俺たちが死ぬと言った？,シールドガード,True
name,而且我们听见了。,盾卫,0,,,,,,163,而且我们听见了。,それに、俺たちは聞いた。,シールドガード,True
name,......卡特斯人。你是未来一切的祸源。,盾卫,0,,,,,,164,......卡特斯人。你是未来一切的祸源。,……カッツ人。お前は未来すべての災いの元だ。,シールドガード,True
name,那些古老预言，无不实现。,盾卫,0,,,,,,165,那些古老预言，无不实现。,あの古い予言は、すべて現実となる。,シールドガード,True
decision,但霜星已经选择相信我们！,,1,1,,,,1,166,但霜星已经选择相信我们！,でも、霜星はすでに私たちを信じると決めた！,,True
predicate,,,0,,1,,,,167,,,,False
name,......但......,盾卫,0,,,,,,168,......但......,……でも……,シールドガード,True
name,霜星她......连大尉都......,盾卫,0,,,,,,169,霜星她......连大尉都......,霜星は……大尉さえも……,シールドガード,True
decision,他当然不能直接相信霜星的评判！,,1,1,,,,1,170,他当然不能直接相信霜星的评判！,彼が霜星の評価を直接信じるはずがない！,,True
predicate,,,0,,1,,,,171,,,,False
decision,只有他忽视自己女儿的评价......,,1,1,,,,1,172,只有他忽视自己女儿的评价......,彼が自分の娘の評価を無視してこそ……,,True
predicate,,,0,,1,,,,173,,,,False
decision,他才不是盲目的！,,1,1,,,,1,174,他才不是盲目的！,それでこそ、彼は盲目ではない！,,True
predicate,,,0,,1,,,,175,,,,False
decision,他做出的判断......才是公正的！,,1,1,,,,1,176,他做出的判断......才是公正的！,彼の下した判断こそ……公正なのだ！,,True
predicate,,,0,,1,,,,177,,,,False
decision,而你们却选择相信一个预言？,,1,1,,,,1,178,而你们却选择相信一个预言？,それなのに君たちは予言を信じるのか？,,True
predicate,,,0,,1,,,,179,,,,False
name,......不，我们不是相信预言。,盾卫,0,,,,,,180,......不，我们不是相信预言。,……いや、俺たちは予言を信じているわけじゃない。,シールドガード,True
name,我们是相信大尉。,盾卫,0,,,,,,181,我们是相信大尉。,俺たちは大尉を信じているんだ。,シールドガード,True
decision,......霜星的糖是辣味。,,1,1,,,,1,182,......霜星的糖是辣味。,……霜星の飴は辛い味だ。,,True
predicate,,,0,,1,,,,183,,,,False
name,......什么？！,盾卫,0,,,,,,184,......什么？！,……なに？！,シールドガード,True
name,叶莲娜她......把糖给你尝了？,盾卫,0,,,,,,185,叶莲娜她......把糖给你尝了？,エレナが……君に飴をくれたのか？,シールドガード,True
decision,我信任她，她也信任我。,,1,1,,,,1,186,我信任她，她也信任我。,私は彼女を信頼していますし、彼女も私を信頼しています。,,True
predicate,,,0,,1,,,,187,,,,False
decision,如果你们真想取谁性命......,,1,1,,,,1,188,如果你们真想取谁性命......,もしあなたたちが本当に誰かの命を奪いたいのであれば……,,True
predicate,,,0,,1,,,,189,,,,False
decision,至少自己先亲眼看过！,,3,1,,,,1;2;3,190,至少自己先亲眼看过！,せめて、自分の目で確かめてからにしてください！,,True
decision,别跟着别人走！,,3,2,,,,1;2;3,191,别跟着别人走！,他人に流されないでください！,,True
