command,text_orig,name,option_number,option_value,references,image,values,index,text,jp_text,jp_name,text_match
header,,,0,,,,,0,,,,False
stopmusic,,,0,,,,,1,,,,False
dialog,,,0,,,,,2,,,,False
playmusic,,,0,,,,,3,,,,False
delay,,,0,,,,,4,,,,False
blocker,,,0,,,,,5,,,,False
background,,,0,,,bg_corridor,,6,,,,False
blocker,,,0,,,,,7,,,,False
,6:30 p.m.,,0,,,,,8,6:30 p.m.,午後6時30分,午後6時30分,True
dialog,,,0,,,,,9,,,,False
playsound,,,0,,,,,10,,,,False
delay,,,0,,,,,11,,,,False
playsound,,,0,,,,,12,,,,False
delay,,,0,,,,,13,,,,False
character,,,0,,,,,14,,,,False
name,编号00000-00002，接入权限-8。,PRTS,0,,,,,15,编号00000-00002，接入权限-8。,番号00000-00002、接続権限-8です。,PRTS,True
name,博士，欢迎访问罗德岛综合生物处理室，已依据生物数据对您的意图进行判断。,PRTS,0,,,,,16,博士，欢迎访问罗德岛综合生物处理室，已依据生物数据对您的意图进行判断。,ドクター、ロドス総合生体処理室へのご訪問、ようこそ。生体データに基づき、あなたの意図を判定しました。,PRTS,True
name,另外，系统检测到您的心情不佳。,PRTS,0,,,,,17,另外，系统检测到您的心情不佳。,また、システムはあなたの気分が優れないことを検出しました。,PRTS,True
decision,少烦我。,,3,1,,,1;2;3,18,少烦我。,少し放っておいて。,少し放っておいて。,True
decision,......,,3,2,,,1;2;3,19,......,......,......,True
decision,该怎么样才算是好心情？,,3,3,,,1;2;3,20,该怎么样才算是好心情？,どうすれば良い気分といえる？,どうすれば良い気分といえる？,True
predicate,,,0,,1,,,21,,,,False
character,,,0,,,,,22,,,,False
name,博士表现出一定的攻击性。,PRTS,0,,,,,23,博士表现出一定的攻击性。,ドクターは一定の攻撃性を示しました。,PRTS,True
name,请放心，系统不会因此电击你，不用太过顾忌系统对你的检测。,PRTS,0,,,,,24,请放心，系统不会因此电击你，不用太过顾忌系统对你的检测。,ご安心ください、システムはこのことであなたに電撃を与えることはありませんので、システムによる監視を気にしすぎる必要はありません。,PRTS,True
predicate,,,0,,2,,,25,,,,False
character,,,0,,,,,26,,,,False
name,博士陷入了沉默。,PRTS,0,,,,,27,博士陷入了沉默。,ドクターは沈黙に陥りました。,PRTS,True
name,无论是无声抗议还是不愿进行沟通，我认为这都是一种孤独性精神障碍症的表现。,PRTS,0,,,,,28,无论是无声抗议还是不愿进行沟通，我认为这都是一种孤独性精神障碍症的表现。,無言の抗議であれ、意思疎通を拒むことであれ、私はこれらすべてが孤独型精神障害の兆候だと考えます。,PRTS,True
name,当然，请便，系统会平等对待所有人。,PRTS,0,,,,,29,当然，请便，系统会平等对待所有人。,もちろん、ご自由に。システムは全員を平等に扱います。,PRTS,True
predicate,,,0,,3,,,30,,,,False
character,,,0,,,,,31,,,,False
name,好与坏是一种主观判断。,PRTS,0,,,,,32,好与坏是一种主观判断。,良いか悪いかは主観的な判断です。,PRTS,True
name,不过，本系统集成了几乎所有有记载的精神活动状态，以及各类神经兴奋的激素标准。,PRTS,0,,,,,33,不过，本系统集成了几乎所有有记载的精神活动状态，以及各类神经兴奋的激素标准。,しかし、本システムはほぼすべての記録された精神活動状態と、様々な神経興奮に関するホルモン基準を統合しています。,PRTS,True
name,所以你可以认为，本系统的主观判断是无限接近客观事实的。,PRTS,0,,,,,34,所以你可以认为，本系统的主观判断是无限接近客观事实的。,ですので、本システムの主観的判断は客観的事実に限りなく近いと考えていいでしょう。,PRTS,True
name,因此，无论博士将要采取什么样的行动，系统都能在一定程度上进行模拟。,PRTS,0,,,,,35,因此，无论博士将要采取什么样的行动，系统都能在一定程度上进行模拟。,そのため、ドクターがどのような行動を取ろうと、システムは一定の範囲でシミュレーションできます。,PRTS,True
name,所以，想做什么就去做吧。,PRTS,0,,,,,36,所以，想做什么就去做吧。,ですので、やりたいことをやってください。,PRTS,True
name,PRTS具备相应的无害安抚机能。,PRTS,0,,,,,37,PRTS具备相应的无害安抚机能。,PRTSは相応の無害な慰め機能を備えています。,PRTS,True
name,当你采取过激行动时你会立刻昏厥并在3.55个工作时后醒来，这可以保证你的行为向正常标准贴近。,PRTS,0,,,,,38,当你采取过激行动时你会立刻昏厥并在3.55个工作时后醒来，这可以保证你的行为向正常标准贴近。,過激な行動をとる場合、すぐに気絶し、3.55作業時後に目を覚ますことになります。これにより、あなたの行動が正常基準に近づくことが保証されます。,PRTS,True
predicate,,,0,,1;2;3,,,39,,,,False
character,,,0,,,,,40,,,,False
name,"Welcome home, Doctor。",PRTS,0,,,,,41,"Welcome home, Doctor。",おかえりなさいませ、ドクター。,PRTS,True
decision,......这里真的能算家吗？,,1,1,,,1,42,......这里真的能算家吗？,......ここは本当に家と言えるのか？,......ここは本当に家と言えるのか？,True
predicate,,,0,,1,,,43,,,,False
dialog,,,0,,,,,44,,,,False
playsound,,,0,,,,,45,,,,False
character,,avg_npc_042,0,,,,,46,,,,False
delay,,,0,,,,,47,,,,False
name,你是，博士？,？？？,0,,,,,48,你是，博士？,あなたが、ドクター？,？？？,True
decision,啊？,,3,1,,,1;2;3,49,啊？,あ？,あ？,True
decision,......？,,3,2,,,1;2;3,50,......？,......？,......？,True
decision,你好？,,3,3,,,1;2;3,51,你好？,こんにちは？,こんにちは？,True
predicate,,,0,,1;2;3,,,52,,,,False
character,,avg_npc_042,0,,,,,53,,,,False
name,......是你，没有错。,？？？,0,,,,,54,......是你，没有错。,......あなたですね、間違いありません。,？？？,True
name,我感觉到了......虽然，不太一样。,？？？,0,,,,,55,我感觉到了......虽然，不太一样。,感じます......でも、少し違うようです。,？？？,True
name,不过......你怀里的人，穿的制服......,？？？,0,,,,,56,不过......你怀里的人，穿的制服......,でも......あなたが抱いている人、その制服......,？？？,True
name,我可以问一问，你抱着的是谁吗？,？？？,0,,,,,57,我可以问一问，你抱着的是谁吗？,尋ねてもいいですか、あなたが抱いている方は誰ですか？,？？？,True
decision,一介战士。,,3,1,,,1;2;3,58,一介战士。,ただの戦士。,ただの戦士。,True
decision,一位同胞。,,3,2,,,1;2;3,59,一位同胞。,同胞の一人。,同胞の一人。,True
decision,一个朋友。,,3,3,,,1;2;3,60,一个朋友。,友人です。,友人です。,True
predicate,,,0,,1,,,61,,,,False
character,,avg_npc_042,0,,,,,62,,,,False
name,战士？,？？？,0,,,,,63,战士？,戦士？,？？？,True
name,啊......她在你身上留下了伤口。她是敌人？,？？？,0,,,,,64,啊......她在你身上留下了伤口。她是敌人？,ああ......彼女はあなたに傷を残しました。彼女は敵なのですか？,？？？,True
name,不，不是......这伤口，不是会杀死人的伤口。,？？？,0,,,,,65,不，不是......这伤口，不是会杀死人的伤口。,いいえ、違います......この傷は、命を奪うものではありません。,？？？,True
predicate,,,0,,2,,,66,,,,False
character,,avg_npc_042,0,,,,,67,,,,False
name,她也是感染者......？,？？？,0,,,,,68,她也是感染者......？,彼女も感染者ですか......？,？？？,True
name,不，你不是这个意思。,？？？,0,,,,,69,不，你不是这个意思。,違いますね、あなたの意図はそうではありません。,？？？,True
name,博士，你像是失去了什么。,？？？,0,,,,,70,博士，你像是失去了什么。,ドクター、あなたは何かを失ったようです。,？？？,True
predicate,,,0,,3,,,71,,,,False
character,,avg_npc_042,0,,,,,72,,,,False
name,她是你的朋友？,？？？,0,,,,,73,她是你的朋友？,彼女はあなたの友人ですか？,？？？,True
name,可是，朋友......她和你相联系的时间，很短很短。,？？？,0,,,,,74,可是，朋友......她和你相联系的时间，很短很短。,でも、友人......彼女とあなたを結びつけた時間は、とても短いものでした。,？？？,True
name,我不知道......我不知道这会不会很快就消失。,？？？,0,,,,,75,我不知道......我不知道这会不会很快就消失。,わかりません......これがすぐに消えてしまうのか、私にはわかりません。,？？？,True
decision,你能......感受到什么？,,1,1,,,1,76,你能......感受到什么？,あなたは......何か感じ取れるのか？,あなたは......何か感じ取れるのか？,True
predicate,,,0,,1,,,77,,,,False
character,,avg_npc_042,0,,,,,78,,,,False
name,所有人相互交流的痕迹。气味，温度，形状,？？？,0,,,,,79,所有人相互交流的痕迹。气味，温度，形状,全員の交流の痕跡です。匂い、温度、形......,？？？,True
name,我也不太清楚，但她......,？？？,0,,,,,80,我也不太清楚，但她......,私にもよくわかりませんが、彼女は......,？？？,True
character,,,0,,,,,81,,,,False
dialog,,,0,,,,,82,,,,False
,女孩将手伸向霜星。,,0,,,,,83,女孩将手伸向霜星。,少女が霜星に手を伸ばす。,少女が霜星に手を伸ばす。,True
decision,（默许）,,2,1,,,1;2,84,（默许）,（黙認）,（黙認）,True
decision,（出声阻止）,,2,2,,,1;2,85,（出声阻止）,（声を出して制止）,（声を出して制止）,True
predicate,,,0,,1,,,86,,,,False
character,,avg_npc_042,0,,,,,87,,,,False
name,唔。,？？？,0,,,,,88,唔。,うん。,？？？,True
name,不。,？？？,0,,,,,89,不。,だめです。,？？？,True
name,你不想我这么做吧？,？？？,0,,,,,90,你不想我这么做吧？,私にこうしてほしいわけじゃないですよね？,？？？,True
name,不，不是。我是外人。我和她没有联系。,？？？,0,,,,,91,不，不是。我是外人。我和她没有联系。,ちがいます、私は部外者です。彼女と私は縁がありません。,？？？,True
name,这不是我能做的事情，对吧？,？？？,0,,,,,92,这不是我能做的事情，对吧？,これは私がしていいことじゃないですよね？,？？？,True
name,不好意思。,？？？,0,,,,,93,不好意思。,ごめんなさい。,？？？,True
decision,你也和阿米娅一样，能读心？,,3,4,,,4;5;6,94,你也和阿米娅一样，能读心？,あなたもアーミヤのように心を読めるのか？,あなたもアーミヤのように心を読めるのか？,True
decision,......,,3,5,,,4;5;6,95,......,......,......,True
decision,我没法那么快理解你的反应。,,3,6,,,4;5;6,96,我没法那么快理解你的反应。,私は君の反応をそんなに早く理解できない。,私は君の反応をそんなに早く理解できない。,True
predicate,,,0,,4,,,97,,,,False
character,,avg_npc_042,0,,,,,98,,,,False
name,不，没有，我不能......,？？？,0,,,,,99,不，没有，我不能......,いいえ、できません......,？？？,True
name,阿米娅是特别的。我知道阿米娅的法术......也觉得她很辛苦。,？？？,0,,,,,100,阿米娅是特别的。我知道阿米娅的法术......也觉得她很辛苦。,アーミヤは特別です。アーミヤの術については知っていますし、彼女がとても苦労していることも感じます。,？？？,True
predicate,,,0,,5,,,101,,,,False
character,,avg_npc_042,0,,,,,102,,,,False
name,我......我想，我不能碰她。我也不能感受她。,？？？,0,,,,,103,我......我想，我不能碰她。我也不能感受她。,私は......多分、彼女に触れることはできませんし、彼女を感じることもできません。,？？？,True
name,她与这片大地的联系和我没有关联。,？？？,0,,,,,104,她与这片大地的联系和我没有关联。,彼女とこの大地のつながりは、私には関係ありません。,？？？,True
name,我没有......没有理由去触碰她。,？？？,0,,,,,105,我没有......没有理由去触碰她。,私は......彼女に触れる理由がありません。,？？？,True
predicate,,,0,,6,,,106,,,,False
character,,avg_npc_042,0,,,,,107,,,,False
name,其他干员，也会这么说。,？？？,0,,,,,108,其他干员，也会这么说。,他のオペレーターたちも、そう言います。,？？？,True
name,罗德岛上，大家都很有个性......但我可能更奇怪一些。,？？？,0,,,,,109,罗德岛上，大家都很有个性......但我可能更奇怪一些。,ロドスのみんなはとても個性的ですが......私はもっと変わっているかもしれません。,？？？,True
predicate,,,0,,2,,,110,,,,False
character,,avg_npc_042,0,,,,,111,,,,False
name,啊......,？？？,0,,,,,112,啊......,ああ......,？？？,True
name,对，对，对不起......,？？？,0,,,,,113,对，对，对不起......,す、すみません......,？？？,True
name,我......,？？？,0,,,,,114,我......,わたし......,？？？,True
decision,抱歉。,,3,7,,,7;8;9,115,抱歉。,ごめん。,ごめん。,True
decision,......,,3,8,,,7;8;9,116,......,......,......,True
decision,对不起，小姑娘。,,3,9,,,7;8;9,117,对不起，小姑娘。,すまない、少女よ。,すまない、少女よ。,True
predicate,,,0,,7,,,118,,,,False
character,,avg_npc_042,0,,,,,119,,,,False
name,没关系，没关系的。我已经习惯了。,？？？,0,,,,,120,没关系，没关系的。我已经习惯了。,大丈夫です、大丈夫です。私はもう慣れました。,？？？,True
predicate,,,0,,8,,,121,,,,False
character,,avg_npc_042,0,,,,,122,,,,False
name,请，请不要生气......,？？？,0,,,,,123,请，请不要生气......,どうか、怒らないでください......,？？？,True
name,你不说话，我有些......有些不知道该做什么。,？？？,0,,,,,124,你不说话，我有些......有些不知道该做什么。,あなたが黙っていると、私は......どうすればいいかわからなくなります。,？？？,True
predicate,,,0,,9,,,125,,,,False
character,,avg_npc_042,0,,,,,126,,,,False
name,没事的。,？？？,0,,,,,127,没事的。,大丈夫です。,？？？,True
name,比起被别人害怕，我更愿意别人认真对我说话。所以，没问题的。,？？？,0,,,,,128,比起被别人害怕，我更愿意别人认真对我说话。所以，没问题的。,他人に恐れられるより、真剣に話しかけてもらう方が嬉しいです。だから、大丈夫です。,？？？,True
predicate,,,0,,4;5;6;7;8;9,,,129,,,,False
character,,avg_npc_042,0,,,,,130,,,,False
name,你是要......用这个机器吧？,？？？,0,,,,,131,你是要......用这个机器吧？,あなたは......この機械を使うつもりですよね？,？？？,True
decision,如果这里确实是感染者最后归宿的话。,,1,1,,,1,132,如果这里确实是感染者最后归宿的话。,ここが本当に感染者の最期の場所ならば。,ここが本当に感染者の最期の場所ならば。,True
predicate,,,0,,1,,,133,,,,False
character,,avg_npc_042,0,,,,,134,,,,False
name,......嗯。,？？？,0,,,,,135,......嗯。,......うん。,？？？,True
name,我来帮你吧。先让我看一下记录。,？？？,0,,,,,136,我来帮你吧。先让我看一下记录。,私がお手伝いします。まず記録を見せてください。,？？？,True
name,嗯，没问题，这个舱室已经清理过了。把她放在这个平台上吧。轻一点，嗯。,？？？,0,,,,,137,嗯，没问题，这个舱室已经清理过了。把她放在这个平台上吧。轻一点，嗯。,はい、大丈夫です。この隔室はすでに清掃済みです。彼女をこのプラットフォームに乗せてください。ゆっくりと、はい。,？？？,True
name,之后平台会收进去，然后......等舱门关上，按下这个键就可以了。,？？？,0,,,,,138,之后平台会收进去，然后......等舱门关上，按下这个键就可以了。,その後にプラットフォームが自動で中に入り、扉が閉まったらこのボタンを押してください。,？？？,True
decision,你很熟悉操作。,,1,1,,,1,139,你很熟悉操作。,あなたは操作にとても慣れていますね。,,True
predicate,,,0,,1,,,140,,,,False
character,,avg_npc_042,0,,,,,141,,,,False
name,啊，因为我操作过许多遍了。,？？？,0,,,,,142,啊，因为我操作过许多遍了。,ああ、何度も操作したことがあるので。,？？？,True
decision,为什么.......,,1,1,,,1,143,为什么.......,なぜ.......,,True
predicate,,,0,,1,,,144,,,,False
character,,avg_npc_042,0,,,,,145,,,,False
name,罗德岛的感染者，最后都会到这里来。,？？？,0,,,,,146,罗德岛的感染者，最后都会到这里来。,ロドスの感染者たちは、最後には皆ここに来るのです。,？？？,True
name,如果是我认识，我感受过的人，我的队员，我都会自己操作。,？？？,0,,,,,147,如果是我认识，我感受过的人，我的队员，我都会自己操作。,もしも私が知っている人、触れ合ったことのある人、私の隊員であれば、私が自分で操作します。,？？？,True
name,原本的使用说明书很复杂，系统简单的操作方式，我都记在终端上了。只要稍稍看看，身体就会熟悉那种感觉。,？？？,0,,,,,148,原本的使用说明书很复杂，系统简单的操作方式，我都记在终端上了。只要稍稍看看，身体就会熟悉那种感觉。,もとの説明書はとても複雑でしたが、システムの簡単な操作方法はすべて端末にメモしてあります。少し見るだけで、体がその感覚を思い出すようになります。,？？？,True
decision,什么感觉？,,1,1,,,1,149,什么感觉？,どんな感覚ですか？,,True
predicate,,,0,,1,,,150,,,,False
character,,avg_npc_042,0,,,,,151,,,,False
name,啊......大概就像链子一样。,？？？,0,,,,,152,啊......大概就像链子一样。,ああ……たぶん鎖のような感じです。,？？？,True
decision,链子......？,,1,1,,,1,153,链子......？,鎖……？,,True
predicate,,,0,,1,,,154,,,,False
name,说是两个人之间牵着的线也可以。,？？？,0,,,,,155,说是两个人之间牵着的线也可以。,二人の間をつなぐ糸と言ってもいいかもしれません。,？？？,True
name,送走和你有联系的人，是解开缠在他们身上的线。线的另一边还是系在我们身上，可哪怕没有再系着谁了，线却也垂不下来。,？？？,0,,,,,156,送走和你有联系的人，是解开缠在他们身上的线。线的另一边还是系在我们身上，可哪怕没有再系着谁了，线却也垂不下来。,あなたと繋がっていた人を送り出すことは、その人に絡みついた糸を解くことです。糸の片端はまだ私たちに結ばれていますが、もう誰にもつながっていなくても、その糸は垂れ下がることはありません。,？？？,True
name,那种感觉，是身体里有什么消失了的感觉。已经不知道那里是什么，却又知道，他们曾经在，也不会回来。,？？？,0,,,,,157,那种感觉，是身体里有什么消失了的感觉。已经不知道那里是什么，却又知道，他们曾经在，也不会回来。,その感覚は、体の中から何かが消えてしまったという感覚です。もう何があったのかは分からないけれど、彼らがかつてそこにいて、もう戻ってこないのだと分かるのです。,？？？,True
decision,为什么要去熟悉这种感觉？,,1,1,,,1,158,为什么要去熟悉这种感觉？,どうしてその感覚に慣れようとするのですか？,,True
predicate,,,0,,1,,,159,,,,False
character,,avg_npc_042,0,,,,,160,,,,False
name,因为只有熟悉了，才不会突然地痛起来吧？,？？？,0,,,,,161,因为只有熟悉了，才不会突然地痛起来吧？,きっと慣れれば、いきなり痛みが襲ってくることもないでしょう？,？？？,True
decision,......你究竟是......？,,1,1,,,1,162,......你究竟是......？,……あなたはいったい……？,,True
character,,,0,,,,,163,,,,False
playsound,,,0,,,,,164,,,,False
predicate,,,0,,1,,,165,,,,False
character,,,0,,,,,166,,,,False
name,打扰一下。,PRTS,0,,,,,167,打扰一下。,失礼します。,PRTS,True
name,身在罗德岛生物感染综合处理室的精英干员Rosmontis，你的识别码将在15mins后失效。,PRTS,0,,,,,168,身在罗德岛生物感染综合处理室的精英干员Rosmontis，你的识别码将在15mins后失效。,ロドス生体感染総合処理室にいるエリートオペレーターRosmontis、あなたの認証コードは15分後に無効となります。,PRTS,True
name,接下来我将为你进行更新，请在原地停留十五秒左右。,PRTS,0,,,,,169,接下来我将为你进行更新，请在原地停留十五秒左右。,これから更新を行うため、そのまま約15秒待機してください。,PRTS,True
name,另外，接舷区发生了小规模的武装冲突，有条件请在识别码更新后进行支援，以期减少我方资源的损耗。,PRTS,0,,,,,170,另外，接舷区发生了小规模的武装冲突，有条件请在识别码更新后进行支援，以期减少我方资源的损耗。,なお、接岸区で小規模な武装衝突が発生しており、可能であれば認証コード更新後に支援をお願いします。我が方の資源消耗を減らすためです。,PRTS,True
character,,avg_npc_042,0,,,,,171,,,,False
name,啊，嗯。我知道了，马上就去。,Rosmontis,0,,,,,172,啊，嗯。我知道了，马上就去。,あ、うん。分かりました、すぐに向かいます。,ロスモンティス,True
name,我在终端上记一下。,Rosmontis,0,,,,,173,我在终端上记一下。,端末にメモしておきます。,ロスモンティス,True
character,,,0,,,,,174,,,,False
name,第六次提示你，如果你愿意向本系统开放权限，系统可以直接将信息发送至......,PRTS,0,,,,,175,第六次提示你，如果你愿意向本系统开放权限，系统可以直接将信息发送至......,6度目のご案内となりますが、権限を本システムに開放していただければ、情報を直接送信することが可能です……,PRTS,True
character,,avg_npc_042,0,,,,,176,,,,False
name,不行。,Rosmontis,0,,,,,177,不行。,できません。,ロスモンティス,True
name,这是只有我......只有我能写的东西。,Rosmontis,0,,,,,178,这是只有我......只有我能写的东西。,これは私だけ……私しか書けないものなんです。,ロスモンティス,True
character,,,0,,,,,179,,,,False
name,明白。请。,PRTS,0,,,,,180,明白。请。,了解しました。どうぞ。,PRTS,True
decision,精英干员......？,,1,1,,,1,181,精英干员......？,エリートオペレーター……？,,True
predicate,,,0,,1,,,182,,,,False
character,,avg_npc_042,0,,,,,183,,,,False
name,PRTS指的是我。,Rosmontis,0,,,,,184,PRTS指的是我。,PRTSとは私のことです。,ロスモンティス,True
decision,我该叫你Rosmontis吗？,,1,1,,,1,185,我该叫你Rosmontis吗？,あなたをロスモンティスと呼べばいいですか？,,True
predicate,,,0,,1,,,186,,,,False
character,,avg_npc_042,0,,,,,187,,,,False
name,你可以叫我......迷迭香。,Rosmontis,0,,,,,188,你可以叫我......迷迭香。,あなたは私を……ローズマリーと呼んでもいいです。,ロスモンティス,True
name,......她，叫什么？,迷迭香,0,,,,,189,......她，叫什么？,……彼女の名前は、何ですか？,ローズマリー,True
name,我想......我想至少知道她的名字。,迷迭香,0,,,,,190,我想......我想至少知道她的名字。,私は……せめて彼女の名前だけは知りたいんです。,ローズマリー,True
decision,霜星。,,1,1,,,1,191,霜星。,フロストノヴァ。,,True
predicate,,,0,,1,,,192,,,,False
character,,avg_npc_042,0,,,,,193,,,,False
name,霜星......,迷迭香,0,,,,,194,霜星......,フロストノヴァ……,ローズマリー,True
name,好好听。,迷迭香,0,,,,,195,好好听。,とても綺麗な響きですね。,ローズマリー,True
