command,text_orig,name,focus,image,index,text,jp_text,jp_name,text_match
header,,,,,0,,,,True
stopmusic,,,,,1,,,,True
dialog,,,,,2,,,,True
delay,,,,,3,,,,True
character,,,,,4,,,,True
blocker,,,,,5,,,,True
background,,,,bg_lungmen_o,6,,,,True
blocker,,,,,7,,,,True
playmusic,,,,,8,,,,True
,魏彦吾办公室 6:30 p.m.,,,,9,魏彦吾办公室 6:30 p.m.,魏彦吾オフィス　午後6時30分,,True
dialog,,,,,10,,,,True
character,,char_003_kalts_1,,,11,,,char_003_kalts_1,True
delay,,,,,12,,,,True
name,没错，魏先生。三十二小时后，核心城将与龙门相撞。,凯尔希,,,13,没错，魏先生。三十二小时后，核心城将与龙门相撞。,その通りです、魏さん。三十二時間後、コアシティは龍門と衝突いたします。,ケルシー,True
name,它的城邦识别码没有改换，这意味着切尔诺伯格这座移动城邦的核心部分，仍是乌萨斯领土的一部分。,凯尔希,,,14,它的城邦识别码没有改换，这意味着切尔诺伯格这座移动城邦的核心部分，仍是乌萨斯领土的一部分。,その都市識別コードは変更されておりません。つまり、チェルノボーグというこの移動都市のコア部分は、いまだウルサス領の一部でございます。,ケルシー,True
character,,char_003_kalts_1,2,,15,,,char_003_kalts_1,True
name,一旦我们攻击了核心城，就等同于对乌萨斯宣战......？,陈,,,16,一旦我们攻击了核心城，就等同于对乌萨斯宣战......？,私たちがコアシティを攻撃したら、それはウルサスへの宣戦布告と同じことに……？,チェン,True
character,,char_2005_weiyw_1,,,17,,,char_2005_weiyw_1,True
name,整合运动想以这种方式挟持乌萨斯，无异于异想天开。,魏彦吾,,,18,整合运动想以这种方式挟持乌萨斯，无异于异想天开。,インテグレーション・ムーブメントがこんなやり方でウルサスを操ろうとするのは、まったくもって夢物語だ。,魏彦吾,True
character,,char_2005_weiyw_1,2,,19,,,char_2005_weiyw_1,True
name,魏先生的反应稍显平静了些。也许在您看来，乌萨斯几乎是个爱好和平的国家。,凯尔希,,,20,魏先生的反应稍显平静了些。也许在您看来，乌萨斯几乎是个爱好和平的国家。,魏さんのご反応は少しばかり穏やか過ぎるようです。もしかすると、あなたにはウルサスがほとんど平和を愛する国だと映っているのかもしれません。,ケルシー,True
character,,char_2005_weiyw_1,1,,21,,,char_2005_weiyw_1,True
name,乌萨斯的扩张建立在它对财富、疆土与发展的渴望上。,魏彦吾,,,22,乌萨斯的扩张建立在它对财富、疆土与发展的渴望上。,ウルサスの拡大は、富、領土、そして発展への渇望の上に成り立っている。,魏彦吾,True
name,只要有利可图，数十年前的乌萨斯帝国会毫无疑问地策动一场战争，哪怕这场战争的敌人是整片大地也在所不惜。,魏彦吾,,,23,只要有利可图，数十年前的乌萨斯帝国会毫无疑问地策动一场战争，哪怕这场战争的敌人是整片大地也在所不惜。,利益がある限り、数十年前のウルサス帝国は、たとえ敵が全土であっても、間違いなく戦争を仕掛けただろう。,魏彦吾,True
name,可是，向炎挑起战争？,魏彦吾,,,24,可是，向炎挑起战争？,だが、イェンに戦争を仕掛けるのか？,魏彦吾,True
name,数百年来大炎从未对外宣战，但这不意味着大炎缺乏赢取战争的能力。不如说，穷兵黩武的国家并不能理解炎的繁荣究竟从何而来。,魏彦吾,,,25,数百年来大炎从未对外宣战，但这不意味着大炎缺乏赢取战争的能力。不如说，穷兵黩武的国家并不能理解炎的繁荣究竟从何而来。,何百年もの間、イェンは一度も他国に宣戦布告したことがない。しかしそれはイェンに戦争に勝つ力がないという意味ではなく、むしろ好戦的な国々にはイェンの繁栄の理由が理解できないということだ。,魏彦吾,True
name,两败俱伤的大战过后，大炎自然需要许多时日去调养生息，但有着严重内政问题的乌萨斯却会受到更沉重的打击。,魏彦吾,,,26,两败俱伤的大战过后，大炎自然需要许多时日去调养生息，但有着严重内政问题的乌萨斯却会受到更沉重的打击。,共倒れの大戦の後、イェンは当然ながらしばらく立ち直りに時間がかかるだろう。しかし深刻な内政問題を抱えたウルサスは、より大きな打撃を受ける。,魏彦吾,True
