command,text_orig,name,image,index,text,jp_text,jp_name,text_match
header,,,,0,,,,True
stopmusic,,,,1,,,,True
dialog,,,,2,,,,True
character,,,,3,,,,True
blocker,,,,4,,,,True
image,,,avg_7_23,5,,,,True
blocker,,,,6,,,,True
playmusic,,,,7,,,,True
name,我可以把她还给你，魏。,科西切,,8,我可以把她还给你，魏。,私は彼女を君に返してもいいぞ、ウェイ。,コシチェイ,True
name,——,魏彦吾,,9,——,——,ウェイ・イェンウ,True
name,停！,魏彦吾,,10,停！,やめろ！,ウェイ・イェンウ,True
name,......不要动手。,魏彦吾,,11,......不要动手。,......手を出すな。,ウェイ・イェンウ,True
name,噢。你这些强大的刽子手，真是让我吃了很多苦头。,科西切,,12,噢。你这些强大的刽子手，真是让我吃了很多苦头。,おお。君たちのような強大な処刑人には、本当に苦しめられたよ。,コシチェイ,True
name,我当然可以把她还给你......但她身上的铐环会引爆龙门半数城区。,科西切,,13,我当然可以把她还给你......但她身上的铐环会引爆龙门半数城区。,もちろん彼女を君に返すことはできるが......彼女に付けられた手錠は龍門の半分を吹き飛ばすぞ。,コシチェイ,True
name,你......,魏彦吾,,14,你......,お前は……,ウェイ・イェンウ,True
name,魏，这是你曾经用来对付我的办法，是你逼我离开龙门的办法。,科西切,,15,魏，这是你曾经用来对付我的办法，是你逼我离开龙门的办法。,ウェイ、これは以前君が私に使った手段、私を龍門から追い出したやり方だ。,コシチェイ,True
name,现在，我们主客易位。我是客人，也是下毒的人。,科西切,,16,现在，我们主客易位。我是客人，也是下毒的人。,今や立場が逆転したな。私は客であり、毒を仕掛ける者だ。,コシチェイ,True
name,科西切。你害死了我的兄弟。,魏彦吾,,17,科西切。你害死了我的兄弟。,コシチェイ。お前が私の兄弟を殺した。,ウェイ・イェンウ,True
name,不，不，魏。是你自己杀了自己的兄弟。,科西切,,18,不，不，魏。是你自己杀了自己的兄弟。,違う、違うよ、ウェイ。君が自分の手で兄弟を殺したのだ。,コシチェイ,True
name,我的角色并不重要。你兄弟的悲剧，也许出于一匹独角兽的密令，一条真龙的震怒，但泄露消息的究竟是不是我，不，不重要。,科西切,,19,我的角色并不重要。你兄弟的悲剧，也许出于一匹独角兽的密令，一条真龙的震怒，但泄露消息的究竟是不是我，不，不重要。,私の役割は重要ではない。君の兄弟の悲劇は、ユニコーンの密命か、真なる竜の激怒によるものかもしれないが、情報を漏らしたのが私だったかどうか、それは重要ではない。,コシチェイ,True
name,重要的是，魏，唯一重要的事实是——你用你手中的赤霄剑，杀了自己的兄弟。亲手。,科西切,,20,重要的是，魏，唯一重要的事实是——你用你手中的赤霄剑，杀了自己的兄弟。亲手。,重要なのは一つだけだ、ウェイ。君は自らの手で赤霄剣を振るい、兄弟を殺したという事実だ。,コシチェイ,True
name,赤霄，斩龙之剑。死在这剑下的是谁？血亲，义亲，至亲。,科西切,,21,赤霄，斩龙之剑。死在这剑下的是谁？血亲，义亲，至亲。,赤霄は竜を斬る剣だ。この剣に倒れたのは誰だ？血縁、義理、そして最愛の者だ。,コシチェイ,True
name,斩龙之剑？你们这些人铸造这把剑，不过用来同类相残。,科西切,,22,斩龙之剑？你们这些人铸造这把剑，不过用来同类相残。,竜を斬る剣？君たちはこんな剣を作ったが、結局は同族を殺し合うためのものにすぎない。,コシチェイ,True
name,你说得太多。,魏彦吾,,23,你说得太多。,しゃべりすぎだ。,ウェイ・イェンウ,True
name,好。我让你选。,科西切,,24,好。我让你选。,よろしい。選ばせてやろう。,コシチェイ,True
name,选吧。杀掉我抢回侄女，并因此毁掉这座城市；又或者允许我们平安离开。,科西切,,25,选吧。杀掉我抢回侄女，并因此毁掉这座城市；又或者允许我们平安离开。,選ぶがいい。私を殺して姪を取り返し、その代償にこの都市を滅ぼすか。それとも、私たちを無事に去らせるか。,コシチェイ,True
name,——,魏彦吾,,26,——,——,ウェイ・イェンウ,True
name,不要出剑。你知道后果。,科西切,,27,不要出剑。你知道后果。,剣を抜くな。結末は分かっているだろう。,コシチェイ,True
