command,text_orig,key,is_skippable,fit_mode,time,fadetime,block,image,screenadapt,a,r,g,b,intro,volume,duration,xstrength,ystrength,vibrato,randomness,fadeout,name,x,y,xScale,yScale,xFrom,xTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,name2,focus,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,False
blocker,,,,,,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,False
,龙门上城区  7：20 p.m.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,False
background,,,,,,,,bg_turf,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,False
blocker,,,,,,3,true,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,9,,,,False
playmusic,,$drift_loop,,,,,,,,,,,,$drift_intro,0.4,,,,,,,,,,,,,,,,,,,,10,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,False
camerashake,,,,,,,false,,,,,,,,,1,8,6,30,90,true,,,,,,,,,,,,,,13,,,,False
playsound,,$d_sp_chixiaobadao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,False
blocker,,,,,,0.02,true,,,0.7,1,0,0,,,,,,,,,,,,,,,,,,,,,,15,,,,False
blocker,,,,,,2,true,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,16,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,False
character,,,,,,1,true,,,,,,,,,,,,,,,char_010_chen_1#4,,,,,,,,,,,,,18,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,False
name,哈，哈......,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,20,哈，哈......,はぁ、はぁ……,チェン,True
character,,,,,,,,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,21,,,,False
name,......你竟然这么坚定。,,,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,22,......你竟然这么坚定。,……君がこんなに固く決意していたとは。,ホシグマ,True
name,没想到。我没想到，你......能让我流血。,,,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,23,没想到。我没想到，你......能让我流血。,思いもしなかった。まさか君が……私を傷つけることができるなんて。,ホシグマ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,False
blocker,,,,,,1,true,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,26,,,,False
image,,,,,,0,,avg_7_5_2,,,,,,,,,,,,,,,30,0,1.1,1.1,,,,,,,,,27,,,,False
imagetween,,,,,,,false,,,,,,,,,20,,,,,,,,,,,30,0,1.1,1.1,0.87,0.87,,,28,,,,False
blocker,,,,,,2,true,,,0,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,False
name,我们，哈，我们都，从来没能......走出过去。,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,30,我们，哈，我们都，从来没能......走出过去。,私たちは、はぁ、私たちは誰も……過去から抜け出せたことがない。,チェン,True
name,星熊，你一直在这座城里，而我......始终不在，也一直在逃。,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,31,星熊，你一直在这座城里，而我......始终不在，也一直在逃。,ホシグマ、あなたはずっとこの街にいるけど、私は……ずっとここにはいなかった、そしてずっと逃げ続けてきた。,チェン,True
name,我想我永远都无法忍受这座城市。,,,,,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,32,我想我永远都无法忍受这座城市。,私はこの都市を永遠に受け入れることができないと思う。,チェン,True
