command,text_orig,key,is_skippable,fit_mode,time,fadetime,block,a,r,g,b,image,screenadapt,intro,volume,options,values,references,name,name2,focus,effect,keep,amount,Delay,duration,xstrength,ystrength,vibrato,randomness,fadeout,x,y,xScale,yScale,xFrom,xTo,option_number,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
blocker,,,,,,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
dialog,,,,,,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
,6:00am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,False
blocker,,,,,,1,true,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
background,,,,,,,,,,,,bg_laccolith,coverall,,,,,,,,,,,,,,,,,,,,,,,,,0,11,,,,False
blocker,,,,,,1,true,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,,False
playmusic,,$frontline_loop,,,,,,,,,,,,$frontline_intro,0.4,,,,,,,,,,,,,,,,,,,,,,,0,13,,,,False
decision,消灭侦查部队后，不会剩多少时间。,,,,,,,,,,,,,,,消灭侦查部队后，不会剩多少时间。,1,,,,,,,,,,,,,,,,,,,,,1,14,消灭侦查部队后，不会剩多少时间。,偵察部隊を排除した後、残された時間はあまりありません。,,True
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,15,,,,False
character,,,,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,0,16,,,,False
name,正如你所说。时间紧迫。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,17,正如你所说。时间紧迫。,おっしゃる通りです。時間がありません。,ケルシー,True
decision,干员不会站在沙地上扒城上去。,,,,,,,,,,,,,,,干员不会站在沙地上扒城上去。,1,,,,,,,,,,,,,,,,,,,,,1,18,干员不会站在沙地上扒城上去。,オペレーターは砂地の上に立って城壁によじ登ったりはしません。,,True
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,19,,,,False
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,0,20,,,,False
name,呃......有些时候我们是会这么做啦。,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,21,呃......有些时候我们是会这么做啦。,ええと……時々はそうすることも、ありますよ。,アーミヤ,True
name,但是核心城正在移动中，要想进入下层基础结构，确实不容易。,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,22,但是核心城正在移动中，要想进入下层基础结构，确实不容易。,ですが、コアシティはいま移動していますので、下層の基礎構造に入るのは確かに簡単ではありません。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,0,23,,,,False
name,如果干员站在沙地上等着移动城邦驶过，无论是相对速度还是相对高度，都限制了干员的行动。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,24,如果干员站在沙地上等着移动城邦驶过，无论是相对速度还是相对高度，都限制了干员的行动。,オペレーターが砂地の上で移動都市を待っていると、相対速度や相対高度、いずれもオペレーターの行動を制限してしまいます。,ケルシー,True
name,没办法打开移动城邦底部的维修窗口与废料出口的话，准备好的诱饵与隐蔽会失去意义。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,25,没办法打开移动城邦底部的维修窗口与废料出口的话，准备好的诱饵与隐蔽会失去意义。,移動都市下部のメンテナンスウィンドウや廃棄物出口を開けないのであれば、用意した囮や隠密行動も無意味になります。,ケルシー,True
name,所以，我们的五支小队会通过载具，以沙尘作为掩护接近核心城，最后利用工具登上核心城的底层工业结构。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,26,所以，我们的五支小队会通过载具，以沙尘作为掩护接近核心城，最后利用工具登上核心城的底层工业结构。,ですので、私たちの五つの小隊は車両を使い、砂塵を隠れ蓑にしてコアシティに接近し、最後は道具を使ってコアシティ下層の工業構造に登ります。,ケルシー,True
decision,罗德岛居然只派遣了五支小队？ ,,,,,,,,,,,,,,,罗德岛居然只派遣了五支小队？ ,1,,,,,,,,,,,,,,,,,,,,,1,27,罗德岛居然只派遣了五支小队？ ,ロドスはたった五つの小隊しか派遣しなかったのか？,,True
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,28,,,,False
character,,,,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,0,29,,,,False
name,我们没有急着想让乌萨斯的地方将领捏到我们把柄的意思。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,0,30,我们没有急着想让乌萨斯的地方将领捏到我们把柄的意思。,私たちはウルサスの地方将校に弱みを握られるつもりはありません。,ケルシー,True
