command,text,name,option_number,option_value,references,focus,image,values,name2,jp_text,jp_name
header,,,0,,,,,,,,
stopmusic,,,0,,,,,,,,
dialog,,,0,,,,,,,,
delay,,,0,,,,,,,,
character,,,0,,,,,,,,
blocker,,,0,,,,,,,,
playsound,,,0,,,,,,,,
delay,,,0,,,,,,,,
,流血。刺穿。撕裂。,,0,,,,,,,流血。刺し貫く。引き裂く。,
dialog,,,0,,,,,,,,
delay,,,0,,,,,,,,
decision,这不对。,,1,1,,,,1,,これは違います。,
predicate,,,0,,1,,,,,,
playsound,,,0,,,,,,,,
delay,,,0,,,,,,,,
,我们。敌人。人。,,0,,,,,,,私たち。敵。人。,
,哀嚎，惨叫，呻吟。,,0,,,,,,,悲鳴、叫び声、うめき声。,
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
background,,,0,,,,bg_cherunder,,,,
blocker,,,0,,,,,,,,
playmusic,,,0,,,,,,,,
decision,这不对！,,3,1,,,,1;2;3,,これは違う！,
decision,......！,,3,2,,,,1;2;3,,......！,
decision,我不能接受。,,3,3,,,,1;2;3,,私は受け入れられません。,
predicate,,,0,,1;2;3,,,,,,
character,,char_003_kalts_1,0,,,,,,,,
name,......,凯尔希,0,,,,,,,......,ケルシー
name,你想问问题。你可以问。,凯尔希,0,,,,,,,質問したいことがあるのですね。どうぞ聞いてください。,ケルシー
character,,avg_npc_012,0,,,,,,,,
name,博士......是第一次看迷迭香战斗吗？,罗德岛干员,0,,,,,,,ドクター……迷迭香の戦いを見るのは初めてですか？,ロドスオペレーター
name,我知道你不好受，但——,罗德岛干员,0,,,,,,,お気持ちは分かりますが――,ロドスオペレーター
character,,char_003_kalts_1,0,,,1,,,avg_npc_012,,
name,交给我。去照看失去战斗能力的敌方伤员。以及，他们中有负责发布消息和接收命令的传令兵。,凯尔希,0,,,,,,,私に任せてください。戦闘不能となった敵の負傷者を看護しに行きなさい。また、その中には伝令もいます。,ケルシー
name,他们的逃脱会对我们的行动造成巨大威胁。,凯尔希,0,,,,,,,彼らが逃げると私たちの行動にとって大きな脅威となります。,ケルシー
character,,char_003_kalts_1,0,,,2,,,avg_npc_012,,
name,......明白。,罗德岛干员,0,,,,,,,……了解しました。,ロドスオペレーター
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
decision,她多大年纪？ ,,1,1,,,,1,,彼女は何歳ですか？,
predicate,,,0,,1,,,,,,
character,,char_003_kalts_1,0,,,,,,,,
name,14岁。,凯尔希,0,,,,,,,14歳です。,ケルシー
decision,你允许她......？！,,1,1,,,,1,,あなたは彼女に……許したのですか？！,
predicate,,,0,,1,,,,,,
character,,char_002_amiya_1,0,,,,,,,,
name,诸位干员......请让我过去！,阿米娅,0,,,,,,,各オペレーターの皆さん……どうか私を通してください！,アーミヤ
name,......这里发生什么事了？我才刚处理完现场......,阿米娅,0,,,,,,,……ここで何が起きたのですか？わたし、現場をやっと片付けたばかりなのですが……,アーミヤ
name,博士？,阿米娅,0,,,,,,,ドクター？,アーミヤ
character,,avg_npc_042,0,,,,,,,,
name,......怎么了？,迷迭香,0,,,,,,,……どうしたの？,ラベンダー
name,博士，你刚才是叫我了吗？,迷迭香,0,,,,,,,ドクター、さっき呼びましたか？,ラベンダー
decision,是谁把你推上战场的？,,1,1,,,,1,,誰が君を戦場に送り出したんだ？,
predicate,,,0,,1,,,,,,
character,,char_002_amiya_1,0,,,,,,,,
name,......,阿米娅,0,,,,,,,......,
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
