command,text,name,focus,image,name2,jp_text,jp_name
header,,,,,,,
stopmusic,,,,,,,
dialog,,,,,,,
character,,,,,,,
,时间不明,,,,,時間不明,
dialog,,,,,,,
character,,,,,,,
blocker,,,,,,,
background,,,,bg_lungmen_o,,,
blocker,,,,,,,
playmusic,,,,,,,
character,,char_2006_weiywfmzuki_1,,,,,
delay,,,,,,,
name,,文月,,,,,
name,......,文月,,,,......,文月
name,不拉窗帘吗？,文月,,,,カーテンは閉めないのですか？,文月
character,,char_2005_weiyw_1#5,,,,,
name,玻璃已经碎了。拉上窗帘只是欺骗自己。,魏彦吾,,,,ガラスはもう割れてしまった。カーテンを閉めたところで、自分を騙すだけだ。,魏彦吾
character,,char_2006_weiywfmzuki_1,1,,char_2005_weiyw_1#5,,
name,玻璃是小事，小陈她没事......才是大事。,文月,,,,ガラスなんてたいしたことじゃありません。小陳が無事……それこそが大事なことです。,文月
character,,char_2006_weiywfmzuki_1,2,,char_2005_weiyw_1#5,,
name,身手很好。既不像她父亲，也不像她母亲。,魏彦吾,,,,身のこなしがいい。父親にも母親にも似ていないな。,魏彦吾
character,,char_2006_weiywfmzuki_1,1,,char_2005_weiyw_1#5,,
name,是啊，不像她。,文月,,,,そうですね、彼女とは違います。,文月
character,,char_2006_weiywfmzuki_1,2,,char_2005_weiyw_1#5,,
name,......,魏彦吾,,,,......,
name,我脚下已经又是一片灯火通明。龙门城已恢复了往日气象，可之后会发生什么，他们尚一无所知。,魏彦吾,,,,足元には再び灯りがともり、龍門の街もいつもの様子を取り戻した。しかし、これから何が起こるのか、彼らはまだ何も知らない。,魏彦吾
name,这场灾难，陈晖洁一个人无法阻止。,魏彦吾,,,,この災厄は、陳晖潔一人では止められない。,魏彦吾
character,,char_2006_weiywfmzuki_1,1,,char_2005_weiyw_1#5,,
name,还有罗德岛和她一起。他们会找到她的。,文月,,,,それに、ロドスも一緒です。きっと彼女を見つけてくれます。,文月
name,唉......,文月,,,,はあ……,文月
name,维特已经钳制不住保守派了。这么多年来他努力压制各个大公，却也只能削弱他们，没法彻底打败他们。,文月,,,,ヴィトはもう保守派を抑えられなくなっています。長年かけて大公たちを抑えようと努力してきましたが、弱体化させるのが精一杯で、完全に打ち負かすことはできませんでした。,文月
character,,char_2006_weiywfmzuki_1,2,,char_2005_weiyw_1#5,,
name,大叛乱之后，各集团军将领和旧贵族已经元气大伤，他们的地位和资源只会被帝国议会逐一消化。,魏彦吾,,,,大反乱の後、各軍団の将軍や旧貴族はすでに大きな打撃を受け、彼らの地位や資源は帝国議会に次々と吸収されていくだろう。,魏彦吾
name,可我担心......,魏彦吾,,,,だが、私は心配している……,魏彦吾
character,,char_2006_weiywfmzuki_1,1,,char_2005_weiyw_1#5,,
name,担心什么？,文月,,,,何を心配しているのですか？,文月
character,,char_2006_weiywfmzuki_1,2,,char_2005_weiyw_1#5,,
name,如果维特在说谎呢？如果这件事正是维特和帝国皇帝谋划的呢？如果那个年轻的皇帝策划了这一切呢？,魏彦吾,,,,もしヴィトが嘘をついているとしたら？これがヴィトと皇帝の計略だったとしたら？あの若い皇帝が全てを画策していたとしたら？,魏彦吾
name,我们的敌人，一直身处暗处。我们却不得不站在最敞亮的地方。,魏彦吾,,,,我々の敵は常に暗闇にひそみ、我々は明るみに立たされている。,魏彦吾
character,,char_2006_weiywfmzuki_1,1,,char_2005_weiyw_1#5,,
name,比起其他许多人，你已经在暗处了。,文月,,,,他の多くの人に比べれば、あなたはもう十分に影にいると思います。,文月
character,,char_2006_weiywfmzuki_1,2,,char_2005_weiyw_1#5,,
name,......还不够。就像当年一样。如果是科西切......如果是科西切，他会藏得更深。,魏彦吾,,,,……まだ足りない。かつてと同じだ。もしコシチェだったなら……コシチェなら、もっと深く隠れていただろう。,魏彦吾
character,,char_2006_weiywfmzuki_1,1,,char_2005_weiyw_1#5,,
name,可你不是科西切。科西切不会把龙门建设成现在这样。,文月,,,,でも、あなたはコシチェではありません。コシチェなら、龍門を今のような街にはしなかったでしょう。,文月
name,只是，小塔......如果小塔真是被科西切教成这样的......,文月,,,,ただ……タワー……もし本当にコシチェが小塔をこう育てたのだとしたら……,文月
name,......,文月,,,,......,
name,你觉得，那个罗德岛的医生，她在说谎吗？,文月,,,,あのロドスのドクター、嘘をついていると思いますか？,文月
