command,text_orig,key,is_skippable,fit_mode,time,fadetime,block,volume,intro,a,r,g,b,image,screenadapt,name,x,y,xScale,yScale,options,values,references,name2,focus,yFrom,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,option_number,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
blocker,,,,,,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
dialog,,,,,,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
,切尔诺伯格仓库  12:40  a.m.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,False
playsound,,$d_gen_soldiersrun,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
playmusic,,$darkness02_loop,,,,,,0.4,$darkness02_intro,,,,,,,,,,,,,,,,,,,,,,,,0,11,,,,False
blocker,,,,,,1,true,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,0,12,,,,False
background,,,,,,,,,,,,,,bg_warehouse,coverall,,,,,,,,,,,,,,,,,,0,13,,,,False
blocker,,,,,,3,true,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,14,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,0,15,,,,False
name,大量的仓库和储存设备......这里应该是仓库区。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,0,16,大量的仓库和储存设备......这里应该是仓库区。,大量の倉庫と貯蔵設備……ここは倉庫区なのでしょう。,アーミヤ,True
name,循着这条路，我们就可以直达中央区。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,0,17,循着这条路，我们就可以直达中央区。,この道を辿れば、私たちは中央区まで直行できます。,アーミヤ,True
character,,,,,,,,,,,,,,,,avg_npc_012,,,,,,,,,,,,,,,,,0,18,,,,False
name,阿米娅！过来看看。仓库里面。,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,0,19,阿米娅！过来看看。仓库里面。,アーミヤ！こっちに来て見てくれ。倉庫の中だ。,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,0,20,,,,False
name,这是......啊。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,0,21,这是......啊。,これは……あっ。,アーミヤ,True
character,,,,,,,,,,,,,,,,avg_npc_012,,,,,,,,,,,,,,,,,0,22,,,,False
name,尖锐的刃形法术和打斗痕迹。迅速解决了两三个整合运动，都被丢在这边了。,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,0,23,尖锐的刃形法术和打斗痕迹。迅速解决了两三个整合运动，都被丢在这边了。,鋭い刃の形をした術式や戦闘の跡がある。二、三人のレユニオンが素早く片付けられて、ここに捨てられているな。,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,0,24,,,,False
name,......还有气。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,0,25,......还有气。,……まだ気配があります。,アーミヤ,True
name,凯尔希医生！,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,0,26,凯尔希医生！,ケルシー博士！,アーミヤ,True
name,嗯，拜托你和医疗干员。这几个整合运动也许有我们需要的信息。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,0,27,嗯，拜托你和医疗干员。这几个整合运动也许有我们需要的信息。,はい、あなたと医療オペレーターにお願いします。この数名のレユニオンはきっと必要な情報を持っているかもしれません。,アーミヤ,True
name,这里也能看到陈长官的痕迹......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,0,28,这里也能看到陈长官的痕迹......,ここにもチェン長官の痕跡が見えます……,アーミヤ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,,,,False
blocker,,,,,,1,true,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,0,30,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,,,,False
image,,,,,,0,,,,,,,,avg_7_11,,,0,0,0.86,0.86,,,,,,,,,,,,,0,32,,,,False
blocker,,,,,,1,true,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,33,,,,False
name,是血迹。她受了伤。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,0,34,是血迹。她受了伤。,これは血痕です。彼女は怪我をしています。,アーミヤ,True
name,在这里，血迹在这里有沉积，但只到这里为止。她给自己止了血。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,0,35,在这里，血迹在这里有沉积，但只到这里为止。她给自己止了血。,この場所に血が溜まっていますが、ここで止まっています。彼女は自分で止血したのでしょう。,アーミヤ,True
name,离开现场的只有一个人，只可能是陈长官了。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,0,36,离开现场的只有一个人，只可能是陈长官了。,現場を離れたのは一人だけです。それはチェン長官しかありえません。,アーミヤ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37,,,,False
blocker,,,,,,1,true,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,0,38,,,,False
