command,text,name,option_number,option_value,references,focus,image,values,name2,jp_text,jp_name
header,,,0,,,,,,,,
stopmusic,,,0,,,,,,,,
delay,,,0,,,,,,,,
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
playmusic,,,0,,,,,,,,
blocker,,,0,,,,,,,,
character,,,0,,,,,,,,
background,,,0,,,,bg_cher_0,,,,
blocker,,,0,,,,,,,,
,法律，原始的法律，同态复仇的背后是同样原始的需要，对暴力的需要。,,0,,,,,,,法律、原始の法律、同害復讐の背後には同じく原始的な欲求、暴力への欲求がある。,
,城邦向居民许诺，用优厚的生活与稳定的环境安抚他们——,,0,,,,,,,都市国家は住民に対して、豊かな生活と安定した環境を約束して安心させる――,
,让他们的生命服务于一个人造的目标，驯化他们天性中的征服意志，教他们安心，令他们软弱。,,0,,,,,,,彼らの生命を人工的な目的に捧げさせ、彼らの本性にある征服意志を抑え込み、彼らに安心感を教え、弱体化させる。,
,我们的陛下是睿智的。,,0,,,,,,,私たちの陛下は聡明です。,
,诸多城邦将有力视作罪恶，将匮乏勇气当作美德，将畏惧死亡看作进步。陛下将撕去他们的遮羞布，让他们思考，让他们反省。,,0,,,,,,,多くの都市国家は力を罪悪とみなし、勇気の欠如を美徳とし、死への恐怖を進歩と見なしている。陛下は彼らの隠れ蓑をはぎ取り、彼らに考えさせ、反省させるだろう。,
,我们人类的血脉里，一直流淌着一种渴望，一种对以行为宣泄自身生命力量的渴望。,,0,,,,,,,私たち人類の血脈には、常に一つの渇望が流れている。それは、自らの生命力を行動によって発散させたいという渇望である。,
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
blocker,,,0,,,,,,,,
background,,,0,,,,bg_cher_9,,,,
blocker,,,0,,,,,,,,
,公平不是天生的。公平是依赖有智慧、有意志的力量去缔造的。,,0,,,,,,,公平は生まれつきのものではありません。公平は、知恵と意志を持つ力によって作り出されるものです。,
,陛下将把他们需要的这一切，被城市带走的这一切，还给他们。,,0,,,,,,,陛下は彼らから奪われ、都市によって持ち去られたすべてのものを、彼らに取り戻してくださいます。,
,新的目标将被宣布，陛下会重整他们被日常生活与无聊磨平的思维，唤醒他们身体里被僵化的伦理束缚多时的血性。,,0,,,,,,,新たな目標が発表されるでしょう。陛下は、日常生活と退屈に擦り減らされた彼らの思考を立て直し、身体の中で長く硬直していた倫理的な束縛に縛られた血気を呼び覚ますのです。,
,暴力贯穿我们的躯体，如果我们不让它在我们的身心中自然发芽，我们将变得怨毒、渺小而麻木，也将因此招致自我的毁灭。,,0,,,,,,,暴力は私たちの体を貫いています。もし私たちがそれを心身の中で自然に芽生えさせなければ、私たちは恨み深く、取るに足らず、無感覚になり、それによって自己の破滅を招くことになるでしょう。,
,常时畏惧的人是可鄙的。,,0,,,,,,,常に恐れている人は卑しむべきである。,
,一个人想要活着，就应当被浸没在暴力之中，认清众多道德的虚伪，知晓现下大地的贫瘠。,,0,,,,,,,人が生きたいと思うならば、暴力の中に身を浸し、多くの道徳の偽善を見抜き、今の大地のやせ細りを知るべきである。,
,只有暴力才是真实的，能被感触的。,,0,,,,,,,暴力だけが本物であり、感じ取ることができる。,
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
blocker,,,0,,,,,,,,
background,,,0,,,,bg_cher_6,,,,
blocker,,,0,,,,,,,,
