command,text,name,option_number,option_value,references,image,values,jp_text,jp_name
header,,,0,,,,,,
stopmusic,,,0,,,,,,
delay,,,0,,,,,,
dialog,,,0,,,,,,
playmusic,,,0,,,,,,
dialog,,,0,,,,,,
character,,,0,,,,,,
dialog,,,0,,,,,,
character,,,0,,,,,,
blocker,,,0,,,,,,
background,,,0,,,bg_cherunder_2,,,
blocker,,,0,,,,,,
,中央区,,0,,,,,中央区,
,一段时间之前,,0,,,,,しばらく前,
dialog,,,0,,,,,,
decision,为什么你认定阿米娅她们在指挥塔前......,,1,1,,,1,なぜアーミヤたちが指揮塔の前で......だとあなたは確信しているのですか？,
predicate,,,0,,1,,,,
decision,不会遭遇塔露拉的精锐部队？,,1,1,,,1,タルラの精鋭部隊に遭遇しないと？,
predicate,,,0,,1,,,,
character,,char_003_kalts_1,0,,,,,,
name,这正是阴谋家的难处。,凯尔希,0,,,,,これこそが策士の難しいところです。,ケルシー
name,一个军阀，或者一个暴虐且狡诈的君王，他们的要塞向来易守难攻。,凯尔希,0,,,,,一人の軍閥や、暴虐で狡猾な王がいるなら、その要塞は常に守りやすく攻めにくいものです。,ケルシー
name,他们知道自己的所作所为一定会遭到疯狂的报复，他们会用优势的兵力和先进的武器，布置坚实的防守。,凯尔希,0,,,,,彼らは自分の行いが必ず激しい報復を招くことを知っているので、優勢な兵力と最新の武器で、堅固な守りを築きます。,ケルシー
name,可是，既然塔露拉的暴君行径已经被证实是种表演，那么，她不会这么做。,凯尔希,0,,,,,しかし、もしタルラの暴君的な行動が一種の演出であると分かっていれば、彼女はそのようなことはしません。,ケルシー
decision,你哪来的自信？,,3,1,,,1;2;3,あなたの自信はどこから来るのですか？,
decision,......,,3,2,,,1;2;3,......,
decision,我想听听理由。,,3,3,,,1;2;3,理由を聞きたい。,
predicate,,,0,,1,,,,
name,经验，理论，现象。,凯尔希,0,,,,,経験、理論、現象です。,ケルシー
name,我没有自信，我只是能推演出事实。,凯尔希,0,,,,,私は自信があるわけではありません。ただ、事実を推測できるだけです。,ケルシー
predicate,,,0,,2,,,,
name,......我其实也期待你能给出自己的意见。,凯尔希,0,,,,,……実のところ、あなたの意見も聞かせてほしいと思っています。,ケルシー
name,或者，你觉得沉默就已经是种意见了？,凯尔希,0,,,,,あるいは、沈黙こそが意見だと思いますか？,ケルシー
name,那谢谢你的理解。,凯尔希,0,,,,,それなら、理解してくれてありがとう。,ケルシー
predicate,,,0,,3,,,,
name,如果我的想法能够赢得你的认同......,凯尔希,0,,,,,もし私の考えがあなたの賛同を得られるなら……,ケルシー
name,你会不会觉得，我会因此而感到欣喜？,凯尔希,0,,,,,私はそれで喜ぶと思いますか？,ケルシー
name,尊重是双向的。如果你重视我的观点，并且得出有益的结论，那么我也会将你的观点纳入考量。,凯尔希,0,,,,,尊重は双方向です。あなたが私の意見を重視し、有益な結論に至ったなら、私もあなたの意見を考慮します。,ケルシー
predicate,,,0,,1;2;3,,,,
name,塔露拉在维护自己的形象。她需要让普通的感染者尊重她，让萨卡兹雇佣兵服从她，让游击队信任她，让狂热者崇拜她......,凯尔希,0,,,,,タルラは自身のイメージを守ろうとしています。一般感染者に尊敬され、サルカズ傭兵に従わせ、ゲリラに信頼され、狂信者に崇拝されるために……,ケルシー
name,她就必须让自己和他们之间的距离清晰可见，让这些人能够相互审视。,凯尔希,0,,,,,彼女は自分と彼らとの距離をはっきりさせ、彼ら同士が互いを見極めることができなければなりません。,ケルシー
