command,text_orig,key,is_skippable,fit_mode,time,volume,image,screenadapt,fadetime,block,name,a,r,g,b,intro,crossfade,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,0,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
delay,,,,,2,,,,,,,,,,,,,,,,,,,,,4,,,,False
playsound,,$rungeneral,,,,0.9,,,,,,,,,,,,,,,,,,,,5,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,,,False
image,,,,,,,avg_8_34,coverall,2,true,,,,,,,,,,,,,,,,7,,,,False
image,,,,,,,,,3,,,,,,,,,,,,,,,,,8,,,,False
delay,,,,,3,,,,,,,,,,,,,,,,,,,,,9,,,,False
playsound,,$rungeneral,,,,0.9,,,,,,,,,,,,,,,,,,,,10,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,11,,,,False
background,,,,,,,bg_cenbri,coverall,2,true,,,,,,,,,,,,,,,,12,,,,False
background,,,,,,,,,3,,,,,,,,,,,,,,,,,13,,,,False
delay,,,,,3,,,,,,,,,,,,,,,,,,,,,14,,,,False
playsound,,$rungeneral,,,,0.9,,,,,,,,,,,,,,,,,,,,15,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,16,,,,False
background,,,,,,,bg_top,coverall,2,true,,,,,,,,,,,,,,,,17,,,,False
delay,,,,,3,,,,,,,,,,,,,,,,,,,,,18,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,19,,,,False
character,,,,,,,,,1,true,char_010_chen_1#5,,,,,,,,,,,,,,,20,,,,False
delay,,,,,5,,,,,,,,,,,,,,,,,,,,,21,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,False
character,,,,,,,,,1,true,char_011_talula_1,,,,,,,,,,,,,,,23,,,,False
delay,,,,,3,,,,,,,,,,,,,,,,,,,,,24,,,,False
name,你终于来了。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,25,你终于来了。,やっと来てくれたのですね。,タルラ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,False
blocker,,,,,,,,,2,true,,1,0,0,0,,,,,,,,,,,27,,,,False
,晖洁。,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,False
playmusic,,$drift_loop,,,,0.4,,,,,,,,,,$drift_intro,3,,,,,,,,,31,,,,False
delay,,,,,2,,,,,,,,,,,,,,,,,,,,,32,,,,False
,晖洁：,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,False
,连日大雪，雪层封住了整片山谷。,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,False
,树莓丛还没抽芽，春天简直像是永远不会来。,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,False
,我们被困在这里，缺吃少穿，等着雪化的每个日子都安静得让人发疯。,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,False
,不如说，我觉得事情有些古怪。,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,False
,我们一路上就没顺利过，再好的情形让我碰着都会迅速恶化。,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,False
,可能真像龙门人说的那样，我就是个灾星，在我身边就不会发生什么好事。,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,False
,这让我想起好几年前的一些事情。,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,False
,我想，我还是要和你说说，否则我心里是没法安稳的。,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,False
,12月14日,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,False
stopmusic,,,,,,,,,4,,,,,,,,,,,,,,,,,44,,,,False
delay,,,,,2,,,,,,,,,,,,,,,,,,,,,45,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,False
blocker,,,,,,,,,3,true,,1,0,0,0,,,,,,,,,,,47,,,,False
