command,text,name,focus,image,name2,jp_text,jp_name
header,,,,,,,
stopmusic,,,,,,,
delay,,,,,,,
dialog,,,,,,,
playmusic,,,,,,,
dialog,,,,,,,
character,,,,,,,
dialog,,,,,,,
blocker,,,,,,,
background,,,,bg_snow_2,,,
blocker,,,,,,,
,晖洁：,,,,,晖洁：,
,老爷爷，根据我那点不怎么牢靠的记忆，是叫伊万·伊贾斯拉夫。,,,,,おじいさん、あまり確かではない記憶によると、名前はイワン・イジャスラフと言います。,
,是个很常见的名字。他也是个随处可见的农民。,,,,,とてもよくある名前です。彼もまた、どこにでもいる農民です。,
,但他牺牲了自己。出于种种，他牺牲了自己的性命......,,,,,しかし彼は自分を犠牲にした。さまざまな理由から、彼は自分の命を犠牲にした……。,
,我偶尔会想，我是不是真的值得别人牺牲性命？,,,,,私は時々思う、果たして自分は本当に他人が命をかける価値があるのだろうか？,
,阿丽娜随我一起行动。这个人虽然大多时候都很柔和，有时候却突然地尖酸起来，让我感觉很不舒服。,,,,,アリーナは私と一緒に行動している。この人は普段はとても穏やかだが、ときどき突然皮肉を言い出して、私はとても不快に感じる。,
,计划顺利地推进着。,,,,,計画は順調に進んでいます。,
,按照我的想法，很快，这一部分的感染者，一定会团结起来。,,,,,私の考えでは、まもなく、この部分の感染者たちは必ず団結するでしょう。,
,希望这确实有效。,,,,,これが本当に効果があることを願っています。,
,也希望爷爷能够安眠。除了老奶奶，我没有比他更亲的亲人。,,,,,おじいちゃんが安らかに眠れることを願っています。おばあちゃんのほかに、彼より親しい親戚はいません。,
,2月7日,,,,,2月7日,
dialog,,,,,,,
blocker,,,,,,,
background,,,,bg_iceforest_1,,,
blocker,,,,,,,
delay,,,,,,,
,脱离黑蛇第三年,,,,,黒蛇を離れて三年目,
character,,avg_npc_078,,,,,
name,先生，我是......,塔露拉,,,,ドクター、私は……,タルラ
character,,avg_npc_094,1,,avg_npc_078,,
name,你来这干什么？你这身衣服，你是哪的军官老爷？,感染者,,,,ここに何しに来たんだ？その格好、どこの軍人様だ？,感染者
name,回去吧！这里已经啥都不剩了。全被你们抢走了！你们抢不走的，还都烧光了！,感染者,,,,帰れ！ここにはもう何も残ってない。全部お前たちに奪われた！奪えないものは全部焼き尽くした！,感染者
name,混蛋！你来是要杀我吗？那你就杀吧！你们这些天杀的恶鬼！,感染者,,,,畜生め！俺を殺しに来たのか？なら殺せよ！お前たち悪鬼どもめ！,感染者
character,,avg_npc_094,2,,avg_npc_078,,
name,不，先生，我是来告诉你，感染者纠察队今天会来这里。,塔露拉,,,,違います、ドクター。私は伝えに来たんです、感染者巡察隊が今日ここに来ると。,タルラ
character,,avg_npc_094,1,,avg_npc_078,,
name,那让他们来吧，让他们杀了我们吧！,感染者,,,,なら来させろよ、殺されてやるよ！,感染者
name,我们在这么偏的地方建了个几乎不能住人的村子，他们还要来！那就只能让他们来了！,感染者,,,,こんな辺鄙な場所に、ほとんど住めない村を作ったっていうのに、それでも奴らは来るのか！なら来るしかないな！,感染者
character,,avg_npc_078,,,,,
name,先生，你可以藏好，让我和他们说话。或者我藏起来......,塔露拉,,,,ドクター、あなたは隠れていてもいい、私が彼らと話します。あるいは、私が隠れて……,タルラ
character,,avg_npc_094,,,,,
name,你又是谁？我说了，你们这种军官贵族，不论装成什么样！都只是想要我们把命——,感染者,,,,お前は誰だ？言っておくがな、軍人貴族なんて、どんな格好をしても、結局俺たちの命を——,感染者
name,哈，你可能和他们不一样，因为你居然愿意和我们说话！他们可是连用鞭子抽我们都嫌烦！,感染者,,,,はは、お前は奴らと違うのかもな、俺たちと話す気があるもんな！あいつらは鞭ですら叩くのすら嫌がるんだぜ！,感染者
name,嗯？人呢？,感染者,,,,ん？いない……？,感染者
name,消失了......？,感染者,,,,消えた……？,感染者
name,这又是什么骗局？哎......我们的命......,感染者,,,,これも何かの罠か……はあ……俺たちの命なんて……,感染者
name,我们的命也就这点程度。,感染者,,,,俺たちの命なんて、その程度さ。,感染者
stopmusic,,,,,,,
dialog,,,,,,,
character,,,,,,,
delay,,,,,,,
playsound,,,,,,,
character,,avg_npc_082,,,,,
delay,,,,,,,
name,对自己的命有认知也是好事。,感染者纠察队,,,,自分の命を理解しているのは悪くないな。,感染者巡察隊
playmusic,,,,,,,
character,,avg_npc_094,,,,,
name,啊......纠察队老爷......,感染者,,,,ああ……巡察隊の旦那……,感染者
