command,text_orig,key,is_skippable,fit_mode,name,image,width,height,fadetime,time,intro,volume,crossfade,delay,name2,focus,a,r,g,b,block,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,options,values,references,option_number,index,text,jp_text,jp_name,text_match
header,第七关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
name,时间未知 \ 天气未知 \ 能见度 低,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,时间未知 \\ 天气未知 \\ 能见度 低,時刻不明 \\ 天気不明 \\ 視界悪い,,False
name,切尔诺伯格 行动组E0所在地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,切尔诺伯格 行动组E0所在地,チェルノボーグ 行動チームE0の所在,,True
name,博士营救行动 第三阶段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,博士营救行动 第三阶段,ドクター救出作戦 第三段階,,True
background,,,,,,bg_cher_1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
delay,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
playmusic,,$mist_loop,,,,,,,,,$mist_loop,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
character,,,,,char_016_medic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
name,啊！,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,啊！,あっ！,医療オペレーター,True
name,这个诊所......,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,这个诊所......,この診療所……,医療オペレーター,True
name,阿米娅，是不是以前我们来过那个？,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,阿米娅，是不是以前我们来过那个？,アーミヤ、前に私たちが来た場所じゃなかった？,医療オペレーター,True
character,,,,,char_016_medic,,,,,,,,,,char_002_amiya_1#1,2,,,,,,,,,,,,,,,,,,,,,,0,11,,,,False
name,......确实是......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,......确实是......,……確かにそう……,アーミヤ,True
name,只是怎么......已经变成了，这个样子？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,只是怎么......已经变成了，这个样子？,でもどうして……もう、こんな姿に……？,アーミヤ,True
character,,,,,char_016_medic,,,,,,,,,,char_002_amiya_1#1,1,,,,,,,,,,,,,,,,,,,,,,0,14,,,,False
name,已经人去楼空了......看来，是遭到了整合运动的袭击吧......,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,已经人去楼空了......看来，是遭到了整合运动的袭击吧......,もう誰もいなくなっている……。統合運動の襲撃を受けたんだろうね……,医療オペレーター,True
character,,,,,char_016_medic,,,,,,,,,,char_002_amiya_1#4,2,,,,,,,,,,,,,,,,,,,,,,0,16,,,,False
name,......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,......,……,アーミヤ,True
character,,,,,char_002_amiya_1#4,,,,,,,,,,char_013_riop,2,,,,,,,,,,,,,,,,,,,,,,0,18,,,,False
name,这难道就是那个感染者诊所，阿撒兹勒？,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,这难道就是那个感染者诊所，阿撒兹勒？,これがあの感染者診療所、「アザゼル」なのか？,前衛オペレーター,True
character,,,,,char_002_amiya_1#4,,,,,,,,,,char_013_riop,1,,,,,,,,,,,,,,,,,,,,,,0,20,,,,False
name,......是。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,......是。,……そう。,アーミヤ,True
character,,,,,char_002_amiya_1#4,,,,,,,,,,char_013_riop,2,,,,,,,,,,,,,,,,,,,,,,0,22,,,,False
name,明明掌握着整个切尔诺伯格的地下情报网，却不肯和我们合作......,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,明明掌握着整个切尔诺伯格的地下情报网，却不肯和我们合作......,チェルノボーグの地下情報網を握っていながら、私たちと協力しようとしなかった……,前衛オペレーター,True
name,那时，他们和整合运动之间的关系也十分模棱两可......,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,那时，他们和整合运动之间的关系也十分模棱两可......,あの頃は、彼らと統合運動との関係も曖昧だった……,前衛オペレーター,True
name,至少，如果他们当时肯向我们分享情报，或者仅仅是给个提示......,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,至少，如果他们当时肯向我们分享情报，或者仅仅是给个提示......,少なくとも、あの時彼らが情報を分けてくれたり、ヒントをくれさえすれば……,前衛オペレーター,True
name,我们也许就早点能离开这里了。,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,我们也许就早点能离开这里了。,俺たちももっと早くここから離れられたかもしれない。,前衛オペレーター,True
name,这种下场，是他们自作自受！,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,这种下场，是他们自作自受！,こんな結末、自業自得だ！,前衛オペレーター,True
character,,,,,char_002_amiya_1,,,,,,,,,,char_013_riop,1,,,,,,,,,,,,,,,,,,,,,,0,28,,,,False
name,也不全是这样......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,也不全是这样......,それだけじゃ……ないよ……,アーミヤ,True
character,,,,,char_002_amiya_1,,,,,,,,,,char_013_riop,2,,,,,,,,,,,,,,,,,,,,,,0,30,,,,False
name,阿米娅，当时和他们交涉时你也在场吧？,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,阿米娅，当时和他们交涉时你也在场吧？,アーミヤ、あの時彼らと交渉した時、君もいたよね？,前衛オペレーター,True
name,他们那傲慢冷漠的态度，我真是......,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,他们那傲慢冷漠的态度，我真是......,あの高慢で冷淡な態度、俺は本当に……,前衛オペレーター,True
