command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,time,name,screenadapt,image,width,height,fadetime,name2,focus,a,r,g,b,block,options,values,references,option_number,index,text,jp_text,jp_name,text_match
header,第三十一（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
playmusic,,$escape_loop,,,$escape_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,0,1,,,,False
delay,,,,,,,,,1,,,,,,,,,,,,,,,,,0,2,,,,False
name,6:03 p.m. \ 多云 \ 能见度 19公里,,,,,,,,,,,,,,,,,,,,,,,,,0,3,6:03 p.m. \\ 多云 \\ 能见度 19公里,午後6時03分　曇り　視界19キロ,,False
name,龙门外荒漠 \ 14号设施,,,,,,,,,,,,,,,,,,,,,,,,,0,4,龙门外荒漠 \\ 14号设施,龍門外の荒野　14号施設,,False
delay,,,,,,,,,1,,,,,,,,,,,,,,,,,0,5,,,,False
background,,,,,,,,,,,coverall,bg_cher_3,1,1,1,,,,,,,,,,,0,6,,,,False
character,,,,,,,,,,char_219_meteo_1#1,,,,,,,,,,,,,,,,0,7,,,,False
name,......已经到达目标地点。,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,8,......已经到达目标地点。,……すでに目標地点に到着しました。,隕星,True
name,没有发现其它异常情况。,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,9,没有发现其它异常情况。,他に異常は見当たりません。,隕星,True
name,报告完毕。,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,10,报告完毕。,報告は以上です。,隕星,True
character,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,,,0,11,,,,False
name,霜叶......你一路上，怎么总是皱着眉头？,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,12,霜叶......你一路上，怎么总是皱着眉头？,フロストリーフ……なんで道中ずっと眉をひそめているの？,隕星,True
character,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,0,13,,,,False
name,我只是有点在意阿米娅她们的状况。,,,,,,,,,霜叶,,,,,,,,,,,,,,,,0,14,我只是有点在意阿米娅她们的状况。,私はただ、アーミヤたちの様子が少し気になっているだけです。,フロストリーフ,True
character,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,,,0,15,,,,False
name,阿米娅她们已经顺利回到罗德岛了。,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,16,阿米娅她们已经顺利回到罗德岛了。,アーミヤたちはもう無事にロドスに戻ったよ。,隕星,True
name,临光和杜宾一个星期前就已经动身前往龙门外的其他地区。,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,17,临光和杜宾一个星期前就已经动身前往龙门外的其他地区。,ニアールとドーベルマンは一週間前に龍門外のほかの地区へ出発したわ。,隕星,True
name,同时出动她们两个，应该也是挺艰难的任务。,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,18,同时出动她们两个，应该也是挺艰难的任务。,ふたり同時に出動するってことは、かなり難しい任務だったはずだよ。,隕星,True
name,黑钢和企鹅物流也有自己的事情要处理。,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,19,黑钢和企鹅物流也有自己的事情要处理。,ブラックスチールやペンギン急便もそれぞれ自分たちの仕事があるしね。,隕星,True
character,,,,,,,,,,char_259_Jessica_1,,,,,,,,,,,,,,,,0,20,,,,False
name,啊，雷蛇姐和芙兰卡姐......,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,0,21,啊，雷蛇姐和芙兰卡姐......,あ、レイズさんとフランカさん……,ジェシカ,True
name,她们，她们平安就好......,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,0,22,她们，她们平安就好......,ふたりが無事なら、それで……,ジェシカ,True
character,,,,,,,,,,char_259_Jessica_1,,,,,,char_219_meteo_1,2,,,,,,,,,0,23,,,,False
name,你可也要好好加油才行。,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,24,你可也要好好加油才行。,あなたもちゃんと頑張らないとね。,隕星,True
name,芙兰卡把你交到我手上的时候，可是跟我说她很看好你的。,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,25,芙兰卡把你交到我手上的时候，可是跟我说她很看好你的。,フランカがあなたを私に任せる時、すごく期待しているって言ってたよ。,隕星,True
character,,,,,,,,,,char_259_Jessica_1,,,,,,char_219_meteo_1,1,,,,,,,,,0,26,,,,False
name,真......真的吗？,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,0,27,真......真的吗？,ほ、本当ですか？,ジェシカ,True
character,,,,,,,,,,char_259_Jessica_1,,,,,,char_219_meteo_1,2,,,,,,,,,0,28,,,,False
name,她说，前提是你别那么怯生生的。,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,29,她说，前提是你别那么怯生生的。,ただ、怖がってばかりじゃダメだとも言ってた。,隕星,True
character,,,,,,,,,,char_259_Jessica_1#4,,,,,,char_219_meteo_1,1,,,,,,,,,0,30,,,,False
name,呜......,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,0,31,呜......,うぅ……,ジェシカ,True
character,,,,,,,,,,char_259_Jessica_1#4,,,,,,char_219_meteo_1,2,,,,,,,,,0,32,,,,False
name,......别突然就一副要哭出来的样子呀！,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,33,......别突然就一副要哭出来的样子呀！,……いきなり泣きそうな顔しないでよ！,隕星,True
name,你不是黑钢的一员吗......？,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,34,你不是黑钢的一员吗......？,あなたはブラックスチールの一員でしょ……？,隕星,True
character,,,,,,,,,,char_259_Jessica_1#5,,,,,,char_219_meteo_1,1,,,,,,,,,0,35,,,,False
name,我，我没有......没有在哭......,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,0,36,我，我没有......没有在哭......,わ、私は……泣いてません……,ジェシカ,True
character,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,,,0,37,,,,False
name,......,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,38,......,……,隕星,True
name,......不管怎么说，先继续任务吧。,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,39,......不管怎么说，先继续任务吧。,……とにかく、まずは任務を続けよう。,隕星,True
name,我们接下来的任务，就是和各个侦察小队一同，侦察这座废城的各个区域。,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,40,我们接下来的任务，就是和各个侦察小队一同，侦察这座废城的各个区域。,これからは各偵察小隊と一緒に、この廃墟都市の各エリアを調査します。,隕星,True
name,除了搜救幸存者之外，还需要勘察一下状况。,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,41,除了搜救幸存者之外，还需要勘察一下状况。,生存者の捜索救助だけじゃなく、状況の把握も必要です。,隕星,True
name,如果出现了感染者问题，必须速战速决。,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,42,如果出现了感染者问题，必须速战速决。,感染者の問題があれば、すぐに解決しないといけません。,隕星,True
name,虽然不是什么特别危险的任务，但也得小心谨慎。,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,43,虽然不是什么特别危险的任务，但也得小心谨慎。,特別危険な任務ではないけど、慎重に行動しましょう。,隕星,True
name,万一和整合运动有关的话，就将必要信息通知凯尔希医生并撤退。,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,44,万一和整合运动有关的话，就将必要信息通知凯尔希医生并撤退。,もしレユニオンに関係しているなら、ドクター・ケルシーに必要な情報を伝えて撤退します。,隕星,True
character,,,,,,,,,,char_259_Jessica_1,,,,,,,,,,,,,,,,0,45,,,,False
name,嗯，嗯。,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,0,46,嗯，嗯。,う、うん。,ジェシカ,True
character,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,0,47,,,,False
name,了解。,,,,,,,,,霜叶,,,,,,,,,,,,,,,,0,48,了解。,了解です。,フロストリーフ,True
character,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,,,0,49,,,,False
name,接下来......该是我们认真工作的时候了。,,,,,,,,,陨星,,,,,,,,,,,,,,,,0,50,接下来......该是我们认真工作的时候了。,次は……私たちが本気で働く番だね。,隕星,True
blocker,,,,,,,,,,,,,,,1.5,,,1,0,0,0,true,,,,0,51,,,,False
character,,,,,,,,,,,,,,,0,,,,,,,,,,,0,52,,,,False
playmusic,,$m_dia_street_loop,,,$m_dia_street_intro,0.8,1,0.5,,,,,,,,,,,,,,,,,,0,53,,,,False
name,6:12 p.m. \ 多云 \ 能见度 19公里,,,,,,,,,,,,,,,,,,,,,,,,,0,54,6:12 p.m. \\ 多云 \\ 能见度 19公里,午後6時12分　曇り　視界19キロ,,False
name,罗德岛,,,,,,,,,,,,,,,,,,,,,,,,,0,55,罗德岛,ロドス,,True
name,"废弃移动城市区块-""14号设施""被发现后 第2天",,,,,,,,,,,,,,,,,,,,,,,,,0,56,"废弃移动城市区块-\""14号设施\""被发现后 第2天",廃棄された移動都市区画「14号施設」発見の2日後,,False
background,,,,,,,,,,,coverall,bg_bridge,1,1,0,,,,,,,,,,,0,57,,,,False
blocker,,,,,,,,,,,,,,,1.5,,,0,,,,true,,,,0,58,,,,False
delay,,,,,,,,,0.8,,,,,,,,,,,,,,,,,0,59,,,,False
character,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,0,60,,,,False
name,啊......博士，你来了。,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,61,啊......博士，你来了。,あ……ドクター、来てくださったんですね。,アーミヤ,True
character,,,,,,,,,,char_102_texas_1,,,,,,char_103_angel_1,1,,,,,,,,,0,62,,,,False
name,来得刚好，博士。,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,0,63,来得刚好，博士。,ちょうどよかったです、ドクター。,テキサス,True
character,,,,,,,,,,char_102_texas_1,,,,,,char_103_angel_1,2,,,,,,,,,0,64,,,,False
name,我们这边的活儿也干的差不多了，得暂时离开一段时间~,,,,,,,,,能天使,,,,,,,,,,,,,,,,0,65,我们这边的活儿也干的差不多了，得暂时离开一段时间~,こっちの仕事もだいたい終わったし、ちょっとの間離れるね～,エクシア,True
character,,,,,,,,,,char_102_texas_1,,,,,,char_103_angel_1,-1,,,,,,,,,0,66,,,,False
decision,我会想你们的。,,,,,,,,,,,,,,,,,,,,,,要走了吗？;......知道了。;我会想你们的。,1;2;3,,3,67,我会想你们的。,みんなのこと、きっと寂しくなるよ。,null,True
decision,......知道了。,,,,,,,,,,,,,,,,,,,,,,要走了吗？;......知道了。;我会想你们的。,1;2;3,,3,68,......知道了。,……分かりました。,null,True
decision,要走了吗？,,,,,,,,,,,,,,,,,,,,,,要走了吗？;......知道了。;我会想你们的。,1;2;3,,3,69,要走了吗？,もう行くの？,null,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,0,70,,,,False
character,,,,,,,,,,char_106_franka_1,,,,,,char_107_liskam_1,2,,,,,,,,,0,71,,,,False
name,很快就能再见面的。,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,0,72,很快就能再见面的。,すぐにまた会えるよ。,レイズ,True
character,,,,,,,,,,char_106_franka_1,,,,,,char_107_liskam_1,1,,,,,,,,,0,73,,,,False
name,只要过一小段时间，我们就能回到罗德岛重新待命。,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,0,74,只要过一小段时间，我们就能回到罗德岛重新待命。,少ししたら、またロドスで待機できるから。,フランカ,True
name,可不用太想我哦。,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,0,75,可不用太想我哦。,そんなに私のことを寂しがらなくてもいいよ？,フランカ,True
character,,,,,,,,,,char_106_franka_1,,,,,,char_103_angel_1,2,,,,,,,,,0,76,,,,False
name,唉唉，可惜可惜，我们这边没有那样的正经理由呢，德克萨斯。,,,,,,,,,能天使,,,,,,,,,,,,,,,,0,77,唉唉，可惜可惜，我们这边没有那样的正经理由呢，德克萨斯。,あーあ、こっちにはそんなちゃんとした理由はないね、テキサス。,エクシア,True
character,,,,,,,,,,char_102_texas_1,,,,,,char_103_angel_1,1,,,,,,,,,0,78,,,,False
name,你给我等等......,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,0,79,你给我等等......,ちょっと待ってくれ……,テキサス,True
character,,,,,,,,,,char_102_texas_1,,,,,,char_103_angel_1,2,,,,,,,,,0,80,,,,False
name,企鹅物流，马上要回去休假咯！,,,,,,,,,能天使,,,,,,,,,,,,,,,,0,81,企鹅物流，马上要回去休假咯！,ペンギン急便、もうすぐお休みに戻るよ！,エクシア,True
name,虽然只有宝贵的一天，但是！但是——,,,,,,,,,能天使,,,,,,,,,,,,,,,,0,82,虽然只有宝贵的一天，但是！但是——,貴重な一日しかないけど！でも――,エクシア,True
character,,,,,,,,,,char_102_texas_1,,,,,,char_103_angel_1,1,,,,,,,,,0,83,,,,False
name,......抱歉。不是适合在这种场合说的东西。,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,0,84,......抱歉。不是适合在这种场合说的东西。,……ごめん。こういう場で言うべきことじゃなかった。,テキサス,True
delay,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0,85,,,,False
character,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,0,86,,,,False
name,不会......休息也是必要的。,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,87,不会......休息也是必要的。,いいえ……休むのも大事です。,アーミヤ,True
character,,,,,,,,,,char_102_texas_1,,,,,,char_002_amiya_1,1,,,,,,,,,0,88,,,,False
name,......这句话，理应是我说给你听。,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,0,89,......这句话，理应是我说给你听。,……本来は、その言葉を私が君に言うべきだった。,テキサス,True
character,,,,,,,,,,char_102_texas_1,,,,,,char_002_amiya_1#6,2,,,,,,,,,0,90,,,,False
name,......?,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,91,......?,……？,アーミヤ,True
character,,,,,,,,,,char_103_angel_1,,,,,,char_002_amiya_1#6,1,,,,,,,,,0,92,,,,False
name,没错没错。阿米娅，你啊，也该好好休息一下了。,,,,,,,,,能天使,,,,,,,,,,,,,,,,0,93,没错没错。阿米娅，你啊，也该好好休息一下了。,そうそう。アーミヤも少し休むべきだよ。,エクシア,True
character,,,,,,,,,,char_103_angel_1,,,,,,char_002_amiya_1,2,,,,,,,,,0,94,,,,False
name,罗德岛还有必须要处理的事情......,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,95,罗德岛还有必须要处理的事情......,ロドスには、どうしても処理しないといけないことがまだ……,アーミヤ,True
character,,,,,,,,,,char_107_liskam_1,,,,,,char_002_amiya_1,1,,,,,,,,,0,96,,,,False
name,我能理解，但是阿米娅，你可不能给自己太多压力。,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,0,97,我能理解，但是阿米娅，你可不能给自己太多压力。,気持ちは分かるけど、アーミヤ、自分にあまりにもプレッシャーかけちゃだめよ。,レイズ,True
character,,,,,,,,,,char_106_franka_1,,,,,,char_002_amiya_1,1,,,,,,,,,0,98,,,,False
name,即使信念强大，一直劳累下去，身体也会承受不住的。,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,0,99,即使信念强大，一直劳累下去，身体也会承受不住的。,いくら信念が強くても、ずっと無理し続けたら体がもたないよ。,フランカ,True
name,你可不能病倒了，大家都指望着你呢。,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,0,100,你可不能病倒了，大家都指望着你呢。,アーミヤが倒れたらみんな困っちゃうんだからね。,フランカ,True
character,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,0,101,,,,False
name,我......一直受到大家的关照。,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,102,我......一直受到大家的关照。,私は……ずっと皆さんに支えられてきました。,アーミヤ,True
character,,,,,,,,,,char_102_texas_1,,,,,,,,,,,,,,,,0,103,,,,False
name,但你战斗的身姿也鼓励了大家。,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,0,104,但你战斗的身姿也鼓励了大家。,でも、君の戦う姿はみんなの励みになってるよ。,テキサス,True
name,不论如何，这就够了。,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,0,105,不论如何，这就够了。,それだけで十分だから。,テキサス,True
character,,,,,,,,,,char_103_angel_1,,,,,,,,,,,,,,,,0,106,,,,False
