command,text_orig,key,is_skippable,fit_mode,image,width,height,screenadapt,fadetime,intro,volume,crossfade,delay,name,time,widgetID,style,fadestyle,offsetx,block,name2,focus,options,values,references,a,r,g,b,x,y,xScale,yScale,option_number,index,text,jp_text,jp_name,text_match
header,第六关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
background,,,,,bg_rooftop,1,1,coverall,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
playmusic,,$darkness02_loop,,,,,,,,$darkness02_intro,0.6,3,0.5,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
name,04:45 A.M.  天气/晴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,04:45 A.M.  天气/晴,04:45 午前　天気／晴れ,,True
name,龙门上城区，近卫局大楼天台废墟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,龙门上城区，近卫局大楼天台废墟,龍門上城区、近衛局ビルの屋上廃墟,,True
delay,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,5,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
charactercutin,,,,,,200,,,0.5,,,,,char_2005_weiyw_1,,1,cutin,horiz_expand_center,-300,true,,,,,,,,,,,,,,0,7,,,,False
name,陈警官，你身边的那位阿米娅小姐，能听到我的声音吗？,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,8,陈警官，你身边的那位阿米娅小姐，能听到我的声音吗？,陳警官、そばにいるアーミヤさん、私の声が聞こえますか？,ウェイ・イェンウー,True
character,,,,,,,,,,,,,,char_empty,,,,,,,char_002_amiya_1#1,2,,,,,,,,,,,,0,9,,,,False
name,可以，魏长官。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,0,10,可以，魏长官。,はい、ウェイ長官。,アーミヤ,True
character,,,,,,,,,,,,,,char_empty,,,,,,,char_002_amiya_1#1,1,,,,,,,,,,,,0,11,,,,False
name,那就好。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,12,那就好。,それは良かった。,ウェイ・イェンウー,True
name,抱歉，罗德岛的领袖。我可以冒险让近卫局深入腹地，却不能冒险让更多的玩家参与进游戏。,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,13,抱歉，罗德岛的领袖。我可以冒险让近卫局深入腹地，却不能冒险让更多的玩家参与进游戏。,申し訳ない、ロドスのリーダー。私は近衛局が奥地に進出するのは許せても、より多くのプレイヤーがゲームに参加するリスクは許せません。,ウェイ・イェンウー,True
decision,场面已经够混乱了。,,,,,,,,,,,,,,,,,,,,,,更多的玩家是指？;......什么意思？;场面已经够混乱了。,1;2;3,,,,,,,,,,3,14,场面已经够混乱了。,状況は既に十分に混乱しています。,,True
decision,......什么意思？,,,,,,,,,,,,,,,,,,,,,,更多的玩家是指？;......什么意思？;场面已经够混乱了。,1;2;3,,,,,,,,,,3,15,......什么意思？,……どういう意味ですか？,,True
decision,更多的玩家是指？,,,,,,,,,,,,,,,,,,,,,,更多的玩家是指？;......什么意思？;场面已经够混乱了。,1;2;3,,,,,,,,,,3,16,更多的玩家是指？,より多くのプレイヤーとは？,,True
