command,text_orig,name,focus,image,name2,index,text,jp_text,jp_name,text_match
header,第六关（后）,,,,,0,第六关（后）,第六ステージ（後半）,,True
background,,,,bg_rooftop,,1,,,,True
playmusic,,,,,,2,,,,True
delay,,,,,,3,,,,True
character,,char_1507_Mephisto_1#2,,,,4,,,char_1507_Mephisto_1#2,True
name,咳......咳。,梅菲斯特,,,,5,咳......咳。,ケホ……ケホ。,メフィスト,True
character,,char_010_chen_1#4,1,,char_1507_Mephisto_1#2,6,,,char_010_chen_1#4,True
name,不堪一击！,陈,,,,7,不堪一击！,一撃も耐えられない！,チェン,True
character,,char_010_chen_1#4,2,,char_1507_Mephisto_1#1,8,,,char_010_chen_1#4,True
name,这么多同胞，居然全都被你击溃了？我确实要重新评价一下你的实力，长官。,梅菲斯特,,,,9,这么多同胞，居然全都被你击溃了？我确实要重新评价一下你的实力，长官。,これほど多くの同胞を、全て君が打ち破ったとは？改めて君の実力を評価し直す必要があるな、長官。,メフィスト,True
character,,char_010_chen_1#4,1,,char_1507_Mephisto_1#1,10,,,char_010_chen_1#4,True
name,够了。,陈,,,,11,够了。,もう十分だ。,チェン,True
character,,char_1507_Mephisto_1,,,,12,,,char_1507_Mephisto_1,True
name,不，不够。浮士德，给她点惊喜。,梅菲斯特,,,,13,不，不够。浮士德，给她点惊喜。,いや、足りない。ファウスト、彼女に驚きを与えろ。,メフィスト,True
character,,char_1508_Faust_1#2,,,,14,,,char_1508_Faust_1#2,True
name,明白。,浮士德,,,,15,明白。,了解しました。,ファウスト,True
character,,char_010_chen_1#4,,,,16,,,char_010_chen_1#4,True
name,——！,陈,,,,17,——！,――！,チェン,True
character,,char_010_chen_1#2,,,,18,,,char_010_chen_1#2,True
name,顶楼的，趴下！,陈,,,,19,顶楼的，趴下！,屋上の者、伏せろ！,チェン,True
character,,char_015_lmg,,,,20,,,char_015_lmg,True
name,啊！,近卫局成员,,,,21,啊！,あっ！,近衛局メンバー,True
dialog,,,,,,22,,,,True
character,,,,,,23,,,,True
blocker,,,,,,24,,,,True
