command,text_orig,key,is_skippable,fit_mode,time,image,screenadapt,fadetime,block,intro,volume,crossfade,delay,options,values,references,a,r,g,b,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,duration,name,width,height,xstrength,ystrength,vibrato,randomness,fadeout,name2,focus,xScaleFrom,yScaleFrom,afrom,rfrom,gfrom,bfrom,yT,option_number,index,text,jp_text,jp_name,text_match
header,第一关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
delay,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
background,,,,,,bg_undergroud_f,coverall,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
playmusic,,$frostnovadie_loop,,,,,,,,$frostnovadie_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
decision,霜星！,,,,,,,,,,,,,霜星！,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,霜星！,霜星！,,True
predicate,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,,False
blocker,,,,,,,,0.6,true,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,,,,False
background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,,,,False
image,,,,,,avg_6_1,,0,,,,,,,,,,,,,0,0,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,0,15,,,,False
blocker,,,,,,,,1,false,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,,,,False
imagetween,,,,,,,,,false,,,,,,,,,,,,,,1.1,1.1,0,0,-30,0,10,,,,,,,,,,,,,,,,,,0,18,,,,False
delay,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,,,,False
blocker,,,,,,,,0.6,true,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,,,,False
image,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,,,,False
blocker,,,,,,,,0.6,true,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,,,,False
blocker,,,,,,,,0.6,true,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,,,,False
background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,,,,False
image,,,,,,avg_6_2,,0,,,,,,,,,,,,,0,0,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,0,26,,,,False
blocker,,,,,,,,1,false,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,,,,False
imagetween,,,,,,,,,false,,,,,,,,,,,,,,1.1,1.1,0,0,30,0,10,,,,,,,,,,,,,,,,,,0,29,,,,False
delay,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,,,,False
name,现在，你们要和我战斗。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,0,31,现在，你们要和我战斗。,さあ、君たちは私と戦うのだ。,霜星,True
name,如果你们战胜我，有人能够侥幸活着——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,0,32,如果你们战胜我，有人能够侥幸活着——,もし君たちが私に勝てば、生き残る者がいるかもしれない——,霜星,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,,,,False
blocker,,,,,,,,1,true,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,,,,False
image,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,,,,False
blocker,,,,,,,,1,true,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,,,,False
name,我愿意加入罗德岛，依你们的想法去对抗感染者共同的敌人。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,0,37,我愿意加入罗德岛，依你们的想法去对抗感染者共同的敌人。,私はロドスに加わり、君たちの考えに従って感染者の共通の敵に対抗したい。,霜星,True
name,这是我必须承担的责任。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,0,38,这是我必须承担的责任。,これは私が負わなければならない責任だ。,霜星,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,,,,False
stopmusic,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,,,,False
blocker,,,,,,,,3,true,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,,,,False
blocker,,,,,,,,1,true,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,,,,False
image,,,,,,avg_6_4,,0,,,,,,,,,,,,,0,0,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,0,44,,,,False
blocker,,,,,,,,2,false,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,,,,False
imagetween,,,,,,,,,false,,,,,,,,,,,,,,1.1,1.1,0,0,20,0,15,,,,,,,,,,,,,,,,,,0,47,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,48,,,,False
blocker,,,,,,,,0.6,true,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,49,,,,False
image,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,,,,False
blocker,,,,,,,,0.6,false,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,53,,,,False
