command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,time,name,volume,a,r,g,b,afrom,rfrom,gfrom,bfrom,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,intro,crossfade,delay,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,name2,focus,index,text,jp_text,jp_name,text_match
header,第四关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,coverall,bg_lungmen_d,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
delay,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
character,,,,,,,,,,,char_144_red_7#8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
delay,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,False
playsound,,$e_skill_skulsrsword,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,False
blocker,,,,,,,,,0.1,,,,1,1,1,1,0,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,7,,,,False
blocker,,,,,,,,,1.5,,,,0,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,8,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,false,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,9,,,,False
delay,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,False
character,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,False
name,（呃，呃......！哈，哈......）,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,（呃，呃......！哈，哈......）,（うっ、うっ……！はぁ、はぁ……）,弑君者,True
playsound,,$rungeneral,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,False
name,（......中计了？！刚才的袭击居然只是佯攻？）,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,（......中计了？！刚才的袭击居然只是佯攻？）,（……罠にかかった？！さっきの襲撃はまさかの陽動だったの？）,弑君者,True
name,（再让她切分我的队伍，整支大队都会失去作战能力......）,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,（再让她切分我的队伍，整支大队都会失去作战能力......）,（また彼女に隊を分断されたら、部隊全体が戦闘能力を失ってしまう……）,弑君者,True
name,（不行，得立刻联系上他们才行！）,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,（不行，得立刻联系上他们才行！）,（だめだ、すぐに連絡を取らなければ！）,弑君者,True
name,（可恶，为什么我的手指不听使唤？为什么我在打冷颤！）,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,（可恶，为什么我的手指不听使唤？为什么我在打冷颤！）,（くそっ、なぜ指が思うように動かない？なぜ震えているんだ！）,弑君者,True
name,（不能......不能被她追上！）,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,（不能......不能被她追上！）,（あいつに追いつかれては……だめだ！）,弑君者,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,False
character,,,,,,,,,,,char_144_red_7#8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,False
delay,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,False
character,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,False
name,！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,！,！,弑君者,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,False
blocker,,,,,,,,,0.4,,,,1,0,0,0,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,25,,,,False
playmusic,,$mist_loop,,,,,,,,,,0.8,,,,,,,,,,,,,,,,$mist_loop,1.5,0.5,,,,,,,,,,,,,,,26,,,,False
image,,,,,,avg_6_18,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,1.1,1.1,,,,,,,,,,,27,,,,False
blocker,,,,,,,,,0.4,,,,0,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,28,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,false,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,29,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,False
imagetween,,,,,,,,,,,,,,,,,,,,,false,15,,,,,,,,,,,,,1.1,1.1,1,1,1.1,1.1,1,1,,,31,,,,False
name,呜，咳！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,呜，咳！,うっ、ゴホッ！,弑君者,True
character,,,,,,,,,,,char_144_red_7#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,False
name,（低沉咆哮）,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,（低沉咆哮）,（低く唸る）,？？？,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,False
name,红，别杀她。,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,红，别杀她。,レッド、彼女を殺すな。,？？？,True
character,,,,,,,,,,,char_144_red_7#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,False
name,......,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,......,……,？？？,True
character,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,False
name,咳，咳......！咕！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,咳，咳......！咕！,ゴホッ、ゴホッ……！ゲホッ！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,False
name,是她吗？,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,是她吗？,あれは彼女か？,？？？,True
character,,,,,,,,,,,char_144_red_7#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,False
name,肯定没错。红闻到了。,,,,,,,,,,红,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,肯定没错。红闻到了。,間違いない。レッドが匂いを嗅ぎ取った。,レッド,True
name,（嗅嗅）,,,,,,,,,,红,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,（嗅嗅）,（クンクン）,レッド,True
name,恶，假的。她不是狼。,,,,,,,,,,红,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,恶，假的。她不是狼。,うっ、偽物だ。彼女は狼ではない。,レッド,True
name,但气味是真的。,,,,,,,,,,红,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,但气味是真的。,しかし匂いは本物だ。,レッド,True
name,这个气味，是真狼。是第一匹真狼。,,,,,,,,,,红,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,这个气味，是真狼。是第一匹真狼。,この匂いは真の狼。本物の初めての狼だ。,レッド,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,False
name,真狼？,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,真狼？,本物の狼か？,？？？,True
character,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_144_red_7#1,1,51,,,,False
name,你这......该死的狼崽子！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,你这......该死的狼崽子！,お前は……この畜生な狼の子め！,弑君者,True
character,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_144_red_7#1,2,53,,,,False
name,不要动。,,,,,,,,,,红,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,不要动。,動くな。,レッド,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,False
blocker,,,,,,,,,0.6,,,,1,0,0,0,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,56,,,,False
image,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,False
blocker,,,,,,,,,0.6,,,,0,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,59,,,,False
character,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,False
name,唔，怎么会......？我竟然使不出力？,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,唔，怎么会......？我竟然使不出力？,うっ、どうして……？力が出せない？,弑君者,True
name,居然......居然能压制我？,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,居然......居然能压制我？,まさか……まさか抑え込まれるなんて？,弑君者,True
character,,,,,,,,,,,char_144_red_7#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,False
name,她还想发力。是狼的技巧。她从狼那里学过撕咬。,,,,,,,,,,红,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,她还想发力。是狼的技巧。她从狼那里学过撕咬。,彼女はまだ力を振り絞ろうとしている。狼の技術だ。狼から噛みつきを学んでいる。,レッド,True
name,她想反击。红能刺穿她的脊髓，让她瘫痪。,,,,,,,,,,红,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,她想反击。红能刺穿她的脊髓，让她瘫痪。,彼女は反撃を狙っている。レッドは彼女の脊髄を突き刺し、麻痺させられる。,レッド,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,False
name,应该不用。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,应该不用。,いらないはず。,ケルシー,True
character,,,,,,,,,,,char_144_red_7#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,False
name,嗯。,,,,,,,,,,红,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,嗯。,うん。,レッド,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,70,,,,False
name,等等，你......,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,等等，你......,待って、あなたは……,弑君者,True
name,......是你。是你。我终于找到你......！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,......是你。是你。我终于找到你......！,……あんたか。あんただ。やっと見つけた……！,弑君者,True
name,叛徒......叛徒！找到你了，叛徒！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,叛徒......叛徒！找到你了，叛徒！,裏切り者……裏切り者！見つけたぞ、裏切り者！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,74,,,,False
name,你是......,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,你是......,あなたは……,ケルシー,True
name,伊利亚的女儿，柳德米拉？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,伊利亚的女儿，柳德米拉？,イリヤの娘、リュドミラ？,ケルシー,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,77,,,,False
name,闭嘴！你怎么配说我父亲的名字！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,闭嘴！你怎么配说我父亲的名字！,黙れ！どうして私の父の名前を口にする権利がある！,弑君者,True
name,整个研究所和所有的科学家，都被乌萨斯灭口了。,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,整个研究所和所有的科学家，都被乌萨斯灭口了。,研究所全体とすべての科学者はウルサスに消された。,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,80,,,,False
name,你是这么认为的？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,你是这么认为的？,そう思うのか？,ケルシー,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,82,,,,False
name,你还敢这么说？！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,你还敢这么说？！,そんなことよく言えるな？！,弑君者,True
name,就因为你，因为你这个卑鄙的叛徒和谢尔盖一起出卖了我的父亲，出卖了所有其他科学家！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,就因为你，因为你这个卑鄙的叛徒和谢尔盖一起出卖了我的父亲，出卖了所有其他科学家！,お前のせいだ。お前という卑劣な裏切り者がセルゲイと共に私の父を裏切り、他の科学者たちも裏切った！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,85,,,,False
name,......,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,......,……,ケルシー,True
name,你的发色和你父亲一模一样。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,你的发色和你父亲一模一样。,お前の髪色はお前の父とまったく同じだ。,ケルシー,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,88,,,,False
name,......你在说什么？你为什么......,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,......你在说什么？你为什么......,……何を言ってる？どうして……,弑君者,True
character,,,,,,,,,,,char_144_red_7#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,False
name,别动。,,,,,,,,,,红,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,别动。,動くな。,レッド,True
character,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,False
name,呃！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,呃！,うっ！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,94,,,,False
name,你想问，为什么我没对你的指控做出反应？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,你想问，为什么我没对你的指控做出反应？,お前はなぜ私がその非難に反応しないのか聞きたいんだな？,ケルシー,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,96,,,,False
name,你这人渣！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,你这人渣！,お前はクズだ！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,98,,,,False
name,人渣。你希望我是怎么样的人？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,人渣。你希望我是怎么样的人？,クズだと？お前は私にどんな人間であってほしい？,ケルシー,True
