command,text_orig,key,is_skippable,fit_mode,time,a,r,g,b,fadetime,block,intro,volume,crossfade,delay,image,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,screenadapt,width,height,name,name2,focus,options,values,references,option_number,index,text,jp_text,jp_name,text_match
header,第一关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
blocker,,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
playmusic,,$loneliness_loop,,,,,,,,,,$loneliness_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,0,5,,,,False
image,,,,,,,,,,0,,,,,,avg_6_13,0,0,1.1,1.1,,,,,,,,,,,,,,,0,6,,,,False
blocker,,,,,,0,,,,2,true,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
imagetween,,,,,,,,,,,false,,,,,,,,,,1.1,1.1,1,1,15,,,,,,,,,,0,9,,,,False
delay,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
blocker,,,,,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,,,,,0,11,,,,False
image,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,,False
blocker,,,,,,0,,,,0.6,true,,,,,,,,,,,,,,,,,,,,,,,,0,13,,,,False
background,,,,,,,,,,2,true,,,,,bg_indoor_n,,,,,,,,,,coverall,1,1,,,,,,,0,14,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,2,,,,0,16,,,,False
name,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,17,......,......,幻影の弩手,True
name,他不哭了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,幻影弩手,,,,,,0,18,他不哭了。,彼は泣かなくなりました。,幻影の弩手,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,avg_npc_016,1,,,,0,19,,,,False
name,他这个眼神，怎么和脑死了一样。,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,0,20,他这个眼神，怎么和脑死了一样。,あの目つきは、まるで脳死したみたいだ。,整合運動のメンバー,True
