command,text,name,focus,image,name2,jp_text,jp_name
header,,,,,,,
stopmusic,,,,,,,
dialog,,,,,,,
delay,,,,,,,
blocker,,,,,,,
playmusic,,,,,,,
delay,,,,,,,
blocker,,,,,,,
character,,,,,,,
image,,,,avg_7_1,,,
imagetween,,,,,,,
blocker,,,,,,,
,曾经有个老怪物告诉我，杀不死一个人的器物，只会让他的力量得到壮大。,,,,,かつて、ある老怪物が私にこう言った。人を殺せない道具は、その人の力をむしろ強くするだけだと。,
,我一直觉得这个说法很可笑。但碍于那家伙确实是个怪物，所以我又不得不好好考虑这个说法。,,,,,私はずっとこの言い方がとても滑稽だと思っていました。でも、あいつが本当に化け物だったので、この言い方を真剣に考えざるを得ませんでした。,
,虫子自己跳进火里，难道是在寻求更强健的自我？也太可笑了。,,,,,虫が自ら火の中に飛び込むなんて、まるでより強い自分を求めているかのようだが、あまりにも滑稽だ。,
,不，先不说虫子原本有多少智慧，身体又有多脆弱。要知道，一只虫子再怎么强壮，也始终是只虫子。,,,,,いいえ、まず虫がもともとどれほどの知恵を持っているかや、体がどれだけ脆弱かはさておきましょう。知っておくべきは、どんなに強い虫でも結局はただの虫だということです。,
,如果虫子跳进火里，只能证明火焰搞乱了它的脑子，如果它有的话，它肯定疯了。,,,,,虫が火の中に飛び込んだなら、それは火の炎がその虫の脳を乱したという証拠にすぎない。もし虫に脳があるなら、間違いなく狂っているのだ。,
,但如果扑向火焰的是我呢？那除了证明我也疯了，还能证明得了什么呢？它除了烧伤我，难道还会让我变得更厉害吗？,,,,,でも、もし火の中に飛び込むのが私だったら？それは私も頭がおかしいことを証明するだけで、他に何が証明できるというの？火傷させられるだけで、それが私をより強くするなんてことはあるの？,
,但是，死亡。不死的怪物又怎么会懂呢？,,,,,でも、死ぬこと。不死の怪物にどうしてわかるだろうか？,
,啊，这可是谁都无法抗拒的苦涩死亡。,,,,,ああ、これは誰も抗えない苦い死だ。,
dialog,,,,,,,
blocker,,,,,,,
image,,,,,,,
background,,,,bg_cenbri,,,
blocker,,,,,,,
delay,,,,,,,
character,,avg_npc_046#2,,,,,
playsound,,,,,,,
delay,,,,,,,
name,你还愿意见我？真让我意外。,W,,,,まだ私に会いたいですか？本当に驚きました。,Ｗ
name,我以为你已经完全沉溺进捣毁龙门的大计里去了，塔露拉。,W,,,,もうすっかり龍門破壊計画に没頭していると思っていました、タルーラさん。,Ｗ
dialog,,,,,,,
character,,,,,,,
character,,char_011_talula_1,,,,,
delay,,,,,,,
name,W。你没有向任何人报告你的来访。,塔露拉,,,,Ｗ。あなたは誰にも訪問の報告をしていませんね。,タルーラ
character,,char_011_talula_1,2,,avg_npc_046#5,,
name,哈，那我得说声抱歉，领袖。做了太长时间雇佣兵，我已经忘记还要向领袖报告自己的生活状态啦。,W,,,,はぁ、それは申し訳ない。リーダー。長い間傭兵をしてきたので、自分の生活状態をリーダーに報告するのを忘れてしまっていました。,Ｗ
name,但你也知道我根本上不去指挥塔顶部，只能请你屈尊下几层楼了。,W,,,,でも、あなたも知っての通り私は塔のトップに上がれません。だからあなたに何段か降りてもらうしかありませんね。,Ｗ
character,,char_011_talula_1,1,,avg_npc_046#5,,
name,出言讽刺对我们没有益处，W。整合运动需要你们萨卡兹的力量，我们间不应再有更多的私人冲突。,塔露拉,,,,皮肉な言葉は我々のためになりません、Ｗ。統合運動はあなたたちサカズの力を必要としています。私たちの間にこれ以上の個人的な衝突はあってはなりません。,タルーラ
character,,char_011_talula_1,2,,avg_npc_046#2,,
name,叫魔族就行。心地柔软又喜欢自称良善的大人物才叫我们萨卡兹，但我们这些佣兵很清楚自己什么德性。,W,,,,魔族と呼べばいいのです。心優しく、善良と自称する大人物たちだけが私たちをサカズと呼びますが、私たち傭兵は自分たちの性質をよく知っています。,Ｗ
character,,char_011_talula_1,1,,avg_npc_046#2,,
name,奇怪。魔族，“被驱逐的劣等种族”，你们佣兵不可能接受这种定义，也不会以此为荣。,塔露拉,,,,変ですね。魔族、「追放された劣等種族」。あなたたち傭兵がその定義を受け入れることも、それを誇りに思うこともありません。,タルーラ
character,,avg_npc_046#2,,,,,
name,当然。但你们这些人最开始把萨卡兹叫作“魔族”，可不是因为鄙夷或者好听才这么叫着玩的。,W,,,,もちろんです。しかし、あなたたちが最初にサカズを「魔族」と呼んだのは、軽蔑や響きの良さからではありません。,Ｗ
