command,text,name,option_number,option_value,references,focus,image,values,name2,jp_text,jp_name
header,,,0,,,,,,,,
stopmusic,,,0,,,,,,,,
dialog,,,0,,,,,,,,
delay,,,0,,,,,,,,
blocker,,,0,,,,,,,,
background,,,0,,,,bg_warehouse,,,,
blocker,,,0,,,,,,,,
playmusic,,,0,,,,,,,,
character,,char_002_amiya_1#7,0,,,,,,,,
delay,,,0,,,,,,,,
name,这些萨卡兹居然不受仪式的影响......但我方的萨卡兹干员却不能免疫仪式，怎么回事？,阿米娅,0,,,,,,,これらのサカズは儀式の影響を受けないとは……しかし、我が方のサカズのドクターは儀式に免疫がありません、どういうことでしょうか？,アーミヤ
name,但他们似乎也不属于游击队。奇怪......,阿米娅,0,,,,,,,しかし、彼らはゲリラ隊にも属していないようです。奇妙ですね……。,アーミヤ
character,,avg_npc_059,0,,,,,,,,
name,迷迭香......,罗德岛近卫干员？,0,,,,,,,ローズマリー……,ロドス近衛オペレーター？
name,感谢你。,罗德岛近卫干员？,0,,,,,,,ありがとう。,ロドス近衛オペレーター？
character,,avg_npc_042,0,,,,,,,,
name,我去巡逻。,迷迭香,0,,,,,,,私は巡回に行きます。,ローズマリー
name,不要谢，阿米娅喜欢说，不要因为别人职责里的事情谢别人。,迷迭香,0,,,,,,,感謝しなくていい、アーミヤはよく言います、他人の職務のことで感謝してはいけないと。,ローズマリー
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
playsound,,,0,,,,,,,,
delay,,,0,,,,,,,,
character,,avg_npc_057,0,,,,,,,,
name,......,乌萨斯感染者,0,,,,,,,......,ウサス感染者
character,,char_002_amiya_1,0,,,,,,,,
name,抑制药剂过一会儿才会起效。不过现在，矿石病带来的痛感应该会被减弱许多。,阿米娅,0,,,,,,,抑制薬はしばらくしてから効果を発揮します。しかし今は、鉱石病による痛みはかなり和らいでいるはずです。,アーミヤ
name,这些药物，之后你带回去给他们。存货不多，只能用一个疗程左右，但至少对急性重症有遏制作用。,阿米娅,0,,,,,,,これらの薬は後で彼らに渡してください。在庫は多くありません、一回分くらいしか使えませんが、少なくとも急性重症の抑制には役立ちます。,アーミヤ
character,,char_002_amiya_1#4,0,,,2,,,avg_npc_057,,
name,你们真是来帮我们的？,乌萨斯感染者,0,,,,,,,本当に私たちを助けに来てくれたのですか？,ウサス感染者
character,,char_002_amiya_1#4,0,,,1,,,avg_npc_057,,
name,遗憾的是，现在我们还帮不了你们多少。,阿米娅,0,,,,,,,残念ながら、今のところ私たちはあまりあなたたちを助けられません。,アーミヤ
name,其他的行动，只有等到击溃整合运动的领袖之后才有机会采取。,阿米娅,0,,,,,,,他の行動は、統合運動のリーダーを打ち破ってからでなければ実施できません。,アーミヤ
name,而且......一旦整合运动再发生全面暴动，我想，我们也是没办法应付的。,阿米娅,0,,,,,,,それに……もし統合運動が再び全面的な暴動を起こしたら、私たちも対処できないと思います。,アーミヤ
character,,char_002_amiya_1#4,0,,,2,,,avg_npc_057,,
name,刚才对你们说了那些。我......我以前不这样的。,乌萨斯感染者,0,,,,,,,さっきあなたたちにあんなことを言いました。私は……以前はそんなことはありませんでした。,ウサス感染者
name,我以前很讨厌你们。但现在，我也是了。我和你们一样，被所有人恨着。,乌萨斯感染者,0,,,,,,,私は以前あなたたちが大嫌いでした。しかし今は私もそうです。私もあなたたちと同じく、皆に憎まれています。,ウサス感染者
