command,text,name,focus,image,name2,jp_text,jp_name
header,,,,,,,
stopmusic,,,,,,,
dialog,,,,,,,
delay,,,,,,,
character,,,,,,,
blocker,,,,,,,
,龙门上城区  7：20 p.m.,,,,,龍門上城区 7:20 p.m.,
dialog,,,,,,,
background,,,,bg_turf,,,
blocker,,,,,,,
playmusic,,,,,,,
dialog,,,,,,,
character,,,,,,,
camerashake,,,,,,,
playsound,,,,,,,
blocker,,,,,,,
blocker,,,,,,,
delay,,,,,,,
character,,char_010_chen_1#4,,,,,
delay,,,,,,,
name,哈，哈......,陈,,,,はっ、はっ……,陳
character,,char_136_hsguma,,,,,
name,......你竟然这么坚定。,星熊,,,,……あなたがこんなに決意を固めているなんて。,星熊
name,没想到。我没想到，你......能让我流血。,星熊,,,,思わなかった。あなたが……私に流血させるなんて、思いもしませんでした。,星熊
dialog,,,,,,,
image,,,,,,,
blocker,,,,,,,
image,,,,avg_7_5_2,,,
imagetween,,,,,,,
blocker,,,,,,,
name,我们，哈，我们都，从来没能......走出过去。,陈,,,,私たちは、はっ、私たちはずっと、過去から抜け出せなかった。,陳
name,星熊，你一直在这座城里，而我......始终不在，也一直在逃。,陈,,,,星熊、あなたはずっとこの街にいるけど、私は……ずっといなくて、逃げ続けている。,陳
name,我想我永远都无法忍受这座城市。,陈,,,,私はこの街を一生耐えられないと思う。,陳
name,最后还是变成了这种小打小闹。,星熊,,,,結局は小競り合いに過ぎなかった。,星熊
name,我拦不住你了。你走吧。,星熊,,,,もうあなたを止められない。行きなさい。,星熊
dialog,,,,,,,
blocker,,,,,,,
image,,,,avg_7_6,,,
imagetween,,,,,,,
blocker,,,,,,,
name,......,陈,,,,……,陳
name,抱歉，星熊。,陈,,,,ごめんなさい、星熊さん。,陳
name,我走以后，请你代我去贫民区。贫民区的居民惊魂未定，该有人代表近卫局去保护他们。,陈,,,,私がいなくなったら、代わりに貧民区へ行ってください。貧民区の住民はまだ動揺していて、近衛局の誰かが彼らを守るべきです。,陳
name,如果有感染者的孩子，送你玩具小熊的话......,陈,,,,もし感染者の子どもがいたら、あなたにぬいぐるみの小熊を渡します……,陳
name,收下吧。那是乌萨斯人教她们做的。因我们的失误而丧生的米莎，教她们做的。,陈,,,,受け取ってください。それはウーサス人が彼女たちに教えたものです。私たちの過ちで亡くなったミーシャが教えたのです。,陳
name,好。我会做到。,星熊,,,,わかりました。必ずやります。,星熊
name,对不起。我欠你的。,陈,,,,すみません。あなたに借りがあります。,陳
name,我不想听你道歉。说实在的，你不适合。,星熊,,,,あなたの謝罪は聞きたくありません。正直言って、あなたには似合いません。,星熊
name,星熊......,陈,,,,星熊……,陳
name,......该说都说完了。,星熊,,,,……言うべきことはもう全部言った。,星熊
name,走！别再回来。,星熊,,,,行け！二度と戻ってくるな。,星熊
name,——,陈,,,,——,陳
name,......珍重。,陈,,,,……お元気で。,陳
dialog,,,,,,,
character,,,,,,,
blocker,,,,,,,
image,,,,,,,
background,,,,bg_black,,,
blocker,,,,,,,
name,“无法忍受这座城市？”,星熊,,,,「この街に耐えられない？」,星熊
name,......有几个人比你更在乎这座城市？,星熊,,,,……君よりこの街を気にかけている者がどれだけいる？,星熊
name,谎话精......,星熊,,,,嘘つきめ……,星熊
dialog,,,,,,,
blocker,,,,,,,
background,,,,bg_turf,,,
playsound,,,,,,,
blocker,,,,,,,
character,,char_136_hsguma,2,,char_015_lmg,,
name,星熊督察！,近卫局成员,,,,星熊監察！,近衛局メンバー
name,......什么？督察，你，你受伤了？谁能......,近卫局成员,,,,……な、何ですって？監察、あなた、怪我を？誰かが……,近衛局メンバー
name,对了，我们刚刚、刚刚看见陈长官她——,近卫局成员,,,,そういえば、さっき、陳長官が——,近衛局メンバー
character,,char_136_hsguma,1,,char_015_lmg,,
name,啊，那个，抱歉。,星熊,,,,ああ、えっと、すみません。,星熊
name,你们有没有时间好好聊聊？,星熊,,,,お二人にはゆっくり話す時間がありますか？,星熊
character,,char_136_hsguma,2,,char_015_lmg,,
name,督察......意思是你也要妨碍公务哈？,近卫局成员,,,,監察……つまり、あなたも公務の妨害をするつもりですか？,近衛局メンバー
character,,char_136_hsguma,1,,char_015_lmg,,
name,......也不能这么说吧。,星熊,,,,……そうとは言えないでしょう。,星熊
dialog,,,,,,,
image,,,,,,,
stopmusic,,,,,,,
blocker,,,,,,,
character,,,,,,,
