command,text,name,option_number,option_value,references,focus,image,values,name2,jp_text,jp_name
header,,,0,,,,,,,,
stopmusic,,,0,,,,,,,,
dialog,,,0,,,,,,,,
delay,,,0,,,,,,,,
character,,,0,,,,,,,,
blocker,,,0,,,,,,,,
,11:30 a.m.,,0,,,,,,,11:30 a.m.,
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
blocker,,,0,,,,,,,,
background,,,0,,,,bg_perimeter,,,,
blocker,,,0,,,,,,,,
playmusic,,,0,,,,,,,,
character,,avg_npc_016,0,,,,,,avg_npc_016,,
name,领袖。,幻影弩手,0,,,,,,,リーダー。,ファントムアーチャー
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
playsound,,,0,,,,,,,,
character,,char_011_talula_1,0,,,,,,,,
delay,,,0,,,,,,,,
name,幻影弩手们。很高兴见到你们平安归来。,塔露拉,0,,,,,,,ファントムアーチャーの皆さま。無事に戻られて、お会いできてうれしいです。,タルラ
name,你们的队伍很浩大。他们都是龙门的同胞？,塔露拉,0,,,,,,,あなた方の隊はとても大きいですね。彼らはすべてドラゴンゲートの仲間ですか？,タルラ
character,,avg_npc_016,0,,,1,,,char_011_talula_1,,
name,有许多感染者......和我们一起回来。,幻影弩手,0,,,,,,,多くの感染者が……私たちと一緒に戻りました。,ファントムアーチャー
name,没想到会在这里遇到你们。,幻影弩手,0,,,,,,,ここであなた方に会うとは思っていませんでした。,ファントムアーチャー
character,,avg_npc_016,0,,,2,,,char_011_talula_1,,
name,充分利用切尔诺伯格的资源，能拯救许多人。这座核心城将是我们攻破龙门的利器。,塔露拉,0,,,,,,,チェルノボーグの資源を十分に活用すれば、多くの人々を救うことができます。このコアシティは私たちがドラゴンゲートを突破するための武器となるでしょう。,タルラ
character,,avg_npc_016,0,,,1,,,char_011_talula_1,,
name,什么？不，不对，领袖......,幻影弩手,0,,,,,,,何ですって？いいえ、違います、リーダー……,ファントムアーチャー
name,为什么龙门的情况和计划里说的完全不一样？我们多少战友平白无故地在那里送了命！,幻影弩手,0,,,,,,,なぜドラゴンゲートの状況が計画とまったく違うのですか？どれだけ多くの戦友が無意味にそこで命を落としたのです！,ファントムアーチャー
character,,avg_npc_016,0,,,2,,,char_1002_nsabr_1,,
name,你怎么敢这样对领袖......,整合运动成员,0,,,,,,,よくもリーダーにそんなことを……,統合運動メンバー
character,,avg_npc_016,0,,,2,,,char_011_talula_1,,
name,不。他说得对。,塔露拉,0,,,,,,,違います。彼は正しい。,タルラ
name,我们可敬的同胞们已经受了太多的苦。我们的作战计划也因为敌人奸诈的圈套，受到了很大的挫折。,塔露拉,0,,,,,,,私たちの敬愛する仲間たちはすでに多くの苦しみを受けました。私たちの作戦計画も敵の狡猾な罠によって大きな挫折を受けています。,タルラ
name,不过，即使我们的先锋遭遇了一时的阻碍，整合运动却还依然有为你们报仇的决心。你们的创伤，你们的牺牲，我会为你们讨回。,塔露拉,0,,,,,,,しかし、たとえ私たちの先遣隊が一時的な障害に遭遇しても、統合運動はまだあなた方の復讐を誓っています。あなた方の傷と犠牲に、私が代わりに報います。,タルラ
name,请放心，我一直与你们在一起。,塔露拉,0,,,,,,,どうか安心してください、私はずっとあなた方と共にいます。,タルラ
character,,avg_npc_016,0,,,1,,,char_011_talula_1,,
name,......希望是这样，领袖。,幻影弩手,0,,,,,,,……そうであればいいのですが、リーダー。,ファントムアーチャー
character,,avg_npc_016,0,,,2,,,char_011_talula_1,,
