command,text,name,focus,image,name2,jp_text,jp_name
header,第六关（后）,,,,,第六関（後）,
stopmusic,,,,,,,
delay,,,,,,,
dialog,,,,,,,
blocker,,,,,,,
background,,,,bg_snow_2,,,
blocker,,,,,,,
delay,,,,,,,
playmusic,,,,,,,
dialog,,,,,,,
character,,,,,,,
character,,avg_npc_080,,,,,
name,塔露拉。,感染者战士,,,,タルラ。,感染者戦士
character,,avg_npc_078,,,,,
name,......嗯，你很少露出这副表情，朋友，怎么了吗？,塔露拉,,,,……ええ、あなたがそんな表情をすることは滅多にありませんね、友よ、何かありましたか？,タルラ
character,,avg_npc_080,1,,avg_npc_078,,
name,我们决定了。,感染者战士,,,,私たちは決めました。,感染者戦士
name,我们会留在这里。,感染者战士,,,,私たちはここに留まります。,感染者戦士
name,啊，不......换个说法，我们中的一些人愿意留在这里。也有一些人，会想办法离开乌萨斯的疆土。,感染者战士,,,,あ、いえ……言い換えれば、私たちの中にはここに残りたい者もいます。ほかの者はウーサスの地を離れる方法を探すつもりです。,感染者戦士
name,但无论如何，我们都不会随你继续南下了，抱歉。,感染者战士,,,,でもどちらにせよ、私たちはあなたについて南へ向かうことはしません、ごめんなさい。,感染者戦士
character,,avg_npc_080,2,,avg_npc_078#2,,
name,好，我知道了。,塔露拉,,,,わかりました。,タルラ
character,,avg_npc_080,1,,avg_npc_078#2,,
name,你都不问问缘由的？,感染者战士,,,,理由も尋ねないのですか？,感染者戦士
name,是你教会了我们战斗，是你带我们走到了今天——,感染者战士,,,,戦い方を教えてくれたのはあなたであり、今日まで私たちを導いてくれたのもあなたです——,感染者戦士
character,,avg_npc_080,2,,avg_npc_078#2,,
name,所以你们就必须服从我，一直把性命拴在刀尖上，和乌萨斯战斗至死？,塔露拉,,,,だからあなたたちは私に従い、命を刀の先にかけてウーサスと戦い続けなければならないのですか？,タルラ
name,从来没有这样的事，从来没有，朋友啊，那根本就是本末倒置。,塔露拉,,,,そんなことは決してありません、決してですよ、友よ、それはまったく本末転倒です。,タルラ
character,,avg_npc_080,1,,avg_npc_078#2,,
name,哈哈......也是，你的确是这样的人。,感染者战士,,,,はは……確かに、あなたはそんな人ですね。,感染者戦士
character,,avg_npc_080,2,,avg_npc_078#2,,
name,我不是你们的统治者。而这里曾是你们应得的土地，就算这里布满尸骸，缠绕着不幸的回忆，冻原依旧是你们的故土。,塔露拉,,,,私はあなたたちの支配者ではありません。そしてここはかつてあなたたちの受け継ぐべき土地でした。たとえここに屍が溢れ、不幸な記憶が絡みついても、ツンドラはあなたたちの故郷です。,タルラ
name,你们很坚强。我相信你们可以找到战胜这一切的办法。,塔露拉,,,,あなたたちは強い。私はあなたたちがこのすべてに打ち勝つ方法を見つけられると信じています。,タルラ
name,如果你需要的话，我可以为你们送行。,塔露拉,,,,もし必要ならば、私はあなたたちの門出をお見送りいたします。,タルラ
character,,avg_npc_080,1,,avg_npc_078#2,,
name,别，别，千万别，你要知道做这个决定也不是多么坚定的事情......,感染者战士,,,,いや、いや、どうかやめてください、この決断がどれほど固いものでもないことを知ってほしい……,感染者戦士
name,哈，这么一想，我可曾是你们的一员。以后我可以和新伙伴好好聊聊你的故事。,感染者战士,,,,はは、そう考えると、私はかつてあなたたちの一員でした。これから新しい仲間たちにあなたの話をよく聞かせてあげられそうです。,感染者戦士
character,,avg_npc_080,2,,avg_npc_078#2,,
name,那就请你们嘴下留情了。,塔露拉,,,,それならば、どうか言葉は控えてくださいね。,タルラ
dialog,,,,,,,
character,,,,,,,
name,塔露拉，营火升起来了！,远处的呼喊,,,,タルラ、焚き火が上がりました！,遠くからの呼び声
character,,avg_npc_078#2,,,,,
name,好，一会就来！,塔露拉,,,,はい、すぐに参ります！,タルラ
name,朋友，今晚会是我们最后一次共进晚餐吗？,塔露拉,,,,友よ、今夜が私たちの最後の晩餐になるのでしょうか？,タルラ
character,,avg_npc_080,1,,avg_npc_078#2,,
name,等过一会......还会有其他人来找你聊这件事的吧，大家都会的。,感染者战士,,,,少し待って……他の者たちもあなたにこのことを話しに来るでしょう、みんなそうします。,感染者戦士
character,,avg_npc_080,2,,avg_npc_078,,
name,嗯。,塔露拉,,,,ええ。,タルラ
character,,avg_npc_080,1,,avg_npc_078,,
name,......塔露拉。,感染者战士,,,,......タルラ。,感染者の戦士
name,你怎么保证所有人都是齐心协力地和你站在一边？你怎么知道背叛这种破事儿不会再来几遭？,感染者战士,,,,どうやって全員が心を一つにしてあなたの側に立っていると保証できるんですか？裏切りなんてくだらないことがまた何度も起きないとどうして言い切れるんですか？,感染者の戦士
name,哦......其实你当然有办法，你那么聪明，又那么强，还懂那么多东西，就算受了点伤流了点血，你也不会放慢脚步的，对吧？,感染者战士,,,,ああ……実はあなたにはもちろん方法があるでしょう。あなたはとても賢くて強くて、たくさんのことを知っているから、たとえ少しケガをして血を流しても、歩みを緩めたりしないでしょう？,感染者の戦士
character,,avg_npc_080,2,,avg_npc_078#2,,
name,......就当你在表扬我吧，但能不能别把我说得那么吓人？,塔露拉,,,,……褒められていると思っておきますけど、そんなに怖く言わないでくれませんか？,タルラ
character,,avg_npc_080,1,,avg_npc_078#2,,
name,哈哈，别误会，我们可不是被一两次挫折吓破了胆的懦夫......,感染者战士,,,,はは、誤解しないでください。私たちは一度や二度の挫折で怖気づいた臆病者なんかじゃありません……,感染者の戦士
name,我只是突然想到，也许不是所有人都和......都和你想的一样。对。,感染者战士,,,,ただ突然思ったんです、もしかしたらみんなが……みんながあなたと同じように考えているわけじゃないのかもしれないと。ええ。,感染者の戦士
name,比如我吧，反正都是死，只是为了能有口饭吃，多活些日子而选择跟着你们的。,感染者战士,,,,例えば私の場合は、どうせ死ぬなら、ご飯を食べられて少しでも長く生きるためにあなたたちに従うことを選んだだけです。,感染者の戦士
name,自己能吃饱以后，发现其实有很多和我一样的人，就想着他们也能吃饱就好了......,感染者战士,,,,自分が食べられるようになってから、実は私と同じような人がたくさんいるとわかって、彼らも食べられればいいなと思ったのです……,感染者の戦士
character,,avg_npc_080,2,,avg_npc_078,,
name,坚强和善意，这其实很难得。,塔露拉,,,,強さと優しさ、それは本当に貴重なことですわ。,タルラ
character,,avg_npc_080,1,,avg_npc_078,,
name,对，很难得，所以并不是所有人都是这样想的。,感染者战士,,,,ええ、貴重だからこそ、みんながそう思っているわけではないのです。,感染者の戦士
name,谁能保证我们继续走下去，不会有一个更残酷的结果？贵族老爷们把我们赶尽杀绝，再牵连那些无辜的穷人和孩子？,感染者战士,,,,誰が保証できるでしょう、これからも進み続けてもっと残酷な結末にならないと？貴族たちが私たちを根絶やしにして、無実の貧しい人々や子供たちまで巻き込むかもしれないのに？,感染者の戦士
name,我......我自己是没所谓，但是想到别的可能性，我就后怕。,感染者战士,,,,私……自分は構いませんが、他の可能性を考えると怖くなります。,感染者の戦士
name,更别提有的人只想自己吃饱就好了......而喂饱自己嘛，就算是我也能想出很多办法，比如......呃。,感染者战士,,,,ましてや自分さえ食べられればそれでいいと思ってる人もいます……自分を養うためなら、私でさえ色んな方法を思いつけます。例えば……ええと。,感染者の戦士
name,出卖。,感染者战士,,,,裏切りです。,感染者の戦士
name,出卖我们重视的东西。有很多人急着毁掉我们，放过一个无足轻重的感染者而解决剩下的所有叛徒，这笔生意再划算不过了。,感染者战士,,,,私たちが大切にしているものを裏切ること。多くの人は私たちを壊すことを急いでいて、取るに足らない一人の感染者を見逃して残りのすべての裏切り者を処理することを最高の取引だと考えています。,感染者の戦士
character,,avg_npc_080,2,,avg_npc_078,,
name,......,塔露拉,,,,……,タルラ
character,,avg_npc_080,1,,avg_npc_078,,
