command,text_orig,name,image,index,text,jp_text,jp_name,text_match
header,第六关（后）,,,0,第六关（后）,第六ステージ（後半）,,True
stopmusic,,,,1,,,,True
delay,,,,2,,,,True
dialog,,,,3,,,,True
blocker,,,,4,,,,True
background,,,bg_topout,5,,,,True
blocker,,,,6,,,,True
delay,,,,7,,,,True
playmusic,,,,8,,,,True
dialog,,,,9,,,,True
character,,,,10,,,,True
,切割，穿刺，劈砍，横扫，利刃在敌人之中飞舞。,,,11,切割，穿刺，劈砍，横扫，利刃在敌人之中飞舞。,切り裂き、突き刺し、斬り払い、横掃、鋭い刃が敵の中を舞い踊る。,,True
,哭喊，怒骂，诅咒，嚎叫，而后一切归于平静。,,,12,哭喊，怒骂，诅咒，嚎叫，而后一切归于平静。,泣き叫び、怒りの罵声、呪いの言葉、遠吠え、そしてすべては静寂に戻った。,,True
,迷迭香的表情没有任何变化。,,,13,迷迭香的表情没有任何变化。,ロズマリーの表情は何一つ変わらなかった。,,True
character,,avg_npc_042,,14,,,avg_npc_042,True
name,解决了。,迷迭香,,15,解决了。,解決しました。,ロズマリー,True
name,已经没有阵地和伏击点，可以继续前进了。,迷迭香,,16,已经没有阵地和伏击点，可以继续前进了。,もう陣地や待ち伏せポイントはありません。進み続けられます。,ロズマリー,True
character,,avg_npc_058,,17,,,avg_npc_058,True
name,干得漂亮，菲林。我们的人甚至还没有受伤就结束了。,盾卫,,18,干得漂亮，菲林。我们的人甚至还没有受伤就结束了。,よくやった、フィリン。我々の者はまだ一人も傷ついていない。もう終わった。,シールドガード,True
name,而且，你刺穿他们头颅的速度很快，很准，很果断，这样很好。,盾卫,,19,而且，你刺穿他们头颅的速度很快，很准，很果断，这样很好。,それに、お前は彼らの頭を突き刺す速さが速く、正確で、果断だ。非常に良い。,シールドガード,True
name,如果不是知道是你杀的大尉，我可能会希望你加入我们。,盾卫,,20,如果不是知道是你杀的大尉，我可能会希望你加入我们。,もしお前があの大尉を殺したと知らなければ、我々に加わることを望んだかもしれない。,シールドガード,True
name,你是个天生的战士，你跟着那只卡特斯，很可惜。,盾卫,,21,你是个天生的战士，你跟着那只卡特斯，很可惜。,お前は生まれついての戦士だ。あのカーテスについて行くのは残念だ。,シールドガード,True
character,,avg_npc_042,,22,,,avg_npc_042,True
name,不许你说阿米娅的坏话。,迷迭香,,23,不许你说阿米娅的坏话。,アーミヤの悪口を言ってはいけません。,ロズマリー,True
character,,avg_npc_058,,24,,,avg_npc_058,True
name,不，我并没有在批评她。,盾卫,,25,不，我并没有在批评她。,いいえ、私は彼女を批判しているのではありません。,シールドガード,True
name,她说了一些我很久很久以前想听，也听过的话。,盾卫,,26,她说了一些我很久很久以前想听，也听过的话。,彼女は、私がずっと昔から聞きたかった、そして聞いたことのある言葉を話したのです。,シールドガード,True
name,她很好，菲林，她真好。,盾卫,,27,她很好，菲林，她真好。,彼女は素晴らしい、フィリン。本当にいい人だ。,シールドガード,True
name,但是，这行不通，菲林，这行不通。,盾卫,,28,但是，这行不通，菲林，这行不通。,しかし、これはうまくいかない、フィリン、うまくいかないのだ。,シールドガード,True
character,,avg_npc_042,,29,,,avg_npc_042,True
name,我不信，阿米娅一定能够做到。,迷迭香,,30,我不信，阿米娅一定能够做到。,私は信じています、アーミヤは必ずやり遂げられます。,ロズマリー,True
character,,avg_npc_058,,31,,,avg_npc_058,True
name,或许吧，但你跟着她，对你对她都不好。,盾卫,,32,或许吧，但你跟着她，对你对她都不好。,そうかもしれないが、お前が彼女についていくのは、お前にも彼女にも良くない。,シールドガード,True
character,,avg_npc_042,,33,,,avg_npc_042,True
name,为什么？,迷迭香,,34,为什么？,なぜですか？,ロズマリー,True
character,,avg_npc_058,,35,,,avg_npc_058,True
name,你们是两类人。,盾卫,,36,你们是两类人。,お前たちは全く別のタイプの人間だ。,シールドガード,True
