command,text_orig,name,option_number,option_value,references,image,values,index,text,jp_text,jp_name,text_match
header,,,0,,,,,0,,,,True
stopmusic,,,0,,,,,1,,,,True
delay,,,0,,,,,2,,,,True
dialog,,,0,,,,,3,,,,True
blocker,,,0,,,,,4,,,,True
background,,,0,,,bg_graduatecore,,5,,,,True
blocker,,,0,,,,,6,,,,True
delay,,,0,,,,,7,,,,True
playmusic,,,0,,,,,8,,,,True
dialog,,,0,,,,,9,,,,True
character,,,0,,,,,10,,,,True
character,,char_003_kalts_1,0,,,,,11,,,char_003_kalts_1,True
name,我已经大致知悉这个感染者的行为模式了。即使在成为这样一个特殊感染者之后，他的行为依然遵循着某种规律。,凯尔希,0,,,,,12,我已经大致知悉这个感染者的行为模式了。即使在成为这样一个特殊感染者之后，他的行为依然遵循着某种规律。,私はこの感染者の行動パターンを大まかに把握しました。特殊感染者となった後でも、彼の行動は依然としてある種の法則に従っています。,ケルシー,True
name,对于刺激性措施，他有着独特的应激处理方式，这应该是他依然作为人类时留下的习惯性思维。,凯尔希,0,,,,,13,对于刺激性措施，他有着独特的应激处理方式，这应该是他依然作为人类时留下的习惯性思维。,刺激に対して、彼は独特なストレス対処方法を持っており、それは彼が人間だった頃に残した習慣的な思考様式だと思われます。,ケルシー,True
name,他的感染器官也是向这个方向产生了突变：控制，以及被控制。,凯尔希,0,,,,,14,他的感染器官也是向这个方向产生了突变：控制，以及被控制。,彼の感染器官もこの方向に変異しました――制御すること、そして制御されること。,ケルシー,True
name,暴力的因果是无法被颠覆的。施暴和被施暴在他们的身上循环往复。,凯尔希,0,,,,,15,暴力的因果是无法被颠覆的。施暴和被施暴在他们的身上循环往复。,暴力の因果律は覆せません。加害と被害は彼らの中で循環を繰り返しています。,ケルシー,True
name,接下来，我会尝试清除他作为特殊感染者对其他生物可能产生的任何负面影响。,凯尔希,0,,,,,16,接下来，我会尝试清除他作为特殊感染者对其他生物可能产生的任何负面影响。,次に、特殊感染者としての彼が他の生物に及ぼす可能性のあるあらゆる負の影響を除去しようと試みます。,ケルシー,True
name,我会无害化他的感染器官，停止这些器官的运作，破坏其基本机能。,凯尔希,0,,,,,17,我会无害化他的感染器官，停止这些器官的运作，破坏其基本机能。,彼の感染器官を無害化し、これらの器官の機能を停止し、基本機能を破壊します。,ケルシー,True
name,作为医生，我要做的只有这么多。,凯尔希,0,,,,,18,作为医生，我要做的只有这么多。,医者として、私ができることはそれだけです。,ケルシー,True
name,即使是焚烧整个区域，也只会使得已经产生特殊结构的源石结晶进一步散逸，造成更多特异感染。这个手术是必须的。,凯尔希,0,,,,,19,即使是焚烧整个区域，也只会使得已经产生特殊结构的源石结晶进一步散逸，造成更多特异感染。这个手术是必须的。,たとえ地域全体を焼却しても、すでに特殊構造を持つ源石結晶はさらに散逸し、より多くの特異感染を生み出すだけです。この手術は必要不可欠です。,ケルシー,True
name,在这一系列工作完成之后，他会恢复成一个普通感染者。,凯尔希,0,,,,,20,在这一系列工作完成之后，他会恢复成一个普通感染者。,この一連の作業が終了すれば、彼は普通の感染者に戻ります。,ケルシー,True
name,只是，感染器官的变异已经对他的身体机能造成了无可磨灭的创伤，他各生理系统的感染程度将会飞速增加。,凯尔希,0,,,,,21,只是，感染器官的变异已经对他的身体机能造成了无可磨灭的创伤，他各生理系统的感染程度将会飞速增加。,ただし、感染器官の変異は彼の身体機能に消し難い損傷を与えており、生理システムの感染度合は急速に進行するでしょう。,ケルシー,True
name,他已经是将死之身。这片大地已经遗弃了他。,凯尔希,0,,,,,22,他已经是将死之身。这片大地已经遗弃了他。,彼はすでに死に瀕しています。この大地は彼を見捨てました。,ケルシー,True
name,这就是这片大地留给他的命运。就像这片大地留给各个感染者的命运一样。,凯尔希,0,,,,,23,这就是这片大地留给他的命运。就像这片大地留给各个感染者的命运一样。,これがこの大地が彼に残した運命です。この大地がすべての感染者に残した運命と同じように。,ケルシー,True
decision,只有这一种处理方式？,,1,1,,,1,24,只有这一种处理方式？,これしか処理方法はないのですか？,,True
predicate,,,0,,1,,,25,,,,True
name,医学角度来说，是的。,凯尔希,0,,,,,26,医学角度来说，是的。,医学的観点から言えば、はい。,ケルシー,True
name,不过，即使忽略我的医疗人员身份，行政层面上任何对这个整合运动感染者的进一步处理，我也依然不会参与。,凯尔希,0,,,,,27,不过，即使忽略我的医疗人员身份，行政层面上任何对这个整合运动感染者的进一步处理，我也依然不会参与。,ですが、私の医療従事者としての身分を無視しても、行政的な面でこの統合運動感染者に対する更なる処理には関与しません。,ケルシー,True
name,我们的时间不多。他能否从昏迷中苏醒只取决于手术处理后他的生理状态如何。,凯尔希,0,,,,,28,我们的时间不多。他能否从昏迷中苏醒只取决于手术处理后他的生理状态如何。,私たちの時間はあまり多くありません。彼が昏睡から目覚めるかは手術後の生理状態次第です。,ケルシー,True
name,在结束切尔诺伯格核心城的作战后，我们也会完全撇清与整合运动间的任何关系。,凯尔希,0,,,,,29,在结束切尔诺伯格核心城的作战后，我们也会完全撇清与整合运动间的任何关系。,チェルノボーグのコアシティ作戦終了後、私たちは統合運動との関係を完全に断ち切ります。,ケルシー,True
name,必要的博弈资本则不算在内。,凯尔希,0,,,,,30,必要的博弈资本则不算在内。,必要な交渉資本は除きますが。,ケルシー,True
name,总之，这个感染者的感染器官与众多生命息息相关，他本人的命运，则与罗德岛无关。,凯尔希,0,,,,,31,总之，这个感染者的感染器官与众多生命息息相关，他本人的命运，则与罗德岛无关。,要するに、この感染者の感染器官は多くの生命と密接に関わっていますが、彼自身の運命はロドスとは無関係です。,ケルシー,True
decision,我能做什么？,,1,1,,,1,32,我能做什么？,私に何ができますか？,,True
predicate,,,0,,1,,,33,,,,True
name,你能做出某种选择。,凯尔希,0,,,,,34,你能做出某种选择。,あなたには何らかの選択ができます。,ケルシー,True
name,选择权一直在你手上，博士。大多数时候我们只是没时间去重温选择的后果而已。,凯尔希,0,,,,,35,选择权一直在你手上，博士。大多数时候我们只是没时间去重温选择的后果而已。,選択権は常にあなたの手の中にあります、ドクター。多くの場合、私たちはただ選択の結果を振り返る時間が無いだけです。,ケルシー,True
name,但在你做出选择之前，你就该清晰地判明结果如何。,凯尔希,0,,,,,36,但在你做出选择之前，你就该清晰地判明结果如何。,ですが、選択をする前に、結果がどうなるかを明確に見極めるべきです。,ケルシー,True
name,——是将他看作一个感染者患者？还是将他看作曾经的整合运动领袖之一？,凯尔希,0,,,,,37,——是将他看作一个感染者患者？还是将他看作曾经的整合运动领袖之一？,――彼を感染者の患者として見るのか？それともかつての統合運動のリーダーの一人として見るのか？,ケルシー,True
name,将他看作这片大地上横行的种种邪恶的一个缩影，那么他是受害者，还是一个施害者？,凯尔希,0,,,,,38,将他看作这片大地上横行的种种邪恶的一个缩影，那么他是受害者，还是一个施害者？,彼をこの大地に跋扈する種々の悪の縮図として見るならば、彼は被害者か、それとも加害者か？,ケルシー,True
name,是将他看作某种暴力统治不可分割的一环，还是将他看作一个可怕逻辑的可悲结果？,凯尔希,0,,,,,39,是将他看作某种暴力统治不可分割的一环，还是将他看作一个可怕逻辑的可悲结果？,彼をある種の暴力支配の不可分の一部と見るのか、それとも恐ろしい論理の悲しい結果と見るのか？,ケルシー,True
name,事实上这些身份根本不可分割。但我们没能力全部容纳。,凯尔希,0,,,,,40,事实上这些身份根本不可分割。但我们没能力全部容纳。,実際にはこれらの立場は全く分割できません。しかし私たちは全てを受け入れる能力はありません。,ケルシー,True
name,是放任他在核心城中自生自灭，还是以当代社会之名将他当作感染者暴力的罪魁祸首严肃处置，又或者把他看作重症患者进行进一步的人道处理......,凯尔希,0,,,,,41,是放任他在核心城中自生自灭，还是以当代社会之名将他当作感染者暴力的罪魁祸首严肃处置，又或者把他看作重症患者进行进一步的人道处理......,彼をコアシティに放置して自然死に任せるのか、現代社会の名のもとに感染者暴力の元凶として厳正に処置するのか、または重症患者として更なる人道的処理をするのか……。,ケルシー,True
name,是理智地进行判断并定下生死，还是直面自己的认知下达超出我们职权范畴的一次判决，这都是你能做的。,凯尔希,0,,,,,42,是理智地进行判断并定下生死，还是直面自己的认知下达超出我们职权范畴的一次判决，这都是你能做的。,理性に判断し生死を決めるか、自身の認識に直面し我々の権限を超えた判決を下すか、それはあなたができることです。,ケルシー,True
name,他已经从这片大地上事实性地消失了，能决定他命运的，或幸运或不幸，只有你。,凯尔希,0,,,,,43,他已经从这片大地上事实性地消失了，能决定他命运的，或幸运或不幸，只有你。,彼はこの大地から事実上消えてしまっています。彼の運命を決められるのは、幸運か不運かは別として、あなただけです。,ケルシー,True
name,或仁慈，或正义，或公平，或愤慨，或者你想要这全部四者，又或者你的决定与这些词汇根本无关，我都无所谓。,凯尔希,0,,,,,44,或仁慈，或正义，或公平，或愤慨，或者你想要这全部四者，又或者你的决定与这些词汇根本无关，我都无所谓。,慈悲であれ、正義であれ、公平であれ、憤りであれ、またはその全てを望もうと、あるいはあなたの決断がこれらの言葉とは無関係であっても、私は気にしません。,ケルシー,True
name,我不会对你的选择做出任何评价。即使我会，我也不会说出来。,凯尔希,0,,,,,45,我不会对你的选择做出任何评价。即使我会，我也不会说出来。,私はあなたの選択について何の評価もしません。もししたとしても、それを言うことはありません。,ケルシー,True
name,虽然替他人的命运做出选择本就是可笑的事情......,凯尔希,0,,,,,46,虽然替他人的命运做出选择本就是可笑的事情......,他人の運命を代わりに決めること自体がそもそも可笑しなことですが……。,ケルシー,True
name,但他已经选过了。,凯尔希,0,,,,,47,但他已经选过了。,ですが、彼はすでに選んでいます。,ケルシー,True
name,接下来该怎么办，只取决于你。,凯尔希,0,,,,,48,接下来该怎么办，只取决于你。,次に何をすべきかは、あなた次第です。,ケルシー,True
name,因为，我只是个第一次与患者会面的医生，而你才是与他数次缠斗的博士。,凯尔希,0,,,,,49,因为，我只是个第一次与患者会面的医生，而你才是与他数次缠斗的博士。,私はただ患者と初めて会う医者ですが、あなたこそが何度も彼と戦ってきたドクターなのです。,ケルシー,True
name,你的理解应当比我更深。做你该做的事。,凯尔希,0,,,,,50,你的理解应当比我更深。做你该做的事。,あなたの理解は私よりも深いはずです。あなたがすべきことをなさい。,ケルシー,True
name,这将是你自己的结论，不是我的。,凯尔希,0,,,,,51,这将是你自己的结论，不是我的。,これはあなた自身の結論で、私のではありません。,ケルシー,True
name,......还是说，博士，其实你早就已经选好了？,凯尔希,0,,,,,52,......还是说，博士，其实你早就已经选好了？,......それとも、ドクター、実はあなたはもうずっと前から決めていたのですか？,ケルシー,True
dialog,,,0,,,,,53,,,,True
blocker,,,0,,,,,54,,,,True
image,,,0,,,,,55,,,,True
