command,text,name,image,jp_text,jp_name
header,,,,,
stopmusic,,,,,
delay,,,,,
dialog,,,,,
blocker,,,,,
background,,,bg_topout,,
blocker,,,,,
delay,,,,,
playmusic,,,,,
dialog,,,,,
character,,,,,
character,,avg_npc_012,,,
name,喂，情况怎么样？,疲惫的罗德岛干员,,ねえ、状況はどうですか？,疲弊したロドスのオペレーター
character,,avg_npc_089,,,
name,不太好。虽然留在下层的只有几个魔族佬......,老练的罗德岛干员,,あまり良くありません。下層に残っているのは数人の魔族だけですが……,熟練のロドスのオペレーター
name,但他们都是身经百战的雇佣兵，讨厌得很，哪怕他们只有一颗螺丝钉，都能想出一百种厮杀的手段。,老练的罗德岛干员,,ですが、彼らは皆、百戦錬磨の傭兵で、本当に厄介です。例え一つのネジだけでも、百通りもの戦闘方法を考え出せるのです。,熟練のロドスのオペレーター
name,论作战能力，我们半斤八两，可论人数，我们只有他们的一半。,老练的罗德岛干员,,戦闘能力では五分五分ですが、人数は彼らの半分しかいません。,熟練のロドスのオペレーター
character,,avg_npc_012,,,
name,呃，有没有但是？我的腿已经快没知觉了......,疲惫的罗德岛干员,,ええと、でも何かありますか？私の脚はもうほとんど感覚がありません……,疲弊したロドスのオペレーター
character,,avg_npc_089,,,
name,有，“但是”雇佣兵内部的队伍发生了分歧。至少外面有一部分是，眼下在我们楼底下的那群，不太清楚。,老练的罗德岛干员,,あります。“しかし”、傭兵の内部で隊が分裂しています。少なくとも外の一部はそうですが、今私たちの建物の下にいるあの連中はあまり分かりません。,熟練のロドスのオペレーター
character,,avg_npc_012,,,
name,这根本不算好消息，啊，痛......刚才那个家伙下手真狠啊......,疲惫的罗德岛干员,,それは決して良い知らせではありません。ああ、痛い……さっきのあの奴は本当に手加減しなかった……,疲弊したロドスのオペレーター
character,,avg_npc_089,,,
name,做了应急处理就知足吧，想点别的事情，分散注意力。,老练的罗德岛干员,,応急処置を施しただけで満足しなさい。気をそらすために他のことを考えましょう。,熟練のロドスのオペレーター
character,,avg_npc_012,,,
name,......上面越来越热了。从刚才开始，上面的动静都大得有点恐怖......而且，就，怎么说呢，有点喘不过气。,疲惫的罗德岛干员,,……上の方がどんどん激しくなっています。さっきから上の動きが大きくて少し怖い……そして、どう言えばいいか、息苦しい感じがします。,疲弊したロドスのオペレーター
character,,avg_npc_089,,,
name,让你分散注意力，没让你去想这些事情！,老练的罗德岛干员,,気をそらせと言っただけで、そんなことを考えるんじゃない！,熟練のロドスのオペレーター
character,,avg_npc_012,,,
name,......阿米娅，阿米娅她没关系吧？还有那个龙门的警官，啊，虽然我只见过她一面......但一想到她们在对付......对付......呃，啥呢？,疲惫的罗德岛干员,,……アーミヤ、アーミヤは大丈夫でしょうか？そしてあの龍門の警官も、ああ、一度しか会ったことがありませんが……でも彼女たちが戦っていると思うと……戦っている……えっと、何と？,疲弊したロドスのオペレーター
character,,avg_npc_089,,,
name,行了，你都开始说胡话了，看来血流得的确不少——慢着，有通讯。,老练的罗德岛干员,,もういい、君はもう支離滅裂だ。確かにだいぶ血を流したようだ……待って、通信だ。,熟練のロドスのオペレーター
dialog,,,,,
character,,,,,
playsound,,,,,
name,是我，我现在快抵达地面了——,急促的声音,,私です。今すぐ地上に到着します——,急いだ声
character,,avg_npc_089,,,
name,......什么情况？敌人呢？,老练的罗德岛干员,,……どういう状況だ？敵は？,熟練のロドスのオペレーター
dialog,,,,,
character,,,,,
name,走大运了。刚才塔顶爆发出的法术像是火山爆发一样吞没了我们驻守的楼层，我们趁乱解决了几个放哨的，剩下的只能选择往下层的空地撤离——,急促的声音,,幸運でした。さっき塔の頂上から爆発した魔法は火山の噴火のように私たちの守っていた階を飲み込みました。混乱に乗じて見張り数人を片付け、残りは下の空き地に撤退するしかありません——,急いだ声
character,,avg_npc_089,,,
name,我还以为他们会死守这里......,老练的罗德岛干员,,彼らはここを死守すると思っていました……,熟練のロドスのオペレーター
dialog,,,,,
character,,,,,
name,也许大家都有种预感，都清楚上面发生的事情正在超乎“战术”范畴的预想——,急促的声音,,多分みんな予感があって、上で起こっている事態が「戦術」の範疇を超えていることを理解しているのでしょう——,急いだ声
dialog,,,,,
playsound,,,,,
camerashake,,,,,
blocker,,,,,
playsound,,,,,
playsound,,,,,
camerashake,,,,,
character,,avg_npc_012,,,
